ENTRY            D6037   20091105                             D070D603700000001 
SUBENT        D6037001   20091105                             D070D603700100001 
BIB                 13         42                                 D603700100002 
TITLE      The study of threshold behaviour of effective          D603700100003 
           potential for 6Li and 58,64Ni                          D603700100004 
AUTHOR     (M.Biswas,Subinit Roy,M.Sinha,M.K.Pradhan,A.Mukherjee, D603700100005 
           P.Basu,H.Majumdar,K.Ramachandran,A.Shrivastava)        D603700100006 
INSTITUTE  (3INDSAH,3INDTRM)                                      D603700100007 
REFERENCE  (J,NP/A,802,67,2008)                                   D603700100008 
           (C,2008MACKIN,,(168),2008)                             D603700100009 
FACILITY   (VDGT,3INDTRM)14UD TIFR/BARC Pelletron facility in     D603700100010 
           Mumbai, India.                                         D603700100011 
SAMPLE     self supporting targets were prepared by electron gun  D603700100012 
           evaporation technique from 99% enriched metallic       D603700100013 
           64-Ni isotope. Two different targets of thickness 61   D603700100014 
           mu-g/cm2 and 376 mu-g/cm2 respectively, were used for  D603700100015 
           the experiment.                                        D603700100016 
DETECTOR   (TELES,SIBAR,SIBAR)The telescopes were set with 25 mu  D603700100017 
           and 15 mu thick deltaE detectors and 300 mu thick      D603700100018 
           E detectors to detect the scattered particles.In       D603700100019 
           the second part the deltaE detectors of thickness      D603700100020 
           15 mu and 10 mu were used and these were followed      D603700100021 
           by 3 mm and 500 mu E detectors, respectively.          D603700100022 
           Two monitor detectors of thickness 3 mm were           D603700100023 
           mounted at + - 15 deg about the beam                   D603700100024 
           axis at a distance of 41.7 cm in a 1m diameter         D603700100025 
           scattering chamber.                                    D603700100026 
METHOD     (EDE,BCINT) The current was measured using a Current   D603700100027 
           Integrator, the output of which was fed into a CAMAC   D603700100028 
           Scaler to obtain the integrated charge.                D603700100029 
INC-SOURCE 6-Li                                                   D603700100030 
ANALYSIS   (WSP)Optical model analysis was carried out using      D603700100031 
           three different model potentials using parametric      D603700100032 
           Woods-Saxon and folded M3Y forms, forms for both the   D603700100033 
           real and imaginary potentials.                         D603700100034 
ERR-ANALYS (ERR-S)The statistical error in the data is less       D603700100035 
           than 1% in the forward angles adn a maximum of 16%     D603700100036 
           in the backward angles.                                D603700100037 
           (ERR-T,5.,17.) The overall error in the                D603700100038 
                                 data varied from 5% to 17%.      D603700100039 
STATUS     (TABLE) Data taken from Dr. Subinit Roy                D603700100040 
           (APRVD) Entry approved by Dr. Subinit Roy              D603700100041 
HISTORY    (20091105C) compiled by Y.Santhi Sheela, Manipal Univ. D603700100042 
            and Paresh Prajapati and Dr.S.V.S.Suryanarayana,      D603700100043 
            B.A.R.C, Mumbai.                                      D603700100044 
ENDBIB              42          0                                 D603700100045 
NOCOMMON             0          0                                 D603700100046 
ENDSUBENT           45          0                                 D603700199999 
SUBENT        D6037002   20091105                             D070D603700200001 
BIB                  1          1                                 D603700200002 
REACTION   (28-NI-64(3-LI-6,EL)28-NI-64,,DA,,RTH)                 D603700200003 
ENDBIB               1          0                                 D603700200004 
NOCOMMON             0          0                                 D603700200005 
DATA                 4         93                                 D603700200006 
EN         ANG-CM     DATA       ERR-S                            D603700200007 
MEV        ADEG       NO-DIM     PER-CENT                         D603700200008 
        13.      33.98       0.97         2.                      D603700200009 
        13.      44.74      0.971         2.                      D603700200010 
        13.      50.08      1.019         2.                      D603700200011 
        13.      55.39       1.01         2.                      D603700200012 
        13.      60.67      1.011         2.                      D603700200013 
        13.      65.91       1.02         2.                      D603700200014 
        13.      71.12      1.034         6.                      D603700200015 
        13.      81.42      0.943         5.                      D603700200016 
        13.      91.57      0.941       5.88                      D603700200017 
        13.     101.55      0.864        6.5                      D603700200018 
        13.      111.4      0.811        15.                      D603700200019 
        13.      124.7      0.618       13.6                      D603700200020 
        13.      143.5      0.572         9.                      D603700200021 
        14.       32.7      1.009         1.                      D603700200022 
        14.        38.      1.006         1.                      D603700200023 
        14.       48.8      1.006       1.02                      D603700200024 
        14.      54.12      0.995         1.                      D603700200025 
        14.       59.4      1.004       1.03                      D603700200026 
        14.       64.7      0.998       1.05                      D603700200027 
        14.       69.9      0.976         1.                      D603700200028 
        14.        75.      0.958         1.                      D603700200029 
        14.       80.2      0.934        1.3                      D603700200030 
        14.       85.3      0.844        1.9                      D603700200031 
        14.       90.4      0.793        1.6                      D603700200032 
        14.       95.4      0.652         2.                      D603700200033 
        14.      100.4      0.689         2.                      D603700200034 
        14.      105.3      0.589        2.5                      D603700200035 
        14.      110.1      0.534        2.1                      D603700200036 
        14.      119.9      0.429        2.3                      D603700200037 
        14.      138.8       0.34        2.5                      D603700200038 
        14.      143.5      0.342         5.                      D603700200039 
        14.      161.8      0.299         4.                      D603700200040 
        17.      10.93      0.978         2.                      D603700200041 
        17.      16.39      1.009         2.                      D603700200042 
        17.       21.8      1.052        1.5                      D603700200043 
        17.      32.69       0.94        3.2                      D603700200044 
        17.       38.1       0.98        3.1                      D603700200045 
        17.       43.5      1.004        2.4                      D603700200046 
        17.       48.8       1.03         1.                      D603700200047 
        17.      54.12      0.911       0.81                      D603700200048 
        17.       59.4      0.861         1.                      D603700200049 
        17.       64.7      0.745        1.1                      D603700200050 
        17.       69.9      0.607        1.4                      D603700200051 
        17.        75.      0.527        1.5                      D603700200052 
        17.       80.2      0.424        1.8                      D603700200053 
        17.       85.3      0.353         2.                      D603700200054 
        17.       90.4      0.291        1.1                      D603700200055 
        17.       95.4      0.241        4.1                      D603700200056 
        17.      105.3      0.151         6.                      D603700200057 
        17.      110.2      0.145        2.4                      D603700200058 
        17.       115.      0.122        6.1                      D603700200059 
        17.      124.7    8.6E-02         8.                      D603700200060 
        17.      134.2    8.1E-02       13.2                      D603700200061 
        17.      152.7    4.6E-02        16.                      D603700200062 
        19.      21.84       1.07        1.5                      D603700200063 
        19.       32.7       1.09         2.                      D603700200064 
        19.        37.       1.01         5.                      D603700200065 
        19.       43.5      0.992         1.                      D603700200066 
        19.      50.08      0.793         5.                      D603700200067 
        19.      55.39      0.693         5.                      D603700200068 
        19.       59.4      0.614        1.2                      D603700200069 
        19.       60.7      0.582         5.                      D603700200070 
