ENTRY            D6116   20120129                             D081D611600000001 
SUBENT        D6116001   20120129                             D081D611600100001 
BIB                 11         22                                 D611600100002 
TITLE      Binary fragmentations of excited nuclear systems in    D611600100003 
            the 372 MeV 56Fe + 232Th reaction                     D611600100004 
AUTHOR     (P.K.Sahu, R.G.Thomas, A.Saxena, R.K.Choudhury,        D611600100005 
            S.S.Kapoor, L.M.Pant, M.Barbui, M.Cinausero, G.Prete, D611600100006 
            V.Rizzi, D.Shetty, D.Fabris, M.Lunardon, S.Moretto,   D611600100007 
            G.Viesti, G.Nebbia, S.Pesente, B.Dalena, G.D'Erasmo,  D611600100008 
            D.Di Santo, E.M.Fiore, M.Palomba, A.Pantaleo,         D611600100009 
            V.Paticchio, G.Simonetti, N.Gelli, F.Lucarelli,       D611600100010 
            A.Brondi, E.Vardaci)                                  D611600100011 
INSTITUTE  (3INDTRM,2ITYPAD,2ITYBAU,2ITYFIR,2ITYFSN,3INDIPB)      D611600100012 
REFERENCE  (J,PR/C,72,034604,2005)                                D611600100013 
FACILITY   (VDGT,2ITYPAD) Tandem XTU-ALPI superconducting linac   D611600100014 
SAMPLE     Self-supporting 232Th target of thickness 1.5 mg/cm2   D611600100015 
DETECTOR   (PPAC,MWPC)                                            D611600100016 
           (SCIN) Liquid scintillators for neutrons               D611600100017 
METHOD     (TOF)                                                  D611600100018 
ANALYSIS   (INTAD) The neutron spectra at different angles were   D611600100019 
            integrated.                                           D611600100020 
COMMENT    Alok Saxena (2011-05-11)                               D611600100021 
            Data in Figs.4-6 are given per fragmentation event    D611600100022 
HISTORY    (20110506C) Ranjita Mandal                             D611600100023 
           (20120129U) On. Finalized                              D611600100024 
ENDBIB              22          0                                 D611600100025 
COMMON               1          3                                 D611600100026 
EN                                                                D611600100027 
MEV                                                               D611600100028 
392.                                                              D611600100029 
ENDCOMMON            3          0                                 D611600100030 
ENDSUBENT           29          0                                 D611600199999 
SUBENT        D6116002   20120129                             D081D611600200001 
BIB                  3          3                                 D611600200002 
REACTION   (90-TH-232(26-FE-56,X)MASS,,KE,LF+HF)                  D611600200003 
ERR-ANALYS (DATA-ERR) No source on uncertainties given            D611600200004 
STATUS     (CURVE) Fig.4 of Phys.Rev.C 72(2005)034604             D611600200005 
ENDBIB               3          0                                 D611600200006 
NOCOMMON             0          0                                 D611600200007 
DATA                 3          8                                 D611600200008 
MASS       DATA       DATA-ERR                                    D611600200009 
NO-DIM     MEV        MEV                                         D611600200010 
  62.52     255.62     2.81                                       D611600200011 
  71.79     245.62     3.16                                       D611600200012 
  80.73     210.62     2.90                                       D611600200013 
  90.00     177.50     2.87                                       D611600200014 
  98.94     194.37     1.94                                       D611600200015 
 108.21     212.50     2.71                                       D611600200016 
 117.48     220.62     3.81                                       D611600200017 
 128.74     240.62     3.12                                       D611600200018 
ENDDATA             10          0                                 D611600200019 
ENDSUBENT           18          0                                 D611600299999 
SUBENT        D6116003   20120129                             D081D611600300001 
BIB                  3          3                                 D611600300002 
REACTION   (90-TH-232(26-FE-56,N+X)MASS,,MLT/DA/DE)               D611600300003 
ERR-ANALYS (DATA-ERR) No source on uncertainties given            D611600300004 
STATUS     (CURVE) Fig.5 of Phys.Rev.C 72(2005)034604             D611600300005 
ENDBIB               3          0                                 D611600300006 
COMMON               2          3                                 D611600300007 
MASS-MIN   MASS-MAX                                               D611600300008 
NO-DIM     NO-DIM                                                 D611600300009 
 130.       144.                                                  D611600300010 
ENDCOMMON            3          0                                 D611600300011 
DATA                 4        141                                 D611600300012 
ANG        E          DATA       DATA-ERR                         D611600300013 
ADEG       MEV        P/RC/MEVSR P/RC/MEVSR                       D611600300014 
 135.        1.44        2.32E-01   1.55E-02                      D611600300015 
 135.        3.45        8.60E-02   4.29E-03                      D611600300016 
 135.        4.44        4.64E-02   3.92E-03                      D611600300017 
 135.        5.46        1.51E-02   1.01E-03                      D611600300018 
 135.        6.45        2.67E-02   1.33E-03                      D611600300019 
 135.        7.42        1.64E-02   8.16E-04                      D611600300020 
 135.        8.46        5.88E-03   6.02E-04                      D611600300021 
 135.        9.43        1.24E-02   6.19E-04                      D611600300022 
 105.        1.52        2.81E-01   1.88E-02                      D611600300023 
 105.        2.54        3.52E-01   2.36E-02                      D611600300024 
 105.        3.50        2.38E-01   7.86E-03                      D611600300025 
 105.        4.54        1.89E-01   1.27E-02                      D611600300026 
 105.        5.50        1.58E-01   1.06E-02                      D611600300027 
 105.        6.46        1.07E-01   1.48E-02                      D611600300028 
 105.        7.50        5.38E-02   9.46E-03                      D611600300029 
 105.        8.52        4.64E-02   8.16E-03                      D611600300030 
 105.        9.48        1.83E-02   4.30E-03                      D611600300031 
 105.       10.50        3.12E-02   6.71E-03                      D611600300032 
  95.        1.45        3.57E-01   4.33E-02                      D611600300033 
  95.        2.44        2.94E-01   1.98E-02                      D611600300034 
  95.        3.46        3.24E-01   2.19E-02                      D611600300035 
  95.        4.43        2.30E-01   1.55E-02                      D611600300036 
  95.        5.45        1.61E-01   1.08E-02                      D611600300037 
  95.        6.41        1.86E-01   1.91E-02                      D611600300038 
  95.        7.40        1.09E-01   1.31E-02                      D611600300039 
  95.        8.45        1.05E-01   5.27E-03                      D611600300040 
  95.        9.45        1.02E-01   8.65E-03                      D611600300041 
  95.       10.44        4.49E-02   3.03E-03                      D611600300042 
  53.7       1.49        1.97E-01   4.31E-03                      D611600300043 
  53.7       2.49        4.02E-01   1.33E-02                      D611600300044 
  53.7       3.47        3.27E-01   2.19E-02                      D611600300045 
  53.7       4.49        3.68E-01   2.05E-02                      D611600300046 
  53.7       5.48        2.41E-01   1.34E-02                      D611600300047 
  53.7       6.50        2.68E-01   2.11E-02                      D611600300048 
  53.7       7.49        2.40E-01   1.06E-02                      D611600300049 
  53.7       8.48        2.04E-01   1.14E-02                      D611600300050 
  53.7       9.47        1.19E-01   3.92E-03                      D611600300051 
  53.7      10.46        9.23E-02   5.14E-03                      D611600300052 
 -35.        1.40        3.83E-01   2.15E-02                      D611600300053 
 -35.        2.39        5.43E-01   4.61E-02                      D611600300054 
 -35.        3.41        4.57E-01   4.56E-02                      D611600300055 
 -35.        4.42        2.78E-01   2.78E-02                      D611600300056 
 -35.        5.44        2.44E-01   2.07E-02                      D611600300057 
 -35.        6.41        1.75E-01   2.01E-02                      D611600300058 
 -35.        7.47        9.52E-02   1.24E-02                      D611600300059 
 -35.        8.43        1.14E-01   1.14E-02                      D611600300060 
 -35.        9.46        6.32E-02   8.24E-03                      D611600300061 
 -35.       10.48        5.26E-02   1.02E-02                      D611600300062 
 -45.        1.47        3.47E-01   2.04E-02                      D611600300063 
 -45.        2.49        5.33E-01   3.15E-02                      D611600300064 
 -45.        3.49        5.82E-01   4.02E-02                      D611600300065 
 -45.        4.46        4.25E-01   2.50E-02                      D611600300066 
 -45.        5.46        3.54E-01   1.73E-02                      D611600300067 
 -45.        6.46        1.56E-01   1.40E-02                      D611600300068 
 -45.        7.48        1.56E-01   1.73E-02                      D611600300069 
 -45.        8.48        1.11E-01   1.46E-02                      D611600300070 
