ENTRY            D6145   20120320                             D082D614500000001 
SUBENT        D6145001   20120320                             D082D614500100001 
BIB                 10         13                                 D614500100002 
TITLE      Elastic scattering of 28Si from 27Al at 70,80,90 and   D614500100003 
            100 MeV                                               D614500100004 
AUTHOR     (S.K.Charagi, S.K.Gupta, M.G.Betigeri, C.V.Fernandes,  D614500100005 
            Kuldeep)                                              D614500100006 
INSTITUTE  (3INDTRM)                                              D614500100007 
REFERENCE  (J,PR/C,48,1152,1993)                                  D614500100008 
FACILITY   (VDGT,3INDTRM) 14 UD Pelletron                         D614500100009 
SAMPLE     45 ug/cm2 thick self supporting aluminium foil         D614500100010 
DETECTOR   (SIBAR) 200 um-thick, 0.129 msr, 28.4 cm from target   D614500100011 
ERR-ANALYS (DATA-ERR) No sources of uncertainties given           D614500100012 
STATUS     (CURVE) Figure 2 of Phys.Rev.C48(1993)1152             D614500100013 
HISTORY    (20110405C) ranjita169@gmail.com                       D614500100014 
           (20120320U) On. Finalized                              D614500100015 
ENDBIB              13          0                                 D614500100016 
NOCOMMON             0          0                                 D614500100017 
ENDSUBENT           16          0                                 D614500199999 
SUBENT        D6145002   20120320                             D082D614500200001 
BIB                  1          1                                 D614500200002 
REACTION   (13-AL-27(14-SI-28,EL)13-AL-27,,DA,,RTH)               D614500200003 
ENDBIB               1          0                                 D614500200004 
COMMON               2          3                                 D614500200005 
ANG-ERR-D  ERR-DIG                                                D614500200006 
ADEG       PER-CENT                                               D614500200007 
 0.4        0.02                                                  D614500200008 
ENDCOMMON            3          0                                 D614500200009 
DATA                 4         92                                 D614500200010 
EN         ANG-CM     DATA       DATA-ERR                         D614500200011 
MEV        ADEG       NO-DIM     NO-DIM                           D614500200012 
 70.        21.9        9.725E-01  7.047E-02                      D614500200013 
 70.        26.0        9.973E-01  5.110E-02                      D614500200014 
 70.        29.2        1.018E+00  5.217E-02                      D614500200015 
 70.        33.9        1.033E+00  3.679E-02                      D614500200016 
 70.        38.1        1.029E+00  4.731E-02                      D614500200017 
 70.        42.1        9.171E-01  7.634E-02                      D614500200018 
 70.        46.2        9.453E-01  4.347E-02                      D614500200019 
 70.        50.3        1.121E+00  6.331E-02                      D614500200020 
 70.        54.3        1.239E+00  5.052E-02                      D614500200021 
 70.        58.2        1.197E+00  4.259E-02                      D614500200022 
 70.        62.7        9.998E-01  3.559E-02                      D614500200023 
 70.        66.7        9.141E-01  4.684E-02                      D614500200024 
 70.        71.2        5.950E-01  5.926E-02                      D614500200025 
 70.        75.5        4.922E-01  4.902E-02                      D614500200026 
 70.        79.3        3.419E-01  3.593E-02                      D614500200027 
 70.        83.7        2.459E-01  2.858E-02                      D614500200028 
 70.        87.8        2.004E-01  2.107E-02                      D614500200029 
 80.        20.1        9.411E-01  4.331E-02                      D614500200030 
 80.        22.2        9.944E-01  3.542E-02                      D614500200031 
 80.        24.5        9.749E-01  2.968E-02                      D614500200032 
 80.        26.5        1.005E+00  4.101E-02                      D614500200033 
 80.        28.5        1.030E+00  4.741E-02                      D614500200034 
 80.        30.4        9.801E-01  4.511E-02                      D614500200035 
 80.        32.7        9.232E-01  4.249E-02                      D614500200036 
 80.        34.4        9.562E-01  3.405E-02                      D614500200037 
 80.        36.5        1.036E+00  2.093E-02                      D614500200038 
 80.        38.1        1.078E+00  3.840E-02                      D614500200039 
 80.        39.3        1.145E+00  2.899E-02                      D614500200040 
 80.        40.2        1.210E+00  6.839E-02                      D614500200041 
 80.        42.6        1.253E+00  6.424E-02                      D614500200042 
 80.        45.6        1.210E+00  3.685E-02                      D614500200043 
 80.        48.0        1.095E+00  5.040E-02                      D614500200044 
 80.        50.3        9.716E-01  3.963E-02                      D614500200045 
 80.        52.1        8.239E-01  5.532E-02                      D614500200046 
 80.        54.1        6.883E-01  3.891E-02                      D614500200047 
 80.        56.4        5.580E-01  3.450E-02                      D614500200048 
 80.        57.4        4.803E-01  2.715E-02                      D614500200049 
 80.        58.8        4.369E-01  2.239E-02                      D614500200050 
 80.        59.2        3.973E-01  2.246E-02                      D614500200051 
 80.        60.6        3.221E-01  1.147E-02                      D614500200052 
 80.        63.0        2.814E-01  1.295E-02                      D614500200053 
 80.        64.9        2.149E-01  1.101E-02                      D614500200054 
 80.        67.1        1.716E-01  8.799E-03                      D614500200055 
 80.        69.0        1.330E-01  4.737E-03                      D614500200056 
 80.        71.1        9.375E-02  4.805E-03                      D614500200057 
 80.        73.2        7.230E-02  7.602E-03                      D614500200058 
 80.        75.0        5.920E-02  5.252E-03                      D614500200059 
 80.        77.2        4.475E-02  3.970E-03                      D614500200060 
 80.        79.3        3.299E-02  3.652E-03                      D614500200061 
 90.        19.4        9.699E-01  3.966E-02                      D614500200062 
 90.        23.7        9.653E-01  4.452E-02                      D614500200063 
 90.        25.6        9.510E-01  3.394E-02                      D614500200064 
 90.        27.6        9.704E-01  3.463E-02                      D614500200065 
 90.        30.5        1.073E+00  3.829E-02                      D614500200066 
 90.        33.0        1.157E+00  4.128E-02                      D614500200067 
 90.        34.6        1.247E+00  4.449E-02                      D614500200068 
 90.        36.5        1.222E+00  3.101E-02                      D614500200069 
 90.        38.3        1.123E+00  5.178E-02                      D614500200070 
 90.        40.1        1.016E+00  5.217E-02                      D614500200071 
 90.        44.2        6.771E-01  2.769E-02                      D614500200072 
 90.        46.0        5.886E-01  2.715E-02                      D614500200073 
 90.        48.0        4.652E-01  1.902E-02                      D614500200074 
 90.        49.9        3.586E-01  1.653E-02                      D614500200075 
 90.        50.1        3.326E-01  1.709E-02                      D614500200076 
 90.        51.6        2.655E-01  1.364E-02                      D614500200077 
 90.        54.1        1.779E-01  6.347E-03                      D614500200078 
 90.        56.0        1.247E-01  7.723E-03                      D614500200079 
 90.        58.7        9.048E-02  2.761E-03                      D614500200080 
 90.        60.7        6.309E-02  6.998E-03                      D614500200081 
 90.        64.5        3.494E-02  2.539E-03                      D614500200082 
 90.        67.2        2.549E-02  2.127E-03                      D614500200083 
 90.        69.2        1.823E-02  1.820E-03                      D614500200084 
100.        20.0        9.328E-01  4.853E-02                      D614500200085 
100.        21.5        8.689E-01  4.058E-02                      D614500200086 
100.        26.2        1.043E+00  5.425E-02                      D614500200087 
100.        28.1        1.215E+00  6.968E-02                      D614500200088 
100.        29.8        1.278E+00  6.647E-02                      D614500200089 
100.        32.6        1.278E+00  6.648E-02                      D614500200090 
100.        34.3        1.043E+00  3.224E-02                      D614500200091 
100.        36.3        8.390E-01  3.474E-02                      D614500200092 
100.        37.9        6.445E-01  3.353E-02                      D614500200093 
100.        40.3        4.902E-01  2.030E-02                      D614500200094 
100.        42.4        3.455E-01  1.613E-02                      D614500200095 
100.        44.8        2.485E-01  1.293E-02                      D614500200096 
100.        46.4        1.787E-01  7.400E-03                      D614500200097 
100.        48.2        1.167E-01  6.073E-03                      D614500200098 
100.        49.7        1.093E-01  2.526E-02                      D614500200099 
100.        51.5        8.103E-02  1.284E-02                      D614500200100 
100.        52.7        4.256E-02  6.993E-03                      D614500200101 
100.        54.2        3.353E-02  2.834E-03                      D614500200102 
100.        60.8        1.034E-02  2.198E-03                      D614500200103 
100.        63.1        4.713E-03  1.548E-03                      D614500200104 
ENDDATA             94          0                                 D614500200105 
ENDSUBENT          104          0                                 D614500299999 
ENDENTRY             2          0                                 D614599999999 
