ENTRY            D6426   20230106                             D138D642600000001 
SUBENT        D6426001   20230106                             D138D642600100001 
BIB                 10         26                                 D642600100002 
TITLE      Probing collective enhancement in nuclear level        D642600100003 
           density with evaporation alpha particle spectra        D642600100004 
AUTHOR     (G.Mohanto, P.C.Rout, K.Ramachandran, K.Mahata,        D642600100005 
           E.T.Mirgule, B.Srinivasan, A.Kundu, A.Baishya,         D642600100006 
           R.Gandhi, T.Santhosh, A.Pal, S.Joshi, S.Santra,        D642600100007 
           D.Patel, P.N.Patil, S.P.Behera P.Yashwantrao,          D642600100008 
           N.K.Mishra, D.Dutta, A.Saxena, B.K.Nayak)              D642600100009 
INSTITUTE  (3INDTRM,3INDKUD)                                      D642600100010 
           (3INDIND) Homi Bhabha National Institute, Mumbai       D642600100011 
           (3INDIND) Sardar Vallabhbhai National Institute of     D642600100012 
           Technology, Surat                                      D642600100013 
           (3INDIND) Ramnarain Ruia Autonomous College, Matunga,  D642600100014 
           Mumbai                                                 D642600100015 
REFERENCE  (J,PR/C,105,034607,2022)                               D642600100016 
FACILITY   (VDGT,3INDTRM) BARC-TIFR Pelletron-Linac facility      D642600100017 
SAMPLE     Self-supporting targets of 116Sn and 159Tb having      D642600100018 
           thickness of 1.4 mg/cm2 and 1.8 mg/cm2 respectively.   D642600100019 
DETECTOR   (TELES,SISD,SISD) Two Silicon strip detectors were     D642600100020 
           used in E-delta E telescope configuration at angle     D642600100021 
           +/- 155 degrees with respect to the beam direction.    D642600100022 
           Thickness of delta E and E detectors were 50 um and    D642600100023 
           1500 um, respectively.                                 D642600100024 
METHOD     (EDE) E delta E method was used to detect and          D642600100025 
           identify the alpha particles                           D642600100026 
ERR-ANALYS (ERR-S) Uncertainty due to statistical error           D642600100027 
HISTORY    (20230106C) G. Mohanto                                 D642600100028 
ENDBIB              26          0                                 D642600100029 
COMMON               1          3                                 D642600100030 
ANG                                                               D642600100031 
ADEG                                                              D642600100032 
       155.                                                       D642600100033 
ENDCOMMON            3          0                                 D642600100034 
ENDSUBENT           33          0                                 D642600199999 
SUBENT        D6426002   20230106                             D138D642600200001 
BIB                  2          2                                 D642600200002 
REACTION   (50-SN-116(6-C-12,X)2-HE-4,,DA/DE)                     D642600200003 
STATUS     (TABLE) Fig.1(a) of Phys.Rev.C105(2022)034607          D642600200004 
ENDBIB               2          0                                 D642600200005 
NOCOMMON             0          0                                 D642600200006 
DATA                 4        109                                 D642600200007 
EN         E-CM       DATA       ERR-S                            D642600200008 
MEV        MEV        MB/SR/MEV  MB/SR/MEV                        D642600200009 
       47.0        8.5   0.000035   0.000015                      D642600200010 
       47.0        9.5   0.009000   0.002258                      D642600200011 
       47.0       10.5   0.309112   0.077286                      D642600200012 
       47.0       11.5   0.612218   0.153062                      D642600200013 
       47.0       12.5   0.614561   0.153648                      D642600200014 
       47.0       13.5   0.452999   0.113257                      D642600200015 
       47.0       14.5   0.276247   0.069070                      D642600200016 
       47.0       15.5   0.158925   0.039739                      D642600200017 
       47.0       16.5   0.086604   0.021659                      D642600200018 
       47.0       17.5   0.047760   0.011948                      D642600200019 
       47.0       18.5   0.024615   0.006161                      D642600200020 
       47.0       19.5   0.011828   0.002965                      D642600200021 
       47.0       20.5   0.005283   0.001329                      D642600200022 
       47.0       21.5   0.001961   0.000498                      D642600200023 
       47.0       22.5   0.000716   0.000186                      D642600200024 
       47.0       23.5   0.000240   0.000067                      D642600200025 
       47.0       24.5   0.000089   0.000029                      D642600200026 
       47.0       25.5   0.000050   0.000019                      D642600200027 
       47.0       26.5   0.000054   0.000020                      D642600200028 
       52.0        9.5   0.002645   0.000669                      D642600200029 
       52.0       10.5   0.113417   0.028362                      D642600200030 
       52.0       11.5   0.317047   0.079269                      D642600200031 
       52.0       12.5   0.459295   0.114831                      D642600200032 
       52.0       13.5   0.502629   0.125665                      D642600200033 
       52.0       14.5   0.431158   0.107797                      D642600200034 
       52.0       15.5   0.304176   0.076051                      D642600200035 
       52.0       16.5   0.187000   0.046757                      D642600200036 
       52.0       17.5   0.108641   0.027168                      D642600200037 
       52.0       18.5   0.058963   0.014748                      D642600200038 
       52.0       19.5   0.030920   0.007738                      D642600200039 
       52.0       20.5   0.016248   0.004069                      D642600200040 
       52.0       21.5   0.007552   0.001895                      D642600200041 
       52.0       22.5   0.003624   0.000913                      D642600200042 
       52.0       23.5   0.001576   0.000401                      D642600200043 
       52.0       24.5   0.000822   0.000213                      D642600200044 
       52.0       25.5   0.000308   0.000084                      D642600200045 
       52.0       26.5   0.000094   0.000030                      D642600200046 
       52.0       27.5   0.000038   0.000015                      D642600200047 
       52.0       28.5   0.000004   0.000004                      D642600200048 
       52.0       29.5   0.000038   0.000015                      D642600200049 
       54.0        9.5   0.001954   0.000516                      D642600200050 
       54.0       10.5   0.085323   0.021359                      D642600200051 
       54.0       11.5   0.262894   0.065752                      D642600200052 
