ENTRY            D8011   20200318                             D126D801100000001 
SUBENT        D8011001   20200318                             D126D801100100001 
BIB                 11         25                                 D801100100002 
TITLE      Spectra of charged particles from the reactions        D801100100003 
            induced by 3He ions (E=23 and 35 MeV) in 57Fe and     D801100100004 
            61Ni                                                  D801100100005 
AUTHOR     (N.T.Burtebaev, A.D.Duisebaev, G.N.Ivanov,             D801100100006 
            V.I.Kanashevich, V.A.Lichman)                         D801100100007 
INSTITUTE  (4KASKAZ)                                              D801100100008 
REFERENCE  (J,BAS,45,(11),134,1981)                               D801100100009 
           (J,IZV,45,2176,1981) Russian original                  D801100100010 
REL-REF    (M,,N.T.Burtebaev+,J,IZK,,(2),65,1975)                 D801100100011 
            Experimental procedures                               D801100100012 
FACILITY   (ISOCY,4KASKAZ)                                        D801100100013 
SAMPLE     Self-supporting foils of 57Fe (1.9 mg/cm2 thick) and   D801100100014 
            61Ni (1.45 mg/cm2 thick)                              D801100100015 
METHOD     (EDE)                                                  D801100100016 
DETECTOR   Energy resolution is 1-2%.                             D801100100017 
           (TELES,SILI,SILI) dE detector (18 and 100 um thick)    D801100100018 
            and E detector (1 to 3.5 mm thick) for helion and     D801100100019 
            alpha detection                                       D801100100020 
           (TELES,SI,CSICR) Si dE detector (100 um thick) and     D801100100021 
            CsI(Tl) E detector for proton and deuteron detection  D801100100022 
ERR-ANALYS The statistical uncertainty is much smaller than       D801100100023 
            systematic uncertainty                                D801100100024 
           (ERR-SYS) Systematic uncertainty (11%)                 D801100100025 
HISTORY    (20200317R) On. Data received from T.Zholdybaev.       D801100100026 
           (20200318C) On+TZ                                      D801100100027 
ENDBIB              25          0                                 D801100100028 
COMMON               1          3                                 D801100100029 
ERR-SYS                                                           D801100100030 
PER-CENT                                                          D801100100031 
 11.                                                              D801100100032 
ENDCOMMON            3          0                                 D801100100033 
ENDSUBENT           32          0                                 D801100199999 
SUBENT        D8011002   20200318                             D126D801100200001 
BIB                  3          3                                 D801100200002 
REACTION   (26-FE-57(HE3,X)1-H-1,,DA/DE)                          D801100200003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty D801100200004 
STATUS     (TABLE) Data from laboratory logbooks                  D801100200005 
ENDBIB               3          0                                 D801100200006 
NOCOMMON             0          0                                 D801100200007 
DATA                 5        787                                 D801100200008 
EN         ANG        E          DATA       DATA-ERR              D801100200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D801100200010 
 23.         30.        3.25      5.0633E+00  6.417E-01           D801100200011 
 23.         30.        3.75      7.3217E+00  8.924E-01           D801100200012 
 23.         30.        4.25      1.0106E+01  1.200E+00           D801100200013 
 23.         30.        4.75      1.1107E+01  1.310E+00           D801100200014 
 23.         30.        5.25      1.2368E+01  1.449E+00           D801100200015 
 23.         30.        5.75      1.2788E+01  1.496E+00           D801100200016 
 23.         30.        6.25      1.3289E+01  1.551E+00           D801100200017 
 23.         30.        6.75      1.2968E+01  1.515E+00           D801100200018 
 23.         30.        7.25      1.3749E+01  1.601E+00           D801100200019 
 23.         30.        7.75      1.3529E+01  1.577E+00           D801100200020 
 23.         30.        8.25      1.2508E+00  1.465E+00           D801100200021 
 23.         30.        8.75      1.3449E+01  1.568E+00           D801100200022 
 23.         30.        9.25      1.1968E+01  1.405E+00           D801100200023 
 23.         30.        9.75      1.2248E+01  1.436E+00           D801100200024 
 23.         30.       10.25      1.1608E+01  1.365E+00           D801100200025 
 23.         30.       10.75      1.0207E+01  1.211E+00           D801100200026 
 23.         30.       11.25      9.1659E+00  1.896E+00           D801100200027 
 23.         30.       11.75      1.0247E+01  1.215E+00           D801100200028 
 23.         30.       12.25      7.7850E+00  9.433E-01           D801100200029 
 23.         30.       12.75      7.2847E+00  8.880E-01           D801100200030 
 23.         30.       13.25      6.9645E+00  8.525E-01           D801100200031 
 23.         30.       13.75      5.8037E+00  7.239E-01           D801100200032 
 23.         30.       14.25      5.0633E+00  6.417E-01           D801100200033 
 23.         30.       14.75      4.0026E+00  5.236E-01           D801100200034 
 23.         30.       15.25      3.8225E+00  5.034E-01           D801100200035 
 23.         30.       15.75      3.9025E+00  5.124E-01           D801100200036 
 23.         30.       16.25      2.6617E+00  3.729E-01           D801100200037 
 23.         30.       16.75      2.5417E+00  3.593E-01           D801100200038 
 23.         30.       17.25      2.4816E+00  3.525E-01           D801100200039 
 23.         30.       17.75      2.1614E+00  3.160E-01           D801100200040 
 23.         30.       18.25      1.5610E+00  2.465E-01           D801100200041 
 23.         30.       18.75      1.6010E+00  2.512E-01           D801100200042 
 23.         30.       19.25      1.3609E+00  2.229E-01           D801100200043 
 23.         30.       19.75      1.1207E+00  1.940E-01           D801100200044 
