ENTRY            D8030   20210204                             D130D803000000001 
SUBENT        D8030001   20210204                             D130D803000100001 
BIB                  9         18                                 D803000100002 
TITLE      Continuous spectra of light charged particles from     D803000100003 
           interaction of 30 MeV energy protons with cooper       D803000100004 
AUTHOR     (T.Zholdybayev, Zh.Mukan, B.M.Sadykov, B.A.Duisebayev, D803000100005 
            Maulen Nassurlla, K.M.Ismailov, Y.Kucuk)              D803000100006 
INSTITUTE  (4KASKAZ,4KASAFU,4KASATN,4KASNZR)                      D803000100007 
           (2TUKTUK) Akdeniz University, Antalya                  D803000100008 
REFERENCE  (J,EPJ/CS,239,01033,2020)                              D803000100009 
SAMPLE     Self-supporting foil of natural Cu (3.5 mg/cm2 thick)  D803000100010 
METHOD     (EDE,BCINT)                                            D803000100011 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D803000100012 
ERR-ANALYS The total uncertainty is given in data tables.         D803000100013 
           (ERR-SYS,,10.) Total systematic uncertainty   (<10%)   D803000100014 
           (ERR-1) Determination of target thickness       (5%)   D803000100015 
           (ERR-2) Calibration of the current integrator   (1%)   D803000100016 
           (ERR-3) Solid angle of the spectrometer       (1.3%)   D803000100017 
           (ERR-4) Beam energy                           (1.2%)   D803000100018 
           (ERR-5) Registration angle                    (0.5%)   D803000100019 
HISTORY    (20210119C) Zholdybayev                                D803000100020 
ENDBIB              18          0                                 D803000100021 
COMMON               6          3                                 D803000100022 
EN         ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      D803000100023 
MEV        PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   D803000100024 
 30.        5.         1.         1.3        1.2        0.5       D803000100025 
ENDCOMMON            3          0                                 D803000100026 
ENDSUBENT           25          0                                 D803000199999 
SUBENT        D8030002   20210204                             D130D803000200001 
BIB                  4          6                                 D803000200002 
REACTION   (29-CU-0(P,X)1-H-1,,DA/DE)                             D803000200003 
DETECTOR   (TELES,SI,CSICR) 100 um thick Si dE detector and       D803000200004 
            2.5 cm thick CsI E detector                           D803000200005 
ERR-ANALYS (ERR-T) Total uncertainty                              D803000200006 
STATUS     (TABLE) Data received from T.Zholdybayev (not plotted  D803000200007 
                   in reference)                                  D803000200008 
ENDBIB               6          0                                 D803000200009 
COMMON               1          3                                 D803000200010 
ANG-ERR                                                           D803000200011 
ADEG                                                              D803000200012 
 0.5                                                              D803000200013 
ENDCOMMON            3          0                                 D803000200014 
DATA                 4        362                                 D803000200015 
ANG        E-CM       DATA-CM    ERR-T                            D803000200016 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        D803000200017 
        30.        5.6      8.136     0.8832                      D803000200018 
        30.        6.1      9.879      1.060                      D803000200019 
        30.        6.6      8.983      0.969                      D803000200020 
        30.        7.1      8.007     0.8703                      D803000200021 
        30.        7.6      7.297     0.7986                      D803000200022 
        30.        8.1      6.408     0.7085                      D803000200023 
        30.        8.6      6.188     0.6863                      D803000200024 
        30.        9.0      5.427     0.6092                      D803000200025 
        30.        9.5      4.570     0.5222                      D803000200026 
        30.       10.0      5.078     0.5739                      D803000200027 
        30.       10.5      4.735      0.539                      D803000200028 
        30.       11.0      3.925     0.4567                      D803000200029 
        30.       11.5      3.821     0.4461                      D803000200030 
        30.       12.0      3.645     0.4281                      D803000200031 
        30.       12.5       4.01     0.4654                      D803000200032 
        30.       13.0      3.761      0.440                      D803000200033 
        30.       13.4      3.856     0.4497                      D803000200034 
        30.       13.9      3.948     0.4591                      D803000200035 
        30.       14.4      3.142     0.3768                      D803000200036 
        30.       14.9      3.642      0.428                      D803000200037 
        30.       15.4      3.114      0.374                      D803000200038 
        30.       15.9      3.514     0.4149                      D803000200039 
        30.       16.4      3.483     0.4117                      D803000200040 
        30.       16.9      3.268     0.3898                      D803000200041 
        30.       17.4      3.479     0.4114                      D803000200042 
        30.       17.9      2.978     0.3601                      D803000200043 
        30.       18.3      3.366     0.3998                      D803000200044 
        30.       18.8      3.230      0.386                      D803000200045 
        30.       19.3      3.044      0.367                      D803000200046 
        30.       19.8      2.961      0.358                      D803000200047 
        30.       20.3      2.568      0.318                      D803000200048 
        30.       20.8      3.097      0.372                      D803000200049 
        30.       21.3      3.397      0.403                      D803000200050 
        30.       21.8      3.722      0.436                      D803000200051 
        30.       22.3      3.990      0.464                      D803000200052 
        30.       22.8      3.964      0.461                      D803000200053 
        30.       23.3      3.724      0.437                      D803000200054 
        30.       23.8      3.559      0.420                      D803000200055 
        30.       24.2      3.718      0.436                      D803000200056 
        30.       24.7      3.959      0.461                      D803000200057 
        30.       25.2      4.022      0.467                      D803000200058 
        30.       25.7      4.247      0.490                      D803000200059 
        30.       26.2      4.123      0.477                      D803000200060 
        30.       26.7      4.352      0.501                      D803000200061 
        30.       27.2      6.489      0.717                      D803000200062 
        30.       27.7      15.10      1.588                      D803000200063 
        30.       28.2      40.11      4.112                      D803000200064 
        30.       28.7      63.60      6.481                      D803000200065 
        30.       29.2      52.56      5.368                      D803000200066 
        30.       29.7      26.10      2.698                      D803000200067 
        30.       30.2       7.37      0.807                      D803000200068 
        45.        5.2      11.92      1.452                      D803000200069 
        45.        5.7      11.80      1.441                      D803000200070 
        45.        6.2      9.235      1.176                      D803000200071 
        45.        6.7      8.589      1.109                      D803000200072 
        45.        7.2      8.467      1.096                      D803000200073 
        45.        7.7      7.305      0.975                      D803000200074 
        45.        8.1      5.632      0.798                      D803000200075 
        45.        8.6      5.649      0.800                      D803000200076 
        45.        9.1      4.628      0.690                      D803000200077 
        45.        9.6       3.93      0.614                      D803000200078 
        45.       10.1      4.404      0.666                      D803000200079 
        45.       10.6       3.79      0.598                      D803000200080 
        45.       11.1      3.326      0.546                      D803000200081 
        45.       11.6      3.331      0.547                      D803000200082 
        45.       12.1      3.278      0.541                      D803000200083 
        45.       12.6      3.214      0.534                      D803000200084 
        45.       13.1      3.469      0.563                      D803000200085 
        45.       13.5      3.618      0.580                      D803000200086 
        45.       14.0      3.306      0.545                      D803000200087 
        45.       14.5       3.80      0.600                      D803000200088 
        45.       15.0      2.939      0.503                      D803000200089 
        45.       15.5      2.407      0.440                      D803000200090 
        45.       16.0      2.343      0.433                      D803000200091 
        45.       16.5      2.272      0.424                      D803000200092 
        45.       17.0      2.084      0.401                      D803000200093 
        45.       17.5       2.63      0.467                      D803000200094 
        45.       18.0      2.385      0.438                      D803000200095 
        45.       18.5      2.384      0.438                      D803000200096 
        45.       19.0      2.074      0.400                      D803000200097 
        45.       19.5      2.547      0.457                      D803000200098 
        45.       19.9      1.818      0.368                      D803000200099 
        45.       20.4      1.906      0.380                      D803000200100 
        45.       20.9      1.938      0.384                      D803000200101 
        45.       21.4      2.617      0.466                      D803000200102 
        45.       21.9      2.329      0.431                      D803000200103 
        45.       22.4      2.584      0.462                      D803000200104 
        45.       22.9      2.487      0.450                      D803000200105 
        45.       23.4       2.57      0.460                      D803000200106 
        45.       23.9      2.292      0.427                      D803000200107 
        45.       24.4      2.622      0.466                      D803000200108 
        45.       24.9      2.277      0.425                      D803000200109 
        45.       25.4      2.847      0.493                      D803000200110 
        45.       25.9      2.798      0.487                      D803000200111 
        45.       26.4      2.317      0.430                      D803000200112 
        45.       26.9      2.618      0.466                      D803000200113 
        45.       27.4      2.893      0.498                      D803000200114 
        45.       27.8       6.40      0.882                      D803000200115 
        45.       28.3      15.80      1.853                      D803000200116 
        45.       28.8      42.69      4.581                      D803000200117 
        45.       29.3      63.52      6.687                      D803000200118 
        45.       29.8      34.77      3.780                      D803000200119 
        45.       30.3      7.136      0.960                      D803000200120 
        60.        5.3      10.91      1.165                      D803000200121 
        60.        5.8      11.73      1.249                      D803000200122 
        60.        6.3      10.76      1.150                      D803000200123 
        60.        6.8      8.169      0.889                      D803000200124 
        60.        7.3      7.466      0.818                      D803000200125 
        60.        7.8      6.725      0.743                      D803000200126 
        60.        8.3      5.792      0.648                      D803000200127 
        60.        8.7      5.283      0.597                      D803000200128 
        60.        9.2       4.09      0.475                      D803000200129 
        60.        9.7      3.886      0.454                      D803000200130 
        60.       10.2      3.274      0.392                      D803000200131 
        60.       10.7      3.251      0.390                      D803000200132 
        60.       11.2       2.89      0.353                      D803000200133 
        60.       11.7      3.233      0.388                      D803000200134 
        60.       12.2      2.319      0.294                      D803000200135 
        60.       12.7      2.121      0.273                      D803000200136 
        60.       13.2      2.445      0.307                      D803000200137 
        60.       13.7      2.193      0.281                      D803000200138 
        60.       14.2      2.015      0.262                      D803000200139 
        60.       14.7      2.065      0.268                      D803000200140 
        60.       15.2      2.085      0.270                      D803000200141 
        60.       15.7       1.86      0.246                      D803000200142 
        60.       16.2      1.751      0.235                      D803000200143 
        60.       16.6      1.867      0.247                      D803000200144 
        60.       17.1      1.544      0.213                      D803000200145 
        60.       17.6       1.46      0.204                      D803000200146 
        60.       18.1      1.743      0.234                      D803000200147 
        60.       18.6      1.331      0.190                      D803000200148 
        60.       19.1      1.428      0.201                      D803000200149 
        60.       19.6      1.332      0.190                      D803000200150 
        60.       20.1      1.339      0.191                      D803000200151 
        60.       20.6      1.425      0.200                      D803000200152 
        60.       21.1      1.343      0.192                      D803000200153 
        60.       21.6       1.61      0.220                      D803000200154 
        60.       22.1      1.557      0.214                      D803000200155 
        60.       22.6      1.695      0.229                      D803000200156 
        60.       23.1      1.435      0.201                      D803000200157 
        60.       23.6       1.41      0.199                      D803000200158 
        60.       24.1      1.624      0.222                      D803000200159 
        60.       24.6      1.694      0.229                      D803000200160 
        60.       25.1      1.648      0.224                      D803000200161 
        60.       25.6      1.848      0.245                      D803000200162 
        60.       26.1      1.817      0.242                      D803000200163 
        60.       26.6      2.035      0.265                      D803000200164 
        60.       27.0      2.512      0.314                      D803000200165 
        60.       27.5      3.205      0.385                      D803000200166 
        60.       28.0      3.975      0.464                      D803000200167 
        60.       28.5      4.914      0.559                      D803000200168 
        60.       29.0      7.245      0.796                      D803000200169 
        60.       29.5      6.682      0.739                      D803000200170 
        60.       30.0      2.966      0.361                      D803000200171 
        75.        4.9      12.50      1.316                      D803000200172 
        75.        5.4      12.07      1.273                      D803000200173 
        75.        5.9      11.97      1.263                      D803000200174 
        75.        6.4      9.798      1.043                      D803000200175 
        75.        6.9      8.435      0.906                      D803000200176 
        75.        7.4      7.947      0.856                      D803000200177 
        75.        7.9      6.297      0.690                      D803000200178 
        75.        8.4      5.465      0.605                      D803000200179 
        75.        8.9      4.575      0.515                      D803000200180 
        75.        9.4      4.031      0.460                      D803000200181 
        75.        9.9       3.22      0.377                      D803000200182 
        75.       10.4       2.97      0.352                      D803000200183 
        75.       10.9      2.852      0.340                      D803000200184 
        75.       11.4      2.713      0.325                      D803000200185 
        75.       11.9      2.275      0.281                      D803000200186 
        75.       12.3      2.297      0.283                      D803000200187 
        75.       12.8      2.145      0.267                      D803000200188 
        75.       13.3      1.989      0.251                      D803000200189 
        75.       13.8      1.998      0.252                      D803000200190 
        75.       14.3      1.642      0.215                      D803000200191 
        75.       14.8      1.562      0.207                      D803000200192 
        75.       15.3      1.635      0.214                      D803000200193 
        75.       15.8      1.622      0.213                      D803000200194 
        75.       16.3      1.313      0.181                      D803000200195 
        75.       16.8      1.418      0.192                      D803000200196 
        75.       17.3      1.268      0.176                      D803000200197 
        75.       17.8      1.231      0.172                      D803000200198 
        75.       18.3      1.254      0.174                      D803000200199 
        75.       18.8      1.286      0.178                      D803000200200 
        75.       19.3      1.217      0.170                      D803000200201 
        75.       19.8      1.241      0.173                      D803000200202 
        75.       20.3      1.269      0.176                      D803000200203 
        75.       20.8      0.972      0.144                      D803000200204 
        75.       21.3      1.137      0.162                      D803000200205 
        75.       21.8      1.133      0.161                      D803000200206 
        75.       22.3      1.189      0.167                      D803000200207 
        75.       22.8      1.279      0.177                      D803000200208 
        75.       23.3      1.125      0.161                      D803000200209 
        75.       23.8      0.928      0.139                      D803000200210 
        75.       24.3      0.984      0.145                      D803000200211 
        75.       24.8      1.219      0.171                      D803000200212 
        75.       25.3      1.216      0.170                      D803000200213 
        75.       25.8      1.346      0.184                      D803000200214 
        75.       26.3      1.158      0.164                      D803000200215 
        75.       26.8       1.27      0.176                      D803000200216 
        75.       27.3      1.238      0.173                      D803000200217 
        75.       27.8      1.764      0.228                      D803000200218 
        75.       28.3       3.83      0.440                      D803000200219 
        75.       28.8      9.004      0.963                      D803000200220 
        75.       29.3      10.20      1.084                      D803000200221 
        75.       29.8      6.206      0.681                      D803000200222 
        75.       30.3      2.263      0.279                      D803000200223 
        75.       30.8      0.952      0.142                      D803000200224 
        90.        5.0      9.547      1.006                      D803000200225 
        90.        5.5      9.594      1.011                      D803000200226 
        90.        6.0      8.403      0.891                      D803000200227 
        90.        6.5      6.958      0.745                      D803000200228 
        90.        7.0       6.09      0.657                      D803000200229 
        90.        7.5      4.967      0.544                      D803000200230 
        90.        8.0      4.304      0.476                      D803000200231 
        90.        8.5      3.654      0.411                      D803000200232 
        90.        9.0      3.106      0.355                      D803000200233 
        90.        9.5      2.889      0.333                      D803000200234 
        90.       10.0      2.227      0.265                      D803000200235 
        90.       10.5      2.154      0.258                      D803000200236 
        90.       11.0      1.786      0.220                      D803000200237 
        90.       11.5      1.657      0.207                      D803000200238 
        90.       12.0      1.582      0.199                      D803000200239 
        90.       12.5      1.436      0.184                      D803000200240 
        90.       13.0      1.384      0.179                      D803000200241 
        90.       13.5      1.357      0.176                      D803000200242 
        90.       14.0       1.07      0.146                      D803000200243 
        90.       14.5     0.9567      0.134                      D803000200244 
        90.       15.0      1.096      0.148                      D803000200245 
        90.       15.5      1.102      0.149                      D803000200246 
        90.       16.0     0.8374      0.121                      D803000200247 
        90.       16.5     0.6338      0.099                      D803000200248 
        90.       17.0     0.7901      0.116                      D803000200249 
        90.       17.5     0.9377      0.132                      D803000200250 
        90.       18.0     0.7179      0.108                      D803000200251 
        90.       18.5     0.6764      0.104                      D803000200252 
        90.       19.0     0.6471      0.100                      D803000200253 
        90.       19.5     0.6834      0.104                      D803000200254 
        90.       20.0     0.6038      0.095                      D803000200255 
        90.       20.5     0.6766      0.104                      D803000200256 
        90.       21.0     0.6543      0.101                      D803000200257 
        90.       21.5     0.6707      0.103                      D803000200258 
        90.       22.0     0.6333      0.099                      D803000200259 
        90.       22.5     0.4488      0.078                      D803000200260 
        90.       23.0     0.5588      0.090                      D803000200261 
        90.       23.5     0.7636      0.113                      D803000200262 
        90.       24.0     0.6042      0.095                      D803000200263 
        90.       24.5     0.6431      0.100                      D803000200264 
        90.       25.0     0.6074      0.096                      D803000200265 
        90.       25.5     0.6167      0.097                      D803000200266 
        90.       26.0     0.6437      0.100                      D803000200267 
        90.       26.5     0.5249      0.087                      D803000200268 
        90.       27.0     0.7516      0.112                      D803000200269 
        90.       27.5     0.7982      0.117                      D803000200270 
        90.       28.0      1.061      0.145                      D803000200271 
        90.       28.5      1.845      0.226                      D803000200272 
        90.       29.0      1.929      0.235                      D803000200273 
        90.       29.5      1.082      0.147                      D803000200274 
        90.       30.0      0.553      0.090                      D803000200275 
       105.        5.2      10.60      1.084                      D803000200276 
       105.        5.7      10.99      1.123                      D803000200277 
       105.        6.2      9.729      0.996                      D803000200278 
       105.        6.7      8.423      0.865                      D803000200279 
       105.        7.2      7.039      0.725                      D803000200280 
       105.        7.7      5.536      0.573                      D803000200281 
       105.        8.3      4.842      0.503                      D803000200282 
       105.        8.8      3.829      0.401                      D803000200283 
       105.        9.3      3.351      0.353                      D803000200284 
       105.        9.8      2.903      0.307                      D803000200285 
       105.       10.3      2.597      0.277                      D803000200286 
       105.       10.8      2.126      0.229                      D803000200287 
       105.       11.3      1.936      0.210                      D803000200288 
       105.       11.8      1.686      0.184                      D803000200289 
       105.       12.3      1.634      0.179                      D803000200290 
       105.       12.8      1.436      0.159                      D803000200291 
       105.       13.3       1.29      0.144                      D803000200292 
       105.       13.8      1.073      0.122                      D803000200293 
       105.       14.3      1.067      0.122                      D803000200294 
       105.       14.8      1.062      0.121                      D803000200295 
       105.       15.3     0.9639      0.111                      D803000200296 
       105.       15.9      0.781      0.093                      D803000200297 
       105.       16.4     0.7598      0.090                      D803000200298 
       105.       16.9     0.6907      0.083                      D803000200299 
       105.       17.4     0.7097      0.085                      D803000200300 
       105.       17.9     0.6404      0.078                      D803000200301 
       105.       18.4     0.6465      0.079                      D803000200302 
       105.       18.9     0.6778      0.082                      D803000200303 
       105.       19.4      0.570      0.071                      D803000200304 
       105.       19.9     0.5798      0.072                      D803000200305 
       105.       20.4     0.5403      0.068                      D803000200306 
       105.       20.9     0.5145      0.065                      D803000200307 
       105.       21.4      0.533      0.067                      D803000200308 
       105.       21.9     0.4812      0.062                      D803000200309 
       105.       22.4     0.4199      0.055                      D803000200310 
       105.       22.9     0.4124      0.055                      D803000200311 
       105.       23.4     0.4068      0.054                      D803000200312 
       105.       23.9     0.3945      0.053                      D803000200313 
       105.       24.4     0.4463      0.058                      D803000200314 
       105.       24.9     0.4502      0.058                      D803000200315 
       105.       25.4     0.4596      0.059                      D803000200316 
       105.       26.0     0.4829      0.062                      D803000200317 
       105.       26.5     0.4745      0.061                      D803000200318 
       105.       27.0     0.4051      0.054                      D803000200319 
       105.       27.5     0.4215      0.055                      D803000200320 
       105.       28.0     0.8218      0.097                      D803000200321 
       105.       28.5      1.521      0.168                      D803000200322 
