ENTRY            D8055   20230309                             D139D805500000001 
SUBENT        D8055001   20230309                             D139D805500100001 
BIB                 10         20                                 D805500100002 
TITLE      Investigation of deutron energy spectra from the       D805500100003 
            (d,xd) reaction on natCu nucleus at a deutron energy  D805500100004 
            of 14.5 MeV                                           D805500100005 
AUTHOR     (T.K.Zholdybayev, Zh.Mukan, B.M.Sadykov,               D805500100006 
            B.A.Duisebayev, A.A.Temirzhanov, V.I.Fettsov)         D805500100007 
INSTITUTE  (4KASKAZ,4KASATN,4KASAAT)                              D805500100008 
           (4KASKAS) Satbayev University, Almaty; Almaty          D805500100009 
            University of Energy and Communications, Almaty       D805500100010 
REFERENCE  (J,APP/B,16,2A-10,2023)                                D805500100011 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D805500100012 
SAMPLE     Self-supporting natural copper (3.5 um)                D805500100013 
METHOD     (EDE,BCINT)                                            D805500100014 
DETECTOR   (TELES,SI,SI)                                          D805500100015 
ERR-ANALYS (DATA-ERR) Uncertainty due to                          D805500100016 
            - counting statistics,                                D805500100017 
            - target thickness,                                   D805500100018 
            - beam energy,                                        D805500100019 
            - solid angle                                         D805500100020 
            - constant of beam integrator                         D805500100021 
HISTORY    (20230227C) Zholdybayev                                D805500100022 
ENDBIB              20          0                                 D805500100023 
COMMON               1          3                                 D805500100024 
EN                                                                D805500100025 
MEV                                                               D805500100026 
 14.5                                                             D805500100027 
ENDCOMMON            3          0                                 D805500100028 
ENDSUBENT           27          0                                 D805500199999 
SUBENT        D8055002   20230309                             D139D805500200001 
BIB                  2          2                                 D805500200002 
REACTION   (29-CU-0(D,X)1-H-2,,DA/DE)                             D805500200003 
STATUS     (TABLE,,T.K.Zholdybayev+,J,APP/B,16,2A-10,2023) Fig.1  D805500200004 
ENDBIB               2          0                                 D805500200005 
NOCOMMON             0          0                                 D805500200006 
DATA                 4        401                                 D805500200007 
ANG        E-CM       DATA-CM    DATA-ERR                         D805500200008 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        D805500200009 
  30.        5.7         2.440    0.254                           D805500200010 
  30.        5.9         2.151    0.225                           D805500200011 
  30.        6.1         1.808    0.191                           D805500200012 
  30.        6.3         1.739    0.184                           D805500200013 
  30.        6.5         1.555    0.165                           D805500200014 
  30.        6.7         1.732    0.183                           D805500200015 
  30.        6.9         1.657    0.175                           D805500200016 
  30.        7.1         1.807    0.191                           D805500200017 
  30.        7.2         1.829    0.193                           D805500200018 
  30.        7.4         1.870    0.197                           D805500200019 
  30.        7.6         1.989    0.209                           D805500200020 
  30.        7.8         2.091    0.219                           D805500200021 
  30.        8.0         2.289    0.239                           D805500200022 
  30.        8.2         2.398    0.250                           D805500200023 
  30.        8.4         2.321    0.242                           D805500200024 
  30.        8.6         2.297    0.240                           D805500200025 
  30.        8.8         2.394    0.250                           D805500200026 
  30.        9.0         2.206    0.231                           D805500200027 
  30.        9.2         2.461    0.256                           D805500200028 
  30.        9.4         2.661    0.276                           D805500200029 
  30.        9.6         2.740    0.284                           D805500200030 
  30.        9.8         2.965    0.307                           D805500200031 
  30.        9.9         3.044    0.315                           D805500200032 
  30.       10.1         2.620    0.272                           D805500200033 
  30.       10.3         2.447    0.255                           D805500200034 
  30.       10.5         2.886    0.299                           D805500200035 
  30.       10.7         3.076    0.318                           D805500200036 
  30.       10.9         2.350    0.245                           D805500200037 
  30.       11.1         2.320    0.242                           D805500200038 
  30.       11.3         2.282    0.238                           D805500200039 
  30.       11.5         2.097    0.220                           D805500200040 
  30.       11.7         2.285    0.239                           D805500200041 
  30.       11.9         3.160    0.327                           D805500200042 
  30.       12.1         3.024    0.313                           D805500200043 
  30.       12.3         2.983    0.278                           D805500200044 
  30.       12.5         2.485    0.309                           D805500200045 
  30.       12.7         3.195    0.259                           D805500200046 
  30.       12.9         4.868    0.330                           D805500200047 
  30.       13.1        16.654    0.498                           D805500200048 
  30.       13.2       352.653    1.683                           D805500200049 
  30.       13.4       274.156    1.452                           D805500200050 
  30.       13.6         4.407    1.570                           D805500200051 
  30.       13.8         0.156    0.052                           D805500200052 
  30.       14.0         0.108    0.023                           D805500200053 
  30.       14.2         0.079    0.018                           D805500200054 
  45.        4.1         0.887    0.102                           D805500200055 
  45.        4.3         0.960    0.109                           D805500200056 
  45.        4.5         0.972    0.110                           D805500200057 
  45.        4.6         0.990    0.112                           D805500200058 
  45.        4.8         1.120    0.125                           D805500200059 
  45.        5.0         1.119    0.125                           D805500200060 
  45.        5.2         1.160    0.130                           D805500200061 
  45.        5.4         1.096    0.123                           D805500200062 
  45.        5.6         1.101    0.123                           D805500200063 
  45.        5.8         1.000    0.113                           D805500200064 
  45.        6.0         1.073    0.121                           D805500200065 
  45.        6.2         0.990    0.112                           D805500200066 
  45.        6.4         1.270    0.141                           D805500200067 
  45.        6.6         1.224    0.136                           D805500200068 
  45.        6.8         1.268    0.140                           D805500200069 
  45.        7.0         1.263    0.140                           D805500200070 
  45.        7.2         1.345    0.148                           D805500200071 
  45.        7.4         1.302    0.144                           D805500200072 
  45.        7.5         1.271    0.141                           D805500200073 
  45.        7.7         1.510    0.165                           D805500200074 
  45.        7.9         1.782    0.192                           D805500200075 
  45.        8.1         1.595    0.173                           D805500200076 
  45.        8.3         1.575    0.171                           D805500200077 
  45.        8.5         1.415    0.155                           D805500200078 
  45.        8.7         1.347    0.148                           D805500200079 
  45.        8.9         1.386    0.152                           D805500200080 
  45.        9.1         1.414    0.155                           D805500200081 
  45.        9.3         1.477    0.162                           D805500200082 
  45.        9.5         1.625    0.177                           D805500200083 
  45.        9.7         1.575    0.171                           D805500200084 
  45.        9.9         1.683    0.182                           D805500200085 
  45.       10.1         1.712    0.185                           D805500200086 
  45.       10.3         1.402    0.154                           D805500200087 
  45.       10.5         1.339    0.148                           D805500200088 
  45.       10.7         1.814    0.196                           D805500200089 
  45.       10.9         1.656    0.180                           D805500200090 
  45.       11.1         1.208    0.134                           D805500200091 
  45.       11.2         1.146    0.128                           D805500200092 
