ENTRY            D8096   20240205                             D142D809600000001 
SUBENT        D8096001   20240205                             D142D809600100001 
BIB                 10         19                                 D809600100002 
TITLE      Proton emission from the interaction of 7 MeV energy   D809600100003 
            protons with 59Co nucleus                             D809600100004 
AUTHOR     (T.K.Zholdybayev, G.A.Ussabayeva, A.A.Temirzhanov,     D809600100005 
            Zh.T.Mukan, B.M.Sadykov, B.A.Duisebayev)              D809600100006 
INSTITUTE  (4KASKAZ,4KASATN)                                      D809600100007 
           (4KASKAS) Asfendiyarov Kazakh National Medical         D809600100008 
            University, Almaty; Satbayev University, Almaty       D809600100009 
REFERENCE  (J,JP/CS,2642,012001,2023)                             D809600100010 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D809600100011 
SAMPLE     59Co metal foils (2.3 mg/cm2 thick)                    D809600100012 
METHOD     (EDE,BCINT)                                            D809600100013 
DETECTOR   (TELES,SI,SI) 25 um thick Si dE detector and 2 mm      D809600100014 
            thick Si E detector                                   D809600100015 
ERR-ANALYS (ERR-T) Total uncertainty                              D809600100016 
           (ERR-1) Determination of target thickness      (5%)    D809600100017 
           (ERR-2) Calibration of the current integrator  (1%)    D809600100018 
           (ERR-3) Solid angle of the spectrometer      (1.3%)    D809600100019 
           (ERR-4) Beam energy                            (1%)    D809600100020 
HISTORY    (20240122C) Zholdybayev                                D809600100021 
ENDBIB              19          0                                 D809600100022 
COMMON               6          3                                 D809600100023 
EN         ANG-ERR    ERR-1      ERR-2      ERR-3      ERR-4      D809600100024 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   D809600100025 
 7.         0.5        5.         1.         1.3        1.        D809600100026 
ENDCOMMON            3          0                                 D809600100027 
ENDSUBENT           26          0                                 D809600199999 
SUBENT        D8096002   20240205                             D142D809600200001 
BIB                  2          3                                 D809600200002 
REACTION   (27-CO-59(P,X)1-H-1,,DA/DE)                            D809600200003 
STATUS     (TABLE,,T.K.Zholdybayev+,J,JP/CS,2642,012001,2023)     D809600200004 
            Fig.1                                                 D809600200005 
ENDBIB               3          0                                 D809600200006 
NOCOMMON             0          0                                 D809600200007 
DATA                 4        249                                 D809600200008 
ANG        E-CM       DATA-CM    ERR-T                            D809600200009 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        D809600200010 
        30.       0.93      0.147       0.02                      D809600200011 
        30.       1.12      0.391       0.05                      D809600200012 
        30.       1.31      0.536       0.07                      D809600200013 
        30.       1.50      0.766       0.09                      D809600200014 
        30.       1.70      0.937       0.11                      D809600200015 
        30.       1.89      1.141       0.13                      D809600200016 
        30.       2.09      2.793       0.29                      D809600200017 
        30.       2.28      2.465       0.26                      D809600200018 
        30.       2.48      2.267       0.24                      D809600200019 
        30.       2.67      2.809        0.3                      D809600200020 
        30.       2.87      4.707       0.49                      D809600200021 
        30.       3.06      9.631       0.98                      D809600200022 
        30.       3.26     11.514       1.17                      D809600200023 
        30.       3.46      4.626       0.48                      D809600200024 
        30.       3.65      4.667       0.48                      D809600200025 
        30.       3.85      4.479       0.46                      D809600200026 
        30.       4.04      3.969       0.41                      D809600200027 
        30.       4.24      4.838        0.5                      D809600200028 
        30.       4.44      5.158       0.53                      D809600200029 
        30.       4.63      6.392       0.66                      D809600200030 
        30.       4.83       6.05       0.62                      D809600200031 
        30.       5.03      6.964       0.72                      D809600200032 
        30.       5.22     10.284       1.05                      D809600200033 
        30.       5.42      11.09       1.13                      D809600200034 
        30.       5.62     11.374       1.16                      D809600200035 
        30.       5.81     10.586       1.08                      D809600200036 
        30.       6.01     11.986       1.22                      D809600200037 
        30.       6.21     14.914       1.52                      D809600200038 
        30.       6.40     37.036       3.75                      D809600200039 
        30.       6.60   1190.991     120.14                      D809600200040 
        30.       6.80    379.189      38.25                      D809600200041 
        30.       6.99      0.278       0.04                      D809600200042 
        30.       7.19       0.02       0.01                      D809600200043 
        45.       0.94      0.091       0.02                      D809600200044 
        45.       1.13      0.242       0.03                      D809600200045 
        45.       1.33       0.33       0.04                      D809600200046 
        45.       1.52      0.472       0.05                      D809600200047 
        45.       1.72      0.577       0.07                      D809600200048 
        45.       1.91      0.703       0.08                      D809600200049 
        45.       2.11       1.72       0.18                      D809600200050 
        45.       2.30      1.518       0.16                      D809600200051 
        45.       2.50      1.396       0.15                      D809600200052 
        45.       2.70      1.729       0.18                      D809600200053 
        45.       2.89      2.896        0.3                      D809600200054 
        45.       3.09      5.928       0.61                      D809600200055 
        45.       3.29      7.086       0.72                      D809600200056 
        45.       3.48      2.846       0.29                      D809600200057 
        45.       3.68      2.871        0.3                      D809600200058 
        45.       3.88      2.755       0.29                      D809600200059 
        45.       4.07      2.441       0.25                      D809600200060 
        45.       4.27      2.974       0.31                      D809600200061 
        45.       4.47      3.173       0.33                      D809600200062 
        45.       4.66      3.931        0.4                      D809600200063 
        45.       4.86      3.719       0.38                      D809600200064 
        45.       5.06      4.282       0.44                      D809600200065 
        45.       5.26      6.324       0.65                      D809600200066 
        45.       5.45       6.82        0.7                      D809600200067 
        45.       5.65      6.991       0.71                      D809600200068 
        45.       5.85      6.509       0.66                      D809600200069 
        45.       6.05      7.369       0.75                      D809600200070 
        45.       6.24      9.167       0.93                      D809600200071 
        45.       6.44     22.766        2.3                      D809600200072 
        45.       6.64    731.982      73.83                      D809600200073 
        45.       6.84    233.063      23.51                      D809600200074 
        45.       7.03      0.171       0.02                      D809600200075 
        60.       0.96      0.381       0.05                      D809600200076 
        60.       1.15      0.823       0.09                      D809600200077 
        60.       1.35      1.244       0.13                      D809600200078 
        60.       1.55      2.792       0.29                      D809600200079 
        60.       1.74      0.914        0.1                      D809600200080 
        60.       1.94      0.909        0.1                      D809600200081 
        60.       2.14      0.818       0.09                      D809600200082 
        60.       2.33      0.589       0.07                      D809600200083 
        60.       2.53      0.668       0.08                      D809600200084 
        60.       2.73      0.841       0.09                      D809600200085 
        60.       2.93      1.039       0.11                      D809600200086 
        60.       3.12      1.177       0.13                      D809600200087 
        60.       3.32      1.097       0.12                      D809600200088 
        60.       3.52      1.413       0.15                      D809600200089 
        60.       3.72      1.577       0.17                      D809600200090 
        60.       3.91       1.33       0.14                      D809600200091 
        60.       4.11      1.251       0.13                      D809600200092 
        60.       4.31      1.287       0.14                      D809600200093 
        60.       4.51      1.862        0.2                      D809600200094 
        60.       4.70      1.428       0.15                      D809600200095 
        60.       4.90      1.596       0.17                      D809600200096 
        60.       5.10       1.78       0.19                      D809600200097 
        60.       5.30      2.549       0.27                      D809600200098 
        60.       5.50      3.288       0.34                      D809600200099 
        60.       5.69      1.832       0.19                      D809600200100 
        60.       5.89      1.834       0.19                      D809600200101 
        60.       6.09      3.047       0.32                      D809600200102 
        60.       6.29      5.689       0.58                      D809600200103 
        60.       6.49     23.653       2.39                      D809600200104 
        60.       6.69    214.865      21.68                      D809600200105 
        60.       6.88      3.783       0.39                      D809600200106 
        60.       7.08      0.006         0.                      D809600200107 
        75.       0.98      0.025       0.01                      D809600200108 
        75.       1.18      0.086       0.01                      D809600200109 
        75.       1.38      0.111       0.02                      D809600200110 
        75.       1.57      0.143       0.02                      D809600200111 
        75.       1.77      0.429       0.05                      D809600200112 
        75.       1.97      0.892        0.1                      D809600200113 
