ENTRY            E0103   20091023                             E060E010300000001 
SUBENT        E0103001   20091023                             E060E010300100001 
BIB                 11         16                                 E010300100002 
TITLE      Study of (d,a) reactions on 94Zr and 96Zr              E010300100003 
AUTHOR     (K.Suzuki, J.Kawa, K.Okada)                            E010300100004 
INSTITUTE  (2JPNOSA) Department of Physics, Faculty of Science    E010300100005 
REFERENCE  (J,NP/A,228,(3),513,197408)                            E010300100006 
PART-DET   (A)                                                    E010300100007 
INC-SOURCE Beam intensity is larger than 0.2 micro-Ampere.        E010300100008 
SAMPLE     - Chemical-form of target: Zirconium oxide             E010300100009 
           - Physical-form of target is solid.                    E010300100010 
           - Backing is 12C.                                      E010300100011 
           - Backing-thickness is 0.050 mg/cm**2.                 E010300100012 
FACILITY   (CYCLO,2JPNOSA)                                        E010300100013 
DETECTOR   Detector resolution is 130 to 150 keV.                 E010300100014 
           (TELES,SIBAR)                                          E010300100015 
ADD-RES    (COMP) 1. DWBA (Distorted wave Born approximation)     E010300100016 
                  2. Optical model                                E010300100017 
HISTORY    (20090812C) Nh                                         E010300100018 
ENDBIB              16          0                                 E010300100019 
COMMON               1          3                                 E010300100020 
EN                                                                E010300100021 
MEV                                                               E010300100022 
 11.5                                                             E010300100023 
ENDCOMMON            3          0                                 E010300100024 
ENDSUBENT           23          0                                 E010300199999 
SUBENT        E0103002   20091023                             E060E010300200001 
BIB                  5          9                                 E010300200002 
REACTION   (40-ZR-94(D,A)39-Y-92,PAR,DA)                          E010300200003 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and alpha    E010300200004 
           (E-LVL,39-Y-92)                                        E010300200005 
SAMPLE     - Target enrichment is 92.1%.                          E010300200006 
           - Target-thickness is 0.109 mg/cm**2.                  E010300200007 
ERR-ANALYS (DATA-ERR) Relative uncertainty due to counting        E010300200008 
                      statistics, subtraction of background and   E010300200009 
                      separation of unresolved levels             E010300200010 
STATUS     (CURVE) Scanned from Fig.2, p518 of reference          E010300200011 
ENDBIB               9          0                                 E010300200012 
NOCOMMON             0          0                                 E010300200013 
DATA                 4        180                                 E010300200014 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         E010300200015 
MEV        ADEG       MU-B/SR    MU-B/SR                          E010300200016 
 0.0         1.958E+01  3.847E+01  6.381E+00                      E010300200017 
 0.0         2.470E+01  4.885E+01  6.160E+00                      E010300200018 
 0.0         2.938E+01  3.904E+01  5.205E+00                      E010300200019 
 0.0         3.422E+01  3.363E+01  4.246E+00                      E010300200020 
 0.0         3.995E+01  2.463E+01  3.031E+00                      E010300200021 
 0.0         4.477E+01  2.331E+01  3.110E+00                      E010300200022 
 0.0         5.005E+01  3.354E+01  3.075E+00                      E010300200023 
 0.0         5.525E+01  2.647E+01                                 E010300200024 
 0.0         5.960E+01  1.879E+01  2.243E+00                      E010300200025 
 0.0         6.466E+01  1.191E+01  1.335E+00                      E010300200026 
 0.0         7.017E+01  1.171E+01  1.399E+00                      E010300200027 
 0.0         7.478E+01  1.440E+01  1.417E+00                      E010300200028 
 0.0         7.976E+01  1.604E+01  1.707E+00                      E010300200029 
 0.0         9.474E+01  5.028E+00  6.004E-01                      E010300200030 
 0.28        2.273E+01  1.728E+01  3.029E+00                      E010300200031 
 0.28        2.712E+01  1.061E+01  2.098E+00                      E010300200032 
 0.28        3.245E+01  1.002E+01  2.271E+00                      E010300200033 
 0.28        3.744E+01  1.148E+01  2.312E+00                      E010300200034 
 0.28        4.286E+01  9.491E+00  1.700E+00                      E010300200035 
 0.28        4.777E+01  1.288E+01  1.634E+00                      E010300200036 
 0.28        5.305E+01  1.032E+01  1.256E+00                      E010300200037 
 0.28        5.809E+01  9.181E+00  1.072E+00                      E010300200038 
 0.28        6.301E+01  8.438E+00  8.975E-01                      E010300200039 
 0.28        6.773E+01  4.212E+00  5.995E-01                      E010300200040 
 0.28        7.248E+01  3.389E+00  4.460E-01                      E010300200041 
 0.28        7.780E+01  4.816E+00  7.859E-01                      E010300200042 
 0.28        8.252E+01  3.568E+00  4.143E-01                      E010300200043 
 0.28        9.819E+01  1.710E+00  2.073E-01                      E010300200044 
 0.44        2.028E+01  1.952E+01  4.204E+00                      E010300200045 
