ENTRY            E1893   20220120                             E133E189300000001 
SUBENT        E1893001   20220120                             E133E189300100001 
BIB                 10         32                                 E189300100002 
TITLE      Measurements of differential thick target neutron      E189300100003 
           yields and 7Be production in the Li, 9Be(d,n)          E189300100004 
           reactions for 25 MeV deuterons                         E189300100005 
AUTHOR     (T.Aoki, M.Hagiwara, M.Baba, M.Sugimoto, T.Miura,      E189300100006 
            N.Kawata, A.Yamadera)                                 E189300100007 
INSTITUTE  (2JPNTOH,2JPNJAE)                                      E189300100008 
REFERENCE  (J,NST,41,399,2004)                                    E189300100009 
           Main reference. See also TITLE and AUTHOR.             E189300100010 
           (C,2004SANTA,,884,2004)                                E189300100011 
           Same Li(d,x)7Be thick target yield given               E189300100012 
           (J,JNM,307-311,1715,2002)                              E189300100013 
           Preliminary report on 7Li(d,xn)                        E189300100014 
INC-SOURCE Beam intensity is less than 5 nA.                      E189300100015 
SAMPLE     - Physical-form of target: Metallic plate              E189300100016 
           - Target-thickness: about 7.5 mm (Li) and about 3 mm   E189300100017 
             (Be) to stop the incident beam within target targets E189300100018 
FACILITY   (ISOCY,2JPNTOH) K=110 MeV AVF cyclotron at Cyclotron   E189300100019 
                           and Radioisotope Center                E189300100020 
DETECTOR   (SCIN) To detect neutron (NE213). Efficiency curves    E189300100021 
                  were obtained by revised version of Monte Carlo E189300100022 
                  Code SCINFUL [J.K.Dickens, ORNL-6436, Oak Ridge E189300100023 
                  National Laboratory, 1988].                     E189300100024 
           (HPGE) To analyze gamma ray from target (EURICIS       E189300100025 
                  MESURESE GPC50-195-R, 50% efficiency).          E189300100026 
                  Efficiency was determined by Monte Carlo Code   E189300100027 
                  EGS4 [W.Nelson et al., SLAC-265, Stanford       E189300100028 
                  University, Stanford, 1985].                    E189300100029 
STATUS     (APRVD) Proofread by Masayuki Hagiwara (2004.05.10)    E189300100030 
HISTORY    (20040508C) Kc + On                                    E189300100031 
           (20200707U) Tada. Secondary reference add. Reference   E189300100032 
                       modified.                                  E189300100033 
           (20220119A) On. Major revisions in 002-022.            E189300100034 
ENDBIB              32          0                                 E189300100035 
NOCOMMON             0          0                                 E189300100036 
ENDSUBENT           35          0                                 E189300199999 
SUBENT        E1893002   20220120                             E133E189300200001 
BIB                  5         12                                 E189300200002 
REACTION   (3-LI-0(D,X)0-NN-1,,PY/DA/DE,,TT/CH)                   E189300200003 
METHOD     (TOF) Flight path of 44 m at most                      E189300200004 
           (BCINT) To normalize spectra                           E189300200005 
ERR-ANALYS (ERR-T) Quadratic sum of statistical error, detector   E189300200006 
                   efficiency, and the data correction for        E189300200007 
                   neutron attenuation                            E189300200008 
           (ERR-1) Uncertainty in efficiency                      E189300200009 
STATUS     (TABLE) Plotted in Fig.3 of                            E189300200010 
                   J.Nucl.Sci.Technol.41(2004)399                 E189300200011 
HISTORY    (20040313R) Data received by e-mail from M.Hagiwara    E189300200012 
           (20220119A) On. 002-011 merged into 002. REACTION SF1  E189300200013 
                       corrected.                                 E189300200014 
ENDBIB              12          0                                 E189300200015 
COMMON               2          3                                 E189300200016 
EN         ERR-1                                                  E189300200017 
MEV        PER-CENT                                               E189300200018 
 25.        5.                                                    E189300200019 
ENDCOMMON            3          0                                 E189300200020 
DATA                 4        780                                 E189300200021 
ANG        E          DATA       ERR-T                            E189300200022 
ADEG       MEV        P/MEVMUCSR P/MEVMUCSR                       E189300200023 
         0.  1.000E+00  4.770E+09  3.470E+08                      E189300200024 
         0.  1.100E+00  4.440E+09  3.230E+08                      E189300200025 
         0.  1.200E+00  4.370E+09  3.170E+08                      E189300200026 
         0.  1.300E+00  4.270E+09  3.100E+08                      E189300200027 
         0.  1.400E+00  4.310E+09  3.130E+08                      E189300200028 
         0.  1.500E+00  4.120E+09  2.990E+08                      E189300200029 
         0.  1.600E+00  4.160E+09  3.020E+08                      E189300200030 
         0.  1.700E+00  3.960E+09  2.880E+08                      E189300200031 
         0.  1.800E+00  3.910E+09  2.840E+08                      E189300200032 
         0.  1.900E+00  4.000E+09  2.910E+08                      E189300200033 
         0.  2.000E+00  3.870E+09  2.810E+08                      E189300200034 
         0.  2.100E+00  3.890E+09  2.830E+08                      E189300200035 
         0.  2.200E+00  3.900E+09  2.830E+08                      E189300200036 
         0.  2.300E+00  3.830E+09  2.780E+08                      E189300200037 
         0.  2.400E+00  3.880E+09  2.820E+08                      E189300200038 
         0.  2.500E+00  3.900E+09  2.840E+08                      E189300200039 
         0.  2.600E+00  3.940E+09  2.870E+08                      E189300200040 
         0.  2.700E+00  3.960E+09  2.880E+08                      E189300200041 
         0.  2.800E+00  4.030E+09  2.930E+08                      E189300200042 
         0.  2.900E+00  4.000E+09  2.910E+08                      E189300200043 
         0.  3.000E+00  4.090E+09  2.970E+08                      E189300200044 
         0.  3.100E+00  4.230E+09  3.070E+08                      E189300200045 
         0.  3.200E+00  4.330E+09  3.150E+08                      E189300200046 
         0.  3.300E+00  4.360E+09  3.170E+08                      E189300200047 
         0.  3.400E+00  4.440E+09  3.230E+08                      E189300200048 
         0.  3.500E+00  4.570E+09  3.320E+08                      E189300200049 
         0.  3.600E+00  4.580E+09  3.330E+08                      E189300200050 
         0.  3.700E+00  4.610E+09  3.360E+08                      E189300200051 
         0.  3.800E+00  4.780E+09  3.480E+08                      E189300200052 
         0.  3.900E+00  4.850E+09  3.530E+08                      E189300200053 
         0.  4.000E+00  4.940E+09  3.590E+08                      E189300200054 
         0.  4.100E+00  5.100E+09  3.700E+08                      E189300200055 
         0.  4.200E+00  5.220E+09  3.790E+08                      E189300200056 
         0.  4.300E+00  5.220E+09  3.790E+08                      E189300200057 
         0.  4.400E+00  5.260E+09  3.820E+08                      E189300200058 
         0.  4.500E+00  5.220E+09  3.800E+08                      E189300200059 
         0.  4.600E+00  5.290E+09  3.840E+08                      E189300200060 
         0.  4.700E+00  5.090E+09  3.700E+08                      E189300200061 
         0.  4.800E+00  5.070E+09  3.680E+08                      E189300200062 
         0.  4.900E+00  4.960E+09  3.610E+08                      E189300200063 
         0.  5.000E+00  4.920E+09  3.580E+08                      E189300200064 
         0.  6.000E+00  6.780E+09  4.870E+08                      E189300200065 
         0.  7.000E+00  7.610E+09  5.470E+08                      E189300200066 
         0.  8.000E+00  8.590E+09  6.170E+08                      E189300200067 
         0.  9.000E+00  9.260E+09  6.650E+08                      E189300200068 
         0.  1.000E+01  9.640E+09  6.930E+08                      E189300200069 
         0.  1.100E+01  9.190E+09  6.600E+08                      E189300200070 
