ENTRY            E1985   20130309                             E074E198500000001 
SUBENT        E1985001   20130309                             E074E198500100001 
BIB                 10         23                                 E198500100002 
TITLE      Experimental studies on the neutron emission spectrum  E198500100003 
           and activation cross-section for 40 MeV deuterons in   E198500100004 
           IFMIF accelerator structural elements                  E198500100005 
AUTHOR     (M.Hagiwara, T.Itoga, M.Baba, M.S.Uddin, N.Hirabayashi,E198500100006 
            T.Oishi, T.Yamauchi)                                  E198500100007 
INSTITUTE  (2JPNTOH) Cyclotron and Radioisotope Center            E198500100008 
REFERENCE  (J,JNM,329-333,218,200408)                             E198500100009 
           Proceedings of the 11th International Conference on    E198500100010 
           Fusion Reactor Materials (ICFRM-11)                    E198500100011 
INC-SOURCE Beam intensity is about 5 nA.                          E198500100012 
SAMPLE     - Chemical-form of target is element. Chemical purity  E198500100013 
             is 99.2% for Al and 99.8% for C                      E198500100014 
           - Physical-form of target is solid.                    E198500100015 
           - Target-thickness: Approx. 30 mm x 30 mm x 200        E198500100016 
             micro-meter for each stack                           E198500100017 
METHOD     (STTA) Total thickness (6 mm) is enough to stop the    E198500100018 
                  incident beam.                                  E198500100019 
FACILITY   (ISOCY,2JPNTOH) AVF cyclotron at Cyclotron and         E198500100020 
                           Radioisotope Center                    E198500100021 
STATUS     (APRVD) Proofread by Masayuki Hagiwara (2006.05.31)    E198500100022 
HISTORY    (20060530C) Kc + On                                    E198500100023 
           (20060530R) On. Received by e-mail from M.Hagiwara     E198500100024 
           (20130205A) MA. Reference corrected                    E198500100025 
ENDBIB              23          0                                 E198500100026 
NOCOMMON             0          0                                 E198500100027 
ENDSUBENT           26          0                                 E198500199999 
SUBENT        E1985002   20070208                             E042E198500200001 
BIB                  9         14                                 E198500200002 
REACTION   (6-C-0(D,X)0-NN-1,,TTY/PY/DA/DE)                       E198500200003 
PART-DET   (N)                                                    E198500200004 
EN-SEC     ANG is polar angle between beam and neutron in         E198500200005 
           laboratory system                                      E198500200006 
           (E,N)                                                  E198500200007 
SAMPLE     Target is natural.                                     E198500200008 
METHOD     (TOF) Long (11 m) and short (3.45 m) flight paths      E198500200009 
DETECTOR   (SCIN) To detect emitted neutrons (NE213)              E198500200010 
CORRECTION Data were corrected for the attenuation in the air and E198500200011 
           the wall of a vacuum chamber using the total           E198500200012 
           cross-section data of LA150                            E198500200013 
ERR-ANALYS (ERR-T) Mainly statistical errors                      E198500200014 
STATUS     (TABLE) Data (Fig.2, p220 in reference) received by    E198500200015 
                   e-mail from M.Hagiwara (2006.05.30)            E198500200016 
ENDBIB              14          0                                 E198500200017 
COMMON               1          3                                 E198500200018 
EN                                                                E198500200019 
MEV                                                               E198500200020 
 40.                                                              E198500200021 
ENDCOMMON            3          0                                 E198500200022 
DATA                 4        727                                 E198500200023 
ANG        E          DATA       ERR-T                            E198500200024 
ADEG       MEV        P/MEVMUCSR P/MEVMUCSR                       E198500200025 
 0.         1.          1.338E+09  9.004E+07                      E198500200026 
 0.         1.1         1.498E+09  9.513E+07                      E198500200027 
 0.         1.2         1.287E+09  8.398E+07                      E198500200028 
 0.         1.3         1.280E+09  8.301E+07                      E198500200029 
 0.         1.4         1.354E+09  8.554E+07                      E198500200030 
 0.         1.5         1.432E+09  8.859E+07                      E198500200031 
 0.         1.6         1.328E+09  8.327E+07                      E198500200032 
 0.         1.7         1.420E+09  8.734E+07                      E198500200033 
 0.         1.8         1.396E+09  8.580E+07                      E198500200034 
 0.         1.9         1.483E+09  8.981E+07                      E198500200035 
 0.         2.          1.267E+09  7.915E+07                      E198500200036 
 0.         2.1         1.474E+09  8.915E+07                      E198500200037 
 0.         2.2         1.525E+09  9.151E+07                      E198500200038 
 0.         2.3         1.448E+09  8.763E+07                      E198500200039 
 0.         2.4         1.499E+09  9.009E+07                      E198500200040 
 0.         2.5         1.469E+09  8.869E+07                      E198500200041 
 0.         2.6         1.529E+09  9.165E+07                      E198500200042 
 0.         2.7         1.587E+09  9.450E+07                      E198500200043 
 0.         2.8         1.661E+09  9.824E+07                      E198500200044 
 0.         2.9         1.782E+09  1.045E+08                      E198500200045 
 0.         3.          1.993E+09  1.147E+08                      E198500200046 
 0.         3.1         1.987E+09  1.146E+08                      E198500200047 
 0.         3.2         2.100E+09  1.205E+08                      E198500200048 
 0.         3.3         2.122E+09  1.216E+08                      E198500200049 
 0.         3.4         2.179E+09  1.246E+08                      E198500200050 
 0.         3.5         2.263E+09  1.290E+08                      E198500200051 
 0.         3.6         2.231E+09  1.274E+08                      E198500200052 
 0.         3.7         2.271E+09  1.295E+08                      E198500200053 
 0.         3.8         2.168E+09  1.245E+08                      E198500200054 
 0.         3.9         2.239E+09  1.281E+08                      E198500200055 
 0.         4.          2.182E+09  1.253E+08                      E198500200056 
 0.         4.1         2.038E+09  1.183E+08                      E198500200057 
 0.         4.2         2.004E+09  1.167E+08                      E198500200058 
 0.         4.3         2.120E+09  1.226E+08                      E198500200059 
 0.         4.4         2.076E+09  1.204E+08                      E198500200060 
 0.         4.5         2.020E+09  1.177E+08                      E198500200061 
 0.         4.6         2.039E+09  1.187E+08                      E198500200062 
 0.         4.7         2.031E+09  1.184E+08                      E198500200063 
 0.         4.8         2.058E+09  1.197E+08                      E198500200064 
 0.         4.9         2.157E+09  1.249E+08                      E198500200065 
 0.         5.          2.117E+09  1.078E+08                      E198500200066 
 0.         6.          2.595E+09  1.322E+08                      E198500200067 
 0.         7.          3.163E+09  1.593E+08                      E198500200068 
 0.         8.          3.629E+09  1.826E+08                      E198500200069 
