ENTRY            E2365   20120614                             E069E236500000001 
SUBENT        E2365001   20120614                             E069E236500100001 
BIB                 12         42                                 E236500100002 
TITLE      Deuteron-production double-differential cross sections E236500100003 
           for 300- and 392-MeV proton-induced reactions deduced  E236500100004 
           from experiment and model calculation                  E236500100005 
AUTHOR     (Y.Uozumi, Y.Sawada, A.Mzhavia, S.Nogamine, H.Iwamoto, E236500100006 
            T.Kin, S.Hohara, G.Wakabayashi, M.Nakano)             E236500100007 
INSTITUTE  (2JPNKYU) Department of Applied Quantum Physics and    E236500100008 
                     Nuclear Engineering                          E236500100009 
           (2JPNJAE)                                              E236500100010 
           (2JPNKNK) Atomic Energy Research Institute             E236500100011 
           (2JPNJPN) Junshin Gakuen University                    E236500100012 
REFERENCE  (J,PR/C,84,064617,201112)                              E236500100013 
PART-DET   (D)                                                    E236500100014 
INC-SOURCE Beam intensity is 5 nA.                                E236500100015 
SAMPLE     - Target is natural.                                   E236500100016 
           - Chemical-form of target is element.                  E236500100017 
           - Physical-form of target is solid.                    E236500100018 
FACILITY   (CYCLO,2JPNOSA) Research Centre for Nuclear Physics    E236500100019 
                           (RCNP)                                 E236500100020 
DETECTOR   Calibration: Energy calibration was performed by       E236500100021 
           referring to proton enrgy, which was measured by using E236500100022 
           monoenergetic protons from p-hydrogen elastic          E236500100023 
           scattering off a CH2 film                              E236500100024 
           (SCIN) Each spectrometer consisted of three thin       E236500100025 
                  plastic scintillators and three thick GSO(Ce)   E236500100026 
                  scintillators. The first plastic scintillator,  E236500100027 
                  having 15-mm diameter aperture, served as an    E236500100028 
                  active collimator. The second and third plastic E236500100029 
                  scintillators were delta E detectors 1 and 2 mm E236500100030 
                  in thickness.                                   E236500100031 
ERR-ANALYS (ERR-SYS) The systematic error of DDX has been         E236500100032 
                     estimated to be in total (about 10%)         E236500100033 
           (ERR-1) Uncertainties in the beam current integration  E236500100034 
                   ( 5%)                                          E236500100035 
           (ERR-2,3.,5.) Uncertainties in target thickness beam   E236500100036 
                         (3-5%)                                   E236500100037 
           (ERR-3) Proton-deuteron separation in PI analyses (7%  E236500100038 
                   or less)                                       E236500100039 
ADD-RES    (COMP) Intranuclear cascade model (The INC model is    E236500100040 
                  extended to describe deuteron production, and   E236500100041 
                  its validity is examined. )                     E236500100042 
HISTORY    (20120220C) V.D                                        E236500100043 
           (20120416R) Received by e-mail from Y.Uozumi           E236500100044 
ENDBIB              42          0                                 E236500100045 
COMMON               3          3                                 E236500100046 
ERR-SYS    ERR-1      ERR-3                                       E236500100047 
PER-CENT   PER-CENT   PER-CENT                                    E236500100048 
 10.        5.         7.                                         E236500100049 
ENDCOMMON            3          0                                 E236500100050 
ENDSUBENT           49          0                                 E236500199999 
SUBENT        E2365002   20120614                             E069E236500200001 
BIB                  5          6                                 E236500200002 
REACTION   (6-C-12(P,X)1-H-2,,DA/DE)                              E236500200003 
EN-SEC     ANG is polar angle (lab.) between beam and deuteron    E236500200004 
           (E,D)                                                  E236500200005 
SAMPLE     Target-thickness is 33 mg/cm**2.                       E236500200006 
ERR-ANALYS (ERR-S) Statistical uncertainty                        E236500200007 
STATUS     (TABLE) Plotted in Fig.6 of J,PR/C,84,064617,2011      E236500200008 
ENDBIB               6          0                                 E236500200009 
COMMON               1          3                                 E236500200010 
EN                                                                E236500200011 
MEV                                                               E236500200012 
 300.                                                             E236500200013 
ENDCOMMON            3          0                                 E236500200014 
DATA                 4        109                                 E236500200015 
ANG        E          DATA       ERR-S                            E236500200016 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        E236500200017 
        20.      43.79  6.164E-02   3.52E-03                      E236500200018 
        20.      54.22  5.036E-02   3.11E-03                      E236500200019 
        20.      64.64  5.227E-02   3.19E-03                      E236500200020 
        20.      75.08  5.026E-02   3.14E-03                      E236500200021 
        20.      85.49  4.278E-02   2.92E-03                      E236500200022 
        20.      95.85  3.892E-02   2.81E-03                      E236500200023 
        20.      106.2  4.191E-02   2.93E-03                      E236500200024 
        20.      116.4  3.543E-02   2.71E-03                      E236500200025 
        20.      126.7  3.684E-02   2.80E-03                      E236500200026 
        20.      136.9  2.898E-02   2.65E-03                      E236500200027 
        20.      147.1  3.529E-02   2.79E-03                      E236500200028 
        20.      167.6  3.668E-02   2.89E-03                      E236500200029 
        20.      177.8  3.828E-02   3.01E-03                      E236500200030 
        20.       188.  4.754E-02   3.38E-03                      E236500200031 
        20.      198.2  4.608E-02   3.37E-03                      E236500200032 
        20.      208.4  4.389E-02   3.52E-03                      E236500200033 
        20.      218.6  6.229E-02   4.01E-03                      E236500200034 
        20.      228.8  4.455E-02   4.23E-03                      E236500200035 
        20.       239.  5.567E-02   4.36E-03                      E236500200036 
        20.      249.3  3.473E-02   3.54E-03                      E236500200037 
        20.      259.6  1.758E-02   3.18E-03                      E236500200038 
        20.      269.9  9.318E-03   2.38E-03                      E236500200039 
        20.      280.2  7.989E-03   2.24E-03                      E236500200040 
        30.      43.79  6.394E-02   3.19E-03                      E236500200041 
        30.      54.22  5.794E-02   3.05E-03                      E236500200042 
        30.      64.64  5.068E-02   2.87E-03                      E236500200043 
        30.      75.08  4.910E-02   2.83E-03                      E236500200044 
        30.      85.49  5.197E-02   2.92E-03                      E236500200045 
        30.      95.85  4.072E-02   2.61E-03                      E236500200046 
        30.      106.2  4.876E-02   2.87E-03                      E236500200047 
        30.      116.4  3.607E-02   2.47E-03                      E236500200048 
        30.      126.7  3.739E-02   2.55E-03                      E236500200049 
        30.      136.9  3.374E-02   2.43E-03                      E236500200050 
        30.      147.1  3.095E-02   2.36E-03                      E236500200051 
        30.      167.6  3.421E-02   2.53E-03                      E236500200052 
        30.      177.8  3.061E-02   2.42E-03                      E236500200053 
        30.       188.  3.139E-02   2.48E-03                      E236500200054 
        30.      198.2  2.331E-02   2.37E-03                      E236500200055 
        30.      208.4  2.290E-02   2.38E-03                      E236500200056 
        30.      218.6  2.177E-02   2.35E-03                      E236500200057 
        30.      228.8  1.277E-02   2.05E-03                      E236500200058 
        30.       239.  1.045E-02   1.88E-03                      E236500200059 
        30.      249.3  8.831E-03   1.76E-03                      E236500200060 
        30.      259.6  5.816E-03   1.45E-03                      E236500200061 
        45.      43.79  5.472E-02   1.82E-03                      E236500200062 
        45.      54.22  5.105E-02   1.77E-03                      E236500200063 
        45.      64.64  5.214E-02   1.80E-03                      E236500200064 
        45.      75.08  4.543E-02   1.68E-03                      E236500200065 
        45.      85.49  4.431E-02   1.67E-03                      E236500200066 
        45.      95.85  3.949E-02   1.59E-03                      E236500200067 
        45.      106.2  3.468E-02   1.49E-03                      E236500200068 
        45.      116.4  3.158E-02   1.43E-03                      E236500200069 
        45.      126.7  3.510E-02   1.52E-03                      E236500200070 
        45.      136.9  2.159E-02   1.20E-03                      E236500200071 
        45.      147.1  2.040E-02   1.18E-03                      E236500200072 
        45.      167.6  1.494E-02   1.03E-03                      E236500200073 
