ENTRY            F0070   20200427                             F078F0070  0    1 
SUBENT        F0070001   20200427                             F078F0070  1    1 
BIB                  8         14                                 F0070  1    2 
TITLE      Interpretation of the anomalous enhancement in the     F0070  1    3 
           neutron angular distribution of 0.19 MeV               F0070  1    4 
           7Li(d,n1)8Be(*) in back angle region                   F0070  1    5 
AUTHOR     (Dai Nengxiong,Qi Bujia,Mao Yajun,Zhuang Fei,          F0070  1    6 
           Yao Jinzhang,Wang Xiozhong)                            F0070  1    7 
INSTITUTE  (3CPRAEP)                                              F0070  1    8 
REFERENCE  (J,CNP,9,103,1987) on Chinese                          F0070  1    9 
FACILITY   (VDG,3CPRAEP)                                          F0070  1   10 
SAMPLE     The targets of Li-7 with thicknesses 20-30 mu-g/cm2    F0070  1   11 
DETECTOR   (SCIN) Stilbene scintillation spectrometer             F0070  1   12 
HISTORY    (19841123C)                                            F0070  1   13 
           (19990407U) CNPD: corrected 4-dig. year and lower casesF0070  1   14 
           (20200427A) SD: Entry updated according to last EXFOR  F0070  1   15 
           rules.                                                 F0070  1   16 
ENDBIB              14          0                                 F0070  1   17 
NOCOMMON             0          0                                 F0070  1   18 
ENDSUBENT           17          0                                 F0070  199999 
SUBENT        F0070002   20200427                             F078F0070  2    1 
BIB                  4          6                                 F0070  2    2 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,DA)                             F0070  2    3 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0070  2    4 
STATUS     (TABLE) Tbl. from Chin.J.Nucl.Phys.,9(1987)103         F0070  2    5 
HISTORY    (20200427A) SD: SF9=EXP deleted from REACTION code.    F0070  2    6 
           STATUS updated. ERR-T -> DATA-ERR. EN-SEC deleted.     F0070  2    7 
           Vector common data formalism excluded.                 F0070  2    8 
ENDBIB               6          0                                 F0070  2    9 
NOCOMMON             0          0                                 F0070  2   10 
DATA                 5         56                                 F0070  2   11 
E-LVL      EN         ANG        DATA       DATA-ERR              F0070  2   12 
MEV        MEV        ADEG       MB/SR      MB/SR                 F0070  2   13 
         0.      0.191        90.      0.040       0.01           F0070  2   14 
         0.      0.191       130.      0.023      0.004           F0070  2   15 
         0.      0.241        90.       0.12       0.03           F0070  2   16 
         0.      0.241       130.       0.07       0.01           F0070  2   17 
         0.      0.292         0.       0.24       0.04           F0070  2   18 
         0.      0.292        20.       0.24       0.04           F0070  2   19 
         0.      0.292        30.       0.24       0.04           F0070  2   20 
         0.      0.292        40.       0.25       0.05           F0070  2   21 
         0.      0.292        60.       0.24       0.04           F0070  2   22 
         0.      0.292        70.       0.18       0.04           F0070  2   23 
         0.      0.292        80.       0.19       0.04           F0070  2   24 
         0.      0.292        90.       0.19       0.03           F0070  2   25 
         0.      0.292       100.       0.16       0.03           F0070  2   26 
         0.      0.292       110.       0.13       0.02           F0070  2   27 
         0.      0.292       115.       0.15       0.02           F0070  2   28 
         0.      0.292       120.       0.14       0.02           F0070  2   29 
         0.      0.292       130.       0.14       0.02           F0070  2   30 
         0.      0.292       140.       0.11       0.02           F0070  2   31 
         0.      0.292       150.       0.10       0.02           F0070  2   32 
         0.      0.343       130.       0.18       0.03           F0070  2   33 
         0.      0.393        90.       0.35       0.09           F0070  2   34 
         0.      0.393       130.       0.21       0.03           F0070  2   35 
         0.      0.416        90.       0.69       0.05           F0070  2   36 
         0.      0.443        90.       0.53       0.09           F0070  2   37 
         0.      0.443       130.       0.30       0.05           F0070  2   38 
         0.      0.494        90.       0.95       0.14           F0070  2   39 
         0.      0.494       130.       0.41       0.08           F0070  2   40 
         0.      0.541       130.       0.57       0.09           F0070  2   41 
       3.04      0.191        90.       0.19       0.04           F0070  2   42 
       3.04      0.191       130.       0.17       0.03           F0070  2   43 
       3.04      0.241        90.       0.46       0.08           F0070  2   44 
       3.04      0.241       130.       0.36       0.05           F0070  2   45 
       3.04      0.292         0.       0.53       0.09           F0070  2   46 
       3.04      0.292        20.       0.56       0.08           F0070  2   47 
       3.04      0.292        30.       0.61       0.09           F0070  2   48 
       3.04      0.292        40.       0.55       0.09           F0070  2   49 
       3.04      0.292        60.       0.58       0.09           F0070  2   50 
       3.04      0.292        70.       0.55       0.10           F0070  2   51 
       3.04      0.292        80.       0.63       0.10           F0070  2   52 
       3.04      0.292        90.       0.65       0.11           F0070  2   53 
       3.04      0.292       100.       0.60       0.10           F0070  2   54 
       3.04      0.292       110.       0.61       0.09           F0070  2   55 
       3.04      0.292       115.       0.67       0.10           F0070  2   56 
       3.04      0.292       120.       0.60       0.09           F0070  2   57 
       3.04      0.292       130.       0.61       0.11           F0070  2   58 
       3.04      0.292       140.       0.59       0.09           F0070  2   59 
       3.04      0.292       150.       0.55       0.08           F0070  2   60 
       3.04      0.343       130.       0.66       0.10           F0070  2   61 
       3.04      0.393        90.       1.29       0.18           F0070  2   62 
       3.04      0.393       130.       1.02       0.15           F0070  2   63 
       3.04      0.416        90.       1.68       0.27           F0070  2   64 
       3.04      0.443        90.       1.71       0.26           F0070  2   65 
       3.04      0.443       130.       1.16       0.17           F0070  2   66 
       3.04      0.494        90.       2.34       0.34           F0070  2   67 
       3.04      0.494       130.       1.75       0.27           F0070  2   68 
       3.04      0.541       130.       2.17       0.32           F0070  2   69 
ENDDATA             58          0                                 F0070  2   70 
ENDSUBENT           69          0                                 F0070  299999 
ENDENTRY             2          0                                 F007099999999 
