ENTRY            F0096   20030513                             0000F009600000001 
SUBENT        F0096001   20030513                             0000F009600100001 
BIB                  8          8                                 F009600100002 
TITLE      Angular distributions of the 9Be(d,n)10B neutrons      F009600100003 
AUTHOR     (G.C.MORRISON,A.T.G.FERGUSON,J.E.EVANS)                F009600100004 
INSTITUTE  (2UK HAR,1USAMTR)                                      F009600100005 
REFERENCE  (C,61MANCH,,575,1961)                                  F009600100006 
METHOD     (TOF)                                                  F009600100007 
FACILITY   (VDG,2UK HAR)                                          F009600100008 
DETECTOR   Time-of-flight neutron spectrometer                    F009600100009 
HISTORY    (19830822C)                                            F009600100010 
ENDBIB               8          0                                 F009600100011 
NOCOMMON             0          0                                 F009600100012 
ENDSUBENT           11          0                                 F009600199999 
SUBENT        F0096002   20030513                             0000F009600200001 
BIB                  4          5                                 F009600200002 
REACTION   (4-BE-9(D,N)5-B-10,PAR,DA,,REL,EXP)                    F009600200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F009600200004 
           (DATA-ERR) Digitizing error                            F009600200005 
STATUS     (CURVE) fig. 1                                         F009600200006 
EN-SEC     (E-LVL,5-B-10)                                         F009600200007 
ENDBIB               5          0                                 F009600200008 
COMMON               2          3                                 F009600200009 
ANG-ERR    DATA-ERR                                               F009600200010 
ADEG       ARB-UNITS                                              F009600200011 
 1.          5.0                                                  F009600200012 
ENDCOMMON            3          0                                 F009600200013 
DATA                 4        170                                 F009600200014 
EN         E-LVL      ANG-CM     DATA-CM                          F009600200015 
MEV        MEV        ADEG       ARB-UNITS                        F009600200016 
  2.000      0.000      12.51      201.6                          F009600200017 
  2.000      0.000      17.46      186.0                          F009600200018 
  2.000      0.000      21.57      212.7                          F009600200019 
  2.000      0.000      27.47      209.2                          F009600200020 
  2.000      0.000      37.66      231.1                          F009600200021 
  2.000      0.000      63.91      164.7                          F009600200022 
  2.000      0.000      74.56      139.6                          F009600200023 
  2.000      0.000      94.83      132.3                          F009600200024 
  2.000      0.000      104.7      153.5                          F009600200025 
  2.000      0.000      114.7      178.7                          F009600200026 
  2.000      0.000      119.7      186.6                          F009600200027 
  2.000      0.000      124.5      198.5                          F009600200028 
  2.000      0.000      134.3      205.0                          F009600200029 
  2.000      0.000      152.5      185.7                          F009600200030 
  2.000      0.000      162.1      179.4                          F009600200031 
  2.000     0.7200      12.68      194.9                          F009600200032 
  2.000     0.7200      17.35      222.2                          F009600200033 
  2.000     0.7200      21.63      237.5                          F009600200034 
  2.000     0.7200      27.94      255.5                          F009600200035 
  2.000     0.7200      33.54      288.8                          F009600200036 
  2.000     0.7200      38.48      269.3                          F009600200037 
  2.000     0.7200      43.50      289.2                          F009600200038 
  2.000     0.7200      48.73      228.1                          F009600200039 
  2.000     0.7200      53.84      203.8                          F009600200040 
  2.000     0.7200      59.07      234.5                          F009600200041 
  2.000     0.7200      64.19      210.2                          F009600200042 
