ENTRY            F0098   19990409                             0000F009800000001 
SUBENT        F0098001   19990409                             0000F009800100001 
BIB                  8         10                                 F009800100002 
TITLE      The excited states of 10B                              F009800100003 
AUTHOR     (A.A.FIFE,G.C.NEILSON,W.K.DAWSON)                      F009800100004 
INSTITUTE  (1CANALA)                                              F009800100005 
REFERENCE  (J,NP/A,91,164,196701)                                 F009800100006 
SAMPLE     The 9Be target consisted of a thin film of beryllium   F009800100007 
           metal vacuum deposited on a molybdenum foil            F009800100008 
METHOD     (TOF,PHD)                                              F009800100009 
FACILITY   (VDG)                                                  F009800100010 
HISTORY    (19821112C)                                            F009800100011 
           (19990407A) CNPD: corrected 4-dig. year                F009800100012 
ENDBIB              10          0                                 F009800100013 
NOCOMMON             0          0                                 F009800100014 
ENDSUBENT           13          0                                 F009800199999 
SUBENT        F0098002   19990409                             0000F009800200001 
BIB                  4          6                                 F009800200002 
REACTION   (4-BE-9(D,N)5-B-10,PAR,DA,,REL,EXP)                    F009800200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F009800200004 
           (DATA-ERR) From graphic bars (statistical) and         F009800200005 
           digitizing                                             F009800200006 
STATUS     (CURVE) fig 4,5,6                                      F009800200007 
EN-SEC     (E-LVL,5-B-10)                                         F009800200008 
ENDBIB               6          0                                 F009800200009 
COMMON               2          3                                 F009800200010 
EN         ANG-ERR                                                F009800200011 
MEV        ADEG                                                   F009800200012 
  5.540     0.5                                                   F009800200013 
ENDCOMMON            3          0                                 F009800200014 
DATA                 4        175                                 F009800200015 
ANG-CM     E-LVL      DATA-CM    DATA-ERR                         F009800200016 
ADEG       MEV        ARB-UNITS  ARB-UNITS                        F009800200017 
     0.0373     5.16      57.17       9.119                       F009800200018 
     0.138      0.     0.2855E+06 0.3813E+05                      F009800200019 
     0.3134     1.74    5571.       744.1                         F009800200020 
     0.3493     4.77   0.9361E+05 0.1226E+05                      F009800200021 
     0.3507     2.15     410.6       78.78                        F009800200022 
     0.4264     5.11    9677.       241.7                         F009800200023 
     0.5334     0.72   0.2989E+05  3992.                          F009800200024 
     0.6007     6.14     883.2      116.8                         F009800200025 
     0.7237     3.59      11.1        0.2818                      F009800200026 
     1.075      6.03   0.1008E+05  1619.                          F009800200027 
     1.255      5.93   0.1000E+07 0.2516E+05                      F009800200028 
     4.644      2.15     477.3       63.75                        F009800200029 
     5.029      3.59      11.67       1.231                       F009800200030 
     5.331      6.03    8690.      2178.                          F009800200031 
     5.338      1.74    5857.      1124.                          F009800200032 
     5.46       5.11    8786.       219.4                         F009800200033 
     5.521      0.72   0.3562E+05  6835.                          F009800200034 
     5.76       5.16      58.9       13.88                        F009800200035 
     6.054      4.77   0.1011E+06 0.1901E+05                      F009800200036 
     6.245      0.     0.3955E+06 0.5282E+05                      F009800200037 
     6.296      6.14     800.       152.                          F009800200038 
     6.955      5.93   0.9760E+06 0.4967E+05                      F009800200039 
     6.964      5.93   0.9287E+06 0.1484E+06                      F009800200040 
     8.908      1.74    6475.      1051.                          F009800200041 
     9.684      2.15     477.3       91.57                        F009800200042 
     9.736      0.72   0.5060E+05  6759.                          F009800200043 
    10.48       0.     0.5343E+06 0.4174E+05                      F009800200044 
    10.8        3.59      11.1        0.8673                      F009800200045 
    11.27       5.16     101.3       13.3                         F009800200046 
    11.32       6.14     883.9      142.2                         F009800200047 
    11.39       5.11    4753.       118.7                         F009800200048 
    11.69       6.03    6140.      1539.                          F009800200049 
    11.82       4.77   0.8737E+05 0.1144E+05                      F009800200050 
    12.65       5.93   0.9291E+06 0.1228E+06                      F009800200051 
    12.67       5.93   0.8412E+06 0.7963E+05                      F009800200052 
    14.62       1.74    7718.       195.9                         F009800200053 
    15.44       0.72   0.6184E+05  6524.                          F009800200054 
    16.08       4.77   0.9425E+05 0.1237E+05                      F009800200055 
    16.15       0.     0.7218E+06 0.3712E+05                      F009800200056 
    16.36       5.16      77.38      10.13                        F009800200057 
    16.52       5.11    3210.        80.17                        F009800200058 
    16.65       3.59       8.425      0.2139                      F009800200059 
    16.85       2.15     527.6       85.66                        F009800200060 
    17.38       6.03    5292.      1164.                          F009800200061 
    17.66       5.93   0.8844E+06 0.6348E+05                      F009800200062 
    17.76       6.14     976.8      102.1                         F009800200063 
    18.38       5.93   0.9295E+06 0.9702E+05                      F009800200064 
    20.29       1.74   0.1017E+05   258.2                         F009800200065 
    21.71       2.15     987.5       25.07                        F009800200066 
    21.8        0.72   0.9237E+05  2345.                          F009800200067 
    21.82       0.     0.9752E+06 0.2476E+05                      F009800200068 
    21.83       4.77   0.8559E+05  6574.                          F009800200069 
    22.05       6.14    1002.        77.6                         F009800200070 
    22.35       3.59      10.04       0.255                       F009800200071 
    22.39       5.11    2064.        51.55                        F009800200072 
    22.97       5.16      46.22       4.793                       F009800200073 
    23.81       6.03    5295.      1164.                          F009800200074 
    23.94       0.72   0.9712E+05  2466.                          F009800200075 
    24.08       5.93   0.8420E+06 0.8799E+05                      F009800200076 
    24.77       5.93   0.7624E+06 0.5481E+05                      F009800200077 
    26.1        1.74    8748.       222.1                         F009800200078 
    26.14       0.     0.9752E+06 0.2476E+05                      F009800200079 
    26.78       2.15     871.2       22.12                        F009800200080 
    27.39       5.16      31.2        5.891                       F009800200081 
    27.47       4.77   0.1071E+06  2675.                          F009800200082 
    27.66       5.11     916.3      119.7                         F009800200083 
    28.13       3.59       9.314      0.2365                      F009800200084 
    29.19       6.14     977.8      157.2                         F009800200085 
    29.52       6.03    5297.      1494.                          F009800200086 
    29.72       5.93   0.6098E+06 0.8064E+05                      F009800200087 
    29.73       5.93   0.5660E+06 0.7846E+05                      F009800200088 
    31.15       2.15     749.5       79.07                        F009800200089 
    31.21       1.74    6808.       350.1                         F009800200090 
    31.22       0.72   0.7558E+05  7973.                          F009800200091 
    31.94       0.     0.8390E+06 0.8851E+05                      F009800200092 
    33.24       5.16      21.08       2.186                       F009800200093 
    33.6        5.11     483.7       76.99                        F009800200094 
    33.9        4.77   0.1048E+06  2617.                          F009800200095 
    33.98       3.59       7.069      0.1795                      F009800200096 
    34.15       6.14     801.8      176.3                         F009800200097 
    34.44       6.03    3561.       783.1                         F009800200098 
    34.62       5.93   0.3445E+06 0.5541E+05                      F009800200099 
    35.31       5.93   0.3119E+06 0.5623E+05                      F009800200100 
    37.04       0.72   0.6184E+05  3180.                          F009800200101 
    37.08       1.74    4793.       778.1                         F009800200102 
    37.75       0.     0.7040E+06 0.1787E+05                      F009800200103 
    38.45       2.15     527.6       55.66                        F009800200104 
    38.91       4.77   0.1024E+06  2559.                          F009800200105 
    39.01       5.16      17.78       4.425                       F009800200106 
    39.05       3.59       6.395      0.1624                      F009800200107 
    39.34       5.11     450.2       84.7                         F009800200108 
    39.56       5.93   0.2558E+06 0.2673E+05                      F009800200109 
    40.05       6.03    2012.       908.7                         F009800200110 
    41.32       6.14     886.1      142.4                         F009800200111 
    48.14       1.74    1943.       431.7                         F009800200112 
    48.58       2.15     442.7       46.7                         F009800200113 
    48.72       0.     0.4055E+06 0.7780E+05                      F009800200114 
    48.81       0.72   0.2637E+05  3522.                          F009800200115 
    48.91       4.77   0.1029E+06  2569.                          F009800200116 
    49.25       5.11     578.6       92.29                        F009800200117 
    50.05       6.03    2064.       648.8                         F009800200118 
    50.57       5.16      12.34       2.691                       F009800200119 
    50.6        3.59       5.784      0.6102                      F009800200120 
    51.28       6.14     745.3       77.88                        F009800200121 
    51.58       5.93   0.1342E+06 0.2157E+05                      F009800200122 
    63.25       0.     0.2582E+06 0.2017E+05                      F009800200123 
    64.1        1.74    1301.       370.8                         F009800200124 
    64.48       2.15     371.4       39.18                        F009800200125 
    64.93       5.11     658.7       16.45                        F009800200126 
    65.64       0.72   0.1069E+05  1428.                          F009800200127 
    65.77       3.59       4.733      0.6322                      F009800200128 
    66.05       4.77   0.1036E+06  2587.                          F009800200129 
    66.6        5.16       4.863      1.063                       F009800200130 
