ENTRY            F0104   20200502                             F077F0104  0    1 
SUBENT        F0104001   20200502                             F077F0104  1    1 
BIB                  9         18                                 F0104  1    2 
TITLE      Levels in 10B excited by the 9Be(d,n) reaction         F0104  1    3 
AUTHOR     (S.G.Buccino,A.B.Smith)                                F0104  1    4 
INSTITUTE  (1USAANL)                                              F0104  1    5 
REFERENCE  (J,PL,19,234,1965)                                     F0104  1    6 
METHOD     (TOF) Flight paths ranging from 10 to 20 m., energy    F0104  1    7 
           resolution was 15 keV                                  F0104  1    8 
DETECTOR   Neutron detector. The efficiency of the neutron        F0104  1    9 
           detector was determined using the D(d,n) reaction and  F0104  1   10 
           the measured angular distributions reduced to absolute F0104  1   11 
           cross sections                                         F0104  1   12 
ERR-ANALYS (ERR-1) Relative uncertainty of the detector           F0104  1   13 
                      calibration                                 F0104  1   14 
           (ERR-T) Absolute uncertainty                           F0104  1   15 
MONITOR    (1-H-2(D,N)2-HE-3,,DA)                                 F0104  1   16 
HISTORY    (19821115C)                                            F0104  1   17 
           (19990407U) CNPD: corrected 4-dig. year and lower casesF0104  1   18 
           (20200502A) SD: Corrections in all Subents.            F0104  1   19 
           DATA-ERR -> ERR-1.                                     F0104  1   20 
ENDBIB              18          0                                 F0104  1   21 
COMMON               3          3                                 F0104  1   22 
EN-RSL     ERR-1      ERR-T                                       F0104  1   23 
MEV        PER-CENT   PER-CENT                                    F0104  1   24 
 0.015       15.0       30.0                                      F0104  1   25 
ENDCOMMON            3          0                                 F0104  1   26 
ENDSUBENT           25          0                                 F0104  199999 
SUBENT        F0104002   20200502                             F077F0104  2    1 
BIB                  4          7                                 F0104  2    2 
REACTION   (4-BE-9(D,N)5-B-10,PAR,DA)                             F0104  2    3 
ERR-ANALYS (DATA-ERR) Errors from the graphic bars errors.        F0104  2    4 
           No information about source of uncertainty.            F0104  2    5 
STATUS     (CURVE) fig 2 from Phys.Lett.,19(1965)234              F0104  2    6 
HISTORY    (20200502A) SD: SF9=EXP deleted from REACTION code.    F0104  2    7 
           ANG-ERR -> ANG-ERR-D. EN-SEC deleted. ERR-ANALYS,      F0104  2    8 
           STATUS updated. DATA-ERR1 -> DATA-ERR.                 F0104  2    9 
ENDBIB               7          0                                 F0104  2   10 
COMMON               2          3                                 F0104  2   11 
EN         ANG-ERR-D                                              F0104  2   12 
MEV        ADEG                                                   F0104  2   13 
  7.         0.8                                                  F0104  2   14 
ENDCOMMON            3          0                                 F0104  2   15 
DATA                 4         60                                 F0104  2   16 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         F0104  2   17 
MEV        ADEG       MB/SR      MB/SR                            F0104  2   18 
         0.        2.6   2.10E+00   1.54E-01                      F0104  2   19 
         0.        5.4   2.89E+00   3.25E-01                      F0104  2   20 
         0.        8.7   4.87E+00   5.46E-01                      F0104  2   21 
         0.       11.5   6.38E+00   5.50E-01                      F0104  2   22 
         0.       17.5   7.62E+00   9.55E-01                      F0104  2   23 
         0.       22.8   8.18E+00   1.02E+00                      F0104  2   24 
         0.       26.8   7.10E+00   7.03E-01                      F0104  2   25 
         0.       33.0   6.77E+00   4.97E-01                      F0104  2   26 
         0.       38.0   4.53E+00   4.49E-01                      F0104  2   27 
         0.       44.6   2.96E+00   2.18E-01                      F0104  2   28 
         0.       49.4   2.54E+00   2.19E-01                      F0104  2   29 
         0.       54.4   1.72E+00   1.71E-01                      F0104  2   30 
         0.       59.3   1.31E+00   1.82E-01                      F0104  2   31 
         0.       65.6   1.13E+00   1.71E-01                      F0104  2   32 
         0.       70.2   1.09E+00   4.08E-01                      F0104  2   33 
         0.       75.9   1.72E+00   2.62E-01                      F0104  2   34 
       0.72        3.3   2.15E+00   2.72E-01                      F0104  2   35 
       0.72        6.4   4.24E+00   6.52E-01                      F0104  2   36 
       0.72        9.9   5.51E+00   8.47E-01                      F0104  2   37 
       0.72       16.3   8.07E+00   8.07E-01                      F0104  2   38 
       0.72       21.4   8.88E+00   6.58E-01                      F0104  2   39 
       0.72       26.8   7.69E+00   7.70E-01                      F0104  2   40 
       0.72       32.2   6.51E+00   6.51E-01                      F0104  2   41 
       0.72       38.5   4.66E+00   4.67E-01                      F0104  2   42 
       0.72       43.5   2.89E+00   3.28E-01                      F0104  2   43 
       0.72       49.9   1.88E+00   2.90E-01                      F0104  2   44 
       0.72       53.5   1.06E+00   1.93E-01                      F0104  2   45 
       0.72       59.7   8.38E-01   1.52E-01                      F0104  2   46 
       0.72       65.9   1.23E+00   1.23E-01                      F0104  2   47 
       0.72       71.4   1.17E+00   1.80E-01                      F0104  2   48 
       0.72       76.0   1.05E+00   1.19E-01                      F0104  2   49 
       1.74        4.3   8.67E-01   9.69E-02                      F0104  2   50 
       1.74        7.8   1.14E+00   1.27E-01                      F0104  2   51 
       1.74       10.8   1.31E+00   1.29E-01                      F0104  2   52 
       1.74       16.1   1.46E+00   1.25E-01                      F0104  2   53 
       1.74       21.3   1.62E+00   1.18E-01                      F0104  2   54 
       1.74       26.9   1.37E+00   1.72E-01                      F0104  2   55 
       1.74       32.7   8.98E-01   1.36E-01                      F0104  2   56 
       1.74       37.8   5.35E-01   3.92E-02                      F0104  2   57 
       1.74       44.5   3.30E-01   3.26E-02                      F0104  2   58 
       1.74       50.7   2.97E-01   3.71E-02                      F0104  2   59 
       1.74       56.0   1.57E-01   3.71E-02                      F0104  2   60 
       1.74       60.6   1.59E-01   3.53E-02                      F0104  2   61 
       1.74       66.2   2.64E-01   4.01E-02                      F0104  2   62 
       1.74       72.3   2.83E-01   6.69E-02                      F0104  2   63 
       2.15        4.4   6.48E-01   1.09E-01                      F0104  2   64 
       2.15       10.4   1.36E+00   2.11E-01                      F0104  2   65 
       2.15       12.5   1.65E+00   2.10E-01                      F0104  2   66 
       2.15       17.7   1.75E+00   2.00E-01                      F0104  2   67 
       2.15       22.1   1.95E+00   1.46E-01                      F0104  2   68 
       2.15       27.3   2.00E+00   1.49E-01                      F0104  2   69 
       2.15       33.6   1.50E+00   1.51E-01                      F0104  2   70 
       2.15       39.7   1.30E+00   1.66E-01                      F0104  2   71 
       2.15       44.6   8.54E-01   9.73E-02                      F0104  2   72 
       2.15       50.9   6.32E-01   9.79E-02                      F0104  2   73 
       2.15       55.2   7.75E-01   1.09E-01                      F0104  2   74 
       2.15       61.2   8.23E-01   1.27E-01                      F0104  2   75 
