ENTRY            F0147   19990409                             0000F014700000001 
SUBENT        F0147001   19990409                             0000F014700100001 
BIB                  9         12                                 F014700100002 
TITLE      Heavy-particle stripping in the 9Be(He3,alpha)8Be      F014700100003 
           reaction and energy levels of 8Be                      F014700100004 
AUTHOR     (W.E.DORENBUSCH,C.P.BROWNE)                            F014700100005 
INSTITUTE  (1USANOT)                                              F014700100006 
REFERENCE  (J,PR,131,1212,196308)                                 F014700100007 
MONITOR    ((MONIT)4-BE-9(D,P)4-BE-10,,DA,,,EXP)                  F014700100008 
MONIT-REF  (,FULBRIGHT+,J,PR,88,700,1952)                         F014700100009 
SAMPLE     Thin targets were prepared by evaporating beryllium    F014700100010 
           metal from a tantalum boat onto thin Formvar backings. F014700100011 
DETECTOR   (PLATE)                                                F014700100012 
HISTORY    (19840817C)                                            F014700100013 
           (19990407A) CNPD: corrected 4-dig. year                F014700100014 
ENDBIB              12          0                                 F014700100015 
COMMON               4          3                                 F014700100016 
EN-NRM     ANG-NRM    E-LVL-NRM  MONIT                            F014700100017 
MEV        ADEG       MEV        MB/SR                            F014700100018 
  3.6        90.       0.         1.                              F014700100019 
ENDCOMMON            3          0                                 F014700100020 
ENDSUBENT           19          0                                 F014700199999 
SUBENT        F0147002   19990409                             0000F014700200001 
BIB                  4          5                                 F014700200002 
REACTION   ((4-BE-9(HE3,A)4-BE-8,PAR,DA,,,EXP)/                   F014700200003 
           (4-BE-9(D,P)4-BE-10,,DA,,,EXP))                        F014700200004 
ERR-ANALYS (DATA-ERR) The estimated uncertainty in the yield.     F014700200005 
STATUS     (TABLE) Table 1                                        F014700200006 
EN-SEC     (E-LVL,4-BE-8)                                         F014700200007 
ENDBIB               5          0                                 F014700200008 
NOCOMMON             0          0                                 F014700200009 
DATA                 5        132                                 F014700200010 
EN         E-LVL      ANG        DATA       DATA-ERR              F014700200011 
MEV        MEV        ADEG       NO-DIM     PER-CENT              F014700200012 
     3.         0.         5.         0.17      10.               F014700200013 
     3.         0.        10.         0.17      10.               F014700200014 
     3.         0.        15.         0.13      10.               F014700200015 
     3.         0.        20.         0.1        5.               F014700200016 
     3.         0.        30.         0.086      5.               F014700200017 
     3.         0.        40.         0.09       5.               F014700200018 
     3.         0.        50.         0.085      5.               F014700200019 
     3.         0.        60.         0.075      5.               F014700200020 
     3.         0.        70.         0.07       5.               F014700200021 
     3.         0.        80.         0.12       5.               F014700200022 
     3.         0.        90.         0.14       5.               F014700200023 
     3.         0.       100.         0.13       5.               F014700200024 
     3.         0.       110.         0.12       5.               F014700200025 
     3.         0.       120.         0.11       5.               F014700200026 
     3.         0.       130.         0.14       5.               F014700200027 
     3.         0.       140.         0.16       5.               F014700200028 
     3.         2.9        5.         1.55       5.               F014700200029 
     3.         2.9       10.         1.6        5.               F014700200030 
     3.         2.9       15.         1.72       5.               F014700200031 
     3.         2.9       20.         1.24       5.               F014700200032 
     3.         2.9       30.         1.15       5.               F014700200033 
     3.         2.9       40.         1.09       5.               F014700200034 
     3.         2.9       50.         0.98       5.               F014700200035 
     3.         2.9       60.         0.71       5.               F014700200036 
     3.         2.9       70.         0.5        5.               F014700200037 
     3.         2.9       80.         0.92       5.               F014700200038 
     3.         2.9       90.         0.76       5.               F014700200039 
     3.         2.9      100.         0.71       5.               F014700200040 
     3.         2.9      110.         0.75       5.               F014700200041 
     3.         2.9      120.         0.72       5.               F014700200042 
     3.         2.9      130.         0.71       5.               F014700200043 
     3.         2.9      140.         0.71       5.               F014700200044 
     3.        16.6       10.         0.09      10.               F014700200045 
     3.        16.6       15.         0.081     10.               F014700200046 
     3.        16.6       20.         0.22      10.               F014700200047 
     3.        16.6       30.         0.16      10.               F014700200048 
     3.        16.6       40.         0.13      10.               F014700200049 
     3.        16.6       50.         0.11      10.               F014700200050 
     3.        16.6       70.         0.55       5.               F014700200051 
     3.        16.6       80.         0.64       5.               F014700200052 
     3.        16.6       90.         0.55       5.               F014700200053 
     3.        16.6      100.         0.44       5.               F014700200054 
     3.        16.6      110.         0.35       5.               F014700200055 
     3.        16.9        5.         8.36       5.               F014700200056 
     3.        16.9       10.         9.02       5.               F014700200057 
     3.        16.9       15.         8.15       5.               F014700200058 
     3.        16.9       20.         7.05       5.               F014700200059 
     3.        16.9       25.         5.84       5.               F014700200060 
     3.        16.9       30.         5.2        5.               F014700200061 
     3.        16.9       40.         4.65       5.               F014700200062 
     3.        16.9       50.         3.79       5.               F014700200063 
     3.        16.9       60.         3.39       5.               F014700200064 
     3.        16.9       70.         2.78       5.               F014700200065 
     3.        16.9       80.         2.7        5.               F014700200066 
     3.        16.9       90.         1.57       5.               F014700200067 
     3.        16.9      100.         1.61       5.               F014700200068 
     3.        16.9      110.         1.67       5.               F014700200069 
     3.        17.6       10.         2.35       5.               F014700200070 
     3.        17.6       15.         2.12       5.               F014700200071 
     3.        17.6       20.         2.51       5.               F014700200072 
