ENTRY            F0224   19990409                             0000F022400000001 
SUBENT        F0224001   19990409                             0000F022400100001 
BIB                  9         14                                 F022400100002 
TITLE      The 10B(p,alpha)7Be reaction between 2 and 11 MeV      F022400100003 
AUTHOR     (J.G.JENKIN,L.G.EARWAKER,E.W.TITTERTON)                F022400100004 
INSTITUTE  (3AULCBR)                                              F022400100005 
REFERENCE  (J,NP,50,516,196401)                                   F022400100006 
SAMPLE     A 100 mu-g/cm**2 self-supporting boron target,         F022400100007 
           containing 89% 10B AND 8% 11B. The thickness of 10B in F022400100008 
           the target is 77 +- 15 mu-g/cm**2                      F022400100009 
FACILITY   (VDGT)                                                 F022400100010 
DETECTOR   (SOLST) 4.5*4.5 mm, 300 omega*cm gold-silicon surface  F022400100011 
           barrier                                                F022400100012 
ERR-ANALYS (DATA-ERR) Digitizing error. Statistical errors are of F022400100013 
           the order of the size of the points.                   F022400100014 
HISTORY    (19850214C)                                            F022400100015 
           (19990409A) CNPD: corrected 4-dig. year                F022400100016 
ENDBIB              14          0                                 F022400100017 
NOCOMMON             0          0                                 F022400100018 
ENDSUBENT           17          0                                 F022400199999 
SUBENT        F0224002   19990409                             0000F022400200001 
BIB                  4          4                                 F022400200002 
REACTION   (5-B-10(P,A)4-BE-7,PAR,DA,,,EXP)                       F022400200003 
ERR-ANALYS (EN-ERR) Digitizing error                              F022400200004 
STATUS     (CURVE) fig 2                                          F022400200005 
EN-SEC     (E-LVL,4-BE-7)                                         F022400200006 
ENDBIB               4          0                                 F022400200007 
COMMON               2          3                                 F022400200008 
EN-ERR     DATA-ERR                                               F022400200009 
MEV        MB/SR                                                  F022400200010 
   0.02     0.025                                                 F022400200011 
ENDCOMMON            3          0                                 F022400200012 
DATA                 4        571                                 F022400200013 
EN         E-LVL      ANG        DATA                             F022400200014 
MEV        MEV        ADEG       MB/SR                            F022400200015 
     1.83       0.        90.         4.335                       F022400200016 
     1.832      0.        50.         7.272                       F022400200017 
     1.867      0.        90.         4.163                       F022400200018 
     1.869      0.        50.         6.927                       F022400200019 
     1.918      0.        90.         3.794                       F022400200020 
     1.921      0.        50.         6.336                       F022400200021 
     1.969      0.        90.         3.672                       F022400200022 
     1.972      0.        50.         6.163                       F022400200023 
     2.011      0.        50.         8.162                       F022400200024 
     2.024      0.        90.         4.904                       F022400200025 
     2.064      0.        50.        10.14                        F022400200026 
     2.065      0.        90.         6.135                       F022400200027 
     2.114      0.        90.         6.604                       F022400200028 
     2.116      0.        50.        12.55                        F022400200029 
     2.168      0.        90.         8.033                       F022400200030 
     2.172      0.        50.        16.67                        F022400200031 
     2.22       0.        50.        21.21                        F022400200032 
     2.222      0.        90.         9.782                       F022400200033 
     2.27       0.        50.        18.15                        F022400200034 
     2.276      0.        90.         8.329                       F022400200035 
     2.326      0.        90.         5.744                       F022400200036 
     2.328      0.        50.        15.02                        F022400200037 
     2.372      0.429     50.         3.971                       F022400200038 
     2.382      0.        50.        10.73                        F022400200039 
     2.388      0.        90.         4.291                       F022400200040 
     2.416      0.        50.         8.313                       F022400200041 
     2.422      0.429     50.         4.414                       F022400200042 
     2.426      0.        90.         3.577                       F022400200043 
     2.463      0.        90.         3.553                       F022400200044 
     2.472      0.        50.         6.316                       F022400200045 
     2.472      0.429     50.         4.612                       F022400200046 
     2.517      0.        50.         5.354                       F022400200047 
     2.521      0.        90.         3.258                       F022400200048 
     2.522      0.429     50.         4.859                       F022400200049 
     2.571      0.        50.         3.998                       F022400200050 
     2.573      0.        90.         3.036                       F022400200051 
