ENTRY            F0252   19990412                             0000F025200000001 
SUBENT        F0252001   19990412                             0000F025200100001 
BIB                 10         22                                 F025200100002 
TITLE      Differential cross sections for the 9Be(3He,p)11B      F025200100003 
           reaction                                               F025200100004 
AUTHOR     (E.A.WOLICKI,H.D.HOLMGREN,R.L.JOHNSTON,E.G.ILLSLEY)    F025200100005 
INSTITUTE  (1USANRL)                                              F025200100006 
REFERENCE  (J,PR,116,1585,195912)                                 F025200100007 
SAMPLE     Targets were prepared by evaporating a thin layer of   F025200100008 
           beryllium onto 10-microinch nickel foil. The targets   F025200100009 
           had thicknesses of between 25 and 50 keV to the        F025200100010 
           incident beam.                                         F025200100011 
METHOD     (PHD)                                                  F025200100012 
FACILITY   (VDG)                                                  F025200100013 
DETECTOR   (PLATE) Ilford C-2 200-micron nuclear emulsions for    F025200100014 
           angular distributions of the proton groups leaving the F025200100015 
           11B nucleus in its ground and 1-st excited states      F025200100016 
           (CSICR) A sliding seal chamber and CsI scintillation   F025200100017 
           detector for proton groups p0 - p6 at 4.5 MeV.         F025200100018 
ERR-ANALYS (ERR-1) The error due to normalization. Absolute cross F025200100019 
           sections were obtained by normalizing all measurements F025200100020 
           to an absolute differential cross-section determinationF025200100021 
           made at 2.0 MeV.                                       F025200100022 
HISTORY    (19850318C)                                            F025200100023 
           (19990409A) CNPD: corrected 4-dig. year                F025200100024 
ENDBIB              22          0                                 F025200100025 
COMMON               1          3                                 F025200100026 
ERR-1                                                             F025200100027 
PER-CENT                                                          F025200100028 
  20.0                                                            F025200100029 
ENDCOMMON            3          0                                 F025200100030 
ENDSUBENT           29          0                                 F025200199999 
SUBENT        F0252002   19990412                             0000F025200200001 
BIB                  5         18                                 F025200200002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,,EXP)                     F025200200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F025200200004 
           (DATA-ERR) Error from error bars ann digitizing.       F025200200005 
           The error bars include a uncertainty in the            F025200200006 
           determination of the solid angle, an estimated         F025200200007 
           uncertainty in the counting of the track statistical   F025200200008 
           uncertainties due to the number of track counted,      F025200200009 
           due to a small overlap in the pulse-height spectrum    F025200200010 
           between proton groups p2 and p3 or due to pulses causedF025200200011 
           by other reaction products from the target which lay   F025200200012 
           in the same region of the pulse-height spectrum a      F025200200013 
           proton groups p4,5 and p6 (major portion of the        F025200200014 
           total uncertainty for these two groups).               F025200200015 
FLAG       (1.) Points obtained using nuclear emulsion            F025200200016 
           (2.) Points obtained using a sliding seal chamber and  F025200200017 
           CsI scintillation counters                             F025200200018 
STATUS     (CURVE) fig 2,3,4                                      F025200200019 
EN-SEC     (E-LVL,5-B-11)                                         F025200200020 
ENDBIB              18          0                                 F025200200021 
COMMON               2          3                                 F025200200022 
EN         ANG-ERR                                                F025200200023 
MEV        ADEG                                                   F025200200024 
  4.5        0.7                                                  F025200200025 
ENDCOMMON            3          0                                 F025200200026 
DATA                 5        160                                 F025200200027 
E-LVL      ANG-CM     DATA-CM    DATA-ERR   FLAG                  F025200200028 
MEV        ADEG       MB/SR      MB/SR      NO-DIM                F025200200029 
     0.         4.812      1.314      0.0427     1.               F025200200030 
     0.        10.14       1.279      0.0037     2.               F025200200031 
     0.        14.56       1.144      0.0427     1.               F025200200032 
     0.        15.44       1.129      0.0037     2.               F025200200033 
     0.        19.88       1.079      0.0427     1.               F025200200034 
     0.        20.78       1.136      0.0037     2.               F025200200035 
     0.        26.09       1.001      0.0037     2.               F025200200036 
     0.        30.53       0.9726     0.0037     2.               F025200200037 
     0.        30.54       0.994      0.0427     1.               F025200200038 
     0.        35.87       0.9655     0.0356     1.               F025200200039 
     0.        36.73       0.8659     0.0037     2.               F025200200040 
     0.        41.17       0.8231     0.0427     1.               F025200200041 
     0.        42.07       0.8658     0.0037     2.               F025200200042 
     0.        47.4        0.8017     0.0356     1.               F025200200043 
     0.        48.29       0.8088     0.0037     2.               F025200200044 
     0.        52.72       0.766      0.0037     2.               F025200200045 
     0.        58.04       0.7019     0.0427     1.               F025200200046 
     0.        58.05       0.6735     0.0355     1.               F025200200047 
     0.        59.82       0.6735     0.0037     2.               F025200200048 
     0.        63.38       0.6663     0.0427     1.               F025200200049 
     0.        68.73       0.716      0.0427     1.               F025200200050 
     0.        69.61       0.6875     0.0037     2.               F025200200051 
     0.        74.08       0.7799     0.0427     1.               F025200200052 
     0.        74.96       0.7586     0.0037     2.               F025200200053 
     0.        84.77       0.8296     0.0356     1.               F025200200054 
     0.        84.78       0.9007     0.0037     2.               F025200200055 
     0.        91.01       0.9219     0.0037     2.               F025200200056 
     0.        94.59       0.9859     0.0356     1.               F025200200057 
     0.        95.49       1.029      0.0037     2.               F025200200058 
     0.       100.8        1.071      0.0037     2.               F025200200059 
     0.       105.3        1.085      0.0356     1.               F025200200060 
     0.       108.8        1.05       0.0037     2.               F025200200061 
     0.       114.2        1.043      0.0427     1.               F025200200062 
     0.       114.2        1.007      0.0037     2.               F025200200063 
     0.       123.         0.9286     0.0037     2.               F025200200064 
     0.       123.1        0.9855     0.0355     1.               F025200200065 
     0.       132.8        0.9213     0.0569     1.               F025200200066 
     0.       133.7        0.9213     0.0037     2.               F025200200067 
     0.       142.6        0.971      0.0427     1.               F025200200068 
     0.       152.4        0.9637     0.0427     1.               F025200200069 
     0.       156.9        0.985      0.0284     1.               F025200200070 
     2.138     10.11       1.144      0.0037     2.               F025200200071 
     2.138     14.5        0.8946     0.0427     1.               F025200200072 
     2.138     15.38       0.8591     0.0037     2.               F025200200073 
     2.138     20.69       0.7167     0.0427     1.               F025200200074 
     2.138     21.56       0.6669     0.0037     2.               F025200200075 
     2.138     26.87       0.5175     0.0037     2.               F025200200076 
     2.138     31.31       0.5032     0.0037     2.               F025200200077 
     2.138     31.32       0.5458     0.0356     1.               F025200200078 
     2.138     35.78       0.5742     0.0037     2.               F025200200079 
     2.138     36.67       0.5885     0.0427     1.               F025200200080 
     2.138     42.03       0.6666     0.0427     1.               F025200200081 
     2.138     42.92       0.6808     0.0037     2.               F025200200082 
