ENTRY            F0260   19990412                             0000F026000000001 
SUBENT        F0260001   19990412                             0000F026000100001 
BIB                 10         14                                 F026000100002 
TITLE      Neutron angular distributions from the 9Be(a,n)12C     F026000100003 
           reaction at 12.7, 11.3 and 9.8 MeV                     F026000100004 
AUTHOR     (J.KJELLMAN,A.NILSSON)                                 F026000100005 
INSTITUTE  (2SWDIPS)                                              F026000100006 
REFERENCE  (J,AF,22,277,196203)                                   F026000100007 
SAMPLE     The target used was A Be-foil with a mean thickness of F026000100008 
           1.00+-0.07 mg/cm2, except for the measurement 14.0 MeV,F026000100009 
           in which case the thickness was 0.75+-0.05 mg/cm2      F026000100010 
METHOD     (EXTB,TOF)                                             F026000100011 
FACILITY   (CYCLO)                                                F026000100012 
ERR-ANALYS (ERR-T)Total error                                     F026000100013 
DETECTOR   (SCIN)                                                 F026000100014 
HISTORY    (19850409C)                                            F026000100015 
           (19990409A) CNPD: corrected 4-dig. year                F026000100016 
ENDBIB              14          0                                 F026000100017 
COMMON               1          3                                 F026000100018 
ERR-T                                                             F026000100019 
PER-CENT                                                          F026000100020 
  15.                                                             F026000100021 
ENDCOMMON            3          0                                 F026000100022 
ENDSUBENT           21          0                                 F026000199999 
SUBENT        F0260002   19990412                             0000F026000200001 
BIB                  4          6                                 F026000200002 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA,,,EXP)                       F026000200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F026000200004 
           (DATA-ERR) Error from graphic bars (statistical) and   F026000200005 
           digitizing                                             F026000200006 
EN-SEC     (E-LVL,6-C-12)                                         F026000200007 
STATUS     (CURVE) fig 1,2,3,4                                    F026000200008 
ENDBIB               6          0                                 F026000200009 
COMMON               1          3                                 F026000200010 
ANG-ERR                                                           F026000200011 
ADEG                                                              F026000200012 
  0.5                                                             F026000200013 
ENDCOMMON            3          0                                 F026000200014 
DATA                 5        221                                 F026000200015 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F026000200016 
MEV        MEV        ADEG       MB/SR      MB/SR                 F026000200017 
     9.8        0.         6.551      1.845      0.0955           F026000200018 
     9.8        0.        11.94       1.876      0.0955           F026000200019 
     9.8        0.        25.8        1.967      0.0743           F026000200020 
     9.8        0.        33.16       1.067      0.0531           F026000200021 
     9.8        0.        42.22       0.843      0.0531           F026000200022 
     9.8        0.        50.37       1.118      0.0637           F026000200023 
     9.8        0.        61.83       1.636      0.0637           F026000200024 
     9.8        0.        72.18       2.049      0.0956           F026000200025 
     9.8        0.        82.94       2.09       0.0743           F026000200026 
     9.8        0.       102.1        1.377      0.0636           F026000200027 
     9.8        0.       103.1        1.334      0.0091           F026000200028 
     9.8        0.       112.7        0.9506     0.0091           F026000200029 
     9.8        0.       113.2        1.004      0.0531           F026000200030 
     9.8        0.       122.8        0.8113     0.053            F026000200031 
     9.8        0.       122.8        0.6521     0.0636           F026000200032 
     9.8        0.       132.         0.9162     0.0091           F026000200033 
     9.8        0.       132.         0.8313     0.0318           F026000200034 
     9.8        0.       132.5        0.9056     0.0091           F026000200035 
     9.8        0.       143.9        1.106      0.0637           F026000200036 
     9.8        0.       153.6        1.338      0.0742           F026000200037 
     9.8        4.43       4.949      9.166      0.1082           F026000200038 
     9.8        4.43      10.44       8.893      0.1623           F026000200039 
     9.8        4.43      17.13       8.023      0.1349           F026000200040 
     9.8        4.43      25.75       6.693      0.1353           F026000200041 
     9.8        4.43      34.37       5.362      0.1079           F026000200042 
     9.8        4.43      43.69       4.031      0.1353           F026000200043 
     9.8        4.43      52.53       3.323      0.0215           F026000200044 
     9.8        4.43      63.58       2.965      0.1086           F026000200045 
     9.8        4.43      74.03       2.878      0.0812           F026000200046 
     9.8        4.43      84.48       2.792      0.0812           F026000200047 
     9.8        4.43     105.5        2.916      0.0215           F026000200048 
     9.8        4.43     105.5        3.052      0.0812           F026000200049 
     9.8        4.43     115.5        3.642      0.0812           F026000200050 
     9.8        4.43     115.6        3.777      0.1086           F026000200051 
     9.8        4.43     124.2        4.395      0.1082           F026000200052 
     9.8        4.43     124.2        4.584      0.1353           F026000200053 
     9.8        4.43     133.5        5.121      0.1353           F026000200054 
     9.8        4.43     133.6        5.472      0.1353           F026000200055 
     9.8        4.43     144.6        7.009      0.1086           F026000200056 
     9.8        4.43     154.6        7.491      0.1086           F026000200057 
     9.8        7.66       5.717      0.5821     0.0026           F026000200058 
     9.8        7.66      12.19       0.6342     0.0026           F026000200059 
     9.8        7.66      18.04       0.6175     0.0422           F026000200060 
     9.8        7.66      27.74       0.2987     0.0212           F026000200061 
     9.8        7.66      36.18       0.2288     0.0318           F026000200062 
     9.8        7.66      45.41       0.3439     0.0265           F026000200063 
     9.8        7.66      54.15       0.4856     0.0371           F026000200064 
     9.8        7.66      65.6        0.6693     0.0371           F026000200065 
     9.8        7.66      76.49       0.8266     0.0265           F026000200066 
     9.8        7.66      87.6        0.7563     0.0026           F026000200067 
     9.8        7.66     107.9        0.362      0.0317           F026000200068 
     9.8        7.66     108.3        0.2772     0.0317           F026000200069 
     9.8        7.66     116.9        0.3131     0.0026           F026000200070 
     9.8        7.66     117.8        0.2706     0.0264           F026000200071 
     9.8        7.66     117.9        0.2442     0.0026           F026000200072 
     9.8        7.66     127.7        0.3433     0.0026           F026000200073 
     9.8        7.66     128.1        0.3857     0.0265           F026000200074 
     9.8        7.66     136.3        0.4692     0.0026           F026000200075 
     9.8        7.66     136.4        0.5592     0.0318           F026000200076 
     9.8        7.66     147.9        0.764      0.037            F026000200077 
     9.8        7.66     158.5        0.7096     0.0424           F026000200078 
     9.8        9.63       5.536      3.276      0.0361           F026000200079 
     9.8        9.63      12.51       3.567      0.0361           F026000200080 
     9.8        9.63      18.85       3.387      0.0361           F026000200081 
     9.8        9.63      28.95       3.417      0.0361           F026000200082 
     9.8        9.63      38.36       2.632      0.0361           F026000200083 
     9.8        9.63      47.81       2.062      0.0361           F026000200084 
     9.8        9.63      56.36       2.265      0.0361           F026000200085 
     9.8        9.63      68.99       1.648      0.0361           F026000200086 
     9.8        9.63      80.74       1.889      0.0361           F026000200087 
     9.8        9.63      91.27       1.403      0.0361           F026000200088 
     9.8        9.63     111.7        2.363      0.0361           F026000200089 
     9.8        9.63     120.3        2.952      0.0361           F026000200090 
     9.8        9.63     129.4        3.54       0.0361           F026000200091 
     9.8        9.63     139.4        5.328      0.0361           F026000200092 
     9.8        9.63     148.2        6.904      0.0361           F026000200093 
     9.8        9.63     158.4        7.148      0.0361           F026000200094 
    11.3        0.         6.42       1.453      0.0743           F026000200095 
    11.3        0.        11.81       1.494      0.0743           F026000200096 
    11.3        0.        17.37       2.046      0.0743           F026000200097 
    11.3        0.        25.54       2.374      0.0743           F026000200098 
    11.3        0.        33.54       2.213      0.0743           F026000200099 
    11.3        0.        42.58       1.926      0.0637           F026000200100 
    11.3        0.        51.06       1.564      0.0531           F026000200101 
    11.3        0.        61.2        1.339      0.0637           F026000200102 
    11.3        0.        72.48       1.349      0.0531           F026000200103 
    11.3        0.        82.69       1.326      0.0743           F026000200104 
    11.3        0.       102.5        1.164      0.0424           F026000200105 
    11.3        0.       113.3        1.131      0.0091           F026000200106 
    11.3        0.       113.8        1.194      0.0531           F026000200107 
    11.3        0.       123.5        1.225      0.0637           F026000200108 
    11.3        0.       133.3        1.67       0.0531           F026000200109 
    11.3        0.       142.1        2.252      0.0637           F026000200110 
    11.3        0.       150.8        2.431      0.0637           F026000200111 
    11.3        0.       158.3        2.484      0.0637           F026000200112 
    11.3        4.43       4.762      6.622      0.1357           F026000200113 
    11.3        4.43      11.56       6.077      0.1086           F026000200114 
    11.3        4.43      16.04       4.884      0.162            F026000200115 
    11.3        4.43      25.27       3.31       0.162            F026000200116 
    11.3        4.43      34.62       2.06       0.1079           F026000200117 
    11.3        4.43      43.63       1.866      0.1082           F026000200118 
    11.3        4.43      51.5        2.376      0.1353           F026000200119 
    11.3        4.43      62.81       2.749      0.1349           F026000200120 
    11.3        4.43      73.94       2.689      0.1082           F026000200121 
    11.3        4.43      73.97       2.608      0.0808           F026000200122 
    11.3        4.43      85.58       1.925      0.1082           F026000200123 
    11.3        4.43     106.         2.456      0.1357           F026000200124 
    11.3        4.43     115.4        3.263      0.1082           F026000200125 
    11.3        4.43     124.7        3.826      0.1082           F026000200126 
