ENTRY            F0264   20051214                             F023F026400000001 
SUBENT        F0264001   20051214                             F023F026400100001 
BIB                 11         22                                 F026400100002 
TITLE      The elastic scattering of polarized 3He by 2H at 22.5, F026400100003 
           24, 27, 30 and 33 MeV.                                 F026400100004 
AUTHOR     (N.T.Okumusoglu,C.O.Blyth)                             F026400100005 
INSTITUTE  (2UK BIR)                                              F026400100006 
           (2TUKTUK) Sciences, Karadeniz Technical University     F026400100007 
REFERENCE  (J,NP/A,671,33,2000)                                   F026400100008 
FACILITY   (CYCLO,2UK BIR) Birmingham University Radial Ridge     F026400100009 
           Cyclotron.                                             F026400100010 
SAMPLE     The (CD2)n target of 140 mg/cm2 thickness.             F026400100011 
METHOD     (EDE)                                                  F026400100012 
DETECTOR   (TELES,SIBAR) Si surface barrier detectors. To avoid   F026400100013 
           systematic errors, measurements at each angle were madeF026400100014 
           with two counter telescopes placed one on each side of F026400100015 
           the incident beam and the results combined.            F026400100016 
ERR-ANALYS (ANG-ERR) Angular resolution of the detectors          F026400100017 
           (DATA-ERR) The estimated uncertainties. The remaining  F026400100018 
           systematic errors should be much smaller than the      F026400100019 
           statistical ones.                                      F026400100020 
STATUS     (TABLE) Data received from Dr.N.T.Okumusoglu           F026400100021 
HISTORY    (20041201C)                                            F026400100022 
           (20051214A) SD, data received from the author;         F026400100023 
                       subent 003 was added                       F026400100024 
ENDBIB              22          0                                 F026400100025 
COMMON               1          3                                 F026400100026 
ANG-ERR                                                           F026400100027 
ADEG                                                              F026400100028 
  1.                                                              F026400100029 
ENDCOMMON            3          0                                 F026400100030 
ENDSUBENT           29          0                                 F026400199999 
SUBENT        F0264002   20051214                             F023F026400200001 
BIB                  1          1                                 F026400200002 
REACTION   (1-H-2(HE3,EL)1-H-2,,POL/DA,,ANA)                      F026400200003 
ENDBIB               1          0                                 F026400200004 
NOCOMMON             0          0                                 F026400200005 
DATA                 4        129                                 F026400200006 
EN         ANG-CM     DATA-CM    DATA-ERR                         F026400200007 
MEV        ADEG       NO-DIM     NO-DIM                           F026400200008 
  22.5       25.0      -0.040      0.005                          F026400200009 
  22.5       40.0      -0.108      0.005                          F026400200010 
  22.5       55.0      -0.110      0.010                          F026400200011 
  22.5       75.0       0.325      0.020                          F026400200012 
  22.5       80.0       0.205      0.010                          F026400200013 
  22.5       95.0      -0.045      0.010                          F026400200014 
  22.5      120.0      -0.360      0.015                          F026400200015 
  22.5      125.0      -0.496      0.005                          F026400200016 
  22.5      130.0      -0.469      0.016                          F026400200017 
  22.5      135.2      -0.353      0.027                          F026400200018 
  22.5      138.0      -0.031      0.023                          F026400200019 
  22.5      145.0       0.213      0.020                          F026400200020 
  22.5      148.0       0.288      0.018                          F026400200021 
  22.5      150.0       0.294      0.005                          F026400200022 
  22.5      155.0       0.243      0.010                          F026400200023 
  22.5      158.0       0.165      0.009                          F026400200024 
  24.0       25.0      -0.0352     0.0011                         F026400200025 
  24.0       40.0      -0.1072     0.002                          F026400200026 
  24.0       55.0      -0.1118     0.005                          F026400200027 
  24.0       76.0       0.327      0.0236                         F026400200028 
  24.0       80.0       0.2045     0.0090                         F026400200029 
  24.0       87.8       0.0626     0.0430                         F026400200030 
  24.0       95.0      -0.0463     0.0120                         F026400200031 
  24.0      110.0      -0.2020     0.0149                         F026400200032 
  24.0      116.0      -0.322      0.0220                         F026400200033 
  24.0      120.0      -0.3613     0.0161                         F026400200034 
  24.0      125.0      -0.4680     0.0180                         F026400200035 
  24.0      128.0      -0.4380     0.0200                         F026400200036 
  24.0      130.0      -0.510      0.0210                         F026400200037 
  24.0      132.0       -0.455     0.0201                         F026400200038 
  24.0      134.0      -0.398      0.0204                         F026400200039 
  24.0      135.0      -0.390      0.018                          F026400200040 
  24.0      138.0      -0.240      0.0170                         F026400200041 
  24.0      145.0       0.180      0.0180                         F026400200042 
  24.0      148.0       0.250      0.030                          F026400200043 
  24.0      150.0       0.300      0.010                          F026400200044 
  24.0      152.0       0.245      0.010                          F026400200045 
  24.0      154.0       0.252      0.010                          F026400200046 
  24.0      155.0       0.225      0.009                          F026400200047 
  24.0      158.0       0.179      0.010                          F026400200048 
  27.0       25.8      -0.0534     0.0090                         F026400200049 
  27.0       31.5      -0.0756     0.0010                         F026400200050 
  27.0       45.0      -0.1205     0.0030                         F026400200051 
  27.0       57.6      -0.1494     0.0070                         F026400200052 
  27.0       64.0       0.1297     0.0130                         F026400200053 
  27.0       69.0       0.2032     0.0240                         F026400200054 
  27.0       70.0       0.2847     0.0130                         F026400200055 
  27.0       71.4       0.3263     0.0130                         F026400200056 
  27.0       75.0       0.2755     0.0170                         F026400200057 
  27.0       75.7       0.2591     0.0100                         F026400200058 
  27.0       80.0       0.1958     0.0130                         F026400200059 
  27.0       81.8       0.1714     0.012                          F026400200060 
  27.0       84.8       0.1600     0.008                          F026400200061 
  27.0       90.0       0.0491     0.009                          F026400200062 
  27.0       94.8      -0.0071     0.010                          F026400200063 
  27.0       99.8      -0.0918     0.016                          F026400200064 
  27.0      104.8      -0.1395     0.008                          F026400200065 
  27.0      109.8      -0.2374     0.013                          F026400200066 
