ENTRY            F0294   20080702                             F032F029400000001 
SUBENT        F0294001   20080702                             F032F029400100001 
BIB                  9         15                                 F029400100002 
TITLE      Resonant charged particle emission from 11B + p and    F029400100003 
           12c states at E(x)=20-23 MeV.                          F029400100004 
AUTHOR     (F.Borchers,H.De Jong,J.Krug,E.Kuhlmann)               F029400100005 
INSTITUTE  (2GERBOC)                                              F029400100006 
REFERENCE  (J,NP/A,405,141,1983)                                  F029400100007 
SAMPLE     Thin self-supporting target of 11B (enriched to 98.6%) F029400100008 
           the effective 11B target thickness was 66+-4 mu-g/cm**2F029400100009 
FACILITY   (DYNAM) Bochum dinamitron tandem                       F029400100010 
ERR-ANALYS (DATA-ERR) Error in the absolute cross sections        F029400100011 
DETECTOR   (SOLST) Eight surface-barrier detectors (0.5 or 1 mm   F029400100012 
           thick)                                                 F029400100013 
HISTORY    (19850729C)                                            F029400100014 
           (19990409A) CNPD: corrected 4-dig. year                F029400100015 
           (20080702A) Opening parenthesis in EN-SEC, Sub4 was    F029400100016 
           placed at column 12. Error designation was changed.    F029400100017 
ENDBIB              15          0                                 F029400100018 
COMMON               1          3                                 F029400100019 
DATA-ERR                                                          F029400100020 
PER-CENT                                                          F029400100021 
  10.0                                                            F029400100022 
ENDCOMMON            3          0                                 F029400100023 
ENDSUBENT           22          0                                 F029400199999 
SUBENT        F0294002   19990409                             0000F029400200001 
BIB                  4          6                                 F029400200002 
REACTION   (5-B-11(P,INL)5-B-11,PAR,DA,,REL,EXP)                  F029400200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F029400200004 
           (DATA-ERR1) Error from graphic bars (statistical)      F029400200005 
           and digitizing error                                   F029400200006 
STATUS     (CURVE) Fig 2                                          F029400200007 
EN-SEC     (E-LVL,5-B-11)                                         F029400200008 
ENDBIB               6          0                                 F029400200009 
COMMON               2          3                                 F029400200010 
E-LVL      ANG-ERR                                                F029400200011 
MEV        ADEG                                                   F029400200012 
  2.125      1.5                                                  F029400200013 
ENDCOMMON            3          0                                 F029400200014 
DATA                 4        141                                 F029400200015 
EN         ANG-CM     DATA-CM    DATA-ERR1                        F029400200016 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        F029400200017 
     4.49      31.55       3.007      0.0254                      F029400200018 
     4.49      44.03       3.491      0.0254                      F029400200019 
     4.49      56.52       4.073      0.0254                      F029400200020 
     4.49      72.45       3.586      0.1455                      F029400200021 
     4.49      75.98       3.44       0.0969                      F029400200022 
     4.49      86.62       3.294      0.0254                      F029400200023 
     4.49      97.27       3.245      0.0254                      F029400200024 
     4.49     100.8        3.293      0.097                       F029400200025 
     4.49     106.2        3.341      0.0254                      F029400200026 
     4.49     115.1        3.486      0.0254                      F029400200027 
     4.49     122.2        3.582      0.0254                      F029400200028 
     4.49     127.5        3.631      0.0254                      F029400200029 
     4.49     129.3        3.582      0.0254                      F029400200030 
     4.49     132.8        3.533      0.0254                      F029400200031 
     4.49     137.9        3.435      0.0254                      F029400200032 
     4.49     141.6        3.144      0.1455                      F029400200033 
     4.49     148.8        3.144      0.0254                      F029400200034 
     4.49     152.3        3.143      0.0254                      F029400200035 
     4.49     155.8        2.998      0.0254                      F029400200036 
     4.49     161.2        2.949      0.0254                      F029400200037 
     4.49     164.7        2.706      0.0972                      F029400200038 
     5.1       22.68       2.75       0.0542                      F029400200039 
     5.1       26.31       3.187      0.0542                      F029400200040 
     5.1       33.52       3.623      0.0542                      F029400200041 
     5.1       38.93       3.913      0.0542                      F029400200042 
     5.1       46.09       3.913      0.0542                      F029400200043 
     5.1       51.45       3.864      0.0542                      F029400200044 
     5.1       56.79       3.621      0.0542                      F029400200045 
     5.1       62.15       3.523      0.0542                      F029400200046 
     5.1       65.68       3.086      0.0542                      F029400200047 
     5.1       71.01       2.698      0.0542                      F029400200048 
     5.1       76.37       2.552      0.0542                      F029400200049 
     5.1       79.9        2.163      0.0542                      F029400200050 
     5.1       87.05       2.066      0.0542                      F029400200051 
     5.1       90.63       2.017      0.0542                      F029400200052 
     5.1       96.01       2.162      0.0542                      F029400200053 
     5.1      103.2        2.258      0.0542                      F029400200054 
