ENTRY            F0316   20210619                             F085F0316  0    1 
SUBENT        F0316001   20210619                             F085F0316  1    1 
BIB                  9         14                                 F0316  1    2 
TITLE      The population ratio of the 4.433 MeV and 7.656 MeV    F0316  1    3 
           states in 12C in the reaction 9Be(alpha,n)12C and the  F0316  1    4 
           parameters of the 7.656 MeV level                      F0316  1    5 
AUTHOR     (N.H.Gale,J.B.Garg)                                    F0316  1    6 
INSTITUTE  (2UK MAN)                                              F0316  1    7 
REFERENCE  (J,NC,19,742,1961)                                     F0316  1    8 
FACILITY   (VDG,2UK MAN) 6 MV                                     F0316  1    9 
SAMPLE     Beryllium target of 330 mu-g/cm**2 thickness           F0316  1   10 
METHOD     (TOF)                                                  F0316  1   11 
DETECTOR   (SCIN) NE211 for neutron liquid fluor contained in a   F0316  1   12 
           cylindrical glass cell 5.5 cm long by 7.8 cm diameter  F0316  1   13 
HISTORY    (19860619C)                                            F0316  1   14 
           (19990409U) CNPD: corrected 4-dig. year                F0316  1   15 
           (20210619A) SD: Corrections in all Subents.            F0316  1   16 
ENDBIB              14          0                                 F0316  1   17 
NOCOMMON             0          0                                 F0316  1   18 
ENDSUBENT           17          0                                 F0316  199999 
SUBENT        F0316002   20210619                             F085F0316  2    1 
BIB                  4         10                                 F0316  2    2 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA,,REL)                        F0316  2    3 
            Number of counts x 10**(-3)/7.5 microcoulomb in CM    F0316  2    4 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical).         F0316  2    5 
           Errors are shown except when smaller than the          F0316  2    6 
           experimental points.                                   F0316  2    7 
STATUS     (CURVE) Figs 2,3,4 from Nuov.Cim.,19(1961)742          F0316  2    8 
HISTORY    (20210619A) SD: SF9=EXP deleted from REACTION code.    F0316  2    9 
           EN-SEC deleted. STATUS, ERR-ANALYS updated.            F0316  2   10 
           ANG-ERR -> ANG-ERR-D. Accuracy of digitized data       F0316  2   11 
           presentation revised. DATA-ERR -> ERR-S.               F0316  2   12 
ENDBIB              10          0                                 F0316  2   13 
COMMON               1          3                                 F0316  2   14 
ANG-ERR-D                                                         F0316  2   15 
ADEG                                                              F0316  2   16 
 0.9                                                              F0316  2   17 
ENDCOMMON            3          0                                 F0316  2   18 
DATA                 5        123                                 F0316  2   19 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F0316  2   20 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F0316  2   21 
         0.       5.53        0.1      5.400      0.037           F0316  2   22 
         0.       5.53       14.0      7.260      0.263           F0316  2   23 
         0.       5.53       23.8      9.282      0.436           F0316  2   24 
         0.       5.53       33.5      8.266      0.347           F0316  2   25 
         0.       5.53       39.7      7.675      0.263           F0316  2   26 
         0.       5.53       48.8      5.616      0.260           F0316  2   27 
         0.       5.53       65.1      2.187      0.037           F0316  2   28 
         0.       5.53       79.9      1.272      0.037           F0316  2   29 
         0.       5.53       95.4      1.139      0.037           F0316  2   30 
         0.       5.53      111.5      1.875      0.037           F0316  2   31 
         0.       5.53      125.7      3.302      0.037           F0316  2   32 
         0.       5.53      139.4      3.338      0.037           F0316  2   33 
         0.       5.53      152.4      2.851      0.037           F0316  2   34 
         0.       5.53      161.8      3.223      0.037           F0316  2   35 
         0.       5.53      171.5      2.207      0.037           F0316  2   36 
         0.       5.76        0.4      1.768      0.056           F0316  2   37 
         0.       5.76       16.7      4.762      0.270           F0316  2   38 
         0.       5.76       33.2      6.865      0.362           F0316  2   39 
         0.       5.76       48.6      4.146      0.273           F0316  2   40 
         0.       5.76       65.7      1.255      0.056           F0316  2   41 
         0.       5.76       80.5      0.587      0.056           F0316  2   42 
         0.       5.76       96.8      0.637      0.056           F0316  2   43 
         0.       5.76      111.3      1.127      0.056           F0316  2   44 
         0.       5.76      126.2      2.779      0.056           F0316  2   45 
         0.       5.76      140.5      3.893      0.056           F0316  2   46 
         0.       5.76      154.1      4.292      0.267           F0316  2   47 
         0.       5.76      167.8      4.601      0.056           F0316  2   48 
         0.       5.97        0.7      2.200      0.058           F0316  2   49 
         0.       5.97       15.7      3.781      0.363           F0316  2   50 
         0.       5.97       31.8      4.733      0.456           F0316  2   51 
         0.       5.97       49.9      4.519      0.361           F0316  2   52 
         0.       5.97       65.4      1.139      0.058           F0316  2   53 
         0.       5.97       80.1      0.824      0.058           F0316  2   54 
         0.       5.97       96.4      0.785      0.058           F0316  2   55 
         0.       5.97      111.7      1.194      0.058           F0316  2   56 
         0.       5.97      125.0      2.679      0.273           F0316  2   57 
         0.       5.97      140.0      4.260      0.361           F0316  2   58 
         0.       5.97      152.7      4.931      0.366           F0316  2   59 
         0.       5.97      167.8      6.151      0.058           F0316  2   60 
