ENTRY            F0322   20210619                             F085F0322  0    1 
SUBENT        F0322001   20210619                             F085F0322  1    1 
BIB                  8         13                                 F0322  1    2 
TITLE      Gamma-ray and neutron yields from the proton           F0322  1    3 
           bombardment of boron                                   F0322  1    4 
AUTHOR     (J.K.Bair,J.D.Kington,H.B.Willard)                     F0322  1    5 
INSTITUTE  (1USAORL)                                              F0322  1    6 
REFERENCE  (J,PR,100,21,1955)                                     F0322  1    7 
FACILITY   (VDG,1USAORL)                                          F0322  1    8 
SAMPLE     Thin boron targets were prepared by evaporating        F0322  1    9 
           elemental boron of natural isotopic ratio on           F0322  1   10 
           tantalum backing.                                      F0322  1   11 
DETECTOR   (NAICR) 3 x 3 in. crystal                              F0322  1   12 
HISTORY    (19850924C)                                            F0322  1   13 
           (19990409U) CNPD: corrected 4-dig. year                F0322  1   14 
           (20210619A) SD: Corrections in all Subents.            F0322  1   15 
ENDBIB              13          0                                 F0322  1   16 
NOCOMMON             0          0                                 F0322  1   17 
ENDSUBENT           16          0                                 F0322  199999 
SUBENT        F0322002   20210619                             F085F0322  2    1 
BIB                  3          7                                 F0322  2    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0322  2    3 
            Counts per unit charge                                F0322  2    4 
STATUS     (CURVE) Fig 3 from Phys.Rev.,100(1955)21               F0322  2    5 
HISTORY    (20210619A) SD: SF9=EXP deleted from REACTION code.    F0322  2    6 
           EN-SEC, ERR-ANALYS deleted. STATUS updated.            F0322  2    7 
           EN-ERR -> EN-ERR-DIG; DATA-ERR -> ERR-DIG. Accuracy    F0322  2    8 
           of digitized data presentation revised.                F0322  2    9 
ENDBIB               7          0                                 F0322  2   10 
COMMON               2          3                                 F0322  2   11 
EN-ERR-DIG ERR-DIG                                                F0322  2   12 
MEV        ARB-UNITS                                              F0322  2   13 
 0.015       1.2                                                  F0322  2   14 
ENDCOMMON            3          0                                 F0322  2   15 
DATA                 4        394                                 F0322  2   16 
ANG        E-LVL      EN         DATA                             F0322  2   17 
ADEG       MEV        MEV        ARB-UNITS                        F0322  2   18 
         0.         0.      2.023       28.9                      F0322  2   19 
         0.         0.      2.040       25.4                      F0322  2   20 
         0.         0.      2.091       25.3                      F0322  2   21 
         0.         0.      2.108       21.9                      F0322  2   22 
         0.         0.      2.108       25.3                      F0322  2   23 
         0.         0.      2.159       21.8                      F0322  2   24 
         0.         0.      2.193       20.0                      F0322  2   25 
         0.         0.      2.210       18.2                      F0322  2   26 
         0.         0.      2.243       18.2                      F0322  2   27 
         0.         0.      2.244       14.7                      F0322  2   28 
         0.         0.      2.278       16.4                      F0322  2   29 
         0.         0.      2.312       16.3                      F0322  2   30 
         0.         0.      2.345       12.8                      F0322  2   31 
         0.         0.      2.397       12.7                      F0322  2   32 
         0.         0.      2.431       12.6                      F0322  2   33 
         0.         0.      2.482       12.5                      F0322  2   34 
         0.         0.      2.499       10.8                      F0322  2   35 
         0.         0.      2.550        8.9                      F0322  2   36 
         0.         0.      2.584        8.9                      F0322  2   37 
         0.         0.      2.619        8.8                      F0322  2   38 
         0.         0.      2.670        7.0                      F0322  2   39 
         0.         0.      2.704        6.9                      F0322  2   40 
         0.         0.      2.720        3.4                      F0322  2   41 
         0.         0.      2.772        3.3                      F0322  2   42 
         0.         0.      2.805        1.5                      F0322  2   43 
         0.         0.      2.857        3.1                      F0322  2   44 
         0.         0.      2.909        4.7                      F0322  2   45 
         0.         0.      2.943        3.0                      F0322  2   46 
         0.         0.      2.978        6.3                      F0322  2   47 
         0.         0.      3.012        6.2                      F0322  2   48 
         0.         0.      3.082       11.2                      F0322  2   49 
         0.         0.      3.116       12.9                      F0322  2   50 
         0.         0.      3.150       11.1                      F0322  2   51 
         0.         0.      3.184       11.0                      F0322  2   52 
         0.         0.      3.218        9.2                      F0322  2   53 
         0.         0.      3.271       14.2                      F0322  2   54 
         0.         0.      3.341       20.9                      F0322  2   55 
         0.         0.      3.410       25.9                      F0322  2   56 
         0.         0.      3.479       29.2                      F0322  2   57 
         0.         0.      3.549       32.5                      F0322  2   58 
         0.         0.      3.601       35.8                      F0322  2   59 
         0.         0.      3.635       35.7                      F0322  2   60 
         0.         0.      3.703       33.8                      F0322  2   61 
         0.         0.      3.754       33.7                      F0322  2   62 
         0.         0.      3.805       30.2                      F0322  2   63 
         0.         0.      3.838       25.0                      F0322  2   64 
         0.         0.      3.890       26.6                      F0322  2   65 
         0.         0.      3.924       24.8                      F0322  2   66 
         0.         0.      3.941       24.8                      F0322  2   67 
         0.         0.      3.958       23.0                      F0322  2   68 
         0.         0.      4.009       21.2                      F0322  2   69 
         0.         0.      4.025       19.5                      F0322  2   70 
         0.         0.      4.060       19.4                      F0322  2   71 
         0.         0.      4.111       19.3                      F0322  2   72 
         0.         0.      4.145       22.6                      F0322  2   73 
         0.         0.      4.146       19.2                      F0322  2   74 
         0.         0.      4.214       20.8                      F0322  2   75 
         0.         0.      4.249       22.4                      F0322  2   76 
         0.         0.      4.282       20.6                      F0322  2   77 
         0.         0.      4.299       18.9                      F0322  2   78 
         0.         0.      4.334       22.2                      F0322  2   79 
         0.         0.      4.369       23.8                      F0322  2   80 
         0.         0.      4.419       20.3                      F0322  2   81 
         0.         0.      4.454       20.2                      F0322  2   82 
         0.         0.      4.523       21.8                      F0322  2   83 
         0.         0.      4.541       26.9                      F0322  2   84 
         0.         0.      4.609       26.7                      F0322  2   85 
         0.         0.      4.661       26.6                      F0322  2   86 
         0.         0.      4.695       28.3                      F0322  2   87 
         0.         0.      4.746       26.5                      F0322  2   88 
