ENTRY            F0335   20080702                             F032F033500000001 
SUBENT        F0335001   20080702                             F032F033500100001 
BIB                  9         13                                 F033500100002 
TITLE      A study of the 10B(d,p)11B reaction                    F033500100003 
AUTHOR     (S.Hinds,R.Middleton)                                  F033500100004 
INSTITUTE  (2UK ALD)                                              F033500100005 
REFERENCE  (J,NP,38,114,1962)                                     F033500100006 
SAMPLE     Self-supporting targets were prepared by evaporating   F033500100007 
           separated  isotope 10B on to a glass slide and         F033500100008 
           stripping off the resulting layer.                     F033500100009 
FACILITY   (VDGT)                                                 F033500100010 
DETECTOR   (MAGSP)                                                F033500100011 
ERR-ANALYS (ERR-T) Total error                                    F033500100012 
HISTORY    (19851004C)                                            F033500100013 
           (19990409A) CNPD: corrected 4-dig. year                F033500100014 
           (20080702A) Reference code was changed                 F033500100015 
ENDBIB              13          0                                 F033500100016 
COMMON               1          3                                 F033500100017 
ERR-T                                                             F033500100018 
PER-CENT                                                          F033500100019 
  30.0                                                            F033500100020 
ENDCOMMON            3          0                                 F033500100021 
ENDSUBENT           20          0                                 F033500199999 
SUBENT        F0335002   19990412                             0000F033500200001 
BIB                  4          6                                 F033500200002 
REACTION   (5-B-10(D,P)5-B-11,PAR,DA,,,EXP)                       F033500200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F033500200004 
           (DATA-ERR) Relative error from graphic bars            F033500200005 
           and digitizing                                         F033500200006 
STATUS     (CURVE) Fig 2                                          F033500200007 
EN-SEC     (E-LVL,5-B-11)                                         F033500200008 
ENDBIB               6          0                                 F033500200009 
COMMON               2          3                                 F033500200010 
EN         ANG-ERR                                                F033500200011 
MEV        ADEG                                                   F033500200012 
  10.10      2.0                                                  F033500200013 
ENDCOMMON            3          0                                 F033500200014 
DATA                 4        275                                 F033500200015 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         F033500200016 
MEV        ADEG       MB/SR      MB/SR                            F033500200017 
     0.         4.61       0.8906     0.1368                      F033500200018 
     0.        14.78       1.883      0.1026                      F033500200019 
     0.        23.28       2.293      0.1367                      F033500200020 
     0.        31.82       1.712      0.0259                      F033500200021 
     0.        38.69       0.6862     0.1368                      F033500200022 
     0.        47.22       0.5154     0.0259                      F033500200023 
     0.        55.74       0.4814     0.0259                      F033500200024 
     0.        64.25       0.4815     0.0259                      F033500200025 
     0.        71.06       0.5843     0.0259                      F033500200026 
     0.        76.18       0.4476     0.0259                      F033500200027 
     0.        83.         0.3451     0.0259                      F033500200028 
     0.        91.52       0.3453     0.0259                      F033500200029 
     0.        98.33       0.3455     0.0259                      F033500200030 
     0.       105.1        0.3456     0.0259                      F033500200031 
     0.       112.         0.3799     0.0259                      F033500200032 
     0.       120.5        0.3801     0.0259                      F033500200033 
     0.       125.6        0.3118     0.0259                      F033500200034 
     0.       134.1        0.4146     0.0259                      F033500200035 
     0.       140.9        0.4147     0.0259                      F033500200036 
     0.       147.7        0.4148     0.0259                      F033500200037 
     0.       154.5        0.5176     0.0259                      F033500200038 
     0.       161.4        0.5519     0.0259                      F033500200039 
     0.       168.2        0.6546     0.0259                      F033500200040 
     0.       175.         0.6206     0.0259                      F033500200041 
     2.144      4.893      0.0864     0.0245                      F033500200042 
     2.144     15.25       0.1208     0.0147                      F033500200043 
     2.144     23.95       0.1013     0.0196                      F033500200044 
     2.144     30.88       0.1063     0.0147                      F033500200045 
     2.144     39.57       0.0966     0.0196                      F033500200046 
     2.144     48.28       0.0722     0.0147                      F033500200047 
     2.144     55.19       0.0869     0.0196                      F033500200048 
     2.144     63.86       0.0919     0.0147                      F033500200049 
     2.144     70.78       0.1018     0.0196                      F033500200050 
     2.144     79.47       0.0872     0.0196                      F033500200051 
     2.144     86.41       0.0922     0.0147                      F033500200052 
     2.144     93.34       0.0972     0.0196                      F033500200053 
     2.144    100.3        0.0973     0.0196                      F033500200054 
     2.144    107.2        0.0777     0.0245                      F033500200055 
     2.144    112.4        0.0827     0.0196                      F033500200056 
     2.144    119.4        0.0681     0.0294                      F033500200057 
     2.144    128.1        0.0829     0.0196                      F033500200058 
     2.144    135.         0.0781     0.0196                      F033500200059 
     2.144    140.2        0.083      0.0196                      F033500200060 
     2.144    155.8        0.0881     0.0147                      F033500200061 
     2.144    159.3        0.0832     0.0146                      F033500200062 
     2.144    164.4        0.1029     0.0196                      F033500200063 
     2.144    169.6        0.1079     0.0196                      F033500200064 
     2.144    176.6        0.1128     0.0147                      F033500200065 
     4.459     19.3        1.222      0.0864                      F033500200066 
     4.459     24.7        1.415      0.0649                      F033500200067 
     4.459     31.32       1.026      0.1072                      F033500200068 
     4.459     41.36       0.5721     0.0135                      F033500200069 
     4.459     48.12       0.3341     0.0135                      F033500200070 
     4.459     58.54       0.2896     0.0135                      F033500200071 
     4.459     63.79       0.3104     0.0135                      F033500200072 
     4.459     72.51       0.3091     0.0135                      F033500200073 
     4.459     81.21       0.2864     0.0135                      F033500200074 
     4.459     86.44       0.2856     0.0135                      F033500200075 
     4.459     95.18       0.3059     0.0135                      F033500200076 
     4.459    100.3        0.2406     0.0135                      F033500200077 
     4.459    107.4        0.2827     0.0135                      F033500200078 
     4.459    114.3        0.2601     0.0135                      F033500200079 
     4.459    121.3        0.3238     0.0135                      F033500200080 
     4.459    130.1        0.3656     0.0135                      F033500200081 
     4.459    137.1        0.3646     0.0135                      F033500200082 
     4.459    145.8        0.3419     0.0135                      F033500200083 
     4.459    150.9        0.2765     0.0135                      F033500200084 
     4.459    156.1        0.2327     0.0135                      F033500200085 
     4.459    163.1        0.2102     0.0135                      F033500200086 
     4.459    170.         0.1661     0.0135                      F033500200087 
     4.459    177.         0.1651     0.0135                      F033500200088 
