ENTRY            F0365   20220524                             F090F0365  0    1 
SUBENT        F0365001   20220524                             F090F0365  1    1 
BIB                 10         15                                 F0365  1    2 
TITLE      Angular distributions of 10B(d,alpha)8Be reactions     F0365  1    3 
           from 0.6 to 1.5 MeV                                    F0365  1    4 
AUTHOR     (R.L.Becker)                                           F0365  1    5 
INSTITUTE  (1USAKTY)                                              F0365  1    6 
REFERENCE  (J,PR,119,1076,1960)                                   F0365  1    7 
FACILITY   (VDG,1USAKTY)                                          F0365  1    8 
SAMPLE     Target of 95% enriched B-10 evaporated onto AL leaf.   F0365  1    9 
ERR-ANALYS (ERR-2) The error in the determination of the          F0365  1   10 
           relative cross sections for both groups.               F0365  1   11 
           (ERR-1) Uncertainty in the normalization               F0365  1   12 
METHOD     (PHD)                                                  F0365  1   13 
DETECTOR   (CSICR)                                                F0365  1   14 
HISTORY    (19851216C)                                            F0365  1   15 
           (19990409A) CNPD: corrected 4-dig. year                F0365  1   16 
           (20220524A) SD: Corrections in all Subents.            F0365  1   17 
ENDBIB              15          0                                 F0365  1   18 
COMMON               4          3                                 F0365  1   19 
EN-RSL-HW  ANG-RSL-HW ERR-1      ERR-2                            F0365  1   20 
MEV        ADEG       PER-CENT   PER-CENT                         F0365  1   21 
 0.006      0.5         15.0       4.0                            F0365  1   22 
ENDCOMMON            3          0                                 F0365  1   23 
ENDSUBENT           22          0                                 F0365  199999 
SUBENT        F0365002   20220524                             F090F0365  2    1 
BIB                  3          4                                 F0365  2    2 
REACTION   (5-B-10(D,A)4-BE-8,PAR,DA)                             F0365  2    3 
STATUS     (CURVE) Fig.4 from Phys.Rev.,119(1960)1076             F0365  2    4 
HISTORY    (20220524A) SD: SF9=EXP deleted from REACTION code.    F0365  2    5 
           EN-ERR1 -> EN-ERR-DIG; DATA-ERR1 -> ERR-DIG.           F0365  2    6 
ENDBIB               4          0                                 F0365  2    7 
COMMON               2          3                                 F0365  2    8 
ANG        EN-ERR-DIG                                             F0365  2    9 
ADEG       MEV                                                    F0365  2   10 
  90.         0.01                                                F0365  2   11 
ENDCOMMON            3          0                                 F0365  2   12 
DATA                 4         14                                 F0365  2   13 
E-LVL      EN         DATA       ERR-DIG                          F0365  2   14 
MEV        MEV        MB/SR      MB/SR                            F0365  2   15 
         0.       0.57       0.07       0.01                      F0365  2   16 
         0.       0.70       0.10       0.01                      F0365  2   17 
         0.       0.83       0.33       0.01                      F0365  2   18 
         0.       0.96       0.41       0.01                      F0365  2   19 
         0.       1.12       0.34       0.01                      F0365  2   20 
         0.       1.30       0.26       0.01                      F0365  2   21 
         0.       1.48       0.34       0.01                      F0365  2   22 
       3.04       0.58       0.98       0.01                      F0365  2   23 
       3.04       0.71       1.57       0.05                      F0365  2   24 
       3.04       0.84       2.49       0.05                      F0365  2   25 
       3.04       0.98       3.15       0.05                      F0365  2   26 
       3.04       1.13       3.33       0.05                      F0365  2   27 
       3.04       1.29       3.58       0.05                      F0365  2   28 
       3.04       1.49       3.83       0.05                      F0365  2   29 
ENDDATA             16          0                                 F0365  2   30 
ENDSUBENT           29          0                                 F0365  299999 
SUBENT        F0365003   20220524                             F090F0365  3    1 
BIB                  3          4                                 F0365  3    2 
REACTION   (5-B-10(D,A)4-BE-8,PAR,DA)                             F0365  3    3 
STATUS     (CURVE) Figs 5,6 from Phys.Rev.,119(1960)1076          F0365  3    4 
HISTORY    (20220524A) SD: SF9=EXP deleted from REACTION code.    F0365  3    5 
           ANG2-ERR -> ANG-ERR-D; DATA-ERR1 -> ERR-DIG.           F0365  3    6 
ENDBIB               4          0                                 F0365  3    7 
COMMON               1          3                                 F0365  3    8 
ANG-ERR-D                                                         F0365  3    9 
ADEG                                                              F0365  3   10 
  1.0                                                             F0365  3   11 
ENDCOMMON            3          0                                 F0365  3   12 
DATA                 5        154                                 F0365  3   13 
E-LVL      EN         ANG-CM     DATA-CM    ERR-DIG               F0365  3   14 
MEV        MEV        ADEG       MB/SR      MB/SR                 F0365  3   15 
         0.       0.58       42.0       0.04       0.02           F0365  3   16 
         0.       0.58       52.2       0.09       0.02           F0365  3   17 
         0.       0.58       62.5       0.09       0.02           F0365  3   18 
         0.       0.58       73.8       0.10       0.02           F0365  3   19 
         0.       0.58       83.1       0.05       0.02           F0365  3   20 
         0.       0.58       92.4       0.08       0.02           F0365  3   21 
         0.       0.58      102.6       0.12       0.02           F0365  3   22 
         0.       0.58      114.0       0.13       0.02           F0365  3   23 
         0.       0.58      124.2       0.17       0.02           F0365  3   24 
         0.       0.58      133.5       0.13       0.02           F0365  3   25 
         0.       0.58      142.8       0.11       0.02           F0365  3   26 
         0.        0.7       41.8       0.07       0.02           F0365  3   27 
         0.        0.7       54.1       0.11       0.02           F0365  3   28 
         0.        0.7       63.4       0.12       0.02           F0365  3   29 
         0.        0.7       72.6       0.16       0.02           F0365  3   30 
         0.        0.7       84.0       0.12       0.02           F0365  3   31 
         0.        0.7       94.2       0.17       0.02           F0365  3   32 
         0.        0.7      104.5       0.15       0.02           F0365  3   33 
         0.        0.7      113.8       0.17       0.02           F0365  3   34 
         0.        0.7      123.1       0.19       0.02           F0365  3   35 
         0.        0.7      134.4       0.22       0.02           F0365  3   36 
         0.        0.7      143.7       0.13       0.02           F0365  3   37 
         0.       0.84       41.5       0.33       0.02           F0365  3   38 
         0.       0.84       52.8       0.40       0.02           F0365  3   39 
         0.       0.84       63.1       0.33       0.02           F0365  3   40 
         0.       0.84       74.4       0.38       0.02           F0365  3   41 
         0.       0.84       85.8       0.41       0.02           F0365  3   42 
         0.       0.84       95.0       0.41       0.02           F0365  3   43 
         0.       0.84      104.3       0.44       0.02           F0365  3   44 
         0.       0.84      114.6       0.42       0.02           F0365  3   45 
         0.       0.84      123.8       0.44       0.02           F0365  3   46 
         0.       0.84      133.1       0.32       0.02           F0365  3   47 
         0.       0.84      143.5       0.20       0.02           F0365  3   48 
         0.       0.97       43.6       0.66       0.02           F0365  3   49 
         0.       0.97       53.9       0.47       0.02           F0365  3   50 
         0.       0.97       65.3       0.41       0.02           F0365  3   51 
         0.       0.97       75.5       0.47       0.02           F0365  3   52 
         0.       0.97       84.8       0.47       0.02           F0365  3   53 
         0.       0.97       95.1       0.43       0.02           F0365  3   54 
         0.       0.97      104.4       0.44       0.02           F0365  3   55 
         0.       0.97      113.6       0.40       0.02           F0365  3   56 
         0.       0.97      123.9       0.46       0.02           F0365  3   57 
         0.       0.97      134.2       0.44       0.02           F0365  3   58 
         0.       0.97      143.5       0.40       0.02           F0365  3   59 
         0.       1.13       41.8       0.37       0.02           F0365  3   60 
         0.       1.13       53.1       0.41       0.02           F0365  3   61 
         0.       1.13       62.3       0.43       0.02           F0365  3   62 
         0.       1.13       74.7       0.39       0.02           F0365  3   63 
         0.       1.13       84.0       0.38       0.02           F0365  3   64 
         0.       1.13       94.3       0.38       0.02           F0365  3   65 
         0.       1.13      104.6       0.36       0.02           F0365  3   66 
         0.       1.13      114.8       0.38       0.02           F0365  3   67 
         0.       1.13      125.1       0.39       0.02           F0365  3   68 
         0.       1.13      133.4       0.35       0.02           F0365  3   69 
         0.       1.13      143.7       0.37       0.02           F0365  3   70 
         0.       1.29       42.9       0.32       0.02           F0365  3   71 
         0.       1.29       55.3       0.26       0.02           F0365  3   72 
         0.       1.29       64.6       0.18       0.02           F0365  3   73 
         0.       1.29       74.8       0.25       0.02           F0365  3   74 
         0.       1.29       85.1       0.25       0.02           F0365  3   75 
         0.       1.29       94.4       0.27       0.02           F0365  3   76 
         0.       1.29      105.6       0.37       0.02           F0365  3   77 
         0.       1.29      115.9       0.37       0.02           F0365  3   78 
         0.       1.29      126.2       0.41       0.02           F0365  3   79 
         0.       1.29      135.4       0.46       0.02           F0365  3   80 
         0.       1.29      143.7       0.44       0.02           F0365  3   81 
