ENTRY            F0392   20220602                             F091F0392  0    1 
SUBENT        F0392001   20220602                             F091F0392  1    1 
BIB                  8         13                                 F0392  1    2 
TITLE      States in 12C and 16O investigated by the 11B(d,n) and F0392  1    3 
           15N(d,n) reactions                                     F0392  1    4 
AUTHOR     (H.Fuchs,K.Grabisch,P.Kraaz,G.Roschert)                F0392  1    5 
INSTITUTE  (2GERBER)                                              F0392  1    6 
REFERENCE  (J,NP/A,105,590,1967)                                  F0392  1    7 
FACILITY   (VDG,2GERBER)                                          F0392  1    8 
METHOD     (TOF)                                                  F0392  1    9 
DETECTOR   (SCIN) 12.5 cm diam x 2.5 cm NE213 liquid scintillatorsF0392  1   10 
           mounted onto XP 1040 photomultipliers.                 F0392  1   11 
HISTORY    (19870326C)                                            F0392  1   12 
           (20220602A) SD: Corrections in all Subents. The        F0392  1   13 
           accuracy of data presentation has been revised.        F0392  1   14 
           Subents 003 and 004 were merged.                       F0392  1   15 
ENDBIB              13          0                                 F0392  1   16 
COMMON               1          3                                 F0392  1   17 
EN                                                                F0392  1   18 
MEV                                                               F0392  1   19 
  6.0                                                             F0392  1   20 
ENDCOMMON            3          0                                 F0392  1   21 
ENDSUBENT           20          0                                 F0392  199999 
SUBENT        F0392002   20220602                             F091F0392  2    1 
BIB                  5         10                                 F0392  2    2 
REACTION   (5-B-11(D,N)6-C-12,PAR,DA,,REL)                        F0392  2    3 
            No explanation of relative units is given             F0392  2    4 
SAMPLE     The boron target consisted of a layer of enriched 11B  F0392  2    5 
           deposited by vacuum evaporation onto a tungsten backingF0392  2    6 
           0.3 mm thickness. The thickness of the boron layer was F0392  2    7 
           estimated to 100 ug/cm2.                               F0392  2    8 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0392  2    9 
STATUS     (CURVE) Fig.3 from Nucl.Phys.,A105(1967)590            F0392  2   10 
HISTORY    (20220602A) SD: SF9=EXP deleted from REACTION code.    F0392  2   11 
           ANG-ERR -> ANG-ERR-D. ERR-DIG added.                   F0392  2   12 
ENDBIB              10          0                                 F0392  2   13 
COMMON               2          3                                 F0392  2   14 
ANG-ERR-D  ERR-DIG                                                F0392  2   15 
ADEG       PER-CENT                                               F0392  2   16 
  2.0        2.                                                   F0392  2   17 
ENDCOMMON            3          0                                 F0392  2   18 
DATA                 4        168                                 F0392  2   19 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         F0392  2   20 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        F0392  2   21 
         0.        0.3   5.05E+01   2.61E+00                      F0392  2   22 
         0.        9.9   5.85E+01   3.02E+00                      F0392  2   23 
         0.       18.4   7.12E+01   3.68E+00                      F0392  2   24 
         0.       26.9   7.86E+01   4.06E+00                      F0392  2   25 
         0.       33.7   7.87E+01   4.06E+00                      F0392  2   26 
         0.       42.3   6.17E+01   3.19E+00                      F0392  2   27 
         0.       50.9   5.08E+01   2.62E+00                      F0392  2   28 
         0.       57.7   4.40E+01   2.27E+00                      F0392  2   29 
         0.       64.6   3.80E+01   1.96E+00                      F0392  2   30 
         0.       73.1   2.98E+01   1.54E+00                      F0392  2   31 
         0.       78.3   2.46E+01   1.27E+00                      F0392  2   32 
         0.       86.8   2.23E+01   1.15E+00                      F0392  2   33 
         0.       97.1   1.93E+01   9.95E-01                      F0392  2   34 
         0.      103.9   2.59E+01   1.33E+00                      F0392  2   35 
         0.      110.7   3.30E+01   1.71E+00                      F0392  2   36 
         0.      117.5   4.22E+01   2.18E+00                      F0392  2   37 
         0.      132.8   5.66E+01   2.92E+00                      F0392  2   38 
         0.      143.0   6.57E+01   3.39E+00                      F0392  2   39 
       4.43        2.6   7.86E+01   4.18E+00                      F0392  2   40 
       4.43       12.8   8.67E+01   4.61E+00                      F0392  2   41 
       4.43       16.1   1.22E+02   6.46E+00                      F0392  2   42 
       4.43       26.4   1.34E+02   7.13E+00                      F0392  2   43 
       4.43       33.2   1.16E+02   6.17E+00                      F0392  2   44 
       4.43       41.8   8.72E+01   4.63E+00                      F0392  2   45 
       4.43       50.4   7.20E+01   3.83E+00                      F0392  2   46 
       4.43       57.3   6.24E+01   3.31E+00                      F0392  2   47 
       4.43       64.1   5.67E+01   3.01E+00                      F0392  2   48 
       4.43       72.6   5.68E+01   3.02E+00                      F0392  2   49 
       4.43       82.9   5.42E+01   2.88E+00                      F0392  2   50 
       4.43       88.0   4.93E+01   2.62E+00                      F0392  2   51 
       4.43       96.5   5.18E+01   2.75E+00                      F0392  2   52 
       4.43      105.1   5.71E+01   3.04E+00                      F0392  2   53 
       4.43      110.2   6.00E+01   3.19E+00                      F0392  2   54 
