ENTRY            F0414   19990412                             0000F041400000001 
SUBENT        F0414001   19990412                             0000F041400100001 
BIB                 10         16                                 F041400100002 
TITLE      Neutron angular distributions from the 9Be(alpha,n)10C F041400100003 
           reaction at 14.1, 13.9 and 13.5 MeV                    F041400100004 
AUTHOR     (A.NILSSON,J.KJELLMAN)                                 F041400100005 
INSTITUTE  (2SWDIPS)                                              F041400100006 
REFERENCE  (J,NP,32,177,196205)                                   F041400100007 
SAMPLE     The target (0.75 mg/cm**2 thick) was made by           F041400100008 
           evaporating Be-metal onto a gold backing.              F041400100009 
METHOD     (TOF,EXTB,PSD)                                         F041400100010 
FACILITY   (CYCLO)                                                F041400100011 
DETECTOR   (SCIN) 5cm x 5 cm plastic scintillator coupled to an   F041400100012 
           RCA 7264 14-stage photomultiplier. A scintillation     F041400100013 
           detector with PSD between gamma-rays and neutrons was  F041400100014 
           used as a monitor.                                     F041400100015 
ERR-ANALYS (EN-ERR) Scale error                                   F041400100016 
HISTORY    (19860627C)                                            F041400100017 
           (19990409A) CNPD: corrected 4-dig. year                F041400100018 
ENDBIB              16          0                                 F041400100019 
COMMON               1          3                                 F041400100020 
EN-ERR                                                            F041400100021 
MEV                                                               F041400100022 
 0.1                                                              F041400100023 
ENDCOMMON            3          0                                 F041400100024 
ENDSUBENT           23          0                                 F041400199999 
SUBENT        F0414002   19990412                             0000F041400200001 
BIB                  4          6                                 F041400200002 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA,,,EXP)                       F041400200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F041400200004 
           (DATA-ERR) Error from graphic bars (statistical errors F041400200005 
           only for Ea=13.5 MeV) and digitizing                   F041400200006 
EN-SEC     (E-LVL,6-C-12)                                         F041400200007 
STATUS     (CURVE) Fig 5,6,7,8,9                                  F041400200008 
ENDBIB               6          0                                 F041400200009 
COMMON               1          3                                 F041400200010 
ANG-ERR                                                           F041400200011 
ADEG                                                              F041400200012 
  1.                                                              F041400200013 
ENDCOMMON            3          0                                 F041400200014 
DATA                 5        193                                 F041400200015 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F041400200016 
MEV        MEV        ADEG       MB/SR      MB/SR                 F041400200017 
    13.5        0.         5.777      0.4126     0.0523           F041400200018 
    13.5        0.        10.12       0.9327     0.065            F041400200019 
    13.5        0.        16.44       1.348      0.065            F041400200020 
    13.5        0.        24.85       1.854      0.0913           F041400200021 
    13.5        0.        33.09       2.046      0.0911           F041400200022 
    13.5        0.        50.38       1.023      0.0523           F041400200023 
    13.5        0.        60.91       0.7068     0.0391           F041400200024 
    13.5        0.        71.54       0.5859     0.065            F041400200025 
    13.5        0.        82.49       1.091      0.052            F041400200026 
    13.5        0.       102.7        0.8622     0.0652           F041400200027 
    13.5        0.       117.3        0.4921     0.0652           F041400200028 
    13.5        0.       131.8        0.8914     0.0393           F041400200029 
    13.5        0.       145.2        1.304      0.0521           F041400200030 
    13.5        0.       153.9        1.353      0.0521           F041400200031 
    13.5        0.       157.5        1.509      0.065            F041400200032 
    13.5        4.44       7.452      2.154      0.1037           F041400200033 
    13.5        4.44      12.58       2.177      0.0903           F041400200034 
    13.5        4.44      19.09       1.993      0.0647           F041400200035 
    13.5        4.44      28.         1.613      0.0647           F041400200036 
    13.5        4.44      35.76       1.739      0.0647           F041400200037 
    13.5        4.44      52.83       1.989      0.0517           F041400200038 
    13.5        4.44      64.48       1.854      0.0515           F041400200039 
    13.5        4.44      74.88       1.422      0.0517           F041400200040 
    13.5        4.44      85.53       1.3        0.0776           F041400200041 
    13.5        4.44     105.8        1.096      0.0644           F041400200042 
    13.5        4.44     120.8        1.309      0.0517           F041400200043 
    13.5        4.44     133.8        1.639      0.0644           F041400200044 
    13.5        4.44     148.         2.124      0.0388           F041400200045 
    13.5        4.44     156.4        2.443      0.0776           F041400200046 
    13.5        4.44     160.9        2.272      0.0517           F041400200047 
    13.5        7.66       5.595      0.4258     0.0458           F041400200048 
    13.5        7.66      11.74       0.5761     0.0393           F041400200049 
    13.5        7.66      17.82       0.4712     0.0393           F041400200050 
    13.5        7.66      25.98       0.5036     0.0393           F041400200051 
    13.5        7.66      35.61       0.3199     0.0327           F041400200052 
    13.5        7.66      52.92       0.365      0.0327           F041400200053 
    13.5        7.66      63.65       0.5152     0.0393           F041400200054 
    13.5        7.66      74.84       0.4493     0.0393           F041400200055 
    13.5        7.66      85.57       0.619      0.0458           F041400200056 
    13.5        7.66     106.4        0.376      0.0393           F041400200057 
    13.5        7.66     121.2        0.4016     0.0327           F041400200058 
    13.5        7.66     133.9        0.5909     0.0393           F041400200059 
    13.5        7.66     147.2        0.7344     0.0393           F041400200060 
    13.5        7.66     155.9        0.8256     0.0393           F041400200061 
    13.5        7.66     159.4        0.6684     0.0327           F041400200062 
    13.5        9.64       2.182      7.046      0.1227           F041400200063 
    13.5        9.64       7.321      7.494      0.2046           F041400200064 
    13.5        9.64      13.93       6.632      0.3273           F041400200065 
    13.5        9.64      20.         5.485      0.1638           F041400200066 
    13.5        9.64      29.17       4.786      0.2046           F041400200067 
    13.5        9.64      37.77       3.064      0.2046           F041400200068 
    13.5        9.64      55.6        1.749      0.0322           F041400200069 
    13.5        9.64      66.85       1.54       0.0322           F041400200070 
    13.5        9.64      78.64       2.068      0.1637           F041400200071 
    13.5        9.64      89.38       1.942      0.0818           F041400200072 
    13.5        9.64     109.8        1.239      0.0322           F041400200073 
    13.5        9.64     124.2        1.684      0.0322           F041400200074 
    13.5        9.64     137.5        2.907      0.2046           F041400200075 
    13.5        9.64     149.4        5.767      0.2044           F041400200076 
    13.5        9.64     158.7        6.337      0.2457           F041400200077 
    13.5        9.64     162.3        7.235      0.2455           F041400200078 
    13.5       10.84       0.4179    13.16       0.3255           F041400200079 
    13.5       10.84       5.549     12.45       0.5208           F041400200080 
    13.5       10.84      12.19      13.43       0.7161           F041400200081 
    13.5       10.84      18.37      11.41       0.7162           F041400200082 
    13.5       10.84      27.61       9.198      0.586            F041400200083 
    13.5       10.84      36.86       6.857      0.4557           F041400200084 
    13.5       10.84      54.81       5.298      0.2605           F041400200085 
    13.5       10.84      66.08       4.91       0.2604           F041400200086 
    13.5       10.84      77.37       3.61       0.3255           F041400200087 
    13.5       10.84      88.63       4.263      0.3256           F041400200088 
    13.5       10.84     108.6        3.812      0.3256           F041400200089 
    13.5       10.84     122.4        4.53       0.2605           F041400200090 
    13.5       10.84     136.2        5.64       0.4558           F041400200091 
    13.5       10.84     149.         8.182      0.7161           F041400200092 
    13.5       10.84     157.2        9.355      0.7812           F041400200093 
    13.5       10.84     161.3        8.184      0.651            F041400200094 
    13.9        0.         5.676      0.217  0.6161E-02           F041400200095 
    13.9        0.        10.96       0.5933 0.6161E-02           F041400200096 
    13.9        0.        16.79       1.035  0.6161E-02           F041400200097 
    13.9        0.        25.73       1.579  0.6161E-02           F041400200098 
    13.9        0.        33.94       1.707  0.6161E-02           F041400200099 
    13.9        0.        50.39       1.036  0.6161E-02           F041400200100 
    13.9        0.        61.42       0.7197 0.6161E-02           F041400200101 
    13.9        0.        72.58       0.6377 0.6161E-02           F041400200102 
    13.9        0.        82.88       0.8689 0.6161E-02           F041400200103 
    13.9        0.       103.3        1.044  0.6161E-02           F041400200104 
    13.9        0.       117.4        0.7268 0.6161E-02           F041400200105 
    13.9        0.       131.2        0.8134 0.6161E-02           F041400200106 
    13.9        0.       153.9        1.445  0.6161E-02           F041400200107 
    13.9        0.       157.5        1.509  0.6161E-02           F041400200108 
    13.9        4.44       6.885      1.417      0.0125           F041400200109 
    13.9        4.44      12.97       1.349      0.0125           F041400200110 
    13.9        4.44      18.55       1.294      0.0125           F041400200111 
    13.9        4.44      27.22       1.264      0.0125           F041400200112 
    13.9        4.44      36.01       1.402      0.0125           F041400200113 
    13.9        4.44      53.05       1.614      0.0125           F041400200114 
    13.9        4.44      64.24       1.544      0.0125           F041400200115 
    13.9        4.44      74.79       1.306      0.0125           F041400200116 
    13.9        4.44      85.41       1.145      0.0125           F041400200117 
    13.9        4.44     105.9        1.213      0.0125           F041400200118 
    13.9        4.44     121.         1.567      0.0125           F041400200119 
    13.9        4.44     134.1        1.923      0.0125           F041400200120 
    13.9        4.44     148.1        2.175      0.0125           F041400200121 
    13.9        4.44     156.8        2.287      0.0125           F041400200122 
    13.9        4.44     160.5        2.428      0.0125           F041400200123 
    13.9        7.66       5.094      0.4586     0.0036           F041400200124 
    13.9        7.66      11.21       0.4845     0.0036           F041400200125 
    13.9        7.66      17.83       0.517      0.0036           F041400200126 
    13.9        7.66      26.96       0.353      0.0036           F041400200127 
    13.9        7.66      35.08       0.2545     0.0036           F041400200128 
    13.9        7.66      53.44       0.3847     0.0036           F041400200129 
    13.9        7.66      64.2        0.6722     0.0036           F041400200130 
    13.9        7.66      86.04       0.4815     0.0036           F041400200131 
    13.9        7.66     106.8        0.1731     0.0036           F041400200132 
    13.9        7.66     121.6        0.2183     0.0036           F041400200133 
    13.9        7.66     134.4        0.316      0.0036           F041400200134 
    13.9        7.66     147.1        0.4333     0.0036           F041400200135 
    13.9        7.66     155.3        0.5246     0.0036           F041400200136 
    13.9        7.66     159.9        0.6815     0.0036           F041400200137 
    13.9        9.64       2.253      8.355      0.0322           F041400200138 
    13.9        9.64       7.824      7.33       0.0322           F041400200139 
    13.9        9.64      13.4        6.428      0.0322           F041400200140 
    13.9        9.64      20.05       6.344      0.0322           F041400200141 
    13.9        9.64      28.65       4.581      0.0322           F041400200142 
    13.9        9.64      38.25       2.45       0.0322           F041400200143 
    13.9        9.64      56.1        1.462      0.0322           F041400200144 
    13.9        9.64      67.88       1.745      0.0322           F041400200145 
    13.9        9.64      78.66       2.477      0.0322           F041400200146 
    13.9        9.64      89.39       2.187      0.0322           F041400200147 
    13.9        9.64     110.3        1.73       0.0322           F041400200148 
    13.9        9.64     123.7        2.339      0.0322           F041400200149 
    13.9        9.64     137.         3.603      0.0322           F041400200150 
    13.9        9.64     149.9        4.58       0.0322           F041400200151 
    13.9        9.64     158.6        5.559      0.0322           F041400200152 
    13.9        9.64     162.7        5.844      0.0322           F041400200153 
    13.9       10.84       0.4112    13.69       0.0323           F041400200154 
    13.9       10.84       6.052     13.16       0.0323           F041400200155 
    13.9       10.84      12.23      10.63       0.0323           F041400200156 
    13.9       10.84      18.39       9.652      0.0323           F041400200157 
    13.9       10.84      28.13       8.613      0.0323           F041400200158 
    13.9       10.84      36.86       7.508      0.0323           F041400200159 
    13.9       10.84      54.81       4.907      0.0323           F041400200160 
    13.9       10.84      66.09       4.714      0.0323           F041400200161 
    13.9       10.84      77.36       4.326      0.0323           F041400200162 
    13.9       10.84      88.63       4.393      0.0323           F041400200163 
    13.9       10.84     109.6        3.421      0.0323           F041400200164 
    13.9       10.84     123.4        4.465      0.0323           F041400200165 
    13.9       10.84     136.8        5.99       0.0323           F041400200166 
    13.9       10.84     149.6        5.773      0.0323           F041400200167 
    13.9       10.84     158.3        6.035      0.0323           F041400200168 
    13.9       10.84     161.9        6.166      0.0323           F041400200169 
    14.1        0.        33.91       0.6769     0.0062           F041400200170 
    14.1        0.        50.27       0.8017     0.0062           F041400200171 
    14.1        0.        61.88       0.6152     0.0062           F041400200172 
    14.1        0.        72.5        0.4812     0.0062           F041400200173 
    14.1        0.        83.75       0.5687     0.0062           F041400200174 
    14.1        0.       102.8        0.8882     0.0062           F041400200175 
    14.1        0.       117.4        0.6486     0.0062           F041400200176 
    14.1        0.       131.2        0.8264     0.0062           F041400200177 
    14.1        0.       145.1        1.161      0.0062           F041400200178 
    14.1        4.44      35.13       0.9111     0.0125           F041400200179 
    14.1        4.44      52.81       1.304      0.0125           F041400200180 
    14.1        4.44      64.58       1.324      0.0125           F041400200181 
    14.1        4.44      74.71       1.189      0.0125           F041400200182 
    14.1        4.44      85.45       1.197      0.0125           F041400200183 
    14.1        4.44     106.2        1.601      0.0125           F041400200184 
    14.1        4.44     120.8        1.904      0.0125           F041400200185 
    14.1        4.44     148.5        2.796      0.0125           F041400200186 
    14.1        7.66      36.12       0.3526     0.0036           F041400200187 
    14.1        7.66      52.96       0.4894     0.0036           F041400200188 
    14.1        7.66      64.18       0.6068     0.0036           F041400200189 
    14.1        7.66      75.42       0.7437     0.0036           F041400200190 
    14.1        7.66      86.06       0.5339     0.0036           F041400200191 
    14.1        7.66     106.4        0.2975     0.0036           F041400200192 
    14.1        7.66     122.1        0.2314     0.0036           F041400200193 
    14.1        7.66     147.1        0.4987     0.0036           F041400200194 
    14.1        9.64      37.84       4.251      0.0322           F041400200195 
    14.1        9.64      56.14       2.158      0.0322           F041400200196 
    14.1        9.64      67.42       2.727      0.0322           F041400200197 
    14.1        9.64      79.22       3.254      0.0322           F041400200198 
    14.1        9.64      88.89       2.433      0.0322           F041400200199 
    14.1        9.64     110.3        1.362      0.0322           F041400200200 
    14.1        9.64     124.2        2.257      0.0322           F041400200201 
    14.1        9.64     150.4        3.721      0.0322           F041400200202 
    14.1       10.84      36.31       9.786      0.0323           F041400200203 
    14.1       10.84      54.78       7.707      0.0323           F041400200204 
    14.1       10.84      66.57       6.732      0.0323           F041400200205 
    14.1       10.84      77.33       6.344      0.0323           F041400200206 
    14.1       10.84      88.11       4.849      0.0323           F041400200207 
    14.1       10.84     109.6        4.593      0.0323           F041400200208 
    14.1       10.84     123.4        6.939      0.0323           F041400200209 
    14.1       10.84     149.5        8.312      0.0323           F041400200210 
ENDDATA            195          0                                 F041400200211 
ENDSUBENT          210          0                                 F041400299999 
SUBENT        F0414003   19990412                             0000F041400300001 
BIB                  4          4                                 F041400300002 
REACTION   (4-BE-9(A,N)6-C-12,PAR,SIG,,,EXP)                      F041400300003 
ERR-ANALYS (ERR-T) Total error                                    F041400300004 
EN-SEC     (E-LVL,6-C-12)                                         F041400300005 
STATUS     (TABLE) P.187                                          F041400300006 
ENDBIB               4          0                                 F041400300007 
COMMON               2          3                                 F041400300008 
EN         ERR-T                                                  F041400300009 
MEV        PER-CENT                                               F041400300010 
  13.5       15.0                                                 F041400300011 
ENDCOMMON            3          0                                 F041400300012 
DATA                 2          5                                 F041400300013 
E-LVL      DATA                                                   F041400300014 
MEV        MB                                                     F041400300015 
     0.        13.                                                F041400300016 
     4.44      19.                                                F041400300017 
     7.66       6.                                                F041400300018 
     9.64      30.                                                F041400300019 
    10.84      57.                                                F041400300020 
ENDDATA              7          0                                 F041400300021 
ENDSUBENT           20          0                                 F041400399999 
ENDENTRY             3          0                                 F041499999999 
