ENTRY            F0415   20220604                             F091F0415  0    1 
SUBENT        F0415001   20220604                             F091F0415  1    1 
BIB                  9         15                                 F0415  1    2 
TITLE      A measurement of the angular distribution of the alpha-F0415  1    3 
           particles from the reaction 11B(p,alpha1)8Be*(2.9 MeV) F0415  1    4 
AUTHOR     (W.Gemeinhardt,D.Kamke)                                F0415  1    5 
INSTITUTE  (2GERMBG)                                              F0415  1    6 
REFERENCE  (J,ZP,255,119,1972)                                    F0415  1    7 
FACILITY   (VDG,2GERMBG)                                          F0415  1    8 
SAMPLE     Self-supporting foils 11B near 50 keV thick for protonsF0415  1    9 
           and 200 keV for alpha particles.                       F0415  1   10 
METHOD     (COINC)                                                F0415  1   11 
DETECTOR   (SOLST) Two silicon surface-barrier detectors on the   F0415  1   12 
           turntable. Lab.angle between them was 180 degr.        F0415  1   13 
           Third detector was placed at the angle 150 degr. and   F0415  1   14 
           used as monitor.                                       F0415  1   15 
HISTORY    (19911216C)                                            F0415  1   16 
           (20220604A) SD: Corrections in all Subents.            F0415  1   17 
ENDBIB              15          0                                 F0415  1   18 
NOCOMMON             0          0                                 F0415  1   19 
ENDSUBENT           18          0                                 F0415  199999 
SUBENT        F0415002   20220604                             F091F0415  2    1 
BIB                  4          4                                 F0415  2    2 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA,,LEG/RS)                     F0415  2    3 
ERR-ANALYS (DATA-ERR) Relative error                              F0415  2    4 
STATUS     (TABLE) Table 2 from Zeitschr.Phys.,255(1972)119       F0415  2    5 
HISTORY    (20220603A) SD: SF9=EXP deleted from REACTION code.    F0415  2    6 
ENDBIB               4          0                                 F0415  2    7 
NOCOMMON             0          0                                 F0415  2    8 
DATA                 5         29                                 F0415  2    9 
EN         NUMBER     E-LVL      DATA-CM    DATA-ERR              F0415  2   10 
MEV        NO-DIM     MEV        NO-DIM     NO-DIM                F0415  2   11 
     1.39       0.         0.         1.         0.017            F0415  2   12 
     1.39       0.         2.94       1.         0.023            F0415  2   13 
     1.39       1.         0.         0.737      0.045            F0415  2   14 
     1.39       1.         2.94      -0.694      0.064            F0415  2   15 
     1.39       2.         0.        -0.525      0.062            F0415  2   16 
     1.39       2.         2.94      -0.034      0.066            F0415  2   17 
     1.39       3.         0.        -0.33       0.066            F0415  2   18 
     1.39       3.         2.94       0.248      0.105            F0415  2   19 
     1.39       4.         0.         0.044      0.056            F0415  2   20 
     1.39       5.         0.         0.067      0.042            F0415  2   21 
     2.         0.         0.         1.         0.007            F0415  2   22 
     2.         1.         0.         0.328      0.014            F0415  2   23 
     2.         2.         0.        -0.305      0.019            F0415  2   24 
     2.         3.         0.        -0.777      0.023            F0415  2   25 
     2.         4.         0.        -0.311      0.029            F0415  2   26 
     2.64       0.         0.         1.         0.008            F0415  2   27 
     2.64       0.         2.94       1.         0.029            F0415  2   28 
     2.64       1.         0.         0.164      0.018            F0415  2   29 
     2.64       1.         2.94      -0.266      0.053            F0415  2   30 
     2.64       2.         0.         0.906      0.029            F0415  2   31 
     2.64       2.         2.94       0.35       0.098            F0415  2   32 
     2.64       3.         0.        -0.196      0.028            F0415  2   33 
     2.64       3.         2.94      -0.168      0.096            F0415  2   34 
     2.64       4.         0.        -0.358      0.032            F0415  2   35 
     2.64       4.         2.94      -0.641      0.141            F0415  2   36 
     2.64       5.         0.         0.144      0.022            F0415  2   37 
     2.64       5.         2.94       0.418      0.116            F0415  2   38 
     2.64       6.         0.         0.114      0.021            F0415  2   39 
     2.64       6.         2.94      -0.161      0.138            F0415  2   40 
ENDDATA             31          0                                 F0415  2   41 
ENDSUBENT           40          0                                 F0415  299999 
ENDENTRY             2          0                                 F041599999999 
