ENTRY            F0435   19990410                             0000F043500000001 
SUBENT        F0435001   19990410                             0000F043500100001 
BIB                 11         11                                 F043500100002 
TITLE      The 10B (p,3He) 8Be reaction                           F043500100003 
AUTHOR     (J.G.JENKIN,L.G.EARWAKER,E.W.TITTERTON)                F043500100004 
INSTITUTE  (3AULCBR)                                              F043500100005 
REFERENCE  (J,PL,4,142,196303)                                    F043500100006 
MONITOR    (5-B-10(P,A)4-BE-7,PAR,DA,,,EXP)                       F043500100007 
MONIT-REF  (,OVERLY+,J,PR,128,(1),315,196210)                     F043500100008 
SAMPLE     A 100 mu-gm/cm**2 self-supporting 10B  target          F043500100009 
ERR-ANALYS (ERR-1) Error of the data from the Overly's paper      F043500100010 
FACILITY   (VDGT)                                                 F043500100011 
DETECTOR   (SOLST)                                                F043500100012 
HISTORY    (19930204C)                                            F043500100013 
ENDBIB              11          0                                 F043500100014 
COMMON               1          3                                 F043500100015 
ERR-1                                                             F043500100016 
PER-CENT                                                          F043500100017 
  10.0                                                            F043500100018 
ENDCOMMON            3          0                                 F043500100019 
ENDSUBENT           18          0                                 F043500199999 
SUBENT        F0435002   19990410                             0000F043500200001 
BIB                  4          6                                 F043500200002 
REACTION   (5-B-10(P,HE3)4-BE-8,PAR,DA,,,EXP)                     F043500200003 
ERR-ANALYS (EN-ERR) Digitizing error                              F043500200004 
           (DATA-ERR) From graphic bars (in afew points) and      F043500200005 
           digitizing error                                       F043500200006 
EN-SEC     (E-LVL,4-BE-8)                                         F043500200007 
STATUS     (CURVE) Fig.1                                          F043500200008 
ENDBIB               6          0                                 F043500200009 
COMMON               2          3                                 F043500200010 
E-LVL      EN-ERR                                                 F043500200011 
MEV        MEV                                                    F043500200012 
 0.         0.025                                                 F043500200013 
ENDCOMMON            3          0                                 F043500200014 
DATA                 4        192                                 F043500200015 
EN         ANG        DATA       DATA-ERR                         F043500200016 
MEV        ADEG       MB/SR      MB/SR                            F043500200017 
     3.77      50.         1.704      0.0483                      F043500200018 
     3.817     50.         1.498      0.0483                      F043500200019 
     3.888     50.         1.293      0.4826                      F043500200020 
     3.934     50.         1.639      0.0483                      F043500200021 
     3.981     50.         1.709      0.0483                      F043500200022 
     3.981     90.         1.426      0.0507                      F043500200023 
     4.028     90.         1.637      0.0507                      F043500200024 
     4.05      50.         2.193      0.0483                      F043500200025 
     4.074     90.         1.919      0.0507                      F043500200026 
     4.097     50.         1.919      0.0483                      F043500200027 
     4.121     90.         1.92       0.0507                      F043500200028 
     4.143     50.         1.989      0.0483                      F043500200029 
     4.144     50.         2.402      0.0483                      F043500200030 
     4.19      90.         2.272      0.0507                      F043500200031 
     4.191     50.         1.99       0.0483                      F043500200032 
     4.236     90.         2.694      0.0507                      F043500200033 
     4.261     50.         2.199      0.0483                      F043500200034 
     4.283     90.         2.485      0.0507                      F043500200035 
     4.306     50.         2.613      0.0483                      F043500200036 
     4.353     90.         2.697      0.0507                      F043500200037 
     4.377     90.         2.488      0.0507                      F043500200038 
     4.378     50.         2.339      0.0483                      F043500200039 
     4.402     50.         1.995      0.0483                      F043500200040 
     4.424     90.         2.559      0.0507                      F043500200041 
     4.449     50.         2.065      0.0483                      F043500200042 
     4.494     90.         2.561      0.2797                      F043500200043 
     4.497     50.         1.653      0.0483                      F043500200044 
     4.565     90.         2.563      0.0507                      F043500200045 
     4.568     50.         1.517      0.0483                      F043500200046 
     4.612     90.         2.494      0.0507                      F043500200047 
     4.613     50.         2.138      0.0483                      F043500200048 
     4.636     90.         2.284      0.0507                      F043500200049 
     4.66      50.         2.001      0.0483                      F043500200050 
     4.706     90.         2.286      0.0507                      F043500200051 
     4.709     50.         1.382      0.0483                      F043500200052 
     4.73      90.         2.216      0.0507                      F043500200053 
     4.731     50.         1.727      0.0483                      F043500200054 
     4.779     50.         1.522      0.0483                      F043500200055 
     4.8       90.         2.218      0.0507                      F043500200056 
     4.848     50.         1.799      0.0483                      F043500200057 
     4.871     90.         2.15       0.0507                      F043500200058 
     4.894     90.         2.221      0.0507                      F043500200059 
     4.92      50.         1.387      0.3447                      F043500200060 
     4.94      90.         2.432      0.0507                      F043500200061 
     4.966     50.         1.526      0.0483                      F043500200062 
     4.988     90.         2.293      0.0507                      F043500200063 
     5.012     50.         1.872      0.0483                      F043500200064 
     5.034     90.         2.364      0.0507                      F043500200065 
     5.06      50.         1.598      0.0483                      F043500200066 
     5.082     90.         2.226      0.0507                      F043500200067 
     5.107     50.         1.668      0.0483                      F043500200068 
     5.128     90.         2.297      0.0507                      F043500200069 
     5.176     90.         2.158      0.0507                      F043500200070 
     5.178     50.         1.256      0.0483                      F043500200071 
     5.201     50.         1.463      0.0483                      F043500200072 
     5.222     90.         2.229      0.0507                      F043500200073 
     5.269     90.         2.3        0.0507                      F043500200074 
     5.271     50.         1.534      0.0483                      F043500200075 
     5.319     50.         1.397      0.0483                      F043500200076 
     5.34      90.         2.232      0.0507                      F043500200077 
     5.365     50.         1.398      0.0483                      F043500200078 
     5.386     90.         2.444      0.0507                      F043500200079 
     5.412     50.         1.537      0.0483                      F043500200080 
     5.433     90.         2.235      0.2804                      F043500200081 
     5.459     50.         1.401      0.0483                      F043500200082 
     5.505     50.         1.747      0.0483                      F043500200083 
     5.527     90.         2.307      0.0507                      F043500200084 
     5.553     50.         1.472      0.0483                      F043500200085 
     5.574     90.         2.448      0.0507                      F043500200086 
     5.599     50.         1.611      0.0483                      F043500200087 
     5.621     90.         2.38       0.0507                      F043500200088 
     5.646     50.         1.819      0.0483                      F043500200089 
     5.667     90.         2.521      0.0507                      F043500200090 
     5.712     90.         3.083      0.0507                      F043500200091 
     5.716     50.         1.959      0.0483                      F043500200092 
     5.761     90.         2.594      0.0507                      F043500200093 
     5.761     90.         2.664      0.0507                      F043500200094 
     5.763     50.         1.96       0.0483                      F043500200095 
     5.81      50.         1.961      0.3447                      F043500200096 
     5.83      90.         2.876      0.0507                      F043500200097 
     5.856     50.         2.169      0.0483                      F043500200098 
     5.878     90.         2.737      0.0507                      F043500200099 
     5.901     90.         2.878      0.0507                      F043500200100 
     5.903     50.         2.17       0.0483                      F043500200101 
     5.97      90.         3.09       0.0507                      F043500200102 
     5.973     50.         2.172      0.0483                      F043500200103 
     6.017     90.         3.091      0.0507                      F043500200104 
     6.02      50.         2.311      0.0483                      F043500200105 
     6.065     90.         2.952      0.0507                      F043500200106 
     6.066     50.         2.381      0.0483                      F043500200107 
     6.089     50.         2.588      0.0483                      F043500200108 
     6.112     90.         2.953      0.0507                      F043500200109 
     6.113     50.         2.658      0.0483                      F043500200110 
     6.158     90.         3.235      0.0507                      F043500200111 
     6.159     50.         2.659      0.0483                      F043500200112 
     6.183     50.         2.66       0.0483                      F043500200113 
     6.205     90.         3.166      0.0507                      F043500200114 
     6.23      50.         2.592      0.0483                      F043500200115 
     6.251     90.         3.307      0.0507                      F043500200116 
     6.252     50.         3.006      0.0483                      F043500200117 
     6.299     90.         2.958      0.0507                      F043500200118 
     6.323     50.         3.008      0.0483                      F043500200119 
     6.369     90.         3.24       0.0507                      F043500200120 
     6.393     90.         3.031      0.0507                      F043500200121 
     6.416     50.         3.079      0.0483                      F043500200122 
     6.463     50.         3.149      0.0483                      F043500200123 
     6.464     90.         2.822      0.0507                      F043500200124 
     6.486     90.         3.103      0.0507                      F043500200125 
     6.51      50.         3.081      0.0483                      F043500200126 
     6.556     50.         3.358      0.0483                      F043500200127 
     6.557     90.         2.895      0.0507                      F043500200128 
     6.604     50.         3.153      0.0483                      F043500200129 
     6.604     90.         2.896      0.0507                      F043500200130 
     6.652     90.         2.687      0.0507                      F043500200131 
     6.674     50.         3.154      0.0483                      F043500200132 
     6.698     50.         2.879      0.0483                      F043500200133 
     6.699     90.         2.618      0.0507                      F043500200134 
     6.722     90.         2.829      0.0507                      F043500200135 
     6.745     50.         2.88       0.0483                      F043500200136 
     6.793     90.         2.55       0.0507                      F043500200137 
     6.815     50.         2.951      0.0483                      F043500200138 
     6.84      90.         2.481      0.0507                      F043500200139 
     6.862     50.         3.021      0.0483                      F043500200140 
     6.887     90.         2.553      0.0507                      F043500200141 
     6.91      50.         2.747      0.0483                      F043500200142 
     6.934     90.         2.484      0.0507                      F043500200143 
     6.957     50.         2.61       0.0483                      F043500200144 
     7.003     50.         2.818      0.0483                      F043500200145 
     7.027     50.         2.68       0.0483                      F043500200146 
     7.028     90.         2.276      0.0507                      F043500200147 
     7.075     90.         2.277      0.0507                      F043500200148 
     7.121     50.         2.545      0.0483                      F043500200149 
     7.122     90.         2.279      0.0507                      F043500200150 
     7.145     50.         2.477      0.0483                      F043500200151 
     7.192     50.         2.478      0.0483                      F043500200152 
     7.193     90.         2.28       0.0507                      F043500200153 
     7.239     50.         2.41       0.0483                      F043500200154 
     7.286     50.         2.342      0.0483                      F043500200155 
     7.357     50.         2.344      0.0483                      F043500200156 
     7.403     50.         2.483      0.0483                      F043500200157 
     7.427     50.         2.345      0.0483                      F043500200158 
     7.474     50.         2.278      0.0483                      F043500200159 
     7.544     50.         2.486      0.0483                      F043500200160 
     7.59      50.         2.556      0.0483                      F043500200161 
     7.638     50.         2.213      0.0483                      F043500200162 
     7.686     50.         2.145      0.0483                      F043500200163 
     7.733     50.         2.077      0.0483                      F043500200164 
     7.803     50.         2.01       0.3442                      F043500200165 
     7.85      50.         2.08       0.0483                      F043500200166 
     7.897     50.         2.012      0.0483                      F043500200167 
     7.968     50.         1.876      0.0483                      F043500200168 
     8.015     50.         1.877      0.0483                      F043500200169 
     8.062     50.         1.809      0.0483                      F043500200170 
     8.109     50.         1.673      0.0483                      F043500200171 
     8.155     50.         1.881      0.0483                      F043500200172 
     8.202     50.         1.882      0.0483                      F043500200173 
     8.249     50.         1.883      0.0483                      F043500200174 
     8.273     50.         1.677      0.0483                      F043500200175 
     8.343     50.         1.816      0.0483                      F043500200176 
     8.39      50.         1.818      0.0483                      F043500200177 
     8.437     50.         1.819      0.0483                      F043500200178 
     8.484     50.         1.751      0.0483                      F043500200179 
     8.555     50.         1.684      0.0483                      F043500200180 
     8.578     50.         1.822      0.0483                      F043500200181 
     8.625     50.         1.823      0.0483                      F043500200182 
     8.672     50.         1.687      0.0483                      F043500200183 
     8.742     50.         1.688      0.0483                      F043500200184 
     8.765     50.         1.896      0.0483                      F043500200185 
     8.836     50.         1.691      0.0483                      F043500200186 
     8.882     50.         1.899      0.0483                      F043500200187 
     8.93      50.         1.693      0.0483                      F043500200188 
     8.976     50.         1.901      0.0483                      F043500200189 
     9.024     50.         1.764      0.0483                      F043500200190 
     9.07      50.         1.834      0.0483                      F043500200191 
     9.118     50.         1.629      0.0483                      F043500200192 
     9.188     50.         1.768      0.0483                      F043500200193 
