ENTRY            F0442   20220606                             F092F0442  0    1 
SUBENT        F0442001   20220606                             F092F0442  1    1 
BIB                  8         12                                 F0442  1    2 
TITLE      Angular distribution of the reaction 11B(p,alpha0)     F0442  1    3 
           at 100 to 300 keV                                      F0442  1    4 
AUTHOR     (R.Bouchez,H.Beaumevielle,J.Fleury,P.Perrin,           F0442  1    5 
           R.De Swiniarski,M.Chabre)                              F0442  1    6 
INSTITUTE  (2FR GRE)                                              F0442  1    7 
REFERENCE  (J,JPR,21,819,1960)                                    F0442  1    8 
FACILITY   (VDG,2FR GRE)                                          F0442  1    9 
SAMPLE     99% enriched 11B 20 ug/cm2 thick.                      F0442  1   10 
DETECTOR   (SCIN) 5 mm thick.                                     F0442  1   11 
HISTORY    (19930119C)                                            F0442  1   12 
           (19990409A) CNPD: corrected 4-dig. year                F0442  1   13 
           (20220606A) SD: Corrections in all Subents.            F0442  1   14 
ENDBIB              12          0                                 F0442  1   15 
NOCOMMON             0          0                                 F0442  1   16 
ENDSUBENT           15          0                                 F0442  199999 
SUBENT        F0442002   20220606                             F092F0442  2    1 
BIB                  4          5                                 F0442  2    2 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA,,RSD)                        F0442  2    3 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0442  2    4 
STATUS     (CURVE) Fig.5 from J.Phys.,21(1960)819                 F0442  2    5 
HISTORY    (20220606A) SD: SF9=EXP deleted from REACTION code.    F0442  2    6 
           COS-ERR -> COS-ERR-D.                                  F0442  2    7 
ENDBIB               5          0                                 F0442  2    8 
COMMON               2          3                                 F0442  2    9 
E-LVL      COS-ERR-D                                              F0442  2   10 
MEV        NO-DIM                                                 F0442  2   11 
 0.         0.0065                                                F0442  2   12 
ENDCOMMON            3          0                                 F0442  2   13 
DATA                 4         50                                 F0442  2   14 
EN         COS-CM     DATA-CM    DATA-ERR                         F0442  2   15 
MEV        NO-DIM     NO-DIM     NO-DIM                           F0442  2   16 
      0.148     0.6493     1.2930     0.0909                      F0442  2   17 
      0.148     0.5475     1.2020     0.0796                      F0442  2   18 
      0.148     0.2755     1.0870     0.0682                      F0442  2   19 
      0.148    -0.0031     1.0050     0.0568                      F0442  2   20 
      0.148    -0.3150     1.0150     0.0568                      F0442  2   21 
      0.148    -0.5880     1.0590     0.0682                      F0442  2   22 
      0.148    -0.7813     1.0920     0.0795                      F0442  2   23 
      0.148    -0.8957     1.2040     0.0682                      F0442  2   24 
       0.17     0.7662     1.1960     0.0697                      F0442  2   25 
       0.17     0.7107     0.9864     0.0698                      F0442  2   26 
       0.17     0.6542     0.9395     0.0698                      F0442  2   27 
       0.17     0.5638     0.8575     0.0698                      F0442  2   28 
       0.17     0.4043     0.9262     0.0581                      F0442  2   29 
       0.17     0.2900     1.0180     0.0698                      F0442  2   30 
       0.17     0.1198     0.9825     0.0465                      F0442  2   31 
       0.17    -0.0039     0.9698     0.0582                      F0442  2   32 
       0.17    -0.3453     0.8514     0.0698                      F0442  2   33 
       0.17    -0.5843     0.9080     0.0930                      F0442  2   34 
       0.17    -0.6986     1.0120     0.0698                      F0442  2   35 
       0.17    -0.7563     1.1510     0.0930                      F0442  2   36 
       0.17    -0.8593     1.2670     0.1047                      F0442  2   37 
       0.17    -0.9053     1.3590     0.0814                      F0442  2   38 
        0.2     0.7218     0.5343     0.0714                      F0442  2   39 
        0.2     0.5272     0.8309     0.0596                      F0442  2   40 
        0.2     0.2884     0.8773     0.0714                      F0442  2   41 
        0.2    -0.0030     1.0300     0.0714                      F0442  2   42 
        0.2    -0.1783     1.0420     0.0714                      F0442  2   43 
        0.2    -0.3266     1.1720     0.0834                      F0442  2   44 
        0.2    -0.4396     1.0280     0.0595                      F0442  2   45 
        0.2    -0.4967     1.0990     0.0595                      F0442  2   46 
        0.2    -0.5431     1.2900     0.0595                      F0442  2   47 
        0.2    -0.6007     1.4680     0.0595                      F0442  2   48 
        0.2    -0.6684     1.3720     0.0714                      F0442  2   49 
        0.2    -0.7596     1.4310     0.0714                      F0442  2   50 
        0.2    -0.8169     1.5380     0.0595                      F0442  2   51 
        0.2    -0.8743     1.6450     0.0595                      F0442  2   52 
      0.255     0.7040     0.6021     0.0589                      F0442  2   53 
      0.255     0.6470     0.6252     0.0706                      F0442  2   54 
      0.255     0.5668     0.7424     0.0824                      F0442  2   55 
      0.255     0.2930     0.9172     0.0706                      F0442  2   56 
      0.255    -0.0037     1.0330     0.0706                      F0442  2   57 
      0.255    -0.1971     1.1850     0.0941                      F0442  2   58 
      0.255    -0.2749     0.8784     0.0942                      F0442  2   59 
      0.255    -0.3317     0.8780     0.0824                      F0442  2   60 
      0.255    -0.3798     1.3250     0.0470                      F0442  2   61 
      0.255    -0.4372     1.4300     0.0588                      F0442  2   62 
      0.255    -0.5044     1.2650     0.1177                      F0442  2   63 
      0.255    -0.5832     1.1350     0.0588                      F0442  2   64 
      0.255    -0.7207     1.3230     0.0824                      F0442  2   65 
      0.255    -0.8926     1.5810     0.0588                      F0442  2   66 
ENDDATA             52          0                                 F0442  2   67 
ENDSUBENT           66          0                                 F0442  299999 
ENDENTRY             2          0                                 F044299999999 
