ENTRY            F0447   19990412                             0000F044700000001 
SUBENT        F0447001   19990412                             0000F044700100001 
BIB                  7         10                                 F044700100002 
TITLE      Multistep contributions to 11B(3He,a)10B from          F044700100003 
           8.0 to 12.0 MeV                                        F044700100004 
AUTHOR     (W.R.COKER,J.LIN,J.L.DUGGAN,P.D.MILLER)                F044700100005 
INSTITUTE  (1USAORD)                                              F044700100006 
REFERENCE  (J,PL/B,45,321,197308)                                 F044700100007 
SAMPLE     Self-supported 11B targets of thickness ranging        F044700100008 
           from 20 mu-g/cm**2 to 50 mu-g/cm**2 were used          F044700100009 
FACILITY   (VDG)                                                  F044700100010 
HISTORY    (19930115C)                                            F044700100011 
           (19990409A) CNPD: corrected 4-dig. year                F044700100012 
ENDBIB              10          0                                 F044700100013 
NOCOMMON             0          0                                 F044700100014 
ENDSUBENT           13          0                                 F044700199999 
SUBENT        F0447002   19990412                             0000F044700200001 
BIB                  4          5                                 F044700200002 
REACTION   (5-B-11(HE3,A)5-B-10,PAR,DA,,,EXP)                     F044700200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F044700200004 
           (DATA-ERR) From graphic bars end digitizing error      F044700200005 
EN-SEC     (E-LVL,5-B-10)                                         F044700200006 
STATUS     (CURVE) Fig.1                                          F044700200007 
ENDBIB               5          0                                 F044700200008 
COMMON               2          3                                 F044700200009 
E-LVL      ANG-ERR                                                F044700200010 
MEV        ADEG                                                   F044700200011 
  0.         1.                                                   F044700200012 
ENDCOMMON            3          0                                 F044700200013 
DATA                 4         65                                 F044700200014 
EN         ANG-CM     DATA-CM    DATA-ERR                         F044700200015 
MEV        ADEG       MB/SR      MB/SR                            F044700200016 
     8.         5.501      3.352      0.4207                      F044700200017 
     8.         7.216      3.067      0.0399                      F044700200018 
     8.        10.66       2.805      0.3516                      F044700200019 
     8.        14.09       2.348      0.2943                      F044700200020 
     8.        16.66       1.966      0.3127                      F044700200021 
     8.        20.07       1.42       0.2256                      F044700200022 
     8.        26.06       0.9382     0.1178                      F044700200023 
     8.        32.08       0.7621     0.0957                      F044700200024 
     8.        39.02       0.8565     0.0793                      F044700200025 
     8.        45.05       0.7381     0.0925                      F044700200026 
     8.        48.47       0.5655     0.0709                      F044700200027 
     8.        55.35       0.4593     0.0731                      F044700200028 
     8.        61.41       0.4588     0.073                       F044700200029 
     8.        67.47       0.4861     0.0942                      F044700200030 
     8.        72.68       0.5465     0.0869                      F044700200031 
     8.        83.08       0.6138     0.0769                      F044700200032 
     8.        95.19       0.5773     0.0918                      F044700200033 
     8.       104.7        0.4687     0.0587                      F044700200034 
     8.       115.         0.4156     0.0521                      F044700200035 
     8.       125.4        0.4027     0.0641                      F044700200036 
    10.         5.155      4.637      0.9367                      F044700200037 
    10.         6.878      4.495      0.4326                      F044700200038 
    10.        11.2        4.354      0.0498                      F044700200039 
    10.        13.76       3.732      0.0427                      F044700200040 
    10.        18.06       3.197      0.3085                      F044700200041 
    10.        19.75       2.658      0.348                       F044700200042 
    10.        22.29       2.078      0.3448                      F044700200043 
    10.        26.57       1.674      0.2192                      F044700200044 
    10.        32.55       1.156      0.1919                      F044700200045 
    10.        36.01       1.12       0.1856                      F044700200046 
    10.        38.61       1.155      0.2332                      F044700200047 
    10.        44.63       0.9589     0.1253                      F044700200048 
    10.        49.73       0.623      0.1034                      F044700200049 
    10.        56.58       0.4575     0.0598                      F044700200050 
    10.        62.63       0.443      0.0427                      F044700200051 
    10.        67.88       0.5655     0.0938                      F044700200052 
    10.        73.08       0.6192     0.1026                      F044700200053 
    10.        79.12       0.5639     0.0737                      F044700200054 
    10.        84.28       0.483      0.0803                      F044700200055 
    10.        90.32       0.4398     0.0424                      F044700200056 
    10.        96.35       0.3884     0.0507                      F044700200057 
    10.       100.7        0.3879     0.0373                      F044700200058 
    10.       105.8        0.3533     0.0462                      F044700200059 
    10.       111.         0.3218     0.042                       F044700200060 
    10.       115.3        0.2931     0.0383                      F044700200061 
    12.        16.81       3.205      0.4188                      F044700200062 
    12.        19.39       2.585      0.3377                      F044700200063 
    12.        22.82       1.843      0.1778                      F044700200064 
    12.        25.38       1.275      0.1664                      F044700200065 
    12.        31.42       1.06       0.1385                      F044700200066 
    12.        38.35       1.235      0.1612                      F044700200067 
    12.        44.4        1.058      0.1383                      F044700200068 
    12.        50.41       0.6275     0.1041                      F044700200069 
    12.        55.55       0.3837     0.0637                      F044700200070 
    12.        61.61       0.3719     0.0617                      F044700200071 
    12.        66.81       0.4202     0.0549                      F044700200072 
    12.        73.72       0.383      0.0501                      F044700200073 
    12.        78.9        0.3283     0.0429                      F044700200074 
    12.        84.08       0.2814     0.0467                      F044700200075 
    12.        90.14       0.3083     0.0512                      F044700200076 
    12.        94.48       0.3485     0.0455                      F044700200077 
    12.       100.5        0.3275     0.0543                      F044700200078 
    12.       105.7        0.264      0.0438                      F044700200079 
    12.       110.9        0.2128     0.0353                      F044700200080 
    12.       113.4        0.1664     0.0276                      F044700200081 
ENDDATA             67          0                                 F044700200082 
ENDSUBENT           81          0                                 F044700299999 
ENDENTRY             2          0                                 F044799999999 
