ENTRY            F0452   19990412                             0000F045200000001 
SUBENT        F0452001   19990412                             0000F045200100001 
BIB                 11         24                                 F045200100002 
TITLE      Analysis of the 9Be(d,alpha0)7Li g.s. and              F045200100003 
           9Be(d,alpha)7Li* (470 keV) reactions in terms of the   F045200100004 
           two nucleon distorted-wave born approximation          F045200100005 
AUTHOR     (I.SLEDZINSKA,A.SAGANEK,Z.WILHELMI,B.ZWIEGLINSKI)      F045200100006 
INSTITUTE  (3POLIPJ)                                              F045200100007 
REFERENCE  (J,APP/B,8,227,197703)                                 F045200100008 
MONITOR    (4-BE-9(D,EL)4-BE-9,,DA,,RTH,EXP)                      F045200100009 
MONIT-REF  (,MACHALI+,J,AKE,13,(1),29,196802)                     F045200100010 
           For normalization a complete spectrum at 150 degr.     F045200100011 
           containing the elastic scattering peaks has been       F045200100012 
           measured for each energy.                              F045200100013 
SAMPLE     Targets were prepared by vacuum evaporation of         F045200100014 
           spectroscopically pure beryllium metal on thin         F045200100015 
           organic backings. The average thickness of the         F045200100016 
           beryllium layer was 40 mu-g/cm**2                      F045200100017 
FACILITY   (VDG)                                                  F045200100018 
DETECTOR   (SOLST) Two silicon surface-barrier detectors. One of  F045200100019 
           them was rotated to measure angular distributions whileF045200100020 
           the second one served for monitoring.                  F045200100021 
ERR-ANALYS (ERR-1) Error of normalization                         F045200100022 
           (DATA-ERR) Digitizing error                            F045200100023 
           (ERR-S) Max. statistical error                         F045200100024 
HISTORY    (19860503C)                                            F045200100025 
           (19990409A) CNPD: corrected 4-dig. year                F045200100026 
ENDBIB              24          0                                 F045200100027 
COMMON               2          3                                 F045200100028 
ERR-1      ERR-S                                                  F045200100029 
PER-CENT   PER-CENT                                               F045200100030 
  5.0        3.0                                                  F045200100031 
ENDCOMMON            3          0                                 F045200100032 
ENDSUBENT           31          0                                 F045200199999 
SUBENT        F0452002   19990412                             0000F045200200001 
BIB                  4          4                                 F045200200002 
REACTION   (4-BE-9(D,A)3-LI-7,PAR,DA,,,EXP)                       F045200200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F045200200004 
EN-SEC     (E-LVL,3-LI-7)                                         F045200200005 
STATUS     (CURVE) Fig 1,2                                        F045200200006 
ENDBIB               4          0                                 F045200200007 
COMMON               2          3                                 F045200200008 
ANG-ERR    DATA-ERR                                               F045200200009 
ADEG       MB/SR                                                  F045200200010 
  1.         0.04                                                 F045200200011 
ENDCOMMON            3          0                                 F045200200012 
DATA                 4        335                                 F045200200013 
EN         E-LVL      ANG-CM     DATA-CM                          F045200200014 
MEV        MEV        ADEG       MB/SR                            F045200200015 
     2.25       0.        19.97       4.786                       F045200200016 
     2.25       0.        24.75       4.555                       F045200200017 
     2.25       0.        32.45       4.645                       F045200200018 
     2.25       0.        37.31       4.256                       F045200200019 
     2.25       0.        42.26       3.708                       F045200200020 
     2.25       0.        48.59       3.479                       F045200200021 
     2.25       0.        54.91       3.25                        F045200200022 
     2.25       0.        64.16       3.343                       F045200200023 
     2.25       0.        74.79       3.755                       F045200200024 
     2.25       0.        85.37       4.246                       F045200200025 
     2.25       0.        93.15       4.177                       F045200200026 
     2.25       0.        96.34       4.023                       F045200200027 
     2.25       0.       101.2        3.713                       F045200200028 
     2.25       0.       105.9        3.561                       F045200200029 
     2.25       0.       110.8        3.172                       F045200200030 
     2.25       0.       115.7        2.703                       F045200200031 
     2.25       0.       122.         2.474                       F045200200032 
     2.25       0.       126.8        2.164                       F045200200033 
     2.25       0.       134.8        1.779                       F045200200034 
     2.25       0.       142.6        1.711                       F045200200035 
     2.25       0.       150.2        1.96                        F045200200036 
     2.25       0.       163.8        2.614                       F045200200037 
     2.25       0.48      23.79       4.683                       F045200200038 
     2.25       0.48      27.1        4.211                       F045200200039 
     2.25       0.48      33.15       4.457                       F045200200040 
     2.25       0.48      41.09       3.991                       F045200200041 
     2.25       0.48      45.94       3.521                       F045200200042 
     2.25       0.48      50.6        3.448                       F045200200043 
     2.25       0.48      56.88       3.218                       F045200200044 
     2.25       0.48      67.75       3.073                       F045200200045 
     2.25       0.48      78.69       2.77                        F045200200046 
     2.25       0.48      89.56       2.625                       F045200200047 
     2.25       0.48      94.26       2.473                       F045200200048 
     2.25       0.48     102.2        2.086                       F045200200049 
     2.25       0.48     108.4        2.014                       F045200200050 
     2.25       0.48     119.3        1.791                       F045200200051 
     2.25       0.48     127.1        1.563                       F045200200052 
     2.25       0.48     138.         1.338                       F045200200053 
     2.25       0.48     147.3        1.35                        F045200200054 
     2.25       0.48     153.3        1.675                       F045200200055 
     2.25       0.48     165.5        1.929                       F045200200056 
     2.4        0.        13.71       5.656                       F045200200057 
     2.4        0.        20.         5.506                       F045200200058 
     2.4        0.        26.41       5.116                       F045200200059 
     2.4        0.        31.14       4.964                       F045200200060 
     2.4        0.        37.6        4.494                       F045200200061 
     2.4        0.        42.55       3.943                       F045200200062 
     2.4        0.        48.83       3.793                       F045200200063 
     2.4        0.        52.1        3.478                       F045200200064 
