ENTRY            F0463   20240207                             F097F0463  0    1 
SUBENT        F0463001   20240207                             F097F0463  1    1 
BIB                 10         17                                 F0463  1    2 
TITLE      A study of the 11B(3He,p)13C and 11B(3He,3He)11B       F0463  1    3 
           reactions                                              F0463  1    4 
AUTHOR     (H.L.Adair)                                            F0463  1    5 
INSTITUTE  (1USAORL)                                              F0463  1    6 
REFERENCE  ((R,ORNL-4339,1969)=(T,ADAIR,1968)) Master thesis      F0463  1    7 
           presented to Univ. of Tenesee                          F0463  1    8 
FACILITY   (VDG,1USAORL)                                          F0463  1    9 
SAMPLE     Self - supporting films of 11B                         F0463  1   10 
METHOD     (PHD,BCINT)                                            F0463  1   11 
ERR-ANALYS In addition to the statistical error, the absolute     F0463  1   12 
           cross sections could vary +-15% due to errors in foil  F0463  1   13 
           thickness measurements and +-5%  due to the acceptance F0463  1   14 
           angle measurement.                                     F0463  1   15 
DETECTOR   (SIBAR)                                                F0463  1   16 
HISTORY    (19930208C)                                            F0463  1   17 
           (20240207A) SD: Corrections in all Subents.            F0463  1   18 
           Subents 003-005 were merged.                           F0463  1   19 
ENDBIB              17          0                                 F0463  1   20 
NOCOMMON             0          0                                 F0463  1   21 
ENDSUBENT           20          0                                 F0463  199999 
SUBENT        F0463002   20240207                             F097F0463  2    1 
BIB                  4          7                                 F0463  2    2 
REACTION   (5-B-11(HE3,P)6-C-13,PAR,DA)                           F0463  2    3 
ERR-ANALYS (ERR-S) Statistical error                              F0463  2    4 
           (ERR-1) Absolute error                                 F0463  2    5 
STATUS     (CURVE,,H.L.Adair,R,ORNL-4339,1969) Fig.12-20          F0463  2    6 
HISTORY    (20240207A) SD: SF9=EXP deleted from REACTION code.    F0463  2    7 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-S;               F0463  2    8 
           DATA-ERR1 -> ERR-1. STATUS updated.                    F0463  2    9 
ENDBIB               7          0                                 F0463  2   10 
COMMON               2          3                                 F0463  2   11 
ERR-1      ANG-ERR-D                                              F0463  2   12 
PER-CENT   ADEG                                                   F0463  2   13 
  16.           1.                                                F0463  2   14 
ENDCOMMON            3          0                                 F0463  2   15 
DATA                 5        143                                 F0463  2   16 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 F0463  2   17 
MEV        MEV        ADEG       MB/SR      MB/SR                 F0463  2   18 
        12.         0.        15.   1.77E-01   1.41E-03           F0463  2   19 
        12.         0.        22.   1.91E-01   1.41E-03           F0463  2   20 
        12.         0.        25.   2.01E-01   1.41E-03           F0463  2   21 
        12.         0.        27.   2.22E-01   1.41E-03           F0463  2   22 
        12.         0.        30.   2.41E-01   1.41E-03           F0463  2   23 
        12.         0.        33.   2.75E-01   1.41E-03           F0463  2   24 
        12.         0.        36.   3.01E-01   1.41E-03           F0463  2   25 
        12.         0.        38.   3.10E-01   1.41E-03           F0463  2   26 
        12.         0.        44.   2.84E-01   1.41E-03           F0463  2   27 
        12.         0.        49.   2.38E-01   1.41E-03           F0463  2   28 
        12.         0.        54.   2.10E-01   1.41E-03           F0463  2   29 
        12.         0.        60.   1.72E-01   1.41E-03           F0463  2   30 
        12.         0.        65.   1.51E-01   1.41E-03           F0463  2   31 
        12.         0.        70.   1.42E-01   1.41E-03           F0463  2   32 
        12.         0.        75.   1.19E-01   1.41E-03           F0463  2   33 
        12.         0.        86.   1.15E-01   1.41E-03           F0463  2   34 
        12.         0.        95.   1.25E-01   1.41E-03           F0463  2   35 
        12.         0.       105.   1.65E-01   1.41E-03           F0463  2   36 
        12.       3.09        16.   2.87E-01   9.86E-03           F0463  2   37 
        12.       3.09        19.   2.87E-01   1.18E-02           F0463  2   38 
        12.       3.09        22.   2.81E-01   8.87E-03           F0463  2   39 
        12.       3.09        25.   2.44E-01   9.86E-03           F0463  2   40 
        12.       3.09        28.   2.32E-01   8.87E-03           F0463  2   41 
        12.       3.09        29.   1.82E-01   7.89E-03           F0463  2   42 
        12.       3.09        33.   1.54E-01   7.89E-03           F0463  2   43 
        12.       3.09        35.   1.16E-01   8.87E-03           F0463  2   44 
        12.       3.09        38.   1.18E-01   7.88E-03           F0463  2   45 
        12.       3.09        44.   1.08E-01   7.88E-03           F0463  2   46 
        12.       3.09        49.   1.14E-01   8.87E-03           F0463  2   47 
        12.       3.09        55.   1.35E-01   8.87E-03           F0463  2   48 
        12.       3.09        60.   1.70E-01   7.88E-03           F0463  2   49 
        12.       3.09        65.   1.52E-01   7.88E-03           F0463  2   50 
        12.       3.09        71.   1.30E-01   5.91E-03           F0463  2   51 
        12.       3.09        75.   1.02E-01   8.87E-03           F0463  2   52 
        12.       3.09        86.   7.52E-02   5.91E-03           F0463  2   53 
        12.       3.09        96.   7.69E-02   5.91E-03           F0463  2   54 
        12.       3.09       106.   1.02E-01   7.89E-03           F0463  2   55 
        10.         0.        22.   1.54E-01   4.95E-03           F0463  2   56 
        10.         0.        27.   1.90E-01   6.92E-03           F0463  2   57 
        10.         0.        33.   2.34E-01   7.89E-03           F0463  2   58 
        10.         0.        38.   2.60E-01   6.90E-03           F0463  2   59 
        10.         0.        44.   2.46E-01   5.92E-03           F0463  2   60 
        10.         0.        54.   1.81E-01   5.93E-03           F0463  2   61 
