ENTRY            F0465   19990410                             0000F046500000001 
SUBENT        F0465001   19990410                             0000F046500100001 
BIB                 10         13                                 F046500100002 
TITLE      Reaction mechanism for the 11B(a,n)14N reaction        F046500100003 
AUTHOR     (G.S.MANI,G.C.DUTT)                                    F046500100004 
INSTITUTE  (2UK MAN)                                              F046500100005 
REFERENCE  (J,NP,78,613,196604)                                   F046500100006 
SAMPLE     The target was 99% enriched 11B on thick gold          F046500100007 
           backing 30 mg/cm**2                                    F046500100008 
METHOD     (TOF)                                                  F046500100009 
FACILITY   (VDG)                                                  F046500100010 
DETECTOR   (SCIN) NE213 liquid scintillator                       F046500100011 
ERR-ANALYS (ERR-1) The uncertainty in the absolute efficiency of  F046500100012 
           the neutron detector                                   F046500100013 
           (ERR-T) The mean error in ther cross section evaluationF046500100014 
HISTORY    (19920925C)                                            F046500100015 
ENDBIB              13          0                                 F046500100016 
COMMON               2          3                                 F046500100017 
ERR-1      ERR-T                                                  F046500100018 
PER-CENT   PER-CENT                                               F046500100019 
  6.0        20.0                                                 F046500100020 
ENDCOMMON            3          0                                 F046500100021 
ENDSUBENT           20          0                                 F046500199999 
SUBENT        F0465002   19990410                             0000F046500200001 
BIB                  4          5                                 F046500200002 
REACTION   (5-B-11(A,N)7-N-14,PAR,DA,,,EXP)                       F046500200003 
ERR-ANALYS (DATA-ERR) From graphic bars and digitizing error      F046500200004 
           (EN-ERR) Digitizing error                              F046500200005 
EN-SEC     (E-LVL,7-N-14)                                         F046500200006 
STATUS     (CURVE) Fig.1,2                                        F046500200007 
ENDBIB               5          0                                 F046500200008 
COMMON               2          3                                 F046500200009 
ANG        EN-ERR                                                 F046500200010 
ADEG       MEV                                                    F046500200011 
 0.         0.004                                                 F046500200012 
ENDCOMMON            3          0                                 F046500200013 
DATA                 4        134                                 F046500200014 
EN         E-LVL      DATA       DATA-ERR                         F046500200015 
MEV        MEV        MB/SR      MB/SR                            F046500200016 
     2.389      0.         0.1247     0.0303                      F046500200017 
     2.42       0.         0.1297     0.0353                      F046500200018 
     2.45       0.         0.1398     0.0303                      F046500200019 
     2.511      0.         0.16       0.0353                      F046500200020 
     2.549      0.         0.2055     0.0404                      F046500200021 
     2.58       0.         0.256      0.0303                      F046500200022 
     2.603      0.         0.3318     0.0303                      F046500200023 
     2.633      0.         0.8065     0.0454                      F046500200024 
     2.641      0.         1.029      0.0404                      F046500200025 
     2.672      0.         0.3924     0.0353                      F046500200026 
     2.71       0.         0.2863     0.0303                      F046500200027 
     2.725      0.         0.2106     0.0404                      F046500200028 
     2.779      0.         0.1601     0.0353                      F046500200029 
     2.824      0.         0.155      0.0404                      F046500200030 
     2.878      0.         0.1753     0.0353                      F046500200031 
     2.901      0.         0.1904     0.0303                      F046500200032 
     2.916      0.         0.1904     0.0353                      F046500200033 
     2.947      0.         0.2207     0.0303                      F046500200034 
     2.969      0.         0.2561     0.0353                      F046500200035 
     3.         0.         0.3217     0.0303                      F046500200036 
     3.015      0.         0.3268     0.0404                      F046500200037 
     3.046      0.         0.251      0.0303                      F046500200038 
     3.061      0.         0.2106     0.0353                      F046500200039 
     3.099      0.         0.2308     0.0353                      F046500200040 
     3.137      0.         0.2713     0.0353                      F046500200041 
     3.168      0.         0.347      0.0303                      F046500200042 
     3.168      0.         0.2864     0.0253                      F046500200043 
     3.191      0.         0.3016     0.0404                      F046500200044 
     3.237      0.         0.3672     0.0404                      F046500200045 
     3.259      0.         0.9177     0.0454                      F046500200046 
     3.29       0.         0.4379     0.0404                      F046500200047 
     3.298      0.         0.3571     0.0353                      F046500200048 
     3.32       0.         0.3167     0.0404                      F046500200049 
     3.336      0.         0.3571     0.0303                      F046500200050 
     3.359      0.         0.3774     0.0454                      F046500200051 
     3.397      0.         0.4329     0.0404                      F046500200052 
     3.451      2.31       0.147      0.0214                      F046500200053 
     3.481      0.         0.4582     0.0303                      F046500200054 
     3.481      2.31       0.1468     0.0214                      F046500200055 
     3.496      0.         0.4784     0.0353                      F046500200056 
     3.497      2.31       0.1467     0.2239                      F046500200057 
     3.504      0.         0.4784     0.0353                      F046500200058 
     3.512      2.31       0.2213     0.0214                      F046500200059 
     3.526      0.         0.5339     0.0303                      F046500200060 
     3.542      0.         0.5188     0.0253                      F046500200061 
     3.549      0.         0.5188     0.0303                      F046500200062 
     3.551      2.31       0.333      0.0214                      F046500200063 
     3.557      0.         0.5491     0.0303                      F046500200064 
     3.559      2.31       0.4822     0.0214                      F046500200065 
     3.572      0.         0.5491     0.0202                      F046500200066 
     3.572      0.         0.5794     0.0404                      F046500200067 
     3.574      2.31       0.5195     0.0214                      F046500200068 
     3.582      2.31       0.594      0.0214                      F046500200069 
     3.587      0.         1.256      0.0506                      F046500200070 
     3.595      0.         0.6602     0.0303                      F046500200071 
     3.603      0.         0.7461     0.0353                      F046500200072 
     3.605      2.31       0.7432     0.0214                      F046500200073 
     3.605      2.31       0.5939     0.0214                      F046500200074 
     3.618      0.         0.5744     0.0454                      F046500200075 
     3.621      2.31       0.6312     0.0214                      F046500200076 
     3.621      2.31       0.7431     0.0214                      F046500200077 
     3.644      2.31       0.9296     0.1119                      F046500200078 
     3.644      2.31       0.8176     0.0214                      F046500200079 
     3.649      0.         0.6501     0.0353                      F046500200080 
     3.649      0.         0.6148     0.0202                      F046500200081 
     3.656      0.         0.6148     0.0404                      F046500200082 
