ENTRY            F0517   20030521                             0000F051700000001 
SUBENT        F0517001   20030521                             0000F051700100001 
BIB                 10         16                                 F051700100002 
TITLE      The 10B(a,n)13N, 13N* cross section for a-energies     F051700100003 
           from 1.0 to 5.0MeV                                     F051700100004 
AUTHOR     (L.VAN DER ZWAN,K.W.GEIGER)                            F051700100005 
INSTITUTE  (1CANOTC)                                              F051700100006 
REFERENCE  (J,NP/A,216,188,1973)                                  F051700100007 
SAMPLE     Targets were deposited on 0.25 mm tantalum backings by F051700100008 
           electron bombardment of isotopic boron powder          F051700100009 
           containing 96.5% 10B and 3.5% 11B. All measurements    F051700100010 
           were taken with a 28+-3mu-g/cm2 target or 32 keV thick F051700100011 
           at E=3MeV.                                             F051700100012 
DETECTOR   (SCIN) 2.5cm in diam. and 1.2cm thick.                 F051700100013 
FACILITY   (VDG)                                                  F051700100014 
METHOD     (PSD)                                                  F051700100015 
ERR-ANALYS (ERR-1) Systematic error                               F051700100016 
HISTORY    (19960805C)                                            F051700100017 
           (20030521U)The whole entry retransmited.               F051700100018 
ENDBIB              16          0                                 F051700100019 
COMMON               2          3                                 F051700100020 
EN-RSL-FW  ERR-1                                                  F051700100021 
PER-CENT   PER-CENT                                               F051700100022 
  7.0        15.0                                                 F051700100023 
ENDCOMMON            3          0                                 F051700100024 
ENDSUBENT           23          0                                 F051700199999 
SUBENT        F0517002   20030521                             0000F051700200001 
BIB                  3          3                                 F051700200002 
REACTION   (5-B-10(A,N)7-N-13,PAR,DA,,LEG,EXP)                    F051700200003 
STATUS     (TABLE) Tbl.2                                          F051700200004 
EN-SEC     (E-LVL,7-N-13)                                         F051700200005 
ENDBIB               3          0                                 F051700200006 
NOCOMMON             0          0                                 F051700200007 
DATA                 5         37                                 F051700200008 
EN         E-LVL      NUMBER     DATA       DATA-ERR1             F051700200009 
MEV        MEV        NO-DIM     MB/SR      MB/SR                 F051700200010 
  1.507      0.000      0.000      1.033     0.1000E-01           F051700200011 
  1.507      0.000      1.000    -0.1010     0.1500E-01           F051700200012 
  1.507      0.000      2.000    -0.8600     0.2000E-01           F051700200013 
  1.507      0.000      3.000     0.8400E-01 0.2100E-01           F051700200014 
  2.181      0.000      0.000     0.5060     0.3000E-02           F051700200015 
  2.181      0.000      1.000    -0.7300E-01 0.5000E-02           F051700200016 
  2.181      0.000      2.000    -0.2330     0.6000E-02           F051700200017 
  2.181      0.000      3.000     0.1800E-01 0.7000E-02           F051700200018 
  2.273      0.000      0.000     0.4030     0.7000E-02           F051700200019 
  2.273      0.000      1.000     0.1180     0.9000E-02           F051700200020 
  2.273      0.000      2.000    -0.7400E-01 0.1200E-01           F051700200021 
  2.890      0.000      0.000     0.8780     0.8000E-02           F051700200022 
  2.890      0.000      1.000    -0.9900E-01 0.1200E-01           F051700200023 
  2.890      0.000      2.000    -0.1120     0.1100E-01           F051700200024 
  2.890      0.000      3.000    -0.3800E-01 0.1700E-01           F051700200025 
  4.567      0.000      0.000      1.880     0.2000E-01           F051700200026 
  4.567      0.000      1.000    -0.6200     0.3000E-01           F051700200027 
  4.567      0.000      2.000    -0.1400     0.4000E-01           F051700200028 
  4.567      0.000      3.000    -0.7200     0.5000E-01           F051700200029 
  4.567      0.000      4.000    -0.5800     0.5000E-01           F051700200030 
  4.567      0.000      5.000     0.5300     0.6000E-01           F051700200031 
  4.567      2.364      0.000     0.4700     0.2000E-01           F051700200032 
  4.567      2.364      1.000    -0.1400     0.2000E-01           F051700200033 
  4.567      2.364      2.000    -0.2000     0.3000E-01           F051700200034 
  4.567      13.17      0.000      3.830     0.6000E-01           F051700200035 
  4.567      13.17      1.000      1.510     0.9000E-01           F051700200036 
  4.567      13.17      2.000      1.610     0.1000               F051700200037 
  4.567      13.17      3.000     0.9300     0.1200               F051700200038 
  4.632      0.000      0.000      1.980     0.2000E-01           F051700200039 
  4.632      0.000      1.000    -0.8600     0.2000E-01           F051700200040 
  4.632      0.000      2.000    -0.9000E-01 0.2000E-01           F051700200041 
  4.632      0.000      3.000    -0.9900     0.2000E-01           F051700200042 
  4.632      0.000      4.000    -0.7100     0.2000E-01           F051700200043 
  4.632      0.000      5.000     0.8000     0.2000E-01           F051700200044 
  4.632      2.364      0.000     0.4900     0.2000E-01           F051700200045 
  4.632      2.364      1.000    -0.2000     0.2000E-01           F051700200046 
  4.632      2.364      2.000    -0.1500     0.2000E-01           F051700200047 
ENDDATA             39          0                                 F051700200048 
ENDSUBENT           47          0                                 F051700299999 
ENDENTRY             2          0                                 F051799999999 
