ENTRY            F0572   20130319                             F050F057200000001 
SUBENT        F0572001   20130319                             F050F057200100001 
BIB                 11         22                                 F057200100002 
TITLE      Investigation of inelastic alpha-particle scattering   F057200100003 
           by O-16 nuclei with angular a gamma correlations.      F057200100004 
AUTHOR     (A.V.Ignatenko,V.M.Lebedev,N.V.Orlova,A.V.Spassky)     F057200100005 
INSTITUTE  (4RUSMOS)                                              F057200100006 
REFERENCE  (J,YF,59,597,1996)                                     F057200100007 
           (J,PAN,59,565,1996) English translation                F057200100008 
FACILITY   (CYCLO,4RUSMOS)                                        F057200100009 
METHOD     (EXTB)                                                 F057200100010 
SAMPLE      (H8C10O4) foils of 0.4 mg/cm2 or molybdenum oxide     F057200100011 
            (MoO3) of 2 mg/cm2 thick evaporated on thin           F057200100012 
            (0.2 mg/cm2) golden foil.                             F057200100013 
DETECTOR   (SIBAR) Six silicon semiconductor surface-barrier      F057200100014 
           detectors for alpha-particles detection were used.     F057200100015 
           (NAICR) Four scintillation counters with NaI(Tl)       F057200100016 
           crystal for gamma detection were used.                 F057200100017 
STATUS     (TABLE) Data were received from A.V.Ignatenko.         F057200100018 
ERR-ANALYS (DATA-ERR) Accuracy of absolute values of differential F057200100019 
           (ERR-S) Statistical error                              F057200100020 
HISTORY    (20030707C)                                            F057200100021 
           (20130319A)English translation in REFERENCE was added. F057200100022 
           DETECTOR was corrected. ERR-ANALYS in sub 001          F057200100023 
           was added.                                             F057200100024 
ENDBIB              22          0                                 F057200100025 
COMMON               3          3                                 F057200100026 
EN-RSL     ANG-RSL    DATA-ERR                                    F057200100027 
MEV        ADEG       PER-CENT                                    F057200100028 
        0.2         1.        15.                                 F057200100029 
ENDCOMMON            3          0                                 F057200100030 
ENDSUBENT           29          0                                 F057200199999 
SUBENT        F0572002   20030805                             0000F057200200001 
BIB                  1          1                                 F057200200002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               F057200200003 
ENDBIB               1          0                                 F057200200004 
NOCOMMON             0          0                                 F057200200005 
DATA                 4         82                                 F057200200006 
EN         ANG-CM     DATA-CM    ERR-S                            F057200200007 
MEV        ADEG       MB/SR      MB/SR                            F057200200008 
  25.20      32.30      118.3      2.380                          F057200200009 
  25.20      36.00      36.38      1.330                          F057200200010 
  25.20      39.60      16.33     0.6900                          F057200200011 
  25.20      43.20      32.75      1.000                          F057200200012 
  25.20      46.90      52.55      1.250                          F057200200013 
  25.20      50.40      64.19      1.400                          F057200200014 
  25.20      54.00      52.36      1.300                          F057200200015 
  25.20      57.50      28.41     0.9600                          F057200200016 
  25.20      61.00      8.070     0.5200                          F057200200017 
  25.20      64.50     0.7000     0.1600                          F057200200018 
  25.20      68.00      4.010     0.2300                          F057200200019 
  25.20      71.40      7.790     0.3300                          F057200200020 
  25.20      74.80      6.800     0.2600                          F057200200021 
  25.20      78.10      2.480     0.1600                          F057200200022 
  25.20      81.40      1.120     0.1100                          F057200200023 
  25.20      84.70      6.000     0.2500                          F057200200024 
  25.20      87.90      13.67     0.3800                          F057200200025 
  25.20      91.10      17.09     0.4300                          F057200200026 
  25.20      94.30      17.21     0.6500                          F057200200027 
  25.20      97.40      10.28     0.2900                          F057200200028 
  25.20      100.4      7.890     0.2900                          F057200200029 
  25.20      104.5      9.910     0.3500                          F057200200030 
  25.20      109.4      17.43     0.7400                          F057200200031 
  25.20      114.3      15.85     0.7200                          F057200200032 
  25.20      119.0      9.130     0.5400                          F057200200033 
  25.20      123.6      16.64     0.7800                          F057200200034 
  25.20      128.1      26.19     0.9800                          F057200200035 
  25.20      132.5      31.45      1.090                          F057200200036 
  25.20      136.8      19.05     0.8800                          F057200200037 
  25.20      141.0      2.510     0.3200                          F057200200038 
  25.20      145.2      8.490     0.6200                          F057200200039 
  25.20      149.2      30.50      1.180                          F057200200040 
  25.20      153.2      48.33      1.500                          F057200200041 
  25.20      157.2      36.24      1.290                          F057200200042 
  25.20      161.1      9.230     0.6600                          F057200200043 
  25.20      164.9      4.050     0.4500                          F057200200044 
  25.20      168.0      34.51      1.310                          F057200200045 
  30.30      22.40      155.1      19.89                          F057200200046 
  30.30      24.90      251.9      25.03                          F057200200047 
  30.30      31.10      77.78      1.010                          F057200200048 
  30.30      34.10      11.64     0.6200                          F057200200049 
  30.30      37.20      11.01     0.3100                          F057200200050 
  30.30      40.20      37.25     0.5100                          F057200200051 
  30.30      43.20      41.64     0.4500                          F057200200052 
  30.30      46.30      27.76     0.3900                          F057200200053 
  30.30      49.20      10.68     0.2500                          F057200200054 
  30.30      52.20      1.290     0.7000E-01                      F057200200055 
  30.30      55.20      2.640     0.1300                          F057200200056 
  30.30      58.10      7.470     0.2700                          F057200200057 
  30.30      61.00      7.070     0.2600                          F057200200058 
  30.30      63.90      5.170     0.2300                          F057200200059 
  30.30      66.80      4.280     0.2100                          F057200200060 
  30.30      69.70      6.980     0.2700                          F057200200061 
  30.30      72.50      11.99     0.3500                          F057200200062 
  30.30      75.30      12.70     0.3700                          F057200200063 
  30.30      78.10      7.960     0.3000                          F057200200064 
  30.30      83.60      5.360     0.2500                          F057200200065 
  30.30      86.30      8.810     0.3200                          F057200200066 
  30.30      89.00      14.91     0.4200                          F057200200067 
  30.30      91.60      17.67     0.4700                          F057200200068 
  30.30      94.30      17.08     0.4700                          F057200200069 
  30.30      96.90      11.50     0.4000                          F057200200070 
  30.30      99.40      4.600     0.2400                          F057200200071 
  30.30      102.0      1.470     0.1100                          F057200200072 
  30.30      104.5     0.9700     0.5000E-01                      F057200200073 
  30.30      107.0      3.300     0.1300                          F057200200074 
  30.30      109.4      6.220     0.1800                          F057200200075 
  30.30      111.9      8.350     0.2200                          F057200200076 
  30.30      114.3      8.110     0.1900                          F057200200077 
  30.30      119.0      3.910     0.1300                          F057200200078 
  30.30      123.6     0.4400     0.3000E-01                      F057200200079 
  30.30      128.1      2.220     0.8000E-01                      F057200200080 
  30.30      132.5      3.620     0.8000E-01                      F057200200081 
  30.30      136.8      5.060     0.1500                          F057200200082 
  30.30      141.0      1.850     0.8000E-01                      F057200200083 
  30.30      145.2     0.8900     0.8000E-01                      F057200200084 
  30.30      149.2      5.150     0.1900                          F057200200085 
  30.30      153.2      13.24     0.3100                          F057200200086 
  30.30      157.2      16.21     0.3000                          F057200200087 
  30.30      161.1      7.900     0.2500                          F057200200088 
  30.30      164.9     0.9700     0.8000E-01                      F057200200089 
  30.30      168.7      8.220     0.2500                          F057200200090 
ENDDATA             84          0                                 F057200200091 
ENDSUBENT           90          0                                 F057200299999 
SUBENT        F0572003   20030805                             0000F057200300001 
BIB                  1          1                                 F057200300002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               F057200300003 
ENDBIB               1          0                                 F057200300004 
NOCOMMON             0          0                                 F057200300005 
DATA                 4         48                                 F057200300006 
ANG        EN         DATA       ERR-S                            F057200300007 
ADEG       MEV        MB/SR      MB/SR                            F057200300008 
  38.00      29.95      15.97     0.8850                          F057200300009 
  38.00      29.42      20.76      1.197                          F057200300010 
  38.00      28.91      21.16     0.5610                          F057200300011 
  38.00      28.37      18.38      1.109                          F057200300012 
  38.00      27.84      19.86     0.6840                          F057200300013 
  38.00      27.29      29.95     0.8370                          F057200300014 
  38.00      26.74      32.03     0.8140                          F057200300015 
  38.00      26.17      30.86      1.169                          F057200300016 
  38.00      25.60      33.19      1.193                          F057200300017 
  38.00      25.02      48.06      1.239                          F057200300018 
  38.00      24.43      51.79      1.309                          F057200300019 
  38.00      23.82      58.72      1.322                          F057200300020 
  38.00      23.21      51.03      1.286                          F057200300021 
  38.00      22.58      41.19      1.298                          F057200300022 
  38.00      21.94      74.68      1.521                          F057200300023 
  38.00      21.29      79.56      1.581                          F057200300024 
  138.0      29.95      2.590     0.1554                          F057200300025 
  138.0      29.42      3.419     0.2072                          F057200300026 
  138.0      28.91      8.832     0.4402                          F057200300027 
  138.0      28.37      12.69     0.5180                          F057200300028 
  138.0      27.84      14.63     0.6210                          F057200300029 
  138.0      27.29      24.27     0.8020                          F057200300030 
  138.0      26.74      15.28     0.6220                          F057200300031 
  138.0      26.17      17.72     0.7250                          F057200300032 
  138.0      25.60      23.96     0.7760                          F057200300033 
  138.0      25.02      14.04     0.5960                          F057200300034 
  138.0      24.43      48.25      1.010                          F057200300035 
  138.0      23.82      60.89      1.062                          F057200300036 
  138.0      23.21      67.55      1.322                          F057200300037 
  138.0      22.58      91.27      1.528                          F057200300038 
  138.0      21.94      85.68      1.476                          F057200300039 
  138.0      21.29      172.8      2.130                          F057200300040 
  162.0      29.95      15.35     0.3100                          F057200300041 
  162.0      29.42      18.71     0.4850                          F057200300042 
  162.0      28.91      40.73     0.7067                          F057200300043 
  162.0      28.37      83.67      1.017                          F057200300044 
  162.0      27.84      34.13     0.8433                          F057200300045 
  162.0      27.29      20.80     0.3980                          F057200300046 
  162.0      26.74      9.988     0.2863                          F057200300047 
  162.0      26.17      11.58     0.3500                          F057200300048 
  162.0      25.60      11.65     0.6040                          F057200300049 
  162.0      25.02      8.222     0.3660                          F057200300050 
  162.0      24.43      70.18      1.050                          F057200300051 
  162.0      23.82      85.13      1.163                          F057200300052 
  162.0      23.21      101.3      1.270                          F057200300053 
  162.0      22.58      184.2      1.710                          F057200300054 
  162.0      21.94      136.0      1.470                          F057200300055 
  162.0      21.29      315.8      2.240                          F057200300056 
ENDDATA             50          0                                 F057200300057 
ENDSUBENT           56          0                                 F057200399999 
SUBENT        F0572004   20030805                             0000F057200400001 
BIB                  1          1                                 F057200400002 
REACTION   (8-O-16(A,INL)8-O-16,PAR,DA)                           F057200400003 
ENDBIB               1          0                                 F057200400004 
NOCOMMON             0          0                                 F057200400005 
DATA                 6         96                                 F057200400006 
ANG        E-LVL-MIN  E-LVL-MAX  EN         DATA       ERR-S      F057200400007 
ADEG       MEV        MEV        MEV        MB/SR      MB/SR      F057200400008 
  38.00      6.052      6.131      29.95      11.30     0.4840    F057200400009 
  38.00      6.052      6.131      29.42      11.33     0.8960    F057200400010 
  38.00      6.052      6.131      28.91      10.58     0.6140    F057200400011 
  38.00      6.052      6.131      28.37      9.127     0.4070    F057200400012 
  38.00      6.052      6.131      27.84      6.561     0.5723    F057200400013 
  38.00      6.052      6.131      27.29      8.024     0.3777    F057200400014 
  38.00      6.052      6.131      26.74      9.310     0.6784    F057200400015 
  38.00      6.052      6.131      26.17      10.43     0.8970    F057200400016 
  38.00      6.052      6.131      25.60      10.05      1.121    F057200400017 
  38.00      6.052      6.131      25.02      9.345      1.027    F057200400018 
  38.00      6.052      6.131      24.43      11.27      3.410    F057200400019 
  38.00      6.052      6.131      23.82      11.62      1.569    F057200400020 
  38.00      6.052      6.131      23.21      15.73      1.369    F057200400021 
  38.00      6.052      6.131      22.58      10.02     0.8970    F057200400022 
  38.00      6.052      6.131      21.94      12.65      1.097    F057200400023 
  38.00      6.052      6.131      21.29      11.92     0.3650    F057200400024 
  38.00      6.916      7.115      29.95      8.395     0.3540    F057200400025 
  38.00      6.916      7.115      29.42      8.779     0.3480    F057200400026 
  38.00      6.916      7.115      28.91      5.552     0.5132    F057200400027 
  38.00      6.916      7.115      28.37      6.224     0.5368    F057200400028 
  38.00      6.916      7.115      27.84      7.056     0.5784    F057200400029 
  38.00      6.916      7.115      27.29      5.386     0.3364    F057200400030 
  38.00      6.916      7.115      26.74      4.531     0.7316    F057200400031 
  38.00      6.916      7.115      26.17      5.729     0.4898    F057200400032 
  38.00      6.916      7.115      25.60      7.192     0.8496    F057200400033 
  38.00      6.916      7.115      25.02      6.254     0.5192    F057200400034 
  38.00      6.916      7.115      24.43      3.316     0.6546    F057200400035 
  38.00      6.916      7.115      23.82      4.962     0.6256    F057200400036 
  38.00      6.916      7.115      23.21      4.567     0.5544    F057200400037 
  38.00      6.916      7.115      22.58      5.133     0.5900    F057200400038 
  38.00      6.916      7.115      21.94      7.481     0.4720    F057200400039 
  38.00      6.916      7.115      21.29      10.03     0.4900    F057200400040 
  138.0      6.052      6.131      29.95      9.246     0.8287    F057200400041 
  138.0      6.052      6.131      29.42      11.50     0.8540    F057200400042 
  138.0      6.052      6.131      28.91      12.66     0.9580    F057200400043 
  138.0      6.052      6.131      28.37      10.65     0.9320    F057200400044 
  138.0      6.052      6.131      27.84      9.143     0.9323    F057200400045 
  138.0      6.052      6.131      27.29      14.38      2.123    F057200400046 
  138.0      6.052      6.131      26.74      19.76      1.139    F057200400047 
  138.0      6.052      6.131      26.17      17.95      1.916    F057200400048 
  138.0      6.052      6.131      25.60      26.34      2.305    F057200400049 
  138.0      6.052      6.131      25.02      25.59      1.839    F057200400050 
  138.0      6.052      6.131      24.43      40.95      2.953    F057200400051 
  138.0      6.052      6.131      23.82      27.01      2.020    F057200400052 
  138.0      6.052      6.131      23.21      27.19      1.580    F057200400053 
  138.0      6.052      6.131      22.58      32.63      2.124    F057200400054 
  138.0      6.052      6.131      21.94      50.87      4.014    F057200400055 
  138.0      6.052      6.131      21.29      21.73      2.124    F057200400056 
  138.0      6.916      7.115      29.95      8.210     0.5956    F057200400057 
  138.0      6.916      7.115      29.42      7.433      1.062    F057200400058 
  138.0      6.916      7.115      28.91      11.32     0.9330    F057200400059 
  138.0      6.916      7.115      28.37      14.06      1.036    F057200400060 
  138.0      6.916      7.115      27.84      9.972      1.087    F057200400061 
  138.0      6.916      7.115      27.29      15.95      2.228    F057200400062 
  138.0      6.916      7.115      26.74      10.07     0.9070    F057200400063 
  138.0      6.916      7.115      26.17      12.69      1.761    F057200400064 
  138.0      6.916      7.115      25.60      24.81      2.202    F057200400065 
  138.0      6.916      7.115      25.02      28.90      2.020    F057200400066 
  138.0      6.916      7.115      24.43      51.02      3.136    F057200400067 
  138.0      6.916      7.115      23.82      21.24      1.942    F057200400068 
  138.0      6.916      7.115      23.21      10.93      1.191    F057200400069 
  138.0      6.916      7.115      22.58      17.98      1.761    F057200400070 
  138.0      6.916      7.115      21.94      24.27      3.160    F057200400071 
  138.0      6.916      7.115      21.29      24.17      2.304    F057200400072 
  162.0      6.052      6.131      29.95      7.666     0.3976    F057200400073 
  162.0      6.052      6.131      29.42      9.065      1.050    F057200400074 
  162.0      6.052      6.131      28.91      10.18      1.606    F057200400075 
  162.0      6.052      6.131      28.37      12.80     0.7310    F057200400076 
  162.0      6.052      6.131      27.84      19.77      1.845    F057200400077 
  162.0      6.052      6.131      27.29      12.64      1.574    F057200400078 
  162.0      6.052      6.131      26.74      11.75     0.7480    F057200400079 
  162.0      6.052      6.131      26.17      14.84      2.004    F057200400080 
  162.0      6.052      6.131      25.60      13.84      1.225    F057200400081 
  162.0      6.052      6.131      25.02      16.49      1.368    F057200400082 
  162.0      6.052      6.131      24.43      22.34      3.085    F057200400083 
  162.0      6.052      6.131      23.82      20.99      1.956    F057200400084 
  162.0      6.052      6.131      23.21      17.29      1.320    F057200400085 
  162.0      6.052      6.131      22.58      16.05      2.942    F057200400086 
  162.0      6.052      6.131      21.94      19.04      1.431    F057200400087 
  162.0      6.052      6.131      21.29      23.08      2.004    F057200400088 
  162.0      6.916      7.115      29.95      34.70      1.339    F057200400089 
  162.0      6.916      7.115      29.42      42.38      3.070    F057200400090 
  162.0      6.916      7.115      28.91      47.03      2.847    F057200400091 
  162.0      6.916      7.115      28.37      43.12      2.730    F057200400092 
  162.0      6.916      7.115      27.84      32.37     0.8900    F057200400093 
  162.0      6.916      7.115      27.29      31.70      2.274    F057200400094 
  162.0      6.916      7.115      26.74      23.22      1.177    F057200400095 
  162.0      6.916      7.115      26.17      14.07      2.036    F057200400096 
  162.0      6.916      7.115      25.60      21.26      1.431    F057200400097 
  162.0      6.916      7.115      25.02      33.06      1.782    F057200400098 
  162.0      6.916      7.115      24.43      68.67      4.819    F057200400099 
  162.0      6.916      7.115      23.82      49.67      4.962    F057200400100 
  162.0      6.916      7.115      23.21      44.45      2.576    F057200400101 
  162.0      6.916      7.115      22.58      35.43      4.056    F057200400102 
  162.0      6.916      7.115      21.94      30.30      3.881    F057200400103 
  162.0      6.916      7.115      21.29      21.65      2.292    F057200400104 
ENDDATA             98          0                                 F057200400105 
ENDSUBENT          104          0                                 F057200499999 
SUBENT        F0572005   20030805                             0000F057200500001 
BIB                  1          1                                 F057200500002 
REACTION   (8-O-16(A,INL)8-O-16,PAR,DA)                           F057200500003 
ENDBIB               1          0                                 F057200500004 
NOCOMMON             0          0                                 F057200500005 
DATA                 6        160                                 F057200500006 
EN         E-LVL-MIN  E-LVL-MAX  ANG-CM     DATA-CM    ERR-S      F057200500007 
MEV        MEV        MEV        ADEG       MB/SR      MB/SR      F057200500008 
  25.20      6.052      6.131      25.89      32.07      1.200    F057200500009 
  25.20      6.052      6.131      29.73      24.03     0.7500    F057200500010 
  25.20      6.052      6.131      33.55      19.31     0.9500    F057200500011 
  25.20      6.052      6.131      37.36      13.32     0.4300    F057200500012 
  25.20      6.052      6.131      41.14      10.13     0.4900    F057200500013 
  25.20      6.052      6.131      44.90      10.75     0.4100    F057200500014 
  25.20      6.052      6.131      48.64      13.43     0.6300    F057200500015 
  25.20      6.052      6.131      52.35      13.47     0.4000    F057200500016 
  25.20      6.052      6.131      56.02      12.19     0.3700    F057200500017 
  25.20      6.052      6.131      59.67      9.540     0.3200    F057200500018 
  25.20      6.052      6.131      63.28      7.750     0.3900    F057200500019 
  25.20      6.052      6.131      66.86      5.870     0.3500    F057200500020 
  25.20      6.052      6.131      70.40      6.380     0.3800    F057200500021 
  25.20      6.052      6.131      73.89      8.350     0.4200    F057200500022 
  25.20      6.052      6.131      77.35      8.500     0.4300    F057200500023 
  25.20      6.052      6.131      80.77      9.870     0.4800    F057200500024 
  25.20      6.052      6.131      84.14      8.600     0.4500    F057200500025 
  25.20      6.052      6.131      87.47      6.680     0.3900    F057200500026 
  25.20      6.052      6.131      90.75      5.750     0.2500    F057200500027 
  25.20      6.052      6.131      94.00      5.510     0.2400    F057200500028 
  25.20      6.052      6.131      97.18      5.810     0.2500    F057200500029 
  25.20      6.052      6.131      100.3      6.440     0.2400    F057200500030 
  25.20      6.052      6.131      103.4      6.370     0.2800    F057200500031 
  25.20      6.052      6.131      107.4      6.550     0.2700    F057200500032 
  25.20      6.052      6.131      112.4      8.890     0.5300    F057200500033 
  25.20      6.052      6.131      117.2      13.09     0.6600    F057200500034 
  25.20      6.052      6.131      121.8      13.78     0.7000    F057200500035 
  25.20      6.052      6.131      126.4      9.540     0.6000    F057200500036 
  25.20      6.052      6.131      130.8      6.820     0.5100    F057200500037 
  25.20      6.052      6.131      135.1      6.390     0.5100    F057200500038 
  25.20      6.052      6.131      139.2      11.50     0.7000    F057200500039 
  25.20      6.052      6.131      143.3      20.00     0.9700    F057200500040 
  25.20      6.052      6.131      147.2      28.71      1.160    F057200500041 
  25.20      6.052      6.131      150.1      30.61      1.250    F057200500042 
  25.20      6.052      6.131      154.9      24.27      1.130    F057200500043 
  25.20      6.052      6.131      158.6      18.66      1.000    F057200500044 
  25.20      6.052      6.131      162.3      16.43     0.9500    F057200500045 
  25.20      6.052      6.131      165.9      14.68     0.8900    F057200500046 
  25.20      6.052      6.131      168.7      22.21      1.120    F057200500047 
  25.20      6.916      7.115      26.09      10.80     0.7100    F057200500048 
  25.20      6.916      7.115      29.96      8.580     0.4200    F057200500049 
  25.20      6.916      7.115      33.81      7.160     0.4000    F057200500050 
  25.20      6.916      7.115      37.65      7.410     0.3500    F057200500051 
  25.20      6.916      7.115      41.46      5.370     0.2750    F057200500052 
  25.20      6.916      7.115      45.25      2.130     0.2500    F057200500053 
  25.20      6.916      7.115      49.01      1.820     0.2300    F057200500054 
  25.20      6.916      7.115      52.74      1.540     0.2100    F057200500055 
  25.20      6.916      7.115      56.44      1.800     0.2300    F057200500056 
  25.20      6.916      7.115      60.11      1.540     0.2100    F057200500057 
  25.20      6.916      7.115      63.74      2.440     0.2700    F057200500058 
  25.20      6.916      7.115      67.34      2.310     0.2700    F057200500059 
  25.20      6.916      7.115      70.90      2.720     0.2900    F057200500060 
  25.20      6.916      7.115      77.89      3.040     0.2200    F057200500061 
  25.20      6.916      7.115      113.0      3.560     0.3600    F057200500062 
  25.20      6.916      7.115      117.8      4.110     0.4100    F057200500063 
  25.20      6.916      7.115      122.4      4.290     0.4000    F057200500064 
  25.20      6.916      7.115      126.9      5.220     0.4600    F057200500065 
  25.20      6.916      7.115      131.3      4.570     0.4500    F057200500066 
  25.20      6.916      7.115      135.6      5.170     0.4700    F057200500067 
