ENTRY            F0832   20070619                             F028F083200000001 
SUBENT        F0832001   20070619                             F028F083200100001 
BIB                  9         24                                 F083200100002 
TITLE      Giant dipole resonances built on excited states in 90ZrF083200100003 
           through radiative proton capture.                      F083200100004 
AUTHOR     (Z.Szeflinski,G.Szeflinska,H.V.Klapdor,K.Grotz,        F083200100005 
           J.Metzinger,Z.Wilhelmi,T.Rzaca-Urban)                  F083200100006 
INSTITUTE  (2GERMPH,3POLWWA)                                      F083200100007 
REFERENCE  (J,NP/A,467,397,1987)                                  F083200100008 
           (J,PL/B,126,159,1983)                                  F083200100009 
FACILITY   (VDG,3POLWWA)                                          F083200100010 
           (VDGT,2GERMPH)                                         F083200100011 
DETECTOR   (GELI) A large high-resolution Ge(Li) detector was     F083200100012 
           applied to detect high-energy primary gamma-rays. The  F083200100013 
           Ge(Li) detector was placed at 90 degr. with respect to F083200100014 
           the proton beam and was shielded with cadmium, lead andF083200100015 
           borated paraffin.                                      F083200100016 
SAMPLE     Pure yttrium targets of thicknesses of about 400-800   F083200100017 
           mu-g/cm2 were used.                                    F083200100018 
ERR-ANALYS The cross section uncertainty due to the determination F083200100019 
           of the detector efficiency and beam integration is     F083200100020 
           approximately 10%, the contribution due to the Porter- F083200100021 
           Thomas fluctuations of the gamma-widths is less than 3%F083200100022 
           (EN-ERR-DIG) Energy digitizing error                   F083200100023 
           (ERR-DIG) Data digitizing error                        F083200100024 
           (DATA-ERR) Error from the graphic bars                 F083200100025 
HISTORY    (20070619C)                                            F083200100026 
ENDBIB              24          0                                 F083200100027 
COMMON               3          3                                 F083200100028 
ANG        EN-ERR-DIG ERR-DIG                                     F083200100029 
ADEG       MEV        PER-CENT                                    F083200100030 
 90.        0.018      0.003                                      F083200100031 
ENDCOMMON            3          0                                 F083200100032 
ENDSUBENT           31          0                                 F083200199999 
SUBENT        F0832002   20070613                             F028F083200200001 
BIB                  2          2                                 F083200200002 
REACTION   (39-Y-89(P,G)40-ZR-90,PAR,DA)                          F083200200003 
STATUS     (CURVE)Fig.2,3                                         F083200200004 
ENDBIB               2          0                                 F083200200005 
NOCOMMON             0          0                                 F083200200006 
DATA                 4        155                                 F083200200007 
E-LVL      EN         DATA       DATA-ERR                         F083200200008 
MEV        MEV        MB/SR      MB/SR                            F083200200009 
         0.     3.7461     11.373     0.7846                      F083200200010 
         0.     3.8634     11.523     0.4584                      F083200200011 
         0.     3.9337     11.675     0.4644                      F083200200012 
         0.     3.9532      14.85     0.5681                      F083200200013 
         0.     4.0512     11.601     0.5161                      F083200200014 
         0.     4.1917     11.987     0.4586                      F083200200015 
         0.     4.2928     7.7549     1.3686                      F083200200016 
         0.     4.3891     6.7223     0.7367                      F083200200017 
         0.     4.4627     5.5677     0.2592                      F083200200018 
         0.     4.5548     6.2191     0.2379                      F083200200019 
         0.     4.6459     7.4132     0.2949                      F083200200020 
         0.     4.7426     6.3019     0.2411                      F083200200021 
         0.     4.9326      5.571     0.4178                      F083200200022 
         0.      5.009     3.8713     0.1722                      F083200200023 
         0.     5.0989     4.9568     0.1972                      F083200200024 
         0.     5.1459     4.9571     0.1972                      F083200200025 
         0.     5.2535     9.0754     0.4845                      F083200200026 
         0.     5.3044     7.1355     0.2838                      F083200200027 
         0.     5.3763     6.5578     0.3324                      F083200200028 
         0.     5.5503     3.6538     0.2965                      F083200200029 
         0.     5.6009     2.9294     0.1968                      F083200200030 
         0.     5.7351     4.4417     0.2371                      F083200200031 
         0.      5.851     4.8974     0.2951                      F083200200032 
         0.     6.1473     8.5137     0.3964                      F083200200033 
         0.     6.3084     2.4922     0.1674                      F083200200034 
         0.     6.4661     3.7789     0.3511                      F083200200035 
         0.     6.8637     4.2226     0.2914                      F083200200036 
         0.     7.3032      6.405     0.4809                      F083200200037 
         0.     7.6998     7.5883     0.5237                      F083200200038 
         0.     8.0096     24.464      1.985                      F083200200039 
         0.     8.2884     7.0698      0.775                      F083200200040 
         0.     8.8062     6.6723     0.4482                      F083200200041 
         0.     9.4978     3.5777     0.3155                      F083200200042 
         0.     10.009     5.1522     0.3818                      F083200200043 
         0.     10.291     4.9248     0.5153                      F083200200044 
         0.     10.702     2.4258     0.4937                      F083200200045 
         0.     11.153      7.721     1.0723                      F083200200046 
         0.       11.5     2.5913      0.632                      F083200200047 
      1.761     3.7744     5.1459     0.1968                      F083200200048 
      1.761     3.8722      4.153      0.236                      F083200200049 
      1.761      3.964     4.7301     0.2397                      F083200200050 
      1.761     4.0561     5.2835      0.235                      F083200200051 
      1.761     4.2239     4.3767     0.2336                      F083200200052 
      1.761     4.3014     2.9253     0.1482                      F083200200053 
      1.761     4.4007     2.1695     0.1497                      F083200200054 
      1.761     4.4736     1.8929     0.1076                      F083200200055 
      1.761     4.5659      2.087     0.1186                      F083200200056 
      1.761     4.6535     3.0233     0.2086                      F083200200057 
      1.761     4.7558     1.8813     0.1004                      F083200200058 
      1.761     4.8549     1.4044     0.1138                      F083200200059 
      1.761     4.9456      1.707     0.1074                      F083200200060 
      1.761     5.0187     1.4701     0.0886                      F083200200061 
      1.761     5.1092     1.7985     0.1084                      F083200200062 
      1.761     5.1597     1.4703     0.1452                      F083200200063 
      1.761     5.2404     3.1872     0.2582                      F083200200064 
      1.761      5.323       1.59     0.1938                      F083200200065 
      1.761     5.4126      2.049     0.2498                      F083200200066 
      1.761     5.5597     1.4427     0.4402                      F083200200067 
      1.761     5.6174     0.7832      0.191                      F083200200068 
      1.761     5.7511     1.1951     0.1837                      F083200200069 
      1.761     5.8385      1.754     0.2823                      F083200200070 
      1.761      6.169     1.6231      0.458                      F083200200071 
      1.761     6.3014     0.6883     0.1541                      F083200200072 
      1.761      6.484     0.9406     0.1514                      F083200200073 
      1.761     6.8549     1.2773     0.2399                      F083200200074 
      1.761     7.2968     1.6792     0.2238                      F083200200075 
      1.761     7.7123     2.6141     0.8094                      F083200200076 
      1.761     8.3045     2.0303     0.5247                      F083200200077 
      1.761     8.8419     2.4532     0.3269                      F083200200078 
      1.761     9.4978     2.8145     0.3108                      F083200200079 
      1.761     10.013     3.1251     0.4108                      F083200200080 
      1.761     10.338     4.0285     0.9425                      F083200200081 
      1.761       10.7     2.3806     0.3702                      F083200200082 
      1.761     11.189     2.9907      0.899                      F083200200083 
      1.761     11.521     2.6273     1.0242                      F083200200084 
      2.186       1.75     6.3136     0.5464                      F083200200085 
      2.186     1.8342     8.1271       0.77                      F083200200086 
      2.186     1.9417     8.2637     0.6206                      F083200200087 
      2.186     2.0015     6.6437     0.4671                      F083200200088 
      2.186     2.2155     6.7456     0.3765                      F083200200089 
      2.186     2.2668     4.6078     0.3239                      F083200200090 
      2.186     2.3995     3.8374     0.3321                      F083200200091 
      2.186     2.5312     3.1384     0.2192                      F083200200092 
      2.186     2.5406     3.7613     0.2099                      F083200200093 
      2.186     2.6557     4.4205     0.2467                      F083200200094 
      2.186     2.7547      3.819     0.2668                      F083200200095 
      2.186     2.8566     3.4835     0.2433                      F083200200096 
      2.186     2.9509      2.749      0.192                      F083200200097 
      2.186     3.0071     4.0921     0.3877                      F083200200098 
      2.186     3.0836     2.2894     0.1599                      F083200200099 
      2.186     3.1443     1.8742     0.1309                      F083200200100 
      2.186     3.2464      3.403     0.3224                      F083200200101 
      2.186     3.3322     2.2817     0.1714                      F083200200102 
      2.186     3.4146     2.8327     0.2684                      F083200200103 
      2.186     3.6039     0.9024     0.0678                      F083200200104 
      2.186     3.9639     0.9832     0.0738                      F083200200105 
      2.186     4.1147      2.299     0.3106                      F083200200106 
      2.186     4.3398     1.4572     0.1381                      F083200200107 
      2.186     4.5285     0.9075     0.0785                      F083200200108 
      2.186     4.8762     0.7814     0.3358                      F083200200109 
      2.186     5.2961     1.3624     0.4644                      F083200200110 
      2.186     5.7142      2.291     0.6371                      F083200200111 
      2.186     6.3507     2.1512     0.6261                      F083200200112 
      2.186     6.8088     1.9885     0.4459                      F083200200113 
      2.186     7.5107     1.6734     0.2516                      F083200200114 
      2.186     8.0408     1.5736      1.449                      F083200200115 
      2.186       8.28     1.3086     1.1751                      F083200200116 
      2.186     8.7091     1.3737     0.4345                      F083200200117 
      2.186      9.213     1.5488     1.4194                      F083200200118 
      2.186     9.5092     0.9808     0.8518                      F083200200119 
      2.319     5.2487     0.3672     0.2458                      F083200200120 
      2.319     5.4128     0.5561     0.3058                      F083200200121 
      2.319      5.949     0.3088       0.09                      F083200200122 
      2.319      6.299     0.5492     0.1807                      F083200200123 
      2.319      6.503     0.4651      0.274                      F083200200124 
      2.319      6.835     1.1472     0.5819                      F083200200125 
      2.319     7.2982     2.3132     0.5826                      F083200200126 
      2.319     7.6814     2.0263     1.5161                      F083200200127 
      2.319     8.3097     1.6752     0.6675                      F083200200128 
      2.319     8.8268     4.7649     0.4912                      F083200200129 
      2.319     9.5115     2.9981     0.3574                      F083200200130 
      2.319      10.02     7.2436      0.545                      F083200200131 
      2.319     10.317     9.3002     1.4005                      F083200200132 
      2.319     10.695     7.4407     1.1205                      F083200200133 
      2.319     11.087     7.6735     1.0395                      F083200200134 
      2.319     11.493      2.712     1.4464                      F083200200135 
      2.743     3.7141     2.9181      0.254                      F083200200136 
      2.743     3.9225     2.6569     0.2533                      F083200200137 
      2.743     3.9825     4.4224     0.3342                      F083200200138 
      2.743     4.3901     1.4475     0.0813                      F083200200139 
      2.743     4.5258     1.2719     0.0894                      F083200200140 
      2.743     4.6213     2.1161     0.1599                      F083200200141 
      2.743     4.7421     1.3643     0.1188                      F083200200142 
      2.743     4.9506     1.2422     0.1286                      F083200200143 
      2.743     5.0915     1.2176      0.106                      F083200200144 
      2.743     5.1979      1.216     0.1259                      F083200200145 
      2.743      5.243      1.485     0.3967                      F083200200146 
      2.743     5.2689     1.2149     0.1158                      F083200200147 
      2.743     5.3389     1.1919     0.2123                      F083200200148 
      2.743     5.3656      0.993     0.1189                      F083200200149 
      2.743     5.4234     0.7549     0.0657                      F083200200150 
      2.743     5.6051      0.825     0.1119                      F083200200151 
      2.743      6.286     0.9463     0.2523                      F083200200152 
      2.743     6.5067     1.1118     0.5026                      F083200200153 
      2.743     6.8504      1.844     0.7168                      F083200200154 
      2.743     7.3158      2.008      0.315                      F083200200155 
      2.743     7.7047     4.0673     3.3471                      F083200200156 
      2.743     8.3076     4.0363     0.5473                      F083200200157 
      2.743     8.8068     4.2362     1.0142                      F083200200158 
      2.743     9.5117     3.8328     0.4426                      F083200200159 
      2.743     10.009     8.0405     1.6063                      F083200200160 
      2.743     10.309     5.3642     2.4246                      F083200200161 
      2.743     10.716     7.6833     0.7326                      F083200200162 
      2.743     11.211     15.261     3.6484                      F083200200163 
      2.743     11.493     7.0731     2.9042                      F083200200164 
ENDDATA            157          0                                 F083200200165 
ENDSUBENT          164          0                                 F083200299999 
ENDENTRY             2          0                                 F083299999999 
