ENTRY            F0979   20090120                             F035F097900000001 
SUBENT        F0979001   20090120                             F035F097900100001 
BIB                  9         20                                 F097900100002 
TITLE      States in 20Ne from 19F(p,p) and 19F(p,a) reactions at F097900100003 
           Ep=(1.5-2.1) MeV.                                      F097900100004 
AUTHOR     (S.Ouichaoui,H.Beaumevieille,N.Bendjallah,C.Chami,     F097900100005 
           A.Dauchy,B.Chambon,D.Drain,C.Pastor)                   F097900100006 
INSTITUTE  (3ALGALG,2FR GRE,2FR LYO)                              F097900100007 
REFERENCE  (J,NC/A,86,170,1985)                                   F097900100008 
DETECTOR   (SIBAR) The outgoing particles were detected           F097900100009 
           simultaneously by means of silicon surface barrier     F097900100010 
           detectors located at angles from angle equal 57.7 to   F097900100011 
           158.1 degr.                                            F097900100012 
MONITOR    The absolute values of the differential cross sections F097900100013 
           were determined by normalizing the 19F(p,p) yields to  F097900100014 
           the yields for elastic scattering of low energy protonsF097900100015 
           by krypton which obeys the Rutherford scattering law.  F097900100016 
SAMPLE     A C2F6 gas target was used in a differential pumped gasF097900100017 
           target chamber. The gas was trapped by condensation    F097900100018 
           with liquid nitrogen and recycled through the chamber. F097900100019 
ERR-ANALYS (DATA-ERR)   Error of absolute cross sections          F097900100020 
           (ERR-DIG)    Data digitizing error                     F097900100021 
HISTORY    (20090120C)                                            F097900100022 
ENDBIB              20          0                                 F097900100023 
COMMON               1          3                                 F097900100024 
DATA-ERR                                                          F097900100025 
PER-CENT                                                          F097900100026 
  10.                                                             F097900100027 
ENDCOMMON            3          0                                 F097900100028 
ENDSUBENT           27          0                                 F097900199999 
SUBENT        F0979002   20090120                             F035F097900200001 
BIB                  4          4                                 F097900200002 
REACTION   (9-F-19(P,A)8-O-16,PAR,DA)                             F097900200003 
FACILITY   (VDG,3ALGALG) 3.75 MV Van de Graaff accelerator        F097900200004 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F097900200005 
STATUS     (CURVE) Fig.1-4                                        F097900200006 
ENDBIB               4          0                                 F097900200007 
COMMON               2          3                                 F097900200008 
EN-ERR-DIG ERR-DIG                                                F097900200009 
MEV        MB/SR                                                  F097900200010 
 0.001      0.036                                                 F097900200011 
ENDCOMMON            3          0                                 F097900200012 
DATA                 4       1987                                 F097900200013 
E-LVL      ANG        EN         DATA                             F097900200014 
MEV        ADEG       MEV        MB/SR                            F097900200015 
         0.      57.68     1.4942     0.2502                      F097900200016 
         0.      57.68     1.5052     0.2505                      F097900200017 
         0.      57.68     1.5143     0.3132                      F097900200018 
         0.      57.68     1.5253      0.251                      F097900200019 
         0.      57.68     1.5344     0.1887                      F097900200020 
         0.      57.68     1.5453     0.2514                      F097900200021 
         0.      57.68     1.5563     0.3767                      F097900200022 
         0.      57.68     1.5654     0.4394                      F097900200023 
         0.      57.68     1.5764     0.5022                      F097900200024 
         0.      57.68     1.5873     0.5649                      F097900200025 
         0.      57.68     1.5964     0.7526                      F097900200026 
         0.      57.68     1.6092     1.0029                      F097900200027 
         0.      57.68     1.6183     1.0656                      F097900200028 
         0.      57.68     1.6274     1.3783                      F097900200029 
         0.      57.68     1.6366      1.691                      F097900200030 
         0.      57.68      1.643     1.8789                      F097900200031 
         0.      57.68     1.6493     2.1288                      F097900200032 
         0.      57.68     1.6585     2.3165                      F097900200033 
         0.      57.68     1.6639     2.7542                      F097900200034 
         0.      57.68     1.6694     3.3168                      F097900200035 
         0.      57.68     1.6767     3.3795                      F097900200036 
         0.      57.68     1.6785     3.8795                      F097900200037 
         0.      57.68     1.6858     4.7547                      F097900200038 
         0.      57.68     1.6912     4.8798                      F097900200039 
         0.      57.68     1.6967     5.5674                      F097900200040 
         0.      57.68     1.7003     6.3175                      F097900200041 
         0.      57.68     1.7058     7.2551                      F097900200042 
         0.      57.68     1.7113     6.8803                      F097900200043 
         0.      57.68     1.7168     7.0054                      F097900200044 
         0.      57.68     1.7217     7.2556                      F097900200045 
         0.      57.68      1.724     7.6305                      F097900200046 
         0.      57.68     1.7313     7.6307                      F097900200047 
         0.      57.68     1.7332     7.5683                      F097900200048 
         0.      57.68     1.7376      7.256                      F097900200049 
         0.      57.68     1.7387     6.6309                      F097900200050 
         0.      57.68      1.746     6.2561                      F097900200051 
         0.      57.68     1.7533     6.0062                      F097900200052 
         0.      57.68     1.7541     6.0064                      F097900200053 
         0.      57.68     1.7554     5.9439                      F097900200054 
         0.      57.68     1.7569     5.4438                      F097900200055 
         0.      57.68     1.7715     5.4442                      F097900200056 
         0.      57.68      1.777     4.9443                      F097900200057 
