ENTRY            G0025   20180925                             G042G002500000001 
SUBENT        G0025001   20180925                             G042G002500100001 
BIB                 11         42                                 G002500100002 
TITLE      Fragment characteristics from fission of 238U and 234U G002500100003 
            induced by 6.5-9.0 MeV bremsstrahlung                 G002500100004 
AUTHOR     (A.Goeoek, M.Chernykh, C.Eckardt, J.Enders,            G002500100005 
            P.von Neumann-Cosel, A.Oberstedt, S.Oberstedt,        G002500100006 
            A.Richter)                                            G002500100007 
INSTITUTE  (2GERTHD,2SWDCTH,2ZZZGEL)                              G002500100008 
           (2SWDSWD) Oerebro Universitet, Oerebro                 G002500100009 
           (2ITYITY) European Centre for Theoretical Studies in   G002500100010 
            Nuclear Physics and Related Areas, Villazano (Trento) G002500100011 
REFERENCE  (J,NP/A,851,1,2011)                                    G002500100012 
           (J,NIM/A,621,401,2010)                                 G002500100013 
FACILITY   (LINAC,2GERTHD) S-DALINAC                              G002500100014 
INC-SOURCE (BRST) Incident electron beam energies E0=6.5-9.0 MeV. G002500100015 
            U-238:                                                G002500100016 
             E0=8.5 MeV, <Ex>=7.06 MeV,                           G002500100017 
                        Irradiated for 17h with 19 uA             G002500100018 
             E0=7.0 MeV, <Ex>=6.17 MeV,                           G002500100019 
                        Irradiated for 20h with 43 uA             G002500100020 
             E0=6.5 MeV, <Ex>=5.93 MeV,                           G002500100021 
                        Irradiated for 82h with 48 uA             G002500100022 
            U-234:                                                G002500100023 
             E0=9.0 MeV, <Ex>=6.85 MeV,                           G002500100024 
                        Irradiated for 43h with 23 uA             G002500100025 
             E0=7.5 MeV, <Ex>=6.11 MeV,                           G002500100026 
                        Irradiated for 99h with 5 uA              G002500100027 
             E0=6.8 MeV, <Ex>=5.77 MeV,                           G002500100028 
                        Irradiated for 93h with 11 uA             G002500100029 
DETECTOR   (FISCH) Twin Frisch-grid ionization chamber (FGIC)     G002500100030 
SAMPLE      U-238: UF4, 130 ug/cm2;                               G002500100031 
            U-234: UF4, 190 ug/cm2;                               G002500100032 
            resting on 50 ug/cm2 gold foils with 35 ug/cm2        G002500100033 
            polyimide backings.                                   G002500100034 
ANALYSIS    Change in the fragments' kinetic energies caused by   G002500100035 
             the neutron evaporation is considered.               G002500100036 
COMMENT     Alf Goeoek (2011-05-11):                              G002500100037 
             Data shown in Tables 2-3 and Figs.4 and 6 of         G002500100038 
             Nucl.Phys.A851(2011)1 are for fragments before       G002500100039 
             prompt neutron emission.                             G002500100040 
HISTORY    (20110211C) On                                         G002500100041 
           (20110214R) On. Received from A.Goeoek                 G002500100042 
           (20110511U) On. COMMENT added                          G002500100043 
           (20180925A) So. Major revisions in 002-003, 008-009.   G002500100044 
ENDBIB              42          0                                 G002500100045 
NOCOMMON             0          0                                 G002500100046 
ENDSUBENT           45          0                                 G002500199999 
SUBENT        G0025002   20180925                             G042G002500200001 
BIB                  4          4                                 G002500200002 
REACTION   (92-U-238(G,F)MASS,PRE,FY,,BRA)                        G002500200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        G002500200004 
STATUS     (TABLE) Plotted in Fig.3 of Nucl.Phys.A851(2011)1      G002500200005 
HISTORY    (20180925A) So. EN-MAX corrected to bremstrahlung E0.  G002500200006 
ENDBIB               4          0                                 G002500200007 
NOCOMMON             0          0                                 G002500200008 
DATA                 4        360                                 G002500200009 
EN-MAX     MASS       DATA       ERR-S                            G002500200010 
MEV        NO-DIM     PC/FIS     PC/FIS                           G002500200011 
 6.5         61.        0.00E+000  0.00E+000                      G002500200012 
 6.5         62.        0.00E+000  0.00E+000                      G002500200013 
 6.5         63.        0.00E+000  0.00E+000                      G002500200014 
 6.5         64.        0.00E+000  0.00E+000                      G002500200015 
 6.5         65.        0.00E+000  0.00E+000                      G002500200016 
 6.5         66.        0.00E+000  0.00E+000                      G002500200017 
 6.5         67.        0.00E+000  0.00E+000                      G002500200018 
 6.5         68.        0.00E+000  0.00E+000                      G002500200019 
 6.5         69.        3.96E-003  3.96E-003                      G002500200020 
 6.5         70.        0.00E+000  0.00E+000                      G002500200021 
 6.5         71.        0.00E+000  0.00E+000                      G002500200022 
 6.5         72.        3.96E-003  3.96E-003                      G002500200023 
 6.5         73.        0.00E+000  0.00E+000                      G002500200024 
 6.5         74.        0.00E+000  0.00E+000                      G002500200025 
 6.5         75.        3.96E-003  3.96E-003                      G002500200026 
 6.5         76.        1.98E-002  8.85E-003                      G002500200027 
 6.5         77.        2.77E-002  1.05E-002                      G002500200028 
 6.5         78.        3.17E-002  1.12E-002                      G002500200029 
 6.5         79.        5.15E-002  1.43E-002                      G002500200030 
 6.5         80.        8.31E-002  1.81E-002                      G002500200031 
 6.5         81.        1.23E-001  2.20E-002                      G002500200032 
 6.5         82.        2.02E-001  2.83E-002                      G002500200033 
 6.5         83.        2.93E-001  3.41E-002                      G002500200034 
 6.5         84.        4.35E-001  4.15E-002                      G002500200035 
 6.5         85.        7.05E-001  5.28E-002                      G002500200036 
 6.5         86.        8.35E-001  5.75E-002                      G002500200037 
 6.5         87.        1.23E+000  6.97E-002                      G002500200038 
 6.5         88.        1.57E+000  7.89E-002                      G002500200039 
 6.5         89.        2.05E+000  9.00E-002                      G002500200040 
 6.5         90.        2.47E+000  9.90E-002                      G002500200041 
 6.5         91.        2.94E+000  1.08E-001                      G002500200042 
 6.5         92.        3.53E+000  1.18E-001                      G002500200043 
 6.5         93.        3.97E+000  1.25E-001                      G002500200044 
 6.5         94.        4.40E+000  1.32E-001                      G002500200045 
 6.5         95.        4.81E+000  1.38E-001                      G002500200046 
 6.5         96.        4.91E+000  1.39E-001                      G002500200047 
 6.5         97.        5.38E+000  1.46E-001                      G002500200048 
 6.5         98.        5.50E+000  1.48E-001                      G002500200049 
 6.5         99.        6.04E+000  1.55E-001                      G002500200050 
 6.5        100.        6.68E+000  1.63E-001                      G002500200051 
 6.5        101.        6.40E+000  1.59E-001                      G002500200052 
 6.5        102.        6.27E+000  1.58E-001                      G002500200053 
 6.5        103.        6.14E+000  1.56E-001                      G002500200054 
 6.5        104.        5.48E+000  1.47E-001                      G002500200055 
 6.5        105.        4.71E+000  1.37E-001                      G002500200056 
 6.5        106.        3.86E+000  1.24E-001                      G002500200057 
 6.5        107.        3.02E+000  1.09E-001                      G002500200058 
 6.5        108.        2.28E+000  9.50E-002                      G002500200059 
 6.5        109.        1.44E+000  7.54E-002                      G002500200060 
 6.5        110.        8.91E-001  5.94E-002                      G002500200061 
 6.5        111.        5.58E-001  4.70E-002                      G002500200062 
 6.5        112.        2.61E-001  3.22E-002                      G002500200063 
 6.5        113.        1.54E-001  2.47E-002                      G002500200064 
