ENTRY            G4023   20180212                             G040G402300000001 
SUBENT        G4023001   20180212                             G040G402300100001 
BIB                 12         21                                 G402300100002 
TITLE      Main results on nuclear physics obtained at IPHENP NSC G402300100003 
            KIPT during 2002-2004 years                           G402300100004 
AUTHOR     (S.N.Afanas'ev, A.S.Kachan, A.F.Khodyachikh,I.V.Kurguz,G402300100005 
            R.P.Slabospitsky, I.V.Ushakov, A.N.Vodin)             G402300100006 
INSTITUTE  (4UKRKFT)                                              G402300100007 
REFERENCE  (J,VAT/I,,(6/45),3,2005)                               G402300100008 
FACILITY   (LINAC,4UKRKFT)                                        G402300100009 
INC-SOURCE (BRST)                                                 G402300100010 
METHOD     (EXTB,SITA)                                            G402300100011 
DETECTOR   (TRD)                                                  G402300100012 
COMMENT    Differential cross sections in c.m.s. n+C-11 system in G402300100013 
            the energy intervals 32-36, 36-38, 38-40, 40-50,      G402300100014 
            50-70, 70-100 MeV were measured by means of a         G402300100015 
            diffusion chamber in a magnetic field exposed to the  G402300100016 
            bremsstrahlung g-ray beam.                            G402300100017 
ERR-ANALYS (ERR-S) Statistical only                               G402300100018 
STATUS     (CURVE) Fig.2. No response from author (A.N.Vodin)     G402300100019 
HISTORY    (20081017C) UkrNDC                                     G402300100020 
           (20100322U) UkrNDC: VAT/I,45 corrected on VAT/I,6/45   G402300100021 
           (20110207U) On. REFERENCE corrected (vol.,issue)       G402300100022 
           (20180212A) On. Major rev. in 002-007.                 G402300100023 
ENDBIB              21          0                                 G402300100024 
NOCOMMON             0          0                                 G402300100025 
ENDSUBENT           24          0                                 G402300199999 
SUBENT        G4023002   20180212                             G040G402300200001 
BIB                  2          2                                 G402300200002 
REACTION   (6-C-12(G,N)6-C-11,,DA,,BRA)                           G402300200003 
HISTORY    (20180212A) On. 002-007 merged. DATA-ERR -> ERR-S.     G402300200004 
ENDBIB               2          0                                 G402300200005 
NOCOMMON             0          0                                 G402300200006 
DATA                 5         70                                 G402300200007 
EN-MIN     EN-MAX     ANG-CM     DATA-CM    ERR-S                 G402300200008 
MEV        MEV        ADEG       MB/SR      MB/SR                 G402300200009 
 32.        36.         6.5934     15.469     7.7344              G402300200010 
 32.        36.         21.758     15.312     4.6094              G402300200011 
 32.        36.         36.923     14.062     3.5156              G402300200012 
 32.        36.         52.088     15.078     3.2031              G402300200013 
 32.        36.         67.253     13.125     2.6562              G402300200014 
 32.        36.         82.418     15.078     2.8906              G402300200015 
 32.        36.         96.923     5.5469     1.7188              G402300200016 
 32.        36.         112.09     13.984     3.0469              G402300200017 
 32.        36.         127.25     13.281     2.9688              G402300200018 
 32.        36.         142.42     5.7031     2.2656              G402300200019 
 32.        36.         157.58     9.2969     3.5156              G402300200020 
 32.        36.         172.75     11.641     6.6406              G402300200021 
 36.        38.         20.884     17.656     7.9688              G402300200022 
 36.        38.         36.133     30.000     7.3438              G402300200023 
 36.        38.         51.381     32.031     7.3438              G402300200024 
 36.        38.         66.630     27.656     5.6250              G402300200025 
 36.        38.         81.215     29.688     6.7188              G402300200026 
 36.        38.         96.464     32.500     7.3438              G402300200027 
 36.        38.         111.71     21.250     5.3125              G402300200028 
 36.        38.         126.96     7.6562     3.5938              G402300200029 
 36.        38.         142.21     19.219     6.7188              G402300200030 
 36.        38.         157.46     7.1875     5.1562              G402300200031 
 38.        40.         7.5410     28.592     8.8732              G402300200032 
 38.        40.         22.623     43.662     8.3099              G402300200033 
 38.        40.         37.705     35.493     6.1972              G402300200034 
 38.        40.         52.787     41.549     6.3380              G402300200035 
 38.        40.         67.869     52.817     7.6056              G402300200036 
 38.        40.         82.951     48.169     7.4648              G402300200037 
 38.        40.         97.377     36.761     5.2113              G402300200038 
 38.        40.         112.46     42.817     6.0563              G402300200039 
 38.        40.         127.54     36.056     5.0704              G402300200040 
 38.        40.         142.62     40.845     6.9014              G402300200041 
 38.        40.         157.70     26.620     4.6479              G402300200042 
 38.        40.         172.79     28.732     8.5915              G402300200043 
 40.        50.         6.5934     11.825     4.9270              G402300200044 
 40.        50.         21.758     26.606     5.1460              G402300200045 
 40.        50.         36.923     28.029     3.9416              G402300200046 
 40.        50.         52.088     22.555     3.5036              G402300200047 
 40.        50.         67.253     23.321     3.1752              G402300200048 
 40.        50.         82.418     18.723     2.7372              G402300200049 
 40.        50.         96.923     19.380     2.7372              G402300200050 
 40.        50.         112.09     13.029     2.0803              G402300200051 
 40.        50.         127.25     14.124     2.5182              G402300200052 
 40.        50.         142.42     13.029     2.6277              G402300200053 
 40.        50.         157.58     5.8029     1.9708              G402300200054 
 40.        50.         172.75     5.9124     3.3942              G402300200055 
 50.        70.         5.6354     17.985     5.1163              G402300200056 
 50.        70.         20.884     10.543     2.7132              G402300200057 
 50.        70.         36.133     13.488     2.4031              G402300200058 
 50.        70.         51.381     17.132     2.4806              G402300200059 
 50.        70.         66.630     17.132     2.3256              G402300200060 
 50.        70.         81.215     11.163     1.9380              G402300200061 
 50.        70.         96.464     8.9147     1.6279              G402300200062 
 50.        70.         111.71     9.6124     1.7829              G402300200063 
 50.        70.         126.96     7.7519     1.5504              G402300200064 
 50.        70.         142.21     6.2016     1.7054              G402300200065 
 50.        70.         157.46     10.388     2.7907              G402300200066 
 50.        70.         172.04     3.7984     2.5581              G402300200067 
 70.       100.         7.8261     8.6250     3.8750              G402300200068 
 70.       100.         22.826     12.812     3.0625              G402300200069 
 70.       100.         37.826     11.875     2.3125              G402300200070 
 70.       100.         52.826     9.5000     2.0625              G402300200071 
 70.       100.         67.826     9.0000     1.8125              G402300200072 
 70.       100.         82.826     7.0625     1.4375              G402300200073 
 70.       100.         97.174     2.7500     0.93750             G402300200074 
 70.       100.         112.17     4.5625     1.3125              G402300200075 
 70.       100.         127.17     2.8125     1.0000              G402300200076 
 70.       100.         142.17     4.7500     1.6250              G402300200077 
 70.       100.         157.17     1.0625     0.75000             G402300200078 
 70.       100.         171.52     4.0625     2.3125              G402300200079 
ENDDATA             72          0                                 G402300200080 
ENDSUBENT           79          0                                 G402300299999 
NOSUBENT      G4023003   20180212                             G040G402300300001 
NOSUBENT      G4023004   20180212                             G040G402300400001 
NOSUBENT      G4023005   20180212                             G040G402300500001 
NOSUBENT      G4023006   20180212                             G040G402300600001 
NOSUBENT      G4023007   20180212                             G040G402300700001 
ENDENTRY             7          0                                 G402399999999 
