ENTRY            G4066   20190206                             G043G4066  0    1 
SUBENT        G4066001   20190206                             G043G4066  1    1 
BIB                 11         14                                 G4066  1    2 
TITLE      Photodisintegration of C12 at gamma-ray energies from  G4066  1    3 
           250 to 1200 MeV                                        G4066  1    4 
AUTHOR     (S.G.Tonapetyan,N.V.Goncharov,A.I.Derebchinskii,       G4066  1    5 
           O.G.Konovalov,V.M.Khvorostyan)                         G4066  1    6 
INSTITUTE  (4UKRKFT)                                              G4066  1    7 
REFERENCE  (J,ZET,63,1955,1972)                                   G4066  1    8 
           (J,JET,36,1033,1973) English translation               G4066  1    9 
FACILITY   (LINAC,4UKRKFT)                                        G4066  1   10 
INC-SOURCE (BRST)                                                 G4066  1   11 
METHOD     (EXTB,SITA)                                            G4066  1   12 
DETECTOR   (TRD)                                                  G4066  1   13 
ERR-ANALYS (ERR-S) Statistical errors                             G4066  1   14 
STATUS     (CURVE) Digitized by GSYS2.4.7.                        G4066  1   15 
HISTORY    (20190206C) UkrNDC                                     G4066  1   16 
ENDBIB              14          0                                 G4066  1   17 
NOCOMMON             0          0                                 G4066  1   18 
ENDSUBENT           17          0                                 G4066  199999 
SUBENT        G4066002   20190206                             G043G4066  2    1 
BIB                  2          2                                 G4066  2    2 
REACTION   (6-C-12(G,X)1-H-1,,DA/DE,,BRA)                         G4066  2    3 
STATUS     (CURVE) Correspond to Fig.1 in JETP 36(1973)1033       G4066  2    4 
ENDBIB               2          0                                 G4066  2    5 
COMMON               1          3                                 G4066  2    6 
ANG                                                               G4066  2    7 
ADEG                                                              G4066  2    8 
90.                                                               G4066  2    9 
ENDCOMMON            3          0                                 G4066  2   10 
DATA                 4        121                                 G4066  2   11 
EN-MAX     E          DATA       ERR-S                            G4066  2   12 
MEV        MEV        MUB/SR/MEV MUB/SR/MEV                       G4066  2   13 
110.           35.0827    79.6530     2.0790                      G4066  2   14 
110.           45.3417    36.4610     2.1890                      G4066  2   15 
110.           53.8902    15.6860     2.2170                      G4066  2   16 
110.           62.3579     8.7950     2.2200                      G4066  2   17 
110.           71.8761     2.4440     0.9230                      G4066  2   18 
250.           74.3830    30.7650     3.5540                      G4066  2   19 
250.           83.9629    19.8980     3.0790                      G4066  2   20 
250.           94.2156    18.0330     2.8410                      G4066  2   21 
250.          104.0060    14.9830     2.8420                      G4066  2   22 
250.          114.5039     8.8550     2.1320                      G4066  2   23 
250.          124.2821    10.0680     2.6060                      G4066  2   24 
250.          134.5464     4.1770     2.1330                      G4066  2   25 
250.          144.6829     3.0380     1.8810                      G4066  2   26 
250.          154.3472     2.5780     1.1840                      G4066  2   27 
250.          165.1679     1.4970     1.0670                      G4066  2   28 
293.           39.1309   167.6980     6.9390                      G4066  2   29 
293.           53.9103    99.9040     7.0230                      G4066  2   30 
293.           65.4818    75.3570     6.7870                      G4066  2   31 
293.           74.1001    60.7670     3.7900                      G4066  2   32 
293.           83.8799    43.8800     2.9260                      G4066  2   33 
293.           93.8591    32.6810     2.7700                      G4066  2   34 
293.          104.3793    28.1240     2.6060                      G4066  2   35 
293.          114.3251    22.0320     2.6700                      G4066  2   36 
293.          124.2959    16.7070     2.1360                      G4066  2   37 
293.          134.6361    11.1140     3.0790                      G4066  2   38 
293.          144.6391     8.9970     2.1320                      G4066  2   39 
293.          154.6421     6.8800     2.1320                      G4066  2   40 
293.          164.8787     4.0520     2.3690                      G4066  2   41 
293.          174.6567     2.3640                                 G4066  2   42 
293.          184.0970     1.3100                                 G4066  2   43 
400.           73.8192    94.7970                                 G4066  2   44 
400.           84.3149    75.3730     4.2640                      G4066  2   45 
400.           94.3440    70.1620     3.0790                      G4066  2   46 
400.          104.3470    52.3300     2.6710                      G4066  2   47 
400.          114.4023    46.4750     3.3160                      G4066  2   48 
400.          124.4315    39.1320     3.3160                      G4066  2   49 
400.          134.3238    28.3010     2.6690                      G4066  2   50 
400.          144.8419    23.4950     3.7390                      G4066  2   51 
400.          154.3082    18.1550     3.2040                      G4066  2   52 
400.          164.3005    15.4850     3.2040                      G4066  2   53 
400.          174.3440    10.4710     2.6060                      G4066  2   54 
400.          184.8108     9.6110                                 G4066  2   55 
400.          193.7512     5.8730                                 G4066  2   56 
400.          204.2694     4.2710                                 G4066  2   57 
400.          214.2616     2.6700                                 G4066  2   58 
400.          224.2538     2.1360                                 G4066  2   59 
400.          235.2979     1.0680     1.0670                      G4066  2   60 
600.           56.7234   156.3002     5.1495                      G4066  2   61 
600.           67.7454   127.1487     4.5773                      G4066  2   62 
600.           79.5819   115.9600     4.2720                      G4066  2   63 
600.           90.5607    96.5580     3.7900                      G4066  2   64 
600.          104.0764    77.3920     4.2640                      G4066  2   65 
600.          113.7496    57.8080     2.6680                      G4066  2   66 
