ENTRY            M0054   20040901                             M037M005400000001 
SUBENT        M0054001   20040901                             M037M005400100001 
BIB                 12         21                                 M005400100002 
INSTITUTE  (4UKRUFT)                                              M005400100003 
REFERENCE  (J,YF,34,1425,1981)                                    M005400100004 
           (J,SNP,34,789,1981)                                    M005400100005 
AUTHOR     (A.F.KHODYACHIKH,P.I.VATSET,V.N.GUR'EV,                M005400100006 
           I.V.DOGYUST,V.V.KIRICHENKO)                            M005400100007 
TITLE      Momentum distribution of quasi-deuterons in the        M005400100008 
            p-shell of carbon nucleus.                            M005400100009 
FACILITY   (LINAC,4UKRUFT)                                        M005400100010 
INC-SOURCE (BRST)                                                 M005400100011 
METHOD     (EXTB,SITA)                                            M005400100012 
DETECTOR   (TRD)                                                  M005400100013 
ERR-ANALYS (ERR-S) Statistical errors only.                       M005400100014 
COMMENT    The quasi-deuteron momentum distribution               M005400100015 
           for events of the reaction 12C(g,p+n)10B was measured  M005400100016 
           by means of diffusion chamber in magnetic field.       M005400100017 
STATUS     (CURVE)                                                M005400100018 
HISTORY    (19840124C)                                            M005400100019 
           (19910202A) CORRECTED BY V.VARLAMOV, V.MCLANE          M005400100020 
           (20040901A) Updated to new date formats, lower case.   M005400100021 
            Reaction updated to new formats; headings, units      M005400100022 
            corrected.                                            M005400100023 
ENDBIB              21          0                                 M005400100024 
NOCOMMON             0          0                                 M005400100025 
ENDSUBENT           24          0                                 M005400199999 
SUBENT        M0054002   19910220                             M037M005400200001 
BIB                  3          4                                 M005400200002 
REACTION   (6-C-12(G,N+P)5-B-10,PAR,DP,N+P,BRA/REL)               M005400200003 
EN-SEC     (E1,N+P) Average depth of potential well for energy    M005400200004 
            of quasideuteron.                                     M005400200005 
MOM-SEC    (MOM-SEC,N+P) Momentum of quasideuteron                M005400200006 
ENDBIB               4          0                                 M005400200007 
NOCOMMON             0          0                                 M005400200008 
DATA                 6        548                                 M005400200009 
EN-MIN     EN-MAX     E1         MOM-SEC    DATA       ERR-S      M005400200010 
MEV        MEV        MEV        MEV/C      ARB-UNITS  ARB-UNITS  M005400200011 
    40.        50.         0.        92.        75.        11.    M005400200012 
    40.        50.         0.       111.       101.        10.    M005400200013 
    40.        50.         0.       136.        97.        12.    M005400200014 
    40.        50.         0.       155.        73.         9.    M005400200015 
    40.        50.         0.       177.        40.         7.    M005400200016 
    40.        50.         0.       199.        28.         7.    M005400200017 
    40.        50.         0.       218.        13.         3.    M005400200018 
    40.        50.         0.       238.         9.         3.    M005400200019 
    40.        50.         0.       259.         7.         3.    M005400200020 
    40.        50.         0.       280.         5.         3.    M005400200021 
    40.        50.         0.       299.         4.         3.    M005400200022 
    40.        50.         0.       322.         3.         3.    M005400200023 
    40.        50.        11.6       92.        88.        13.    M005400200024 
    40.        50.        11.6      117.        85.        13.    M005400200025 
    40.        50.        11.6      133.       160.        18.    M005400200026 
    40.        50.        11.6      152.       154.        18.    M005400200027 
    40.        50.        11.6      174.       147.        16.    M005400200028 
    40.        50.        11.6      196.       109.        15.    M005400200029 
    40.        50.        11.6      218.       105.        14.    M005400200030 
    40.        50.        11.6      240.        80.        13.    M005400200031 
    40.        50.        11.6      258.        61.        12.    M005400200032 
    40.        50.        11.6      279.        50.        10.    M005400200033 
    40.        50.        11.6      301.        44.        10.    M005400200034 
    40.        50.        11.6      321.        27.        10.    M005400200035 
    40.        50.        11.6      341.        32.         8.    M005400200036 
    40.        50.        11.6      358.        15.         4.    M005400200037 
    40.        50.        11.6      380.        10.         4.    M005400200038 
    40.        50.        11.6      400.         4.         4.    M005400200039 
    40.        50.        11.6      422.         1.         4.    M005400200040 
    40.        50.        11.6      445.         2.         4.    M005400200041 
    40.        50.        20.        98.        56.        10.    M005400200042 
    40.        50.        20.       118.        71.        10.    M005400200043 
    40.        50.        20.       139.        84.        13.    M005400200044 
    40.        50.        20.       161.       131.        12.    M005400200045 
    40.        50.        20.       180.       109.        16.    M005400200046 
    40.        50.        20.       203.       109.        14.    M005400200047 
    40.        50.        20.       223.       131.        13.    M005400200048 
    40.        50.        20.       242.        77.        11.    M005400200049 
    40.        50.        20.       266.        82.        11.    M005400200050 
    40.        50.        20.       285.        65.        12.    M005400200051 
    40.        50.        20.       307.        66.        10.    M005400200052 
    40.        50.        20.       325.        39.         9.    M005400200053 
    40.        50.        20.       349.        49.         9.    M005400200054 
    40.        50.        20.       367.        29.         7.    M005400200055 
    40.        50.        20.       388.        24.         8.    M005400200056 
    40.        50.        20.       410.        26.         8.    M005400200057 
    40.        50.        20.       429.        18.         8.    M005400200058 
    40.        50.        20.       446.         9.         4.    M005400200059 
    40.        50.        20.       467.         6.         4.    M005400200060 
    40.        50.        20.       489.         3.         4.    M005400200061 
    40.        50.        20.       513.         6.         2.    M005400200062 
    40.        50.        33.5      106.        44.         9.    M005400200063 
    40.        50.        33.5      124.        60.         9.    M005400200064 
    40.        50.        33.5      145.        71.        12.    M005400200065 
    40.        50.        33.5      168.        70.        12.    M005400200066 
    40.        50.        33.5      186.       117.        13.    M005400200067 
    40.        50.        33.5      210.       105.        13.    M005400200068 
    40.        50.        33.5      228.        84.        13.    M005400200069 
