ENTRY            M0231   20210514                             M112M0231  0    1 
SUBENT        M0231001   20210514                             M112M0231  1    1 
BIB                 10         24                                 M0231  1    2 
TITLE      Direct electrodisintegration of Li-7 into triton plus  M0231  1    3 
            alpha-particle                                        M0231  1    4 
AUTHOR     (G.R.Bishop,M.Bernheim)                                M0231  1    5 
INSTITUTE  (2FR ENS)                                              M0231  1    6 
REFERENCE  (J,PL,8,48,1964)                                       M0231  1    7 
FACILITY   (LINAC,2FR ENS)                                        M0231  1    8 
METHOD     (EXTB,SITA)                                            M0231  1    9 
DETECTOR   (MAGSP)                                                M0231  1   10 
ANALYSIS   The inelastic electron scattering spectra are          M0231  1   11 
            measured for the end-point energy of 150 MeV (the     M0231  1   12 
            exact incident energy is given in Tbl.2). These       M0231  1   13 
            spectra are obtained after substraction of the        M0231  1   14 
            radiative tail of the elastic peak.                   M0231  1   15 
ADD-RES    The integrated cross section from threshold to         M0231  1   16 
           the 4.63 MeV peak has been estimated.                  M0231  1   17 
HISTORY    (19841026C)                                            M0231  1   18 
           (19910202A) Corrected by V.Varlamov, V.Mclane          M0231  1   19 
           (20100224A) DATAs, lowercase, SUBENTS 002 and 003      M0231  1   20 
           deleted because are not original data at the Russia    M0231  1   21 
           MSU SINP CDFE by V.Varlamov.                           M0231  1   22 
           (20210514A) Corrected by SD and VV: corrections in     M0231  1   23 
            all SUBENTs, SUBENTs 002, 003 deleted (not original   M0231  1   24 
            data), DUBENTs 004-007 merged, SUBENT 8 added,        M0231  1   25 
            STATUS.                                               M0231  1   26 
ENDBIB              24          0                                 M0231  1   27 
NOCOMMON             0          0                                 M0231  1   28 
ENDSUBENT           27          0                                 M0231  199999 
NOSUBENT      M0231002   20210514                             M112M0231  2    1 
NOSUBENT      M0231003   20210514                             M112M0231  3    1 
SUBENT        M0231004   20210514                             M112M0231  4    1 
BIB                  4          6                                 M0231  4    2 
REACTION   (3-LI-7(E,INL)3-LI-7,,DA/DE,E/RSD)                     M0231  4    3 
ERR-ANALYS (ERR-S) Statistical errors are presented.              M0231  4    4 
STATUS     (CURVE) Data from Fig.1 of Phys.Lett.,8(1964)48.       M0231  4    5 
HISTORY    (20210514A) Corrected by SD and VV: SF9=EXP deleted    M0231  4    6 
            from REACTION code, STATUS added, Data from SUBENTs   M0231  4    7 
            005-007 added.                                        M0231  4    8 
ENDBIB               6          0                                 M0231  4    9 
COMMON               1          3                                 M0231  4   10 
EN                                                                M0231  4   11 
MEV                                                               M0231  4   12 
   150.                                                           M0231  4   13 
ENDCOMMON            3          0                                 M0231  4   14 
DATA                 4        148                                 M0231  4   15 
ANG        E-EXC      DATA       ERR-S                            M0231  4   16 
ADEG       MEV        MUB/SR/MEV MUB/SR/MEV                       M0231  4   17 
        40.       1.28     -0.012      0.074                      M0231  4   18 
        40.       1.41     -0.005      0.067                      M0231  4   19 
        40.       1.55      0.038      0.065                      M0231  4   20 
        40.       1.66      0.045       0.07                      M0231  4   21 
        40.       1.79      0.076      0.089                      M0231  4   22 
        40.       1.89      0.076      0.093                      M0231  4   23 
        40.       2.08      -0.07      0.063                      M0231  4   24 
        40.       2.18     -0.021       0.09                      M0231  4   25 
        40.       2.30      0.128      0.065                      M0231  4   26 
        40.       2.41      0.233      0.069                      M0231  4   27 
        40.       2.54      0.069      0.062                      M0231  4   28 
        40.       2.67      0.209      0.079                      M0231  4   29 
        40.       2.78      0.446      0.072                      M0231  4   30 
        40.       2.93      0.393      0.071                      M0231  4   31 
        40.       3.05      0.453      0.068                      M0231  4   32 
        40.       3.17      0.483      0.074                      M0231  4   33 
        40.       3.30      0.417      0.078                      M0231  4   34 
        40.       3.46      0.376      0.074                      M0231  4   35 
        40.       3.60      0.578      0.091                      M0231  4   36 
        40.       3.74      0.683      0.077                      M0231  4   37 
        40.       3.85      0.581      0.069                      M0231  4   38 
        40.       3.99      0.561      0.074                      M0231  4   39 
        40.       4.09      0.517      0.076                      M0231  4   40 
        40.       4.23      0.789      0.084                      M0231  4   41 
        40.       4.37      1.035      0.071                      M0231  4   42 
        40.       4.49      1.232       0.09                      M0231  4   43 
        40.       4.64      1.452      0.081                      M0231  4   44 
        40.       4.75      1.231      0.091                      M0231  4   45 
        40.       4.80      0.806      0.076                      M0231  4   46 
        40.       5.01      0.607      0.082                      M0231  4   47 
        40.       5.15      0.677      0.079                      M0231  4   48 
        40.       5.26       0.56       0.08                      M0231  4   49 
        40.       5.38      0.482      0.068                      M0231  4   50 
        40.       5.51      0.483       0.06                      M0231  4   51 
        40.       5.65      0.473      0.064                      M0231  4   52 
        40.       5.80      0.485      0.062                      M0231  4   53 
        40.       5.96      0.423      0.061                      M0231  4   54 
        60.       1.29       -0.0      0.012                      M0231  4   55 
        60.       1.46     -0.005      0.011                      M0231  4   56 
        60.       1.58      0.005      0.012                      M0231  4   57 
        60.       1.72      0.003      0.011                      M0231  4   58 
        60.       1.85      0.002      0.012                      M0231  4   59 
        60.       1.98        0.0      0.014                      M0231  4   60 
        60.       2.10     -0.016      0.007                      M0231  4   61 
        60.       2.22     -0.014      0.007                      M0231  4   62 
        60.       2.34      0.021       0.01                      M0231  4   63 
        60.       2.47      0.021      0.008                      M0231  4   64 
