ENTRY            O0441   20000426                             0000O044100000001 
SUBENT        O0441001   20000426                             0000O044100100001 
BIB                 11         26                                 O044100100002 
TITLE      Evidence from 62 MeV Proton Scattering For Extending   O044100100003 
           The Weak Coupling Model in Bi-209.                     O044100100004 
AUTHOR     (F.E.BERTRAND,M.B.LEWIS)                               O044100100005 
INSTITUTE  (1USAORL)                                              O044100100006 
REFERENCE  (J,NP/A,168,259,1971)                                  O044100100007 
HISTORY    (19980710C)                                            O044100100008 
           (19980805U) Last checking has been done.               O044100100009 
           (20000426A) DATE is corrected                          O044100100010 
SAMPLE     Bi-209,Thickness 10.3+-0.2 Mg/Cm**2,was Used As Target.O044100100011 
ADD-RES    (COMP).DWBA Calculations.                              O044100100012 
           (P-SPC) At 30 Degrees.                                 O044100100013 
DETECTOR   (TELES,SOLST,SOLST,GELI).A Three-Counter Telescope     O044100100014 
           Composed of Two Silicon Surface-Barrier Detectors and aO044100100015 
           Ge(Li) Stopping Detector.                              O044100100016 
           Secondary Particle-Type was Unambiguously              O044100100017 
           Identified by delta E*E and Time-Of Flight Methods.    O044100100018 
FACILITY   (ISOCY,1USAORL)                                        O044100100019 
ERR-ANALYS A Systematic Experimental Uncertainty of 8% was        O044100100020 
           Assigned to the Differential Cross Reactions and an    O044100100021 
           Additional 20% Uncertainty was Assigned to the         O044100100022 
           Extraction of Cross Sections For Some of the Weaker    O044100100023 
           Groups Which were Difficult to Resolve from NeighboringO044100100024 
           Peaks.The Errors in the Data-Sections Represent the    O044100100025 
           Combined Uncertainties from All Sources.               O044100100026 
           (ANG-ERR).Data-Point Reader Uncertainty.               O044100100027 
STATUS     (CURVE).By CAJAD.                                      O044100100028 
ENDBIB              26          0                                 O044100100029 
COMMON               1          3                                 O044100100030 
EN                                                                O044100100031 
MEV                                                               O044100100032 
       61.7                                                       O044100100033 
ENDCOMMON            3          0                                 O044100100034 
ENDSUBENT           33          0                                 O044100199999 
SUBENT        O0441002   20000426                             0000O044100200001 
BIB                  3          3                                 O044100200002 
REACTION   (83-BI-209(P,INL)83-BI-209,PAR,DA)                     O044100200003 
EN-SEC     (E-LVL,83-BI-209)                                      O044100200004 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O044100200005 
ENDBIB               3          0                                 O044100200006 
COMMON               1          3                                 O044100200007 
ANG-ERR                                                           O044100200008 
ADEG                                                              O044100200009 
        0.6                                                       O044100200010 
ENDCOMMON            3          0                                 O044100200011 
DATA                 4         74                                 O044100200012 
ANG-CM     E-LVL      DATA-CM    ERR-T                            O044100200013 
ADEG       MEV        MB/SR      PER-CENT                         O044100200014 
       13.1       3.15       1.04        16.                      O044100200015 
       14.1       3.56       0.29        40.                      O044100200016 
       14.2       1.62        0.3        13.                      O044100200017 
       14.8       2.65       11.9         8.                      O044100200018 
       15.1        5.2       0.47        30.                      O044100200019 
       16.7       4.29        4.9        24.                      O044100200020 
       18.5       3.96        2.7        22.                      O044100200021 
       19.1       2.65        9.4         9.                      O044100200022 
       19.2       3.15       1.26        11.                      O044100200023 
       19.4       3.56       0.42        21.                      O044100200024 
       20.2       1.62      0.268         9.                      O044100200025 
       20.3       4.29        5.9        24.                      O044100200026 
       20.3        5.2       0.55        25.                      O044100200027 
       23.7       3.56       0.44        25.                      O044100200028 
       23.9       3.15       1.17        12.                      O044100200029 
       24.4       3.96       1.11        22.                      O044100200030 
       24.6       2.65         4.        10.                      O044100200031 
       24.9       1.62       0.21        14.                      O044100200032 
       25.9       4.29         5.        18.                      O044100200033 
       26.3        5.2       0.47        30.                      O044100200034 
       28.8       2.65        3.2         9.                      O044100200035 
        29.       3.15        0.8        10.                      O044100200036 
        29.       3.96       0.71        30.                      O044100200037 
       29.2       3.56       0.23        26.                      O044100200038 
        30.       1.62      0.143        13.                      O044100200039 
       30.1        5.2       0.17        29.                      O044100200040 
       30.2       4.29        4.1        22.                      O044100200041 
       33.6       3.15       0.42        10.                      O044100200042 
       34.2       3.56       0.11        27.                      O044100200043 
       34.3       1.62      0.176        13.                      O044100200044 
       34.5       2.65        3.5         9.                      O044100200045 
       34.7       3.96       0.91        23.                      O044100200046 
       35.3       4.29        2.8        18.                      O044100200047 
       35.3        5.2       0.23        26.                      O044100200048 
       35.9       3.56       0.11        40.                      O044100200049 
       36.1       3.15       0.25        16.                      O044100200050 
       36.5       2.65       2.31         9.                      O044100200051 
       36.8       1.62        0.1        18.                      O044100200052 
       37.3       4.29        1.8        22.                      O044100200053 
       37.3        5.2        0.2        30.                      O044100200054 
       38.7       3.15      0.293         9.                      O044100200055 
       39.4       1.62      0.098        13.                      O044100200056 
       39.4       2.65       1.27        12.                      O044100200057 
       39.5       3.56       0.16        25.                      O044100200058 
       39.9        5.2       0.08        40.                      O044100200059 
        40.       3.96       0.23        26.                      O044100200060 
       40.4       4.29        1.8        22.                      O044100200061 
       41.9       3.96       0.58        30.                      O044100200062 
       44.3        5.2      0.085        30.                      O044100200063 
       44.4       3.15       0.36        14.                      O044100200064 
       44.5       1.62      0.065        14.                      O044100200065 
       44.5       3.56      0.079        29.                      O044100200066 
       44.6       2.65       1.09         9.                      O044100200067 
       45.4       3.96        0.6        23.                      O044100200068 
       45.6       4.29        1.5        20.                      O044100200069 
        49.        5.2      0.062        40.                      O044100200070 
       49.3       2.65       1.25         9.                      O044100200071 
       49.4       3.15      0.147        17.                      O044100200072 
       49.7       1.62      0.065        12.                      O044100200073 
       49.8       4.29        0.5        24.                      O044100200074 
       50.6       3.96       0.63        22.                      O044100200075 
       53.9       2.65       0.52        10.                      O044100200076 
       54.4       3.15      0.084        12.                      O044100200077 
       54.7       1.62      0.034        12.                      O044100200078 
       55.1       4.29       0.86        20.                      O044100200079 
       55.9       3.96       0.13        30.                      O044100200080 
       59.4       1.62      0.027        19.                      O044100200081 
       59.4       4.29       0.63        19.                      O044100200082 
       59.5       2.65       0.43         9.                      O044100200083 
       59.6       3.15      0.081        11.                      O044100200084 
       60.2       3.96       0.18        22.                      O044100200085 
       69.3       2.65        0.2         9.                      O044100200086 
       69.3       3.15      0.022        18.                      O044100200087 
        74.       3.15      0.017        40.                      O044100200088 
ENDDATA             76          0                                 O044100200089 
