ENTRY            O0508   20010115                             0000O050800000001 
SUBENT        O0508001   20010115                             0000O050800100001 
BIB                 13         35                                 O050800100002 
TITLE      Inclusive (P,A) Reactions on Al-27,Co-59 and Au-197 at O050800100003 
           Incident Energies of 120,160 and 200 MeV.              O050800100004 
AUTHOR     (A.A.COWLEY,G.J.ARENDSE,J.W.KOEN,W.A.RICHTER,          O050800100005 
           J.A.STANDER,G.F.STEYN,P.DEMETRIOU,P.E.HODGSON,         O050800100006 
           Y.WATANABE)                                            O050800100007 
INSTITUTE  (3SAFSTL)                                              O050800100008 
           (3SAFNAC)                                              O050800100009 
           (2UK OXF)                                              O050800100010 
           (2JPNKYU)                                              O050800100011 
REFERENCE  (J,PR/C,54,778,1996)                                   O050800100012 
HISTORY    (19990318C)                                            O050800100013 
           (19991117A) Date is Corrected                          O050800100014 
           (20001125A) Subentry O0508004 has Been Corrected       O050800100015 
           According to O.Schwerer's remarks.                     O050800100016 
           (20010115U) Last checking has been done.               O050800100017 
REL-REF    (R,,J.V.PILCHER+,J,PR/C,40,1937,1989).Details of       O050800100018 
           Experiments.                                           O050800100019 
SAMPLE     The Self-Supporting Targets were Metals of Natural     O050800100020 
           Elements (100% OCCURRENCE OF THE ISOTOPE OF INTEREST)  O050800100021 
           Of Thickness in the Range 1-4 mg/cm**2.                O050800100022 
ADD-RES    (COMP).A Statistical Multistep Direct Reaction Theory. O050800100023 
DETECTOR   (TELES) A Detector Telescope Consisting of a 150 Mum   O050800100024 
           Silicon Surface Barrier Detector Followed by Three     O050800100025 
           Si(LI) Detectors of 5 mm Nominal Thickness Each,and a  O050800100026 
            2 mm Silicon Surface Barrier Veto Detector was Used.  O050800100027 
           Particle Identification was Achieved with a Standard   O050800100028 
           Del'Ta E-E Technique in Which Various Combinations of  O050800100029 
           The Detector in the Telescope were Used to Measure     O050800100030 
           Energy Loss and Total Energy of the Ejectiles.         O050800100031 
FACILITY   (ISOCY,3SAFNAC)                                        O050800100032 
METHOD     (SITA)                                                 O050800100033 
           (EDE)                                                  O050800100034 
ERR-ANALYS (ERR-1).The Uncertainty in the Thicknesses of the      O050800100035 
           Targets Up to 8%.                                      O050800100036 
STATUS     (TABLE).Received from a.A.Cowley.                      O050800100037 
ENDBIB              35          0                                 O050800100038 
COMMON               1          3                                 O050800100039 
ERR-1                                                             O050800100040 
PER-CENT                                                          O050800100041 
         8.                                                       O050800100042 
ENDCOMMON            3          0                                 O050800100043 
ENDSUBENT           42          0                                 O050800199999 
SUBENT        O0508002   20010115                             0000O050800200001 
BIB                  3          3                                 O050800200002 
REACTION   (27-CO-59(P,X)2-HE-4,,DA/DE)                           O050800200003 
EN-SEC     (E,A)                                                  O050800200004 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O050800200005 
ENDBIB               3          0                                 O050800200006 
NOCOMMON             0          0                                 O050800200007 
DATA                 5        624                                 O050800200008 
EN         ANG        E          DATA       ERR-T                 O050800200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             O050800200010 
       120.        10.        26.     0.3009 3.0936E-03           O050800200011 
       120.        10.        30.     0.2752 3.0059E-03           O050800200012 
       120.        10.        35.     0.1826 2.4117E-03           O050800200013 
       120.        10.        40.     0.1327 2.0684E-03           O050800200014 
       120.        10.        45. 9.8212E-02  1.758E-03           O050800200015 
       120.        10.        50. 7.4377E-02 1.6104E-03           O050800200016 
       120.        10.        55. 5.5508E-02 1.3048E-03           O050800200017 
       120.        10.        60. 4.6304E-02 1.2592E-03           O050800200018 
       120.        10.        65. 3.6488E-02 1.0509E-03           O050800200019 
       120.        10.        70.  2.952E-02 1.0006E-03           O050800200020 
       120.        10.        75. 2.4068E-02 8.7499E-04           O050800200021 
       120.        10.        80. 2.1368E-02 8.2342E-04           O050800200022 
       120.        10.        85. 1.9108E-02 7.7788E-04           O050800200023 
       120.        10.        90. 1.6147E-02 7.1446E-04           O050800200024 
       120.        10.        95. 1.3212E-02 6.4582E-04           O050800200025 
       120.        10.       100.  1.382E-02 6.8045E-04           O050800200026 
       120.        10.       105.  1.209E-02 6.1714E-04           O050800200027 
       120.        10.       110. 7.2799E-03 4.7869E-04           O050800200028 
       120.        10.       115. 3.3214E-03 3.2322E-04           O050800200029 
       120.        20.        26.     0.2893 1.9291E-03           O050800200030 
       120.        20.        30.     0.2498 1.8214E-03           O050800200031 
       120.        20.        35.     0.1646 1.4558E-03           O050800200032 
       120.        20.        40.     0.1168  1.234E-03           O050800200033 
       120.        20.        45.  8.512E-02 1.0408E-03           O050800200034 
       120.        20.        50. 6.4423E-02 9.5313E-04           O050800200035 
       120.        20.        55. 4.9662E-02 7.8485E-04           O050800200036 
       120.        20.        60. 3.7444E-02  7.201E-04           O050800200037 
       120.        20.        65. 2.8129E-02  5.868E-04           O050800200038 
       120.        20.        70. 2.3131E-02 5.6325E-04           O050800200039 
       120.        20.        75. 1.6623E-02 4.6243E-04           O050800200040 
       120.        20.        80. 1.3258E-02 4.1247E-04           O050800200041 
       120.        20.        85. 1.1238E-02 3.7936E-04           O050800200042 
       120.        20.        90. 9.1492E-03 3.4202E-04           O050800200043 
       120.        20.        95. 7.4724E-03 3.0887E-04           O050800200044 
       120.        20.       100. 5.8309E-03 2.8108E-04           O050800200045 
       120.        20.       105. 5.2247E-03   2.58E-04           O050800200046 
       120.        20.       110. 2.8626E-03 1.9089E-04           O050800200047 
       120.        20.       115. 1.3334E-03 1.3024E-04           O050800200048 
       120.        30.        26.     0.2639 1.6036E-03           O050800200049 
       120.        30.        30.     0.2237 1.5001E-03           O050800200050 
       120.        30.        35.     0.1442 1.1863E-03           O050800200051 
       120.        30.        40.   9.73E-02 9.8045E-04           O050800200052 
       120.        30.        45. 6.9819E-02 8.2047E-04           O050800200053 
       120.        30.        50. 4.9064E-02 7.2398E-04           O050800200054 
       120.        30.        55. 3.6318E-02 5.8418E-04           O050800200055 
