ENTRY            O0534   19991117                             0000O053400000001 
SUBENT        O0534001   19991117                             0000O053400100001 
BIB                 11         29                                 O053400100002 
TITLE      Continuum Yields from C-12(P,P') At Incident Proton    O053400100003 
           Energies  of 90 and 200 MeV.                           O053400100004 
AUTHOR     (S.V.FOERTSCH, A.A.COWLEY, J.V.PILCHER, D.M.WHITTAL,   O053400100005 
           J.J.LAWRIE, J.C.VAN STADEN, E.FRIEDLAND)               O053400100006 
INSTITUTE  (3SAFUPR)                                              O053400100007 
           (3SAFNAC)                                              O053400100008 
REFERENCE  (J,NP/A,485,258,1988)                                  O053400100009 
           (W,COWLEY,19990820) Some Comments For Data Tables.     O053400100010 
HISTORY    (19990625C)                                            O053400100011 
           (19990824U) Last checking has been done.               O053400100012 
           (19991117A) DATE is corrected                          O053400100013 
SAMPLE     The Target Consisted of 5.0 mg/cm**2 Carbon Which was  O053400100014 
           Prepared from a Concentrated Dispersion of Pure Ultra  O053400100015 
           Fine Graphite Particles in Propanol.The Uniformity in  O053400100016 
           The Thickness Close to the Centre of the Target was    O053400100017 
           Better Than 0.8%/mm.                                   O053400100018 
ADD-RES    (COMP).The Quasifree Knockout Model.                   O053400100019 
           (STRUC) Spectroscopic Factors.                         O053400100020 
DETECTOR   (TELES).The Detector Telescope Consisted of a 1000 Mum O053400100021 
           Si Detector [Del'Ta E Detector] and a 75*125 mm NaI(Tl)O053400100022 
           Detector [E Detector] with 6 Mum Havar Entrance Window.O053400100023 
           Correction For Reaction Loss from the                  O053400100024 
           NaI Detector were Performed on the Del'Ta E Versus     O053400100025 
           E-Spectra.                                             O053400100026 
FACILITY   (CYCLO,3SAFNAC)                                        O053400100027 
METHOD     (SITA)                                                 O053400100028 
           (EDE)                                                  O053400100029 
ERR-ANALYS (EN-ERR1).The Error in the Incident Energy of 90 MeV.  O053400100030 
           (EN-ERR2).The Error in the Incident Energy of 200 MeV. O053400100031 
ENDBIB              29          0                                 O053400100032 
COMMON               2          3                                 O053400100033 
EN-ERR1    EN-ERR2                                                O053400100034 
MEV        MEV                                                    O053400100035 
        0.3        0.5                                            O053400100036 
ENDCOMMON            3          0                                 O053400100037 
ENDSUBENT           36          0                                 O053400199999 
SUBENT        O0534002   19991117                             0000O053400200001 
BIB                  6          6                                 O053400200002 
REACTION   (6-C-12(P,X)1-H-1,EM,DA/DE)                            O053400200003 
EN-SEC     (E,P)                                                  O053400200004 
PART-DET   (P)                                                    O053400200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O053400200006 
STATUS     (TABLE).Data were Received by Ftp.                     O053400200007 
FLAG       (1.).Independent Experiment.                           O053400200008 
ENDBIB               6          0                                 O053400200009 
NOCOMMON             0          0                                 O053400200010 
DATA                 6        459                                 O053400200011 
EN         E          ANG        DATA       ERR-T      FLAG       O053400200012 
MEV        MEV        ADEG       MUB/SR/MEV MUB/SR/MEV NO-DIM     O053400200013 
        90.        15.        30.   738.3322   25.34155           O053400200014 
        90.        15.        40.   1131.081   31.10199           O053400200015 
        90.        15.        50.   1042.444   25.84417           O053400200016 
        90.        15.        60.   1104.266   26.41568           O053400200017 
        90.        15.        70.    1369.84    30.1918           O053400200018 
        90.        20.        30.   918.2475   25.34121           O053400200019 
        90.        20.        40.   1149.334   28.32041           O053400200020 
        90.        20.        50.   1099.538    25.8948           O053400200021 
        90.        20.        60.   1207.425   27.18296           O053400200022 
        90.        20.        70.   1217.394   27.22857           O053400200023 
        90.        25.        30.   871.0205    24.8863           O053400200024 
        90.        25.        40.   1087.176   27.82148           O053400200025 
        90.        25.        50.   1062.618   26.90387           O053400200026 
        90.        25.        60.   1040.062   26.63326           O053400200027 
        90.        25.        70.   1178.261   28.66145           O053400200028 
        90.        30.        30.   768.8194    16.6001           O053400200029 
        90.        30.        50.   885.0676   17.74399           O053400200030 
        90.        30.        60.   859.4602    17.5693           O053400200031 
        90.        30.        70.   1674.293   25.12696           O053400200032 
        90.        35.        30.   750.8809   14.07022           O053400200033 
        90.        35.        40.   773.7319   14.25523           O053400200034 
        90.        35.        50.   786.3138   14.44542           O053400200035 
        90.        35.        60.   1499.329   20.29459           O053400200036 
        90.        35.        70.   451.5336   11.05253           O053400200037 
        90.        40.        30.   636.2774   12.18439           O053400200038 
        90.        40.        40.   671.7854    12.5245           O053400200039 
        90.        40.        40.   835.7984   17.27432           O053400200040 
        90.        40.        50.    633.145   12.20751           O053400200041 
        90.        40.        60.   556.5675   11.55261           O053400200042 
        90.        40.        70.   332.5916    8.94982           O053400200043 
        90.        45.        30.   559.4805   10.43437           O053400200044 
        90.        45.        40.   560.5025   10.45342           O053400200045 
        90.        45.        50.   512.8953   10.07227           O053400200046 
        90.        45.        60.   421.5428    9.18352           O053400200047 
        90.        45.        70.    244.939    7.02122           O053400200048 
        90.        50.        30.   509.4834    11.3471           O053400200049 
        90.        50.        40.   584.5451   12.23391           O053400200050 
        90.        50.        50.   419.7997   10.39159           O053400200051 
        90.        50.        60.   341.4613    9.43062           O053400200052 
        90.        50.        70.   210.7077    7.44964           O053400200053 
        90.        55.        30.   1237.864   14.26796           O053400200054 
        90.        55.        40.   399.5206    8.06824           O053400200055 
        90.        55.        50.   343.1136    7.51604           O053400200056 
        90.        55.        60.   248.0007     6.4248           O053400200057 
        90.        55.        70.   160.7003    5.20833           O053400200058 
        90.        60.        30.   404.7187    9.53402           O053400200059 
        90.        60.        40.   328.3811    8.60592           O053400200060 
        90.        60.        50.    256.071    7.63456           O053400200061 
        90.        60.        60.   176.9752    6.38189           O053400200062 
        90.        60.        70.   157.5219     6.0856           O053400200063 
        90.        65.        30.   338.2035    6.65451           O053400200064 
        90.        65.        40.   281.2508    6.08688           O053400200065 
        90.        65.        50.   203.3199    5.19797           O053400200066 
        90.        65.        60.   116.0207    3.94255           O053400200067 
        90.        65.        70.   93.08948    3.56982           O053400200068 
        90.        70.        30.   286.8149    4.59154           O053400200069 
        90.        70.        40.   212.0779    3.95941           O053400200070 
        90.        70.        50.   146.1228    3.30142           O053400200071 
        90.        70.        60.   78.19486    2.42472           O053400200072 
        90.        70.        70.   39.77301    1.74249           O053400200073 
        90.        75.        30.    246.502    4.51481           O053400200074 
        90.        75.        40.   172.0454    3.78327           O053400200075 
        90.        75.        50.   110.0428    3.03921           O053400200076 
        90.        75.        60.   70.31809     2.4452           O053400200077 
        90.        75.        70.   20.02909    1.30934           O053400200078 
        90.        80.        30.   202.6891    2.78441           O053400200079 
        90.        80.        40.   128.8565    2.22663           O053400200080 
        90.        80.        50.   73.81103    1.69245           O053400200081 
        90.        80.        60.   52.18384    1.43414           O053400200082 
        90.        80.        70.   29.14363    1.08088           O053400200083 
        90.        85.        30.   166.3825    3.18439           O053400200084 
        90.        85.        40.   104.8913    2.53728           O053400200085 
        90.        85.        50.   56.22653    1.86594           O053400200086 
        90.        85.        60.   37.48942    1.53563           O053400200087 
        90.        85.        70.     6.3239    0.63239           O053400200088 
        90.        90.        30.     137.43    2.79655           O053400200089 
        90.        90.        40.   75.23447    2.07548           O053400200090 
        90.        90.        50.   41.01151    1.54022           O053400200091 
        90.        90.        60.   22.66485    1.15361           O053400200092 
        90.        90.        70.    0.90469    0.22617           O053400200093 
        90.       100.        30.   96.11017    1.65022           O053400200094 
        90.       100.        40.   49.02097    1.18269           O053400200095 
        90.       100.        50.   22.39483    0.80341           O053400200096 
        90.       100.        60.    6.53237    0.43646           O053400200097 
        90.       100.        70.    7.28681    0.46554           O053400200098 
        90.       110.        30.   73.04026    1.31631           O053400200099 
        90.       110.        40.   31.00818    0.86067           O053400200100 
        90.       110.        50.   10.87605    0.51213           O053400200101 
        90.       110.        60.    3.54572    0.29446           O053400200102 
        90.       110.        70.    0.22247    0.07416           O053400200103 
        90.       120.        30.   54.08863    1.16273           O053400200104 
        90.       120.        40.   21.47996    0.73546           O053400200105 
        90.       120.        50.     7.2256    0.42876           O053400200106 
        90.       120.        60.    0.71804     0.1357           O053400200107 
        90.       120.        70.      0.157    0.06409           O053400200108 
        90.       130.        30.   40.24973    0.96051           O053400200109 
        90.       130.        40.   13.89916    0.56649           O053400200110 
        90.       130.        50.    4.27047    0.31568           O053400200111 
        90.       130.        60.    0.63784    0.12275           O053400200112 
