ENTRY            O0550   20010212                             0000O055000000001 
SUBENT        O0550001   20010212                             0000O055000100001 
BIB                 14         51                                 O055000100002 
TITLE      Differential Cross Sections For Scattering of Medium   O055000100003 
           Energy Protons on Carbon.                              O055000100004 
AUTHOR     (R.W.PEELLE)                                           O055000100005 
INSTITUTE  (1USAPTN)                                              O055000100006 
REFERENCE  (J,PR,105,1311,1957)                                   O055000100007 
HISTORY    (19990817C)                                            O055000100008 
           (20010212U) Last checking has been done.               O055000100009 
SAMPLE     C-12 was Used As Target. Other Information is Absent.  O055000100010 
ADD-RES    (COMP).Compound Nucleus Theory. Direct Interaction     O055000100011 
           Theory.                                                O055000100012 
CORRECTION /by Authors/.Zero-Angle Corrections, Foil Thickness    O055000100013 
           Correction, Counting Loss Corrections were Represented.O055000100014 
COMMENT    /by Authors/.Cross Section For Proton Scattering from  O055000100015 
           Hydrogen in the Hydrocarbon Foils were Measured For at O055000100016 
           Least Two Angles at Each Incident Beam Energy.Great    O055000100017 
           Care was not Taken with these Data, Because Further    O055000100018 
           Understanding of the P-P Interaction Requires PrecisionO055000100019 
           Measurements Considered Outside the Province of this   O055000100020 
           Work.                                                  O055000100021 
DETECTOR   (NAICR) Two Scintillation Detectors,the First Detector O055000100022 
           Could View Protons Scattered at any Angles Between-    O055000100023 
            15 Degree and 170 Degree.The Second Detector was      O055000100024 
           Stationed at a Fixed Angle of -30 Degree to Monitor theO055000100025 
           Strength Og the Elastically Scattered Beam.            O055000100026 
           (PROPC) A Virtually Drift-Free Double Proportional     O055000100027 
           Counter Proton-Range Spectrometer was Used For         O055000100028 
           Measurements of the Beam Energy.                       O055000100029 
FACILITY   (SYNCY,1USAPTN)                                        O055000100030 
METHOD     (BCINT)                                                O055000100031 
           (EXTB)                                                 O055000100032 
ERR-ANALYS (ERR-T) All Recognized Errors in the Cross Sections    O055000100033 
           Have Been Analyzed and Reported in Two Separate        O055000100034 
           Categories.                                            O055000100035 
           "Associated" Errors are Those Largely Associated with aO055000100036 
           Given Differential Cross Section, and May Distort the  O055000100037 
           Shape of a Distribution.  "Nonassociated" Errors are   O055000100038 
           Those Which Influence the Absolute Value of the  EntireO055000100039 
           Angular Distribution.                                  O055000100040 
           The Associated Errors Quoted For Each Cross Section    O055000100041 
           Include Allowances For the Statistical Error in the    O055000100042 
           Number of Pulse Counted,the Estimated Error in the     O055000100043 
           Subtraction of the Background Continuum, the  EstimatedO055000100044 
           Error in the Counting-Loss Correction, the Estimated   O055000100045 
           Error in the Counting Time.                            O055000100046 
           Nonassociated Errors Include Failure of the Current    O055000100047 
           Integration System, Lack of Knowledge of the Exact     O055000100048 
           Scattering Geometry, and Uncertainties in the Surface  O055000100049 
           Densities of the Scattering Foils.                     O055000100050 
           (ANG-ERR) The Estimated Standard Deviation of          O055000100051 
           Scattering Angle.                                      O055000100052 
STATUS     (TABLE)                                                O055000100053 
ENDBIB              51          0                                 O055000100054 
COMMON               1          3                                 O055000100055 
ANG-ERR                                                           O055000100056 
ADEG                                                              O055000100057 
        0.5                                                       O055000100058 
ENDCOMMON            3          0                                 O055000100059 
ENDSUBENT           58          0                                 O055000199999 
SUBENT        O0550002   20010212                             0000O055000200001 
BIB                  1          1                                 O055000200002 
REACTION   (6-C-12(P,EL)6-C-12,,DA)                               O055000200003 
ENDBIB               1          0                                 O055000200004 
NOCOMMON             0          0                                 O055000200005 
DATA                 4        312                                 O055000200006 
EN         ANG-CM     DATA-CM    ERR-T                            O055000200007 
MEV        ADEG       MB/SR      MB/SR                            O055000200008 
        14.       20.4       548.        10.                      O055000200009 
        14.       22.6       476.         9.                      O055000200010 
        14.       29.1       313.         7.                      O055000200011 
        14.       35.3       207.         7.                      O055000200012 
        14.       44.1       106.         4.                      O055000200013 
        14.       54.6       38.2        1.8                      O055000200014 
        14.       65.1       7.05       0.42                      O055000200015 
        14.       75.5       7.96       0.29                      O055000200016 
        14.       85.6       14.4        0.4                      O055000200017 
        14.       95.7       22.1        0.6                      O055000200018 
        14.      105.6       27.3         1.                      O055000200019 
        14.      115.4       26.3        1.1                      O055000200020 
        14.       125.       22.9        0.9                      O055000200021 
        14.      134.5       16.8        0.7                      O055000200022 
        14.      143.9       10.9        0.5                      O055000200023 
        14.      153.2        7.6        0.3                      O055000200024 
        14.      162.4        6.7        0.3                      O055000200025 
        14.      171.6        7.6        0.3                      O055000200026 
       14.7       20.4       615.         9.                      O055000200027 
       14.7       22.6       535.         8.                      O055000200028 
       14.7       30.2       329.         5.                      O055000200029 
       14.7       36.6       212.         3.                      O055000200030 
       14.7       44.1       109.         3.                      O055000200031 
       14.7       54.6       33.3        0.3                      O055000200032 
       14.7       59.9       17.2        0.5                      O055000200033 
       14.7       65.1       10.7        0.4                      O055000200034 
       14.7       70.3        9.8        0.3                      O055000200035 
       14.7       75.4       13.3        0.3                      O055000200036 
       14.7       85.6       22.1        0.3                      O055000200037 
       14.7       95.7        28.        0.4                      O055000200038 
       14.7      105.6       30.7        0.9                      O055000200039 
       14.7      115.4       28.8        0.6                      O055000200040 
       14.7       125.       24.9        0.6                      O055000200041 
       14.7      134.5       17.6        0.5                      O055000200042 
       14.7      143.9       13.2        0.4                      O055000200043 
       14.7      153.2        7.5        0.3                      O055000200044 
       14.7      162.4       5.75       0.19                      O055000200045 
       14.7       167.       4.74       0.24                      O055000200046 
       14.7      171.7        4.9       0.14                      O055000200047 
       15.2       20.5       621.        12.                      O055000200048 
       15.2       22.6       551.        11.                      O055000200049 
       15.2       30.2       351.         6.                      O055000200050 
       15.2       33.4       276.         5.                      O055000200051 
       15.2       44.1       109.         2.                      O055000200052 
       15.2       49.4        59.        1.2                      O055000200053 
       15.2       54.6       30.4        0.6                      O055000200054 
       15.2       59.9       15.7        0.4                      O055000200055 
       15.2       65.1       9.73        0.3                      O055000200056 
       15.2       70.3       9.46        0.2                      O055000200057 
       15.2       75.5       12.4        0.3                      O055000200058 
       15.2       85.6        20.        0.4                      O055000200059 
       15.2       95.7       25.7        0.4                      O055000200060 
       15.2      100.7       27.1        0.6                      O055000200061 
       15.2      105.6       30.3        0.6                      O055000200062 
       15.2      110.5       29.5        0.6                      O055000200063 
       15.2      115.4       27.7        0.6                      O055000200064 
       15.2      120.2       24.2        0.6                      O055000200065 
       15.2       125.       24.1        0.6                      O055000200066 
       15.2      134.5       18.4        0.5                      O055000200067 
       15.2      143.9       13.3        0.4                      O055000200068 
       15.2      153.2        10.        0.2                      O055000200069 
       15.2      162.4         9.        0.2                      O055000200070 
       15.2       167.        9.4        0.3                      O055000200071 
       15.2      171.6       10.3        0.3                      O055000200072 
       15.6       20.4       618.        21.                      O055000200073 
       15.6       22.6       520.        12.                      O055000200074 
       15.6       29.1       359.         8.                      O055000200075 
       15.6       33.4       275.         4.                      O055000200076 
       15.6       44.1       115.        1.3                      O055000200077 
       15.6       54.6       34.3        0.9                      O055000200078 
       15.6       59.9       17.4        0.5                      O055000200079 
       15.6       65.1       10.9        0.3                      O055000200080 
       15.6       70.3       9.94       0.24                      O055000200081 
       15.6       75.4       12.5        0.3                      O055000200082 
       15.6       85.6       20.6        0.5                      O055000200083 
       15.6       95.7       27.8        0.4                      O055000200084 
       15.6      105.6        31.        0.6                      O055000200085 
       15.6      115.4       27.6        0.6                      O055000200086 
