ENTRY            O0713   20120605                             O048O071300000001 
SUBENT        O0713001   20120605                             O048O071300100001 
BIB                 13         49                                 O071300100002 
TITLE      Investigation of the production of positive pions      O071300100003 
           in the reaction pCu - pip+X at proton energies         O071300100004 
           around 350 MeV                                         O071300100005 
AUTHOR     (V.N.Aseev, S.K.Esin, Yu.K.Gavrilov, M.B.Golubeva,     O071300100006 
           F.F.Guber, T.L.Karavicheva, L.V.Kravchuk, A.B.Kurepin, O071300100007 
           V.A.Matveev, P.N.Ostroumov, V.L.Serov, K.A.Shileev,    O071300100008 
           V.V.Tiflov, A.Badala, R.Barbera, A.Palmeri,            O071300100009 
           G.Pappalardo, F.Riggi, R.Turissi, L.Bimbot)            O071300100010 
INSTITUTE  (4RUSJIA)                                              O071300100011 
           (2ITYCAT)                                              O071300100012 
           (2FR PAR)                                              O071300100013 
REFERENCE  (J,YF,61,2117,1998)  on Russian                        O071300100014 
           (J,PAN,61,2007,1998) an English                        O071300100015 
FACILITY   (LINAC,4RUSJIA) Moscow Meson Facility                  O071300100016 
SAMPLE     The copper target was used. Any information is absent. O071300100017 
ADD-RES    (COMP) The pion spectra has been measured.             O071300100018 
DETECTOR   (MAGSP) The magnetic spectrometer (CLAMSUD) consisted  O071300100019 
           from a sets of scintillation detectors                 O071300100020 
           (SCIN) A scintillation hodoscope installed             O071300100021 
            immediately upstream of the spectrometer magnet       O071300100022 
METHOD     (SITA)                                                 O071300100023 
REL-REF    (I,,A.Anzalone+,J,NIM/A,308,533,1991) Description of   O071300100024 
                                      magnetic spectrometer       O071300100025 
ERR-ANALYS (ERR-S,2.,7.).The statistical errors is 2% in the      O071300100026 
           max pion spectra and 5-7% in min.                      O071300100027 
           (ERR-SYS).The systematic error in the measurement      O071300100028 
           of pion spectra including:                             O071300100029 
             * the error associated with beam normalization;      O071300100030 
             * Errors in measuring the charge on the Faraday      O071300100031 
               cylinder;                                          O071300100032 
             * errors in relative monitoring by means of the      O071300100033 
               scintillation monitor                              O071300100034 
             * uncertainty in the procedure of pion               O071300100035 
                                                  identification  O071300100036 
             * Errors in determining the efficiency of pion       O071300100037 
             detection and in separating the muon background and  O071300100038 
             the background of random coincidences on the basis ofO071300100039 
             the angular distributions of particles in the        O071300100040 
             spectrometer focal plane                             O071300100041 
             * also contributions to the systematic error from a  O071300100042 
             correction for pion decay in flight and from a       O071300100043 
             correction for uncertainties in the number of        O071300100044 
             target nuclei                                        O071300100045 
STATUS     (TABLE) Tbl.3 in YF,61,2117,1998 9same in PAN,61,2007) O071300100046 
HISTORY    (20010903C)                                            O071300100047 
           (20030421U) Last checking has been done.               O071300100048 
           (20120604A) SD: Corrected according last EXFOR rules.  O071300100049 
           Ref. on English transl. (SNP,7,708,1968) added.        O071300100050 
           BIB update.                                            O071300100051 
ENDBIB              49          0                                 O071300100052 
COMMON               2          3                                 O071300100053 
ANG        ERR-SYS                                                O071300100054 
ADEG       PER-CENT                                               O071300100055 
        90.         7.                                            O071300100056 
ENDCOMMON            3          0                                 O071300100057 
ENDSUBENT           56          0                                 O071300199999 
SUBENT        O0713002   20030421                             0000O071300200001 
BIB                  4          4                                 O071300200002 
REACTION   (29-CU-0(P,X)1-PP-0,,DA/DE)                            O071300200003 
PART-DET   (PIP)                                                  O071300200004 
EN-SEC     (E,PIP)                                                O071300200005 
ERR-ANALYS (ERR-T).The uncertainty is reported in the table.      O071300200006 
ENDBIB               4          0                                 O071300200007 
NOCOMMON             0          0                                 O071300200008 
DATA                 4        159                                 O071300200009 
EN         E          DATA       ERR-T                            O071300200010 
MEV        MEV        MUB/SR/MEV MUB/SR/MEV                       O071300200011 
       340.       17.5        2.9       0.12                      O071300200012 
       340.       22.5       4.35       0.15                      O071300200013 
       340.       27.5       4.76       0.16                      O071300200014 
       340.       37.5       5.86       0.15                      O071300200015 
       340.       42.5       5.63       0.15                      O071300200016 
       340.       47.5       5.35       0.14                      O071300200017 
       340.       52.5       4.96       0.13                      O071300200018 
       340.       57.5       4.41       0.13                      O071300200019 
       340.       62.5       3.75       0.09                      O071300200020 
       340.       67.5       3.09       0.12                      O071300200021 
       340.       72.5        2.5       0.11                      O071300200022 
       340.       77.5       2.09       0.12                      O071300200023 
       340.       82.5       1.78       0.11                      O071300200024 
       340.       87.5       1.47        0.1                      O071300200025 
       340.       92.5       1.21       0.09                      O071300200026 
       340.       97.5       1.04       0.09                      O071300200027 
       340.      102.5       0.73       0.07                      O071300200028 
       340.      107.5       0.52       0.06                      O071300200029 
       340.      112.5       0.29       0.04                      O071300200030 
       340.      117.5       0.35       0.05                      O071300200031 
       342.       17.5       2.27        0.3                      O071300200032 
       342.       22.5        3.9        0.4                      O071300200033 
       342.       27.5       4.64       0.45                      O071300200034 
       342.       37.5       4.64       0.16                      O071300200035 
       342.       42.5       5.51       0.18                      O071300200036 
       342.       47.5       5.44       0.18                      O071300200037 
       342.       52.5       4.73       0.13                      O071300200038 
       342.       57.5       4.27        0.1                      O071300200039 
       342.       62.5       3.81       0.17                      O071300200040 
       342.       67.5       3.38       0.16                      O071300200041 
       342.       72.5       2.83        0.1                      O071300200042 
       342.       77.5       2.28       0.12                      O071300200043 
       344.       37.5       6.43       0.18                      O071300200044 
       344.       42.5       6.65       0.19                      O071300200045 
       344.       47.5       6.07       0.18                      O071300200046 
       344.       52.5       5.61       0.19                      O071300200047 
       344.       57.5       4.67       0.17                      O071300200048 
       344.       62.5       4.35       0.16                      O071300200049 
       344.       67.5       3.89       0.15                      O071300200050 
       344.       72.5       3.62       0.14                      O071300200051 
       344.       77.5       2.84       0.09                      O071300200052 
       344.       82.5        2.7       0.14                      O071300200053 
       344.       87.5       2.17       0.12                      O071300200054 
       344.       92.5       1.83       0.11                      O071300200055 
       344.       97.5       1.49        0.1                      O071300200056 
       344.      102.5       1.23       0.09                      O071300200057 
       344.      107.5       0.91       0.08                      O071300200058 
       344.      112.5       0.55       0.06                      O071300200059 
       344.      117.5       0.47       0.05                      O071300200060 
       348.       17.5        3.7       0.14                      O071300200061 
       348.       22.5        5.7       0.18                      O071300200062 
       348.       27.5       6.89        0.2                      O071300200063 
       348.       37.5       8.67       0.24                      O071300200064 
       348.       42.5       8.45       0.24                      O071300200065 
       348.       47.5       8.22       0.23                      O071300200066 
       348.       52.5        7.7       0.15                      O071300200067 
       348.       57.5       6.81        0.2                      O071300200068 
       348.       62.5       6.07       0.18                      O071300200069 
       348.       67.5       5.48       0.17                      O071300200070 
       348.       72.5       4.63       0.15                      O071300200071 
       348.       77.5       4.33       0.15                      O071300200072 
       348.       82.5       3.67       0.14                      O071300200073 
       348.       87.5       3.22       0.13                      O071300200074 
       348.       92.5       2.65       0.12                      O071300200075 
       348.       97.5       2.15       0.11                      O071300200076 
       348.      102.5       2.01        0.1                      O071300200077 
       348.      107.5       1.55       0.09                      O071300200078 
       348.      112.5       1.39       0.08                      O071300200079 
       348.      117.5       0.86       0.06                      O071300200080 
       350.       17.5       3.87       0.14                      O071300200081 
       350.       22.5       5.07       0.16                      O071300200082 
       350.       27.5       6.35       0.19                      O071300200083 
       350.       37.5       7.98       0.23                      O071300200084 
       350.       42.5        7.6       0.16                      O071300200085 
       350.       47.5       7.21       0.21                      O071300200086 
       350.       52.5       6.59        0.2                      O071300200087 
       350.       57.5       5.83       0.13                      O071300200088 
       350.       62.5       4.81       0.16                      O071300200089 
       350.       67.5       4.06       0.15                      O071300200090 
       350.       72.5       3.43       0.13                      O071300200091 
       350.       77.5       3.15       0.09                      O071300200092 
       350.       82.5       2.87       0.12                      O071300200093 
       350.       87.5       2.48       0.11                      O071300200094 
       350.       92.5       1.98        0.1                      O071300200095 
       350.       97.5       1.52       0.08                      O071300200096 
       350.      102.5       1.04       0.07                      O071300200097 
       350.      107.5       0.67       0.05                      O071300200098 
       350.      112.5       0.57       0.05                      O071300200099 
       350.      117.5       0.43       0.04                      O071300200100 
       352.       17.5       3.66       0.14                      O071300200101 
       352.       22.5       5.01       0.17                      O071300200102 
       352.       27.5       6.68        0.2                      O071300200103 
       352.       37.5       7.35       0.18                      O071300200104 
       352.       42.5       7.12       0.18                      O071300200105 
       352.       47.5       6.89       0.17                      O071300200106 
       352.       52.5       6.47       0.17                      O071300200107 
       352.       57.5       6.06        0.1                      O071300200108 
       352.       62.5       5.44       0.09                      O071300200109 
       352.       67.5       4.82       0.15                      O071300200110 
       352.       72.5       4.24       0.14                      O071300200111 
       352.       77.5       3.44       0.09                      O071300200112 
       352.       82.5       2.68       0.12                      O071300200113 
       352.       87.5       2.36       0.11                      O071300200114 
       352.       92.5       1.94        0.1                      O071300200115 
       352.       97.5       1.64       0.09                      O071300200116 
       352.      102.5       1.19       0.08                      O071300200117 
       352.      107.5       0.98       0.07                      O071300200118 
       352.      112.5       0.77       0.06                      O071300200119 
       352.      117.5       0.74       0.06                      O071300200120 
       354.       37.5        6.9       0.19                      O071300200121 
       354.       42.5       7.27       0.19                      O071300200122 
       354.       47.5       7.64        0.4                      O071300200123 
