ENTRY            O0854   20030501                             0000O085400000001 
SUBENT        O0854001   20030501                             0000O085400100001 
BIB                 11         20                                 O085400100002 
TITLE      Elastic scattering cross sections for the analysis of  O085400100003 
           helium by 1-H backscattering and hydrogen by 4-He erd. O085400100004 
REFERENCE  (J,NIM/B,136-138,77,1998)                              O085400100005 
AUTHOR     (A.Nurmela, J.Raisanen, E.Rauhala)                     O085400100006 
INSTITUTE  (2SF HLS)                                              O085400100007 
FACILITY   (VDG,2SF HLS)                                          O085400100008 
DETECTOR   (SIBAR) Several ion implanted silicon detectors were   O085400100009 
           employed simultaneously and placed at laboratory       O085400100010 
           scattering angles of 110-160 degrees.                  O085400100011 
SAMPLE     The target was prepared by implating helium into 1.5   O085400100012 
           mumeters-thick tantalum foil with 60 KeV energy.       O085400100013 
           The resulting amount of helium in the target, 1.6e+17  O085400100014 
           atoms/cm**2, was determined by the transmission elasticO085400100015 
           recoil method with 10.8 MeV 28-Si ions.                O085400100016 
METHOD     (SITA)                                                 O085400100017 
           (EXTB)                                                 O085400100018 
REL-REF    (N,,A.NURMELA+,J,JAP,82,1983,1997) Details of method.  O085400100019 
HISTORY    (20010406C)                                            O085400100020 
           (20030501U) Last checking has been done.               O085400100021 
ADD-RES    (COMP) Comparing with another experiments.             O085400100022 
ENDBIB              20          0                                 O085400100023 
NOCOMMON             0          0                                 O085400100024 
ENDSUBENT           23          0                                 O085400199999 
SUBENT        O0854002   20030501                             0000O085400200001 
BIB                  4          4                                 O085400200002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA,,RTH)                          O085400200003 
PART-DET   (P)                                                    O085400200004 
COMMENT    - By compiler - noany uncertainties are not given.     O085400200005 
MISC-COL   (MISC) Recoil angle of 4-He.                           O085400200006 
ENDBIB               4          0                                 O085400200007 
NOCOMMON             0          0                                 O085400200008 
DATA                 4         59                                 O085400200009 
EN         ANG        DATA       MISC                             O085400200010 
MEV        ADEG       NO-DIM     ADEG                             O085400200011 
        1.6       120.        48.        24.                      O085400200012 
        1.6       130.        53.        19.                      O085400200013 
        1.6       150.        79.        11.                      O085400200014 
        1.6       160.        81.         8.                      O085400200015 
        1.7       110.        30.        28.                      O085400200016 
        1.7       120.        50.        24.                      O085400200017 
        1.7       130.        60.        19.                      O085400200018 
        1.7       150.        97.        11.                      O085400200019 
        1.7       160.       106.         8.                      O085400200020 
        1.8       110.        28.        28.                      O085400200021 
        1.8       120.        52.        24.                      O085400200022 
        1.8       130.        77.        19.                      O085400200023 
        1.8       150.       116.        11.                      O085400200024 
        1.8       160.       134.         8.                      O085400200025 
        1.9       110.        47.        28.                      O085400200026 
        1.9       120.        73.        24.                      O085400200027 
        1.9       130.        96.        19.                      O085400200028 
        1.9       150.       157.        11.                      O085400200029 
        1.9       160.       172.         8.                      O085400200030 
         2.       110.        55.        28.                      O085400200031 
         2.       120.        94.        24.                      O085400200032 
         2.       130.       119.        19.                      O085400200033 
         2.       150.       187.        11.                      O085400200034 
         2.       160.       195.         8.                      O085400200035 
        2.1       110.        70.        28.                      O085400200036 
        2.1       120.        91.        24.                      O085400200037 
        2.1       130.       126.        19.                      O085400200038 
        2.1       150.       200.        11.                      O085400200039 
        2.1       160.       230.         8.                      O085400200040 
        2.2       110.        79.        28.                      O085400200041 
        2.2       120.       107.        24.                      O085400200042 
        2.2       130.       160.        19.                      O085400200043 
        2.2       150.       220.        11.                      O085400200044 
        2.2       160.       260.         8.                      O085400200045 
        2.3       110.        81.        28.                      O085400200046 
        2.3       120.       114.        24.                      O085400200047 
        2.3       130.       165.        19.                      O085400200048 
        2.3       150.       255.        11.                      O085400200049 
        2.3       160.       275.         8.                      O085400200050 
        2.4       110.        73.        28.                      O085400200051 
        2.4       120.       124.        24.                      O085400200052 
        2.4       130.       165.        19.                      O085400200053 
        2.4       150.       270.        11.                      O085400200054 
        2.4       160.       295.         8.                      O085400200055 
        2.5       110.        67.        28.                      O085400200056 
        2.5       120.       118.        24.                      O085400200057 
        2.5       130.       175.        19.                      O085400200058 
        2.5       150.       270.        11.                      O085400200059 
        2.5       160.       310.         8.                      O085400200060 
        2.6       110.        88.        28.                      O085400200061 
        2.6       120.       132.        24.                      O085400200062 
        2.6       130.       180.        19.                      O085400200063 
        2.6       150.       280.        11.                      O085400200064 
        2.6       160.       305.         8.                      O085400200065 
        2.7       110.        86.        28.                      O085400200066 
        2.7       120.       123.        24.                      O085400200067 
        2.7       130.       175.        19.                      O085400200068 
        2.7       150.       285.        11.                      O085400200069 
        2.7       160.       320.         8.                      O085400200070 
ENDDATA             61          0                                 O085400200071 
ENDSUBENT           70          0                                 O085400299999 
ENDENTRY             2          0                                 O085499999999 
