ENTRY            O1523   20070718                             O031O152300000001 
SUBENT        O1523001   20070718                             O031O152300100001 
BIB                 13         20                                 O152300100002 
TITLE      Multinucleon transfer in the reaction C-12(p,Li-6)Be-7 O152300100003 
           at E(p)=40.3 MeV.                                      O152300100004 
AUTHOR     (G.D'Erasmo, V.Variale, A.Pantaleo)                    O152300100005 
INSTITUTE  (2ITYBAU)                                              O152300100006 
REFERENCE  (J,PR/C,31,656,1985)                                   O152300100007 
           (J,PR/C,28,1443,1983) More details about experiment    O152300100008 
HISTORY    (20070718C)                                            O152300100009 
           (20070718U) Last checking has been done.               O152300100010 
SAMPLE      60-mug/cm**2 self-supporting carbon targets were used.O152300100011 
ADD-RES    (COMP).DWBA calculations.                              O152300100012 
           (POT)                                                  O152300100013 
DETECTOR   (TELES) Three counter telescopes each made of two      O152300100014 
            2000 and 5000-mum surface silicon detectors.          O152300100015 
           (SIBAR)                                                O152300100016 
INC-SPECT  *En-rsl* the overall energy resolution.                O152300100017 
FACILITY   (CYCLO,2ITYMIL) The AVF Milan cyclotron                O152300100018 
METHOD     (SITA)                                                 O152300100019 
ERR-ANALYS (DATA-ERR).The uncertainty is reported by authors.     O152300100020 
           (ANG-ERR-D).Data-point reader uncertainty.             O152300100021 
STATUS     (CURVE).By CAJAD.                                      O152300100022 
ENDBIB              20          0                                 O152300100023 
COMMON               2          3                                 O152300100024 
EN         EN-RSL                                                 O152300100025 
MEV        KEV                                                    O152300100026 
       40.3       200.                                            O152300100027 
ENDCOMMON            3          0                                 O152300100028 
ENDSUBENT           27          0                                 O152300199999 
SUBENT        O1523002   20070718                             O031O152300200001 
BIB                  2          2                                 O152300200002 
REACTION   (6-C-12(P,3-LI-6)4-BE-7,PAR,DA) Fig 3 and 4            O152300200003 
EN-SEC     (E-EXC,4-BE-7)                                         O152300200004 
ENDBIB               2          0                                 O152300200005 
COMMON               1          3                                 O152300200006 
ANG-ERR-D                                                         O152300200007 
ADEG                                                              O152300200008 
        0.7                                                       O152300200009 
ENDCOMMON            3          0                                 O152300200010 
DATA                 4         46                                 O152300200011 
E-EXC      ANG-CM     DATA-CM    DATA-ERR                         O152300200012 
MEV        ADEG       MU-B/SR    PER-CENT                         O152300200013 
         0.       20.3       105.        13.                      O152300200014 
         0.       27.1        88.        11.                      O152300200015 
         0.       34.8        93.        15.                      O152300200016 
         0.       42.4        70.        10.                      O152300200017 
         0.       48.5        51.        14.                      O152300200018 
         0.       55.5        46.        11.                      O152300200019 
         0.       61.2       26.6        11.                      O152300200020 
         0.       64.4        25.        12.                      O152300200021 
         0.       70.3        36.        14.                      O152300200022 
         0.       75.7        31.        10.                      O152300200023 
         0.       81.7        28.        14.                      O152300200024 
         0.       88.1        18.        22.                      O152300200025 
         0.        95.       15.7        17.                      O152300200026 
         0.      100.9       23.6        11.                      O152300200027 
         0.      105.3        25.        20.                      O152300200028 
         0.      110.7        37.        11.                      O152300200029 
         0.      115.7        43.        12.                      O152300200030 
         0.      121.1        46.        11.                      O152300200031 
         0.      128.9        39.        13.                      O152300200032 
         0.      135.8        27.        15.                      O152300200033 
         0.      143.6        29.        21.                      O152300200034 
         0.      150.5        61.        11.                      O152300200035 
         0.      157.6        59.        17.                      O152300200036 
      0.429       21.1        33.        24.                      O152300200037 
      0.429       27.9        25.        24.                      O152300200038 
      0.429       35.7        22.        30.                      O152300200039 
      0.429       41.9        27.        15.                      O152300200040 
      0.429       48.8        22.        23.                      O152300200041 
      0.429       55.9        20.        20.                      O152300200042 
      0.429       60.4        20.        20.                      O152300200043 
      0.429       64.1        22.        14.                      O152300200044 
      0.429       70.1        18.        22.                      O152300200045 
      0.429       75.2       15.6        15.                      O152300200046 
      0.429       81.5       19.7        15.                      O152300200047 
      0.429       87.4        16.        25.                      O152300200048 
      0.429       94.3       12.8        20.                      O152300200049 
      0.429       99.9       11.2        15.                      O152300200050 
      0.429      104.5        20.        20.                      O152300200051 
      0.429      109.5        27.        15.                      O152300200052 
      0.429      114.5       21.7        11.                      O152300200053 
      0.429      119.3        34.        12.                      O152300200054 
      0.429      127.8        19.        16.                      O152300200055 
      0.429      134.5        18.        16.                      O152300200056 
      0.429      142.4        16.        25.                      O152300200057 
      0.429      148.8        29.        17.                      O152300200058 
      0.429      156.5        39.        18.                      O152300200059 
ENDDATA             48          0                                 O152300200060 
ENDSUBENT           59          0                                 O152300299999 
ENDENTRY             2          0                                 O152399999999 
