ENTRY            O1594   20080130                             O034O159400000001 
SUBENT        O1594001   20080130                             O034O159400100001 
BIB                 14         45                                 O159400100002 
TITLE       (d,Li-6) alpha-transfer reaction on S-32 and S-34     O159400100003 
           at E(d)=80 MeV.                                        O159400100004 
AUTHOR     (W.Oelert, G.P.A.Berg, A.Djaloeis, C.Mayer-Boericke,   O159400100005 
           P.Turek)                                               O159400100006 
INSTITUTE  (2GERJUL)                                              O159400100007 
REFERENCE  (J,PR/C,28,73,1983)                                    O159400100008 
FACILITY   (ISOCY,2GERJUL)                                        O159400100009 
DETECTOR   (TELES,SIBAR).The experiments were performed using     O159400100010 
           conventional delta-E-E surface barrier detector        O159400100011 
           techniques. Two or three telescopes were used during   O159400100012 
           the various experiments. The thicknesses of the delta-EO159400100013 
           and E detectors were 100-200 mum and 1000-2000 mum,    O159400100014 
           respectively.                                          O159400100015 
           (GELI).A Ge(Li) monitor detector was essential in      O159400100016 
           determining the relative cross sections(by the countingO159400100017 
           rate of the deuterons elastically scattered of the     O159400100018 
           target atoms.                                          O159400100019 
COMMENT    *By authors*.The absolute cross section scale was      O159400100020 
           determined by the charge integration in the Faraday    O159400100021 
           cup and the effective target thickness determined at   O159400100022 
           the beginning of the experiment. Because of the        O159400100023 
           inaccuracy of this procedure the reaction products wereO159400100024 
           measured at least twice at each angle by exposing the  O159400100025 
           target to different integrated charges.                O159400100026 
INC-SOURCE *EN-RSL-FW*.An overall energy resolution of 350 keV    O159400100027 
            (FWHM) was typical for the Li-6 spectra.              O159400100028 
ADD-RES    (COMP).DWBA calculations, the alpha spectroscopic      O159400100029 
            factors.                                              O159400100030 
            Typical energy spectra of Li-6 on S-32 and S-34 was   O159400100031 
           represent on fig.1 and fig.2                           O159400100032 
SAMPLE     A gas cell filled with H(2)S-32 or with H(2)S-34 was   O159400100033 
           used as target, the isotopical enrichment was 95%      O159400100034 
           and 91.2%, respectively.                               O159400100035 
METHOD     (EDE)                                                  O159400100036 
           (BCINT).The beam intensity ranged from 20 nA to 1 muA  O159400100037 
           on the target, depending on the reaction angle.        O159400100038 
ERR-ANALYS (DATA-ERR).The absolute cross section are estimated to O159400100039 
           be accurate to within 25% as long as this error is     O159400100040 
           smaller than the statistical uncertainties given in theO159400100041 
           figures of the angular distributions.                  O159400100042 
           (ERR-S).The error is reported by authors on figures.   O159400100043 
           (ERR-DIG).Digitizing error of data.                    O159400100044 
           (ANG-ERR-D).Digitizing error of angle.                 O159400100045 
STATUS     (CURVE).By CAJAD.                                      O159400100046 
HISTORY    (20080130C)                                            O159400100047 
ENDBIB              45          0                                 O159400100048 
COMMON               3          3                                 O159400100049 
EN         EN-RSL-FW  DATA-ERR                                    O159400100050 
MEV        KEV        PER-CENT                                    O159400100051 
80.        350.       25.                                         O159400100052 
ENDCOMMON            3          0                                 O159400100053 
ENDSUBENT           52          0                                 O159400199999 
SUBENT        O1594002   20080130                             O034O159400200001 
BIB                  3          4                                 O159400200002 
REACTION   (16-S-32(D,3-LI-6)14-SI-28,PAR,DA) fig 3,4,5           O159400200003 
EN-SEC     (E-LVL,14-SI-28)                                       O159400200004 
COMMENT    *By authors*.For the 4.7 MeV peak contributions for    O159400200005 
           L=4 plus L=0 are involved.                             O159400200006 
ENDBIB               4          0                                 O159400200007 
COMMON               2          3                                 O159400200008 
ANG-ERR-D  ERR-DIG                                                O159400200009 
ADEG       PER-CENT                                               O159400200010 
0.3        3.                                                     O159400200011 
ENDCOMMON            3          0                                 O159400200012 
DATA                 4        134                                 O159400200013 
E-LVL      ANG-CM     DATA-CM    ERR-S                            O159400200014 
MEV        ADEG       MU-B/SR    PER-CENT                         O159400200015 
    0.00000    9.72000    8.30000   20.00000                      O159400200016 
    0.00000   11.85000    8.10000   17.00000                      O159400200017 
    0.00000   13.05000    7.60000   14.00000                      O159400200018 
    0.00000   14.23000    7.70000   10.00000                      O159400200019 
    0.00000   15.66000    7.30000   14.00000                      O159400200020 
    0.00000   15.72000    6.12000                                 O159400200021 
    0.00000   16.27000    4.99000                                 O159400200022 
    0.00000   17.70000    4.80000   13.00000                      O159400200023 
    0.00000   18.56000    3.00000   17.00000                      O159400200024 
    0.00000   19.25000    3.19000    8.00000                      O159400200025 
    0.00000   19.42000    3.90000   18.00000                      O159400200026 
    0.00000   20.36000    2.00000   25.00000                      O159400200027 
    0.00000   21.22000    1.30000   23.00000                      O159400200028 
    0.00000   22.66000    1.15000   21.00000                      O159400200029 
    0.00000   23.12000    0.61000   23.00000                      O159400200030 
    0.00000   24.29000    0.63000   22.00000                      O159400200031 
    0.00000   24.47000    0.74000   16.00000                      O159400200032 
    0.00000   25.64000    0.76000   16.00000                      O159400200033 
    0.00000   25.77000    0.51000   22.00000                      O159400200034 
    0.00000   27.57000    0.66000   18.00000                      O159400200035 
    0.00000   27.81000    0.66000   18.00000                      O159400200036 
    0.00000   30.46000    0.56000   16.00000                      O159400200037 
    0.00000   30.51000    0.49000   22.00000                      O159400200038 
    0.00000   33.33000    0.25000   24.00000                      O159400200039 
    0.00000   35.04000    0.10700   18.00000                      O159400200040 
    0.00000   35.08000    0.09300   15.00000                      O159400200041 
    0.00000   37.45000    0.09000   70.00000                      O159400200042 
    0.00000   39.69000    0.06000   80.00000                      O159400200043 
    0.00000   42.15000    0.10000   50.00000                      O159400200044 
    0.00000   45.28000    0.08000   23.00000                      O159400200045 
    0.00000   45.43000    0.10000   30.00000                      O159400200046 
    0.00000   49.44000    0.10000   60.00000                      O159400200047 
    0.00000   55.19000    0.02000   50.00000                      O159400200048 
    1.78000   10.96000   11.00000   50.00000                      O159400200049 
    1.78000   13.29000    8.90000   16.00000                      O159400200050 
    1.78000   14.69000    8.00000   19.00000                      O159400200051 
    1.78000   15.61000    8.40000   10.00000                      O159400200052 
    1.78000   16.79000    5.90000   10.00000                      O159400200053 
    1.78000   18.19000    5.40000   11.00000                      O159400200054 
    1.78000   19.58000    5.29000                                 O159400200055 
    1.78000   20.06000    4.40000   11.00000                      O159400200056 
    1.78000   21.45000    4.30000   12.00000                      O159400200057 
    1.78000   22.16000    3.81000                                 O159400200058 
    1.78000   22.40000    2.90000   17.00000                      O159400200059 
    1.78000   23.56000    2.99000                                 O159400200060 
    1.78000   24.50000    2.40000   10.00000                      O159400200061 
    1.78000   25.44000    2.20000   11.00000                      O159400200062 
    1.78000   26.36000    2.40000   13.00000                      O159400200063 
    1.78000   26.60000    2.21000    9.00000                      O159400200064 
    1.78000   26.85000    1.62000   11.00000                      O159400200065 
    1.78000   29.18000    1.36000   18.00000                      O159400200066 
    1.78000   31.05000    1.09000   11.00000                      O159400200067 
    1.78000   31.29000    0.90000   14.00000                      O159400200068 
    1.78000   34.55000    0.77000   14.00000                      O159400200069 
    1.78000   34.57000    0.59000   10.00000                      O159400200070 
    1.78000   36.44000    0.43000   21.00000                      O159400200071 
    1.78000   37.83000    0.43000   26.00000                      O159400200072 
    1.78000   40.44000    0.18000   60.00000                      O159400200073 
    1.78000   42.76000    0.17000   40.00000                      O159400200074 
