ENTRY            O1775   20090805                             O040O177500000001 
SUBENT        O1775001   20090805                             O040O177500100001 
BIB                 14         32                                 O177500100002 
TITLE      Spectroscopy of Tc-93,95 by means of Mo-92,94(d,n).    O177500100003 
AUTHOR     (J.Bommer, H.Fuchs, K.Grabisch, H.Kluge, G.Roeschert)  O177500100004 
INSTITUTE  (2GERBER)                                              O177500100005 
REFERENCE  (J,NP/A,173,383,1971)                                  O177500100006 
REL-REF    (R,O1773001,M.Hagen+,J,NP/A,157,177,1970)              O177500100007 
            The details of the experiment.                        O177500100008 
           (R,F0392001,H.Fuchs+,J,NP/A,105,590,1967)              O177500100009 
             The details of the experiment.                       O177500100010 
SAMPLE     The target were prepared by evaporation from separated O177500100011 
           isotopes on 0.3 mm tungsten backing.The target         O177500100012 
           thickness for Mo-92 and Mo-94 was 197 mug/cm**2 and    O177500100013 
             250 mug/cm**2, respectively, enrichment was 98% and  O177500100014 
            94% for Mo-92 and Mo-94.                              O177500100015 
METHOD     (TOF)                                                  O177500100016 
FACILITY   (VDG,2GERBER) the CN  Van de Graaff of the Hahn-MeitnerO177500100017 
           Institute, Berlin.                                     O177500100018 
DETECTOR   (SCIN) The neutrons emitted in the reaction were       O177500100019 
           detected simultaneously by one detector at a fixed     O177500100020 
           angle for monitoring purposes and six movable          O177500100021 
           detectors-NE213 liquid scintillators of 10.2 cm in     O177500100022 
           diameter and 2.5 cm thickness.                         O177500100023 
INC-SOURCE *EN-RSL-FW*.The overall resolution(FWHM) was about     O177500100024 
             100 keV.                                             O177500100025 
ERR-ANALYS (DATA-ERR).Related errors indicated by authors on fig. O177500100026 
           (ANG-ERR-D).Digitizing error of angle.                 O177500100027 
           (ERR-DIG).Digitizing error of data.                    O177500100028 
           (ERR-SYS).The uncertainty of the absolute cross-sectionO177500100029 
                                                       scale      O177500100030 
ADD-RES    (COMP).DWBA analysis.                                  O177500100031 
           Time-of-flight spectrum of neutrons was reported.      O177500100032 
STATUS     (CURVE).By CAJAD.                                      O177500100033 
HISTORY    (20090805C)SB                                          O177500100034 
ENDBIB              32          0                                 O177500100035 
COMMON               4          3                                 O177500100036 
EN-RSL-FW  ANG-ERR-D  ERR-DIG    ERR-SYS                          O177500100037 
KEV        ADEG       PER-CENT   PER-CENT                         O177500100038 
100.       0.6        2.          7.0                             O177500100039 
ENDCOMMON            3          0                                 O177500100040 
ENDSUBENT           39          0                                 O177500199999 
SUBENT        O1775002   20090810                             O040O177500200001 
BIB                  3          5                                 O177500200002 
REACTION   (42-MO-92(D,N)43-TC-93,PAR,DA) fig.3,4                 O177500200003 
EN-SEC     (E-LVL,43-TC-93)                                       O177500200004 
LEVEL-PROP (43-TC-93,E-LVL=0.00,SPIN=4.5,PARITY=+1.)              O177500200005 
           (43-TC-93,E-LVL=0.39,SPIN=0.5,PARITY=-1.)              O177500200006 
           (43-TC-93,E-LVL=4.11,SPIN=0.5,PARITY=+1.)              O177500200007 
ENDBIB               5          0                                 O177500200008 
NOCOMMON             0          0                                 O177500200009 
DATA                 5        187                                 O177500200010 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O177500200011 
MEV        MEV        ADEG       MB/SR      PER-CENT              O177500200012 
    6.25000    0.00000    0.00000    0.42000    7.00000           O177500200013 
    6.25000    0.00000   11.20000    0.42000    7.00000           O177500200014 
    6.25000    0.00000   19.10000    0.38000    5.00000           O177500200015 
    6.25000    0.00000   26.10000    0.32300    7.00000           O177500200016 
    6.25000    0.00000   33.10000    0.26100    7.00000           O177500200017 
    6.25000    0.00000   41.00000    0.23900    5.00000           O177500200018 
    6.25000    0.00000   48.40000    0.17900    6.00000           O177500200019 
    6.25000    0.00000   55.90000    0.16300    9.00000           O177500200020 
    6.25000    0.00000   62.90000    0.17000    8.00000           O177500200021 
    6.25000    0.00000   71.30000    0.19000    8.00000           O177500200022 
    6.25000    0.00000   77.90000    0.18100    8.00000           O177500200023 
    6.25000    0.00000   85.40000    0.16300    7.00000           O177500200024 
    6.25000    0.00000   93.20000    0.14400    9.00000           O177500200025 
    6.25000    0.00000  100.30000    0.12500    8.00000           O177500200026 
    6.25000    0.00000  107.70000    0.10000    7.00000           O177500200027 
    6.25000    0.00000  115.10000    0.08900   11.00000           O177500200028 
    6.25000    0.00000  122.20000    0.06600   17.00000           O177500200029 
    6.25000    0.00000  130.40000    0.05600   21.00000           O177500200030 
    6.25000    0.39000    0.00000    0.01360   10.00000           O177500200031 
    6.25000    0.39000    8.00000    0.03800   11.00000           O177500200032 
    6.25000    0.39000   14.90000    0.04500   11.00000           O177500200033 
    6.25000    0.39000   22.80000    0.04000   10.00000           O177500200034 
    6.25000    0.39000   30.20000    0.02800   11.00000           O177500200035 
    6.25000    0.39000   37.70000    0.02200   14.00000           O177500200036 
    6.25000    0.39000   44.80000    0.01670   14.00000           O177500200037 
    6.25000    0.39000   52.60000    0.01700   14.00000           O177500200038 
    6.25000    0.39000   60.00000    0.01420   13.00000           O177500200039 
    6.25000    0.39000   67.00000    0.01200   13.00000           O177500200040 
    6.25000    0.39000   74.80000    0.01330   13.00000           O177500200041 
    6.25000    0.39000   82.30000    0.01090   14.00000           O177500200042 
    6.25000    1.52000    0.00000    0.03200   13.00000           O177500200043 
    6.25000    1.52000    8.10000    0.02700   19.00000           O177500200044 
    6.25000    1.52000   15.80000    0.03600    8.00000           O177500200045 
    6.25000    1.52000   23.60000    0.04000    8.00000           O177500200046 
    6.25000    1.52000   30.80000    0.01600   25.00000           O177500200047 
    6.25000    3.37000    0.00000    0.06000   40.00000           O177500200048 
    6.25000    3.37000    9.20000    0.14800   15.00000           O177500200049 
    6.25000    3.37000   16.80000    0.41300    7.00000           O177500200050 
    6.25000    3.37000   25.20000    0.69000    7.00000           O177500200051 
    6.25000    3.37000   31.80000    0.90000    8.00000           O177500200052 
    6.25000    3.37000   39.30000    1.12000    5.00000           O177500200053 
    6.25000    3.37000   46.80000    0.94000    5.00000           O177500200054 
    6.25000    3.37000   54.20000    0.74000    7.00000           O177500200055 
    6.25000    3.37000   62.00000    0.48000    6.00000           O177500200056 
    6.25000    3.37000   69.10000    0.33300    7.00000           O177500200057 
    6.25000    3.37000   76.90000    0.26600    7.00000           O177500200058 
    6.25000    3.37000   84.80000    0.30300   10.00000           O177500200059 
