ENTRY            O1811   20091225                             O041O181100000001 
SUBENT        O1811001   20091225                             O041O181100100001 
BIB                 13         40                                 O181100100002 
TITLE      High-spin particle states in Sm-151 studied with the   O181100100003 
            (a,He3) reactions.                                    O181100100004 
AUTHOR     (G.Loevhoeiden, J.R.Lien, J.C.Waddington, J.Rekstad,   O181100100005 
           I.Espe, C.Gaarde, J.S.Larsen, S.Van Der Werf)          O181100100006 
INSTITUTE  (2NORBGN)                                              O181100100007 
           (2NOROSL)                                              O181100100008 
           (2DENNBI)                                              O181100100009 
           (2NEDKVI)                                              O181100100010 
REFERENCE  (J,NP/A,369,461,1981)                                  O181100100011 
FACILITY   (CYCLO,2NEDKVI)                                        O181100100012 
DETECTOR   (MAGSP)  QMG/2 magnetic spectrograph.                  O181100100013 
           (PS) Two 52 cm long gas-filled counters with 18 cm deadO181100100014 
           section in between.                                    O181100100015 
           (SCIN) Plastic scintillators are used to give an energyO181100100016 
           signal as well as a start signal for a time of flight  O181100100017 
           detector.                                              O181100100018 
MONITOR    The intensities of the spectra were converted to       O181100100019 
           absolute cross sections through the use of a monitor   O181100100020 
           detector of known solid angle in the target chamber to O181100100021 
           record  elastically scattered beam particles at        O181100100022 
            42-degree.The elastic scattering cross section was    O181100100023 
           not measured, but was taken from a DWBA calculation to O181100100024 
           be 014 b/sr for 40 MeV.                                O181100100025 
SAMPLE     The targets were prepared from oxide material enriched O181100100026 
           to 95.5% in Sm-150.The oxide was reduced to metal and  O181100100027 
           the metal evaporated onto a 27 mug/cm**2 carbon foil.  O181100100028 
           The target thickness was about 180 mug/cm**2.          O181100100029 
INC-SOURCE *EN-RSL-FW*.The average energy resolution was typicallyO181100100030 
            25 keV(FWHM)                                          O181100100031 
ERR-ANALYS The uncertainties in the absolute cross sections is    O181100100032 
           estimated to be  about +-30%.                          O181100100033 
           The estimated uncertainties in excitation energies to  O181100100034 
           be better than +-10 keV up to approx. 1 MeV and        O181100100035 
            +-30 keV above.                                       O181100100036 
           (ANG-ERR-D).Angle digitizing error                     O181100100037 
           (ERR-S).Statistical uncertainty is reported by authors O181100100038 
           on figures.                                            O181100100039 
METHOD     (TOF)                                                  O181100100040 
STATUS     (CURVE).By CAJAD.                                      O181100100041 
HISTORY    (20091225C) SB                                         O181100100042 
ENDBIB              40          0                                 O181100100043 
COMMON               3          3                                 O181100100044 
EN         EN-RSL-FW  ANG-ERR-D                                   O181100100045 
MEV        KEV        ADEG                                        O181100100046 
40.        25.        0.5                                         O181100100047 
ENDCOMMON            3          0                                 O181100100048 
ENDSUBENT           47          0                                 O181100199999 
SUBENT        O1811002   20091221                             O041O181100200001 
BIB                  2          2                                 O181100200002 
REACTION   (62-SM-150(A,HE3)62-SM-151,PAR,DA) fig.2,3             O181100200003 
EN-SEC     (E-LVL,62-SM-151)                                      O181100200004 
ENDBIB               2          0                                 O181100200005 
NOCOMMON             0          0                                 O181100200006 
DATA                 4        100                                 O181100200007 
E-LVL      ANG-CM     DATA-CM    ERR-S                            O181100200008 
MEV        ADEG       MB/SR      PER-CENT                         O181100200009 
    0.06700    9.40000   16.20000    9.00000                      O181100200010 
    0.06700   14.20000   11.50000   10.00000                      O181100200011 
    0.06700   21.90000   11.90000   10.00000                      O181100200012 
    0.06700   29.30000   32.00000    9.00000                      O181100200013 
    0.06700   36.40000   33.00000    9.00000                      O181100200014 
    0.06700   44.00000   47.00000    6.00000                      O181100200015 
    0.06700   52.00000   44.00000    9.00000                      O181100200016 
    0.06700   59.20000   33.00000    9.00000                      O181100200017 
    0.06700   66.30000   25.80000    9.00000                      O181100200018 
    0.06700   74.30000   19.50000   11.00000                      O181100200019 
    0.14800   10.50000   76.00000    9.00000                      O181100200020 
    0.14800   15.00000   90.00000    8.00000                      O181100200021 
    0.14800   22.50000  128.00000    7.00000                      O181100200022 
    0.14800   29.80000  145.00000    8.00000                      O181100200023 
    0.14800   37.80000  118.00000    8.00000                      O181100200024 
    0.14800   45.40000   95.00000    6.00000                      O181100200025 
    0.14800   52.60000   56.00000    7.00000                      O181100200026 
    0.14800   60.10000   35.00000    6.00000                      O181100200027 
    0.14800   67.90000   23.50000    6.00000                      O181100200028 
    0.14800   75.40000   10.50000    8.00000                      O181100200029 
    0.17500    9.80000   50.00000    6.00000                      O181100200030 
    0.17500   14.90000   50.00000    6.00000                      O181100200031 
    0.17500   22.30000   75.00000    7.00000                      O181100200032 
    0.17500   29.40000  112.00000    7.00000                      O181100200033 
    0.17500   37.10000   99.00000    7.00000                      O181100200034 
    0.17500   44.80000   79.00000    8.00000                      O181100200035 
    0.17500   52.20000   62.00000    6.00000                      O181100200036 
    0.17500   59.70000   41.00000    7.00000                      O181100200037 
    0.17500   67.10000   19.30000    8.00000                      O181100200038 
    0.17500   75.10000   12.40000    7.00000                      O181100200039 
    0.48100   14.60000    0.00257   11.00000                      O181100200040 
    0.48100   22.40000    0.00380   11.00000                      O181100200041 
    0.48100   29.20000    0.00620   10.00000                      O181100200042 
    0.48100   37.00000    0.00490    8.00000                      O181100200043 
    0.48100   44.80000    0.00580   10.00000                      O181100200044 
    0.48100   52.30000    0.00590   10.00000                      O181100200045 
    0.48100   59.40000    0.00420   10.00000                      O181100200046 
    0.48100   67.20000    0.00209    9.00000                      O181100200047 
    0.48100   75.00000    0.00245    9.00000                      O181100200048 
    0.72700   14.40000    0.00340    9.00000                      O181100200049 
    0.72700   21.80000    0.00500   10.00000                      O181100200050 
    0.72700   28.40000    0.00770    9.00000                      O181100200051 
    0.72700   37.00000    0.00850    9.00000                      O181100200052 
    0.72700   44.10000    0.00790   10.00000                      O181100200053 
    0.72700   51.90000    0.00710   10.00000                      O181100200054 
    0.72700   59.70000    0.01010   10.00000                      O181100200055 
    0.72700   67.20000    0.00680   10.00000                      O181100200056 
    0.72700   74.70000    0.00540   11.00000                      O181100200057 
    0.86700    9.90000   44.00000    7.00000                      O181100200058 
    0.86700   14.90000   54.00000    7.00000                      O181100200059 
    0.86700   22.70000   65.00000    9.00000                      O181100200060 
    0.86700   30.00000   87.00000    8.00000                      O181100200061 
    0.86700   37.50000   75.00000    7.00000                      O181100200062 
    0.86700   45.00000   68.00000    7.00000                      O181100200063 
    0.86700   52.80000   52.00000    8.00000                      O181100200064 
    0.86700   60.10000   37.60000    6.00000                      O181100200065 
    0.86700   67.90000   25.30000    8.00000                      O181100200066 
    0.86700   75.40000   15.10000    7.00000                      O181100200067 
    1.11700   16.00000    0.00660    9.00000                      O181100200068 
    1.11700   23.50000    0.00700    9.00000                      O181100200069 
    1.11700   30.80000    0.01230   10.00000                      O181100200070 
    1.11700   39.20000    0.00950    9.00000                      O181100200071 
    1.11700   45.50000    0.00750    9.00000                      O181100200072 
    1.11700   53.70000    0.00850    9.00000                      O181100200073 
    1.11700   61.00000    0.00530    9.00000                      O181100200074 
    1.11700   68.00000    0.00157   10.00000                      O181100200075 
    1.11700   75.70000    0.00125    6.00000                      O181100200076 
    1.43100   15.20000    0.00179   10.00000                      O181100200077 
    1.43100   22.80000    0.00510   10.00000                      O181100200078 
    1.43100   29.80000    0.00760    9.00000                      O181100200079 
    1.43100   37.60000    0.00670   10.00000                      O181100200080 
    1.43100   44.90000    0.00960   10.00000                      O181100200081 
    1.43100   52.30000    0.00910   11.00000                      O181100200082 
    1.43100   60.20000    0.00560    9.00000                      O181100200083 
    1.48000   10.10000   15.10000    7.00000                      O181100200084 
    1.48000   15.10000   25.00000   10.00000                      O181100200085 
    1.48000   22.60000   25.50000    7.00000                      O181100200086 
    1.48000   29.90000   31.70000    8.00000                      O181100200087 
    1.48000   37.20000   27.40000    8.00000                      O181100200088 
    1.48000   45.00000   25.30000    8.00000                      O181100200089 
    1.48000   52.50000   23.10000    7.00000                      O181100200090 
    1.48000   60.00000   12.90000    8.00000                      O181100200091 
    1.48000   75.30000    4.40000    9.00000                      O181100200092 
    1.52400   14.30000    0.00620   10.00000                      O181100200093 
    1.52400   22.10000    0.00900    9.00000                      O181100200094 
    1.52400   29.20000    0.01130    9.00000                      O181100200095 
    1.52400   36.60000    0.01590    8.00000                      O181100200096 
    1.52400   44.50000    0.01100   10.00000                      O181100200097 
    1.52400   52.00000    0.00940   10.00000                      O181100200098 
    1.52400   59.50000    0.00870    9.00000                      O181100200099 
    1.52400   67.20000    0.00302    9.00000                      O181100200100 
    1.52400   74.60000    0.00530    9.00000                      O181100200101 
    1.61100   22.30000    0.00870   10.00000                      O181100200102 
    1.61100   30.10000    0.00940    7.00000                      O181100200103 
    1.61100   37.60000    0.00790    9.00000                      O181100200104 
    1.61100   45.10000    0.00710    8.00000                      O181100200105 
    1.61100   52.70000    0.00770    9.00000                      O181100200106 
    1.61100   59.80000    0.00247    9.00000                      O181100200107 
    1.61100   68.00000    0.00283   10.00000                      O181100200108 
    1.61100   75.10000    0.00115    6.00000                      O181100200109 
ENDDATA            102          0                                 O181100200110 
ENDSUBENT          109          0                                 O181100299999 
ENDENTRY             2          0                                 O181199999999 
