ENTRY            O1876   20120613                             O048O187600000001 
SUBENT        O1876001   20120613                             O048O187600100001 
BIB                 10         30                                 O187600100002 
TITLE      Differential cross sections for the B-11(p,a)Be-8 and  O187600100003 
           B-11(p,p)B-11 reactions, suitable for ion beam analysisO187600100004 
AUTHOR     (M.Kokkoris, A.Kafkarkou, V.Paneta, R.Vlastou,         O187600100005 
           P.Misaelides, A.Lagoyannis)                            O187600100006 
INSTITUTE  (2GRCTUA)                                              O187600100007 
           (2GRCARU)                                              O187600100008 
           (2GRCATH)                                              O187600100009 
REFERENCE  (J,NIM/B,268,3539,2010)                                O187600100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 Tandem Accelerator of       O187600100011 
           N.C.S.R. 'Demokritos', Athens, Greece                  O187600100012 
SAMPLE     (5-B-11,ENR=0.99) A highly pure (>99.9%),isotopically  O187600100013 
           enriched, approx.99%, B-11 target deposited on a mirrorO187600100014 
           polished  thick tantalum backing was used for the      O187600100015 
           experiments. The target  had an active surface of      O187600100016 
           1*1 cm**2, and the nominal thickness was reported      O187600100017 
                                          as 323 mug/cm**22.      O187600100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      O187600100019 
           surface barrier detectors (Thickness: 1000 mum,        O187600100020 
           set at 10 ang. intervals) along with the               O187600100021 
           corresponding electronics.                             O187600100022 
ERR-ANALYS (ERR-T).The total estimated error is reported by authorO187600100023 
           in tables-varied between 3-4% (pending on the detector)O187600100024 
           The statistical error from peak integration also variedO187600100025 
           between approx.1-5%.                                   O187600100026 
           (ERR-1,,3.5).The error in target thickness.            O187600100027 
           (EN-ERR).The error is reported by authors in tables.   O187600100028 
STATUS     (TABLE).Table 1,2 of J,NIM/B,268,3539,2010             O187600100029 
HISTORY    (20101208C) SB                                         O187600100030 
           (20120613A) SD: SF5=PAR was added to REACTION code in  O187600100031 
            and E-LVL=0 was added to COMMON in Subent 3           O187600100032 
ENDBIB              30          0                                 O187600100033 
NOCOMMON             0          0                                 O187600100034 
ENDSUBENT           33          0                                 O187600199999 
SUBENT        O1876002   20101209                             O044O187600200001 
BIB                  4          8                                 O187600200002 
REACTION   (5-B-11(P,EL)5-B-11,,DA)                               O187600200003 
STATUS     (TABLE).TABLE 1 of J,NIM/B,268,3539,2010               O187600200004 
REL-REF    (A,O0922002,M.Chiari+,J,NIM/B,184,309,2001)            O187600200005 
ERR-ANALYS (ERR-S,4.0,5.0).The combined statistical errors,       O187600200006 
           varying between 4-5%, pending on the detector/angle    O187600200007 
           combination, included uncertainties in the product     O187600200008 
           Q*Omega and in peak integration, including counting    O187600200009 
           statistics and background subtraction.                 O187600200010 
ENDBIB               8          0                                 O187600200011 
NOCOMMON             0          0                                 O187600200012 
DATA                 5        246                                 O187600200013 
ANG        EN         EN-ERR     DATA       ERR-T                 O187600200014 
ADEG       KEV        KEV        MB/SR      MB/SR                 O187600200015 
135.       2177.      9.         71.        3.                    O187600200016 
135.       2227.      9.         71.        3.                    O187600200017 
135.       2278.      9.         69.        3.                    O187600200018 
135.       2328.      9.         75.        3.                    O187600200019 
135.       2378.      9.         77.        3.                    O187600200020 
135.       2429.      9.         82.        3.                    O187600200021 
135.       2479.      9.         90.        4.                    O187600200022 
135.       2529.      9.         99.        4.                    O187600200023 
135.       2579.      9.         103.       4.                    O187600200024 
135.       2630.      9.         107.       4.                    O187600200025 
135.       2680.      9.         98.        4.                    O187600200026 
135.       2730.      9.         95.        4.                    O187600200027 
135.       2780.      9.         87.        4.                    O187600200028 
135.       2831.      9.         84.        4.                    O187600200029 
135.       2881.      9.         81.        3.                    O187600200030 
135.       2931.      9.         78.        3.                    O187600200031 
135.       2981.      9.         77.        3.                    O187600200032 
135.       3031.      9.         73.        3.                    O187600200033 
135.       3082.      10.        69.8       2.9                   O187600200034 
135.       3132.      10.        65.3       2.7                   O187600200035 
135.       3182.      10.        71.        3.                    O187600200036 
135.       3232.      10.        72.        3.                    O187600200037 
135.       3282.      10.        72.        3.                    O187600200038 
135.       3333.      10.        67.1       2.8                   O187600200039 
135.       3383.      10.        66.8       2.8                   O187600200040 
135.       3433.      10.        65.1       2.7                   O187600200041 
135.       3483.      10.        62.1       2.6                   O187600200042 
135.       3533.      10.        58.8       2.5                   O187600200043 
135.       3583.      10.        54.8       2.3                   O187600200044 
135.       3633.      10.        54.3       2.3                   O187600200045 
135.       3684.      10.        55.6       2.4                   O187600200046 
135.       3734.      10.        58.1       2.4                   O187600200047 
135.       3784.      10.        61.6       2.6                   O187600200048 
135.       3834.      10.        65.4       2.7                   O187600200049 
135.       3884.      10.        73.        3.                    O187600200050 
135.       3934.      10.        77.        3.                    O187600200051 
135.       3984.      10.        81.        3.                    O187600200052 
135.       4035.      10.        84.        3.                    O187600200053 
135.       4085.      10.        84.        3.                    O187600200054 
135.       4135.      10.        78.        3.                    O187600200055 
135.       4185.      10.        76.        3.                    O187600200056 
140.       2177.      9.         74.        3.                    O187600200057 
140.       2227.      9.         77.        3.                    O187600200058 
140.       2278.      9.         79.        3.                    O187600200059 
140.       2328.      9.         80.        3.                    O187600200060 
140.       2378.      9.         86.        4.                    O187600200061 
140.       2429.      9.         91.        4.                    O187600200062 
140.       2479.      9.         102.       4.                    O187600200063 
140.       2529.      9.         111.       5.                    O187600200064 
140.       2579.      9.         117.       5.                    O187600200065 
140.       2630.      9.         117.       5.                    O187600200066 
140.       2680.      9.         97.        4.                    O187600200067 
140.       2730.      9.         91.        4.                    O187600200068 
140.       2780.      9.         84.        4.                    O187600200069 
140.       2831.      9.         80.        3.                    O187600200070 
140.       2881.      9.         76.        3.                    O187600200071 
140.       2931.      9.         74.        3.                    O187600200072 
140.       2981.      9.         71.        3.                    O187600200073 
140.       3031.      9.         70.        3.                    O187600200074 
140.       3082.      10.        65.9       2.0                   O187600200075 
140.       3132.      10.        62.        2.                    O187600200076 
