ENTRY            O1899   20110803                             O046O189900000001 
SUBENT        O1899001   20110803                             O046O189900100001 
BIB                 13         33                                 O189900100002 
TITLE      Structures in O-20 from the C-14(7Li,p) reaction at 44 O189900100003 
           MeV.                                                   O189900100004 
AUTHOR     (H.G.Bohlen, W.von Oertzen, M.Milin, T.Dorsch,         O189900100005 
           R.Kruecken, T.Faestermann, R.Hertenberger, Tz.Kokalova,O189900100006 
           M.Mahgoub, C.Wheldon, H.-F.Wirth)                      O189900100007 
INSTITUTE  (2GERBER)                                              O189900100008 
           (3CROZAG)                                              O189900100009 
           (2GERMUN)                                              O189900100010 
           (2GERMUU)                                              O189900100011 
REFERENCE  (J,EPJ/A,47,44,2011)                                   O189900100012 
REL-REF    (I,O1890001,W.von Oertzen+,J,EPJ/A,43,17,2010)         O189900100013 
FACILITY   (VDGT,2GERMUU) Tandem accelerator of the Meier         O189900100014 
           Leibnitz Laboratory of the  University and Technical   O189900100015 
           University in Munich                                   O189900100016 
METHOD     (BCINT)                                                O189900100017 
SAMPLE     The C-14 targets had a thickness of 70 mug/cm**2 with  O189900100018 
           an enrichment of 89.3% of C-14, 8.6% of C-12 and 2.1%  O189900100019 
           of O-16. To determine contributions from oxygen in the O189900100020 
           C-12,  a V(2)O(5) target of 69 mug/cm**2 a C-12 backingO189900100021 
           of 20 mug/cm**2 was used.                              O189900100022 
DETECTOR   (MAGSP) The reaction products were analyzed with the   O189900100023 
           Munich Q3D spectrograph and then detected in a 1 m longO189900100024 
           cathode strip focal plane detector.                    O189900100025 
           (SCIN).The outgoing protons were identified by the     O189900100026 
           focal plane detector using the energy loss in a        O189900100027 
           gas-filled chamber and the light output of a           O189900100028 
           scintillator behind.                                   O189900100029 
ADD-RES    (COMP).Shell model                                     O189900100030 
           (P-SPC)                                                O189900100031 
STATUS     (TABLE).Table 4,5 of J,EPJ/A,47,44,2011                O189900100032 
ERR-ANALYS (DATA-ERR).The error is reported by authors.           O189900100033 
           (E-LVL-ERR).Level energy error.                        O189900100034 
HISTORY    (20110128C) SB                                         O189900100035 
ENDBIB              33          0                                 O189900100036 
COMMON               1          3                                 O189900100037 
EN                                                                O189900100038 
MEV                                                               O189900100039 
44.                                                               O189900100040 
ENDCOMMON            3          0                                 O189900100041 
ENDSUBENT           40          0                                 O189900199999 
SUBENT        O1899002   20110803                             O046O189900200001 
BIB                  2          2                                 O189900200002 
REACTION   (6-C-14(3-LI-7,P)8-O-20,PAR,DA)                        O189900200003 
EN-SEC     (E-LVL,8-O-20)                                         O189900200004 
ENDBIB               2          0                                 O189900200005 
NOCOMMON             0          0                                 O189900200006 
DATA                 6        182                                 O189900200007 
E-LVL      E-LVL-ERR  ANG        DATA-CM    DATA-ERR   DATA-MAX   O189900200008 
MEV        MEV        ADEG       MU-B/SR    MU-B/SR    MU-B/SR    O189900200009 
0.000                 10.        0.95       0.15                  O189900200010 
0.000                 20.        0.7        0.1                   O189900200011 
0.000                 39.        0.33       0.07                  O189900200012 
1.674      0.004      10.        4.1        0.3                   O189900200013 
1.674      0.004      20.        3.9        0.2                   O189900200014 
1.674      0.004      39.        1.8        0.2                   O189900200015 
3.572      0.004      10.        0.76       0.11                  O189900200016 
3.572      0.004      20.        1.2        0.1                   O189900200017 
3.572      0.004      39.        0.50       0.06                  O189900200018 
4.075      0.004      10.        1.6        0.1                   O189900200019 
4.075      0.004      20.        1.5        0.1                   O189900200020 
4.075      0.004      39.        0.66       0.07                  O189900200021 
4.458      0.004      10.        1.8        0.2                   O189900200022 
4.458      0.004      20.        1.8        0.2                   O189900200023 
4.458      0.004      39.        1.0        0.1                   O189900200024 
5.000      0.004      10.        2.3        0.2                   O189900200025 
5.000      0.004      20.        1.8        0.2                   O189900200026 
5.000      0.004      39.        1.2        0.1                   O189900200027 
5.237      0.005      10.        6.3        0.3                   O189900200028 
5.237      0.005      20.        6.7        0.3                   O189900200029 
5.237      0.005      39.        2.4        0.2                   O189900200030 
5.298      0.007      10.        1.3        0.1                   O189900200031 
5.298      0.007      20.        1.7        0.2                   O189900200032 
5.298      0.007      39.        1.24       0.08                  O189900200033 
5.337      0.005      10.        0.25       0.07                  O189900200034 
5.337      0.005      20.        0.3        0.1                   O189900200035 
5.337      0.005      39.        0.13       0.05                  O189900200036 
5.618      0.005      10.        12.3       0.3                   O189900200037 
5.618      0.005      20.        9.7        0.3                   O189900200038 
5.618      0.005      39.        7.2        0.2                   O189900200039 
5.886      0.005      10.        1.2        0.1                   O189900200040 
5.886      0.005      20.        0.9        0.1                   O189900200041 
5.886      0.005      39.        0.5        0.1                   O189900200042 
6.559      0.005      10.        0.7        0.1                   O189900200043 
6.559      0.005      20.        0.6        0.1                   O189900200044 
6.559      0.005      39.        0.04       0.03                  O189900200045 
6.939      0.005      10.        3.1        0.2                   O189900200046 
6.939      0.005      20.        3.1        0.2                   O189900200047 
6.939      0.005      39.        2.5        0.2                   O189900200048 
7.257      0.005      10.        11.8       0.3                   O189900200049 
7.257      0.005      20.        11.8       0.4                   O189900200050 
7.257      0.005      39.        5.5        0.2                   O189900200051 
7.622      0.007      10.        7.1        0.3                   O189900200052 
7.622      0.007      20.        10.0       0.3                   O189900200053 
7.622      0.007      39.        5.1        0.2                   O189900200054 
7.754      0.004      10.        9.5        0.3                   O189900200055 
7.754      0.004      20.        10.2       0.3                   O189900200056 
7.754      0.004      39.        6.8        0.3                   O189900200057 
7.855      0.005      10.        1.6        0.1                   O189900200058 
7.855      0.005      20.        1.8        0.2                   O189900200059 
7.855      0.005      39.        2.1        0.2                   O189900200060 
7.916      0.004      10.        1.0        0.1                   O189900200061 
7.916      0.004      20.        1.0        0.1                   O189900200062 
7.916      0.004      39.        0.5        0.1                   O189900200063 
8.313      0.009      10.        1.6        0.1                   O189900200064 
8.313      0.009      20.        1.4        0.1                   O189900200065 
8.313      0.009      39.        0.36       0.04                  O189900200066 
8.561      0.005      10.        12.1       0.3                   O189900200067 
