ENTRY            O1969   20120221                             O047O196900000001 
SUBENT        O1969001   20120221                             O047O196900100001 
BIB                 12         37                                 O196900100002 
TITLE      Proton elastic scattering differential cross-section   O196900100003 
           measurements of Sc-45.                                 O196900100004 
AUTHOR     (G.Provatas, A.Lagoyannis, S.Harissopulos, V.Foteinou, O196900100005 
           T.Konstantinopoulos, P.Misaelides, M.Kokkoris)         O196900100006 
INSTITUTE  (2GRCATH)                                              O196900100007 
           (2GRCARU)                                              O196900100008 
           (2GRCTUA)                                              O196900100009 
REFERENCE  (J,NIM/B,269,2994,2011)                                O196900100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV Tandem Accelerator of N.C.S.R.   O196900100011 
                         "Demokritos"                             O196900100012 
SAMPLE     A thin self-supporting target was prepared by          O196900100013 
           evaporating ScBr(3) onto a carbon foil of 10 mug/cm**2 O196900100014 
           and placed inside a goniometric chamber. A thin gold   O196900100015 
           layer was evaporated on top of the Sc-Br layer in orderO196900100016 
           to calculate the beam current and to ensure better     O196900100017 
           thermal stability of the target during the irradiation.O196900100018 
           for energy range 2300-5500 keV                         O196900100019 
           The ScBr3 target was replaced by a thick approx. 0.2 cmO196900100020 
           pressed Sc(2)O(3) target. For this measurement the     O196900100021 
           thick target was irradiated for proton energies in the O196900100022 
           range E(lab)=3100-5500 keV                             O196900100023 
           The target was found to consist of 10.6+-0.9 mug/cm**2 O196900100024 
           Sc-45, 19+-2 mug/cm**2 of Br-nat                       O196900100025 
           and 9.1+-0.6 mug/cm**2 of Au-197                       O196900100026 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O196900100027 
DETECTOR   (SIBAR) three Si surface barrier detectors with        O196900100028 
           a 300-1000 mum depletion layer for first type of targetO196900100029 
           and single Si surface barrier detector for Sc(2)O(3)   O196900100030 
           target                                                 O196900100031 
METHOD     (BCINT)                                                O196900100032 
ERR-ANALYS (EN-ERR).The error is reported by authors in table     O196900100033 
           (ERR-1,7.,8.).The error in areal densities of the Au   O196900100034 
           and Sc layers of the target                            O196900100035 
           (DATA-ERR).The uncertainty is reported by authors in   O196900100036 
           table.                                                 O196900100037 
STATUS     (TABLE).Table 1 of J,NIM/B,269,2994,2011               O196900100038 
HISTORY    (20120222C) sb                                         O196900100039 
ENDBIB              37          0                                 O196900100040 
NOCOMMON             0          0                                 O196900100041 
ENDSUBENT           40          0                                 O196900199999 
SUBENT        O1969002   20120222                             O047O196900200001 
BIB                  1          1                                 O196900200002 
REACTION   (21-SC-45(P,EL)21-SC-45,,DA)                           O196900200003 
ENDBIB               1          0                                 O196900200004 
NOCOMMON             0          0                                 O196900200005 
DATA                 5        266                                 O196900200006 
ANG        EN         EN-ERR     DATA       DATA-ERR              O196900200007 
ADEG       KEV        KEV        MB/SR      MB/SR                 O196900200008 
140.       3391.      6.         67.        8.                    O196900200009 
140.       3441.      6.         63.        7.                    O196900200010 
140.       3492.      6.         58.        8.                    O196900200011 
140.       3517.      6.         62.        10.                   O196900200012 
140.       3542.      6.         64.        8.                    O196900200013 
140.       3592.      6.         56.        7.                    O196900200014 
140.       3642.      6.         56.        7.                    O196900200015 
140.       3692.      6.         56.        7.                    O196900200016 
140.       3742.      6.         52.        6.                    O196900200017 
140.       3792.      6.         54.        6.                    O196900200018 
140.       3842.      6.         62.        7.                    O196900200019 
140.       3892.      6.         54.        7.                    O196900200020 
140.       3942.      6.         53.        6.                    O196900200021 
140.       3992.      6.         50.        6.                    O196900200022 
140.       4017.      6.         44.        5.                    O196900200023 
140.       4042.      6.         44.        5.                    O196900200024 
140.       4067.      6.         48.        5.                    O196900200025 
140.       4092.      6.         43.        5.                    O196900200026 
140.       4117.      6.         45.        5.                    O196900200027 
140.       4142.      5.         51.        6.                    O196900200028 
140.       4167.      5.         48.        5.                    O196900200029 
140.       4192.      5.         39.        4.                    O196900200030 
140.       4217.      5.         47.        5.                    O196900200031 
140.       4242.      5.         42.        5.                    O196900200032 
140.       4267.      5.         41.        5.                    O196900200033 
140.       4292.      5.         42.        5.                    O196900200034 
140.       4317.      5.         39.        4.                    O196900200035 
140.       4342.      5.         38.        4.                    O196900200036 
140.       4367.      5.         35.        4.                    O196900200037 
140.       4392.      5.         39.        4.                    O196900200038 
140.       4417.      5.         40.        5.                    O196900200039 
140.       4442.      5.         37.        4.                    O196900200040 
140.       4467.      5.         44.        5.                    O196900200041 
140.       4492.      5.         42.        5.                    O196900200042 
140.       4517.      5.         33.        4.                    O196900200043 
140.       4542.      5.         38.        5.                    O196900200044 
140.       4567.      5.         43.        6.                    O196900200045 
140.       4592.      5.         36.        5.                    O196900200046 
140.       4618.      5.         37.        5.                    O196900200047 
140.       4643.      5.         38.        4.                    O196900200048 
140.       4668.      5.         39.        4.                    O196900200049 
140.       4693.      5.         40.        4.                    O196900200050 
140.       4718.      5.         38.        4.                    O196900200051 
140.       4743.      5.         32.        4.                    O196900200052 
140.       4768.      5.         30.        3.                    O196900200053 
140.       4793.      5.         30.        3.                    O196900200054 
140.       4818.      5.         33.        3.                    O196900200055 
140.       4843.      5.         38.        4.                    O196900200056 
140.       4868.      5.         35.        4.                    O196900200057 
140.       4893.      5.         38.        4.                    O196900200058 
140.       4918.      5.         35.        4.                    O196900200059 
140.       4943.      5.         35.        4.                    O196900200060 
140.       4968.      5.         32.        3.                    O196900200061 
140.       4993.      5.         31.        3.                    O196900200062 
140.       5018.      5.         35.        4.                    O196900200063 
140.       5043.      5.         30.        3.                    O196900200064 
140.       5068.      5.         34.        4.                    O196900200065 
140.       5093.      5.         31.        3.                    O196900200066 
140.       5118.      5.         36.        4.                    O196900200067 
140.       5143.      5.         35.        4.                    O196900200068 
140.       5168.      5.         38.        4.                    O196900200069 
140.       5193.      5.         30.        3.                    O196900200070 
140.       5218.      5.         34.        4.                    O196900200071 
140.       5243.      5.         38.        4.                    O196900200072 
140.       5268.      5.         33.        4.                    O196900200073 
140.       5293.      5.         34.        4.                    O196900200074 
140.       5318.      5.         34.        4.                    O196900200075 
140.       5343.      5.         30.        3.                    O196900200076 
140.       5368.      5.         33.        4.                    O196900200077 
140.       5393.      5.         30.        3.                    O196900200078 
140.       5418.      5.         33.        3.                    O196900200079 
140.       5443.      5.         28.        3.                    O196900200080 
140.       5468.      5.         31.        3.                    O196900200081 
140.       5493.      5.         27.        3.                    O196900200082 
160.       2289.      7.         108.       11.                   O196900200083 
