ENTRY            O2162   20130920                             O051O216200000001 
SUBENT        O2162001   20130920                             O051O216200100001 
BIB                 12         29                                 O216200100002 
TITLE      0+ states and collective bands in 228Th studied by the O216200100003 
            (p,t) reaction.                                       O216200100004 
AUTHOR     (A.I.Levon, G.Graw, R.Hertenberger, S.Pascu,           O216200100005 
           P.G.Thirolf, H.-F.Wirth, P.Alexa)                      O216200100006 
INSTITUTE  (4UKRIJD)                                              O216200100007 
           (2GERLMU)                                              O216200100008 
           (2GERKLN)                                              O216200100009 
           (3CZRUJF)                                              O216200100010 
REFERENCE  (J,PR/C,88,014310,2013)                                O216200100011 
REL-REF    (O,D0171002,H.-F.Wirth+,J,PR/C,69,044310,2004)         O216200100012 
            Some states of Th-228 were reported                   O216200100013 
SAMPLE     The target 230Th had a thickness of 100 mg/cm2,        O216200100014 
           evaporated onto 22 mg/cm**2 thick carbon backings.     O216200100015 
           The isotopic purity of the 230Th target was about 99%  O216200100016 
FACILITY   (VDGT,2GERLMU) the Tandem accelerator of the           O216200100017 
           Maier-Leibnitz-Labor of the Ludwig-Maximilians         O216200100018 
           University and Technical Universite of Munchen.        O216200100019 
METHOD     (EDE)                                                  O216200100020 
DETECTOR   (MAGSP) The reaction products have been analyzed       O216200100021 
           with the Q3D magnetic spectrograph and detected in its O216200100022 
           focal plane.                                           O216200100023 
           (MWDC)  Multiwire proportional chambers with readout   O216200100024 
           of a cathode foil structure for position determination O216200100025 
           and dE/E                                               O216200100026 
ERR-ANALYS (DATA-ERR). No information on source of uncertainty    O216200100027 
STATUS     (TABLE).Table data were received from Dr.A.I.Levon     O216200100028 
           30.09.2013                                             O216200100029 
           (APRVD).By Dr.A.I.Levon                                O216200100030 
HISTORY    (20130920C) SB                                         O216200100031 
ENDBIB              29          0                                 O216200100032 
COMMON               1          3                                 O216200100033 
EN                                                                O216200100034 
MEV                                                               O216200100035 
25.                                                               O216200100036 
ENDCOMMON            3          0                                 O216200100037 
ENDSUBENT           36          0                                 O216200199999 
SUBENT        O2162002   20131003                             O051O216200200001 
BIB                  2          2                                 O216200200002 
REACTION   (90-TH-230(P,T)90-TH-228,PAR,DA)                       O216200200003 
EN-SEC     (E-LVL,90-TH-228)                                      O216200200004 
ENDBIB               2          0                                 O216200200005 
NOCOMMON             0          0                                 O216200200006 
DATA                 4        714                                 O216200200007 
E-LVL      ANG        DATA       DATA-ERR                         O216200200008 
MEV        ADEG       MU-B/SR    MU-B/SR                          O216200200009 
0.000      5.0        388.00     3.80                             O216200200010 
0.000      7.5        246.60     3.60                             O216200200011 
0.000      10.0       129.70     1.50                             O216200200012 
0.000      12.5       68.40      1.60                             O216200200013 
0.000      16.0       42.30      1.20                             O216200200014 
0.000      20.0       128.80     2.30                             O216200200015 
0.000      26.0       237.80     1.70                             O216200200016 
0.000      30.0       237.30     2.90                             O216200200017 
0.000      35.0       59.80      0.70                             O216200200018 
0.000      40.0       27.50      0.50                             O216200200019 
0.3782     5.0        1.97       0.31                             O216200200020 
0.3782     7.5        2.88       0.48                             O216200200021 
0.3782     10.0       3.53       0.19                             O216200200022 
0.3782     12.5       4.65       0.45                             O216200200023 
0.3782     16.0       5.53       0.45                             O216200200024 
0.3782     20.0       5.38       0.52                             O216200200025 
0.3782     26.0       4.49       0.24                             O216200200026 
0.3782     30.0       3.24        0.43                            O216200200027 
0.3782     35.0       2.74       0.14                             O216200200028 
0.3782     40.0       2.02       0.10                             O216200200029 
0.5192     5.0        0.57       0.24                             O216200200030 
0.5192     7.5        0.53       0.26                             O216200200031 
0.5192     10.0       0.35       0.10                             O216200200032 
0.5192     12.5       0.52       0.21                             O216200200033 
0.5192     16.0       0.43       0.17                             O216200200034 
0.5192     20.0       0.10       0.60                             O216200200035 
0.5192     26.0       0.63       0.11                             O216200200036 
0.5192     30.0       0.57       0.21                             O216200200037 
0.5192     35.0       0.33       0.06                             O216200200038 
0.5192     40.0       0.25       0.04                             O216200200039 
0.6225     5.0        0.39       0.20                             O216200200040 
0.6225     10.0       0.09       0.08                             O216200200041 
0.6225     12.5       0.18       0.15                             O216200200042 
0.6225     16.0       0.34       0.16                             O216200200043 
0.6225     20.0       0.29       0.16                             O216200200044 
0.6225     26.0       0.25       0.08                             O216200200045 
0.6225     30.0       0.32       0.16                             O216200200046 
0.6225     35.0       0.16       0.05                             O216200200047 
0.6225     40.0       0.07       0.03                             O216200200048 
0.6956     5.0        0.09       0.17                             O216200200049 
0.6956     10.0       0.96       0.13                             O216200200050 
0.6956     12.5       1.03       0.26                             O216200200051 
0.6956     16.0       0.51       0.18                             O216200200052 
0.6956     20.0       0.34       0.17                             O216200200053 
0.6956     26.0       0.22       0.08                             O216200200054 
0.6956     30.0       0.21       0.18                             O216200200055 
0.6956     35.0       0.12       0.04                             O216200200056 
0.6956     40.0       0.12       0.03                             O216200200057 
0.8744     5.0        16.35      0.80                             O216200200058 
0.8744     7.5        16.26      0.63                             O216200200059 
0.8744     10.0       14.79      0.39                             O216200200060 
0.8744     12.5       15.42      0.27                             O216200200061 
0.8744     16.0       13.33      0.26                             O216200200062 
0.8744     20.0       9.20       0.26                             O216200200063 
0.8744     26.0       6.33       0.29                             O216200200064 
0.8744     30.0       7.69       0.31                             O216200200065 
0.8744     35.0       5.52       0.21                             O216200200066 
0.8744     40.0       3.65       0.13                             O216200200067 
0.9438     5.0        1.45       0.76                             O216200200068 
0.9438     16.0       0.46       0.13                             O216200200069 
0.9438     20.0       0.75       0.11                             O216200200070 
0.9438     26.0       0.29       0.25                             O216200200071 
0.9438     30.0       0.31       0.33                             O216200200072 
0.9438     35.0       0.30       1.60                             O216200200073 
0.9438     40.0       0.21       0.10                             O216200200074 
0.9688     5.0        14.00      0.76                             O216200200075 
0.9688     7.5        21.00      0.40                             O216200200076 
0.9688     10.0       23.35      0.52                             O216200200077 
0.9688     12.5       30.80      0.40                             O216200200078 
0.9688     16.0       31.50      0.40                             O216200200079 
0.9688     20.0       23.60      0.40                             O216200200080 
0.9688     26.0       12.87      0.43                             O216200200081 
0.9688     30.0       14.80      0.05                             O216200200082 
0.9688     35.0       13.38      0.34                             O216200200083 
0.9688     40.0       10.79      0.25                             O216200200084 
0.9794     5.0        6.62       0.58                             O216200200085 
0.9794     7.5        9.88       0.30                             O216200200086 
0.9794     10.0       10.17      0.38                             O216200200087 
0.9794     12.5       12.91      0.29                             O216200200088 
0.9794     16.0       12.72      0.29                             O216200200089 
0.9794     20.0       10.30      0.28                             O216200200090 
0.9794     26.0       7.37       0.34                             O216200200091 
0.9794     30.0       7.53       0.26                             O216200200092 
0.9794     35.0       6.81       0.26                             O216200200093 
0.9794     40.0       4.81       0.18                             O216200200094 
1.0164     5.0        5.28       0.47                             O216200200095 
1.0164     7.5        6.83       0.27                             O216200200096 
1.0164     10.0       7.08       0.27                             O216200200097 
1.0164     12.5       8.68       0.27                             O216200200098 
1.0164     16.0       8.57       0.26                             O216200200099 
1.0164     20.0       6.79       0.26                             O216200200100 
1.0164     26.0       3.31       0.21                             O216200200101 
1.0164     30.0       4.00       0.24                             O216200200102 
1.0164     35.0       4.82       0.19                             O216200200103 
1.0164     40.0       4.30       0.40                             O216200200104 
1.0748     5.0        0.81       0.22                             O216200200105 
1.0748     7.5        0.86       0.10                             O216200200106 
1.0748     10.0       0.89       0.11                             O216200200107 
1.0748     12.5       0.80       0.07                             O216200200108 
1.0748     16.0       1.09       0.10                             O216200200109 
