ENTRY            O2226   20140723                             O053O222600000001 
SUBENT        O2226001   20140723                             O053O222600100001 
BIB                 15         42                                 O222600100002 
TITLE      Measurements of proton induced gamma-ray emission crossO222600100003 
           sections on Al from 2.5 MeV to 4.1 MeV.                O222600100004 
AUTHOR     (M.Chiari, B.Melon, L.Salvestrini, M.Fonseca, E.Alves, O222600100005 
           A.P.Jesus)                                             O222600100006 
REFERENCE  (J,NIM/B,332,355,2014)                                 O222600100007 
REL-REF    (I,O1408001,A.Caciolli+,J,NIM/B,249,98,2006)           O222600100008 
INSTITUTE  (2ITYFIR,2PRTFNL,2PRTLIS)                              O222600100009 
SAMPLE     A 29 mug/cm**2 Al film evaporated on a self-supporting O222600100010 
           102 mug/cm**2 Ag                                       O222600100011 
MONITOR    (47-AG-0(P,EL)47-AG-0,,DA)                             O222600100012 
            experimental results were normalized by the RutherfordO222600100013 
           elastic backscattering of protons from Ag.             O222600100014 
PART-DET   (G)                                                    O222600100015 
DETECTOR   (HPGE) two HPGe coaxial detectors, of nominal          O222600100016 
           efficiency 50% and 25%, and energy resolution 2.0 keV  O222600100017 
           for 1.33 MeV.                                          O222600100018 
           (SI) The elastic scattered protons were measured by a  O222600100019 
           Si-PIN diode detector,10 mm**2 area, 300 mum thickness O222600100020 
           and 13 keV FWHM energy resolution.                     O222600100021 
HISTORY    (20140723C) SB                                         O222600100022 
           (20140724R).Table data were received from Dr.M.Chiari  O222600100023 
FACILITY   (VDGT,2SPNAUT) The HVEE 3 MV Tandetron accelerator     O222600100024 
           at the INFN LABEC laboratory in Florence               O222600100025 
METHOD     (BCINT)                                                O222600100026 
CORRECTION Dead time corrections were always less than 15% for theO222600100027 
           gamma-detector, whereas they were negligible for the   O222600100028 
           particle detector (<0.5%).                             O222600100029 
ERR-ANALYS The estimated uncertainties in the absolute values of  O222600100030 
           the differential cross sections are                    O222600100031 
           (ERR-1,1.,4.).Error in gamma-ray area.                 O222600100032 
           (ERR-2).Error in p+Ag elastic peak area.               O222600100033 
           (ERR-3).The contributions to the error in the          O222600100034 
           cross-section value from rutherford cross-section on   O222600100035 
           Ag.                                                    O222600100036 
           (ERR-4).The uncertainty of Al to Ag atomic             O222600100037 
           (ERR-5).The uncerainty of particle detector solid      O222600100038 
           angle.                                                 O222600100039 
           (ERR-6).The uncertainty of HPGe  detector absolute     O222600100040 
           efficiency.                                            O222600100041 
           (ERR-S).The statistical errors from the peak areas,    O222600100042 
           including background subtraction                       O222600100043 
STATUS     (TABLE).Table data were received from Dr.M.Chiari      O222600100044 
ENDBIB              42          0                                 O222600100045 
COMMON               5          3                                 O222600100046 
ERR-2      ERR-3      ERR-4      ERR-5      ERR-6                 O222600100047 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT              O222600100048 
         1.         1.         3.        2.4         6.           O222600100049 
ENDCOMMON            3          0                                 O222600100050 
ENDSUBENT           49          0                                 O222600199999 
SUBENT        O2226002   20140723                             O053O222600200001 
BIB                  2          2                                 O222600200002 
REACTION   (13-AL-27(P,INL)13-AL-27,PAR,DA,G)                     O222600200003 
EN-SEC     (E,G)                                                  O222600200004 
ENDBIB               2          0                                 O222600200005 
COMMON               1          3                                 O222600200006 
E                                                                 O222600200007 
KEV                                                               O222600200008 
       844.                                                       O222600200009 
ENDCOMMON            3          0                                 O222600200010 
DATA                 4        394                                 O222600200011 
ANG        EN         DATA       ERR-S                            O222600200012 
ADEG       KEV        MB/SR      MB/SR                            O222600200013 
45.        2507.25    0.670      0.029                            O222600200014 
45.        2517.26    0.976      0.035                            O222600200015 
45.        2527.27    2.400      0.063                            O222600200016 
45.        2532.27    3.158      0.076                            O222600200017 
45.        2537.27    2.369      0.061                            O222600200018 
45.        2542.27    2.167      0.059                            O222600200019 
45.        2547.28    2.033      0.060                            O222600200020 
45.        2557.28    2.759      0.058                            O222600200021 
45.        2567.28    3.883      0.069                            O222600200022 
45.        2577.3     5.307      0.093                            O222600200023 
45.        2587.3     5.517      0.094                            O222600200024 
45.        2597.3     5.178      0.093                            O222600200025 
45.        2607.31    3.207      0.073                            O222600200026 
45.        2617.31    1.997      0.051                            O222600200027 
45.        2627.32    1.510      0.036                            O222600200028 
45.        2637.33    1.225      0.031                            O222600200029 
45.        2647.33    1.049      0.029                            O222600200030 
45.        2657.33    1.073      0.030                            O222600200031 
45.        2667.34    1.248      0.032                            O222600200032 
45.        2677.35    1.141      0.029                            O222600200033 
45.        2687.36    1.256      0.030                            O222600200034 
45.        2697.36    1.549      0.033                            O222600200035 
45.        2707.36    2.188      0.043                            O222600200036 
45.        2717.37    3.327      0.059                            O222600200037 
45.        2722.38    4.015      0.070                            O222600200038 
45.        2727.38    3.512      0.066                            O222600200039 
45.        2732.38    2.470      0.049                            O222600200040 
45.        2737.38    1.564      0.040                            O222600200041 
45.        2747.39    0.993      0.029                            O222600200042 
45.        2757.39    0.964      0.028                            O222600200043 
45.        2762.39    1.078      0.037                            O222600200044 
45.        2767.39    1.068      0.027                            O222600200045 
45.        2777.4     1.242      0.027                            O222600200046 
45.        2787.41    1.466      0.029                            O222600200047 
45.        2797.41    1.667      0.031                            O222600200048 
45.        2802.41    1.805      0.046                            O222600200049 
45.        2807.41    2.025      0.034                            O222600200050 
45.        2812.42    2.311      0.050                            O222600200051 
45.        2817.42    2.485      0.044                            O222600200052 
45.        2827.43    2.432      0.044                            O222600200053 
45.        2837.43    2.707      0.053                            O222600200054 
45.        2847.44    3.356      0.059                            O222600200055 
45.        2857.44    4.646      0.070                            O222600200056 
45.        2867.44    6.603      0.082                            O222600200057 
45.        2869.44    7.180      0.136                            O222600200058 
45.        2872.45    7.045      0.135                            O222600200059 
45.        2875.45    7.293      0.139                            O222600200060 
45.        2877.45    6.767      0.082                            O222600200061 
45.        2887.46    5.221      0.075                            O222600200062 
45.        2892.46    4.579      0.064                            O222600200063 
45.        2897.46    3.909      0.059                            O222600200064 
45.        2907.46    3.315      0.044                            O222600200065 
45.        2917.47    2.251      0.037                            O222600200066 
45.        2927.48    1.358      0.024                            O222600200067 
45.        2937.48    1.078      0.022                            O222600200068 
45.        2947.49    0.904      0.020                            O222600200069 
45.        2957.49    0.843      0.020                            O222600200070 
45.        2967.49    0.730      0.019                            O222600200071 
45.        2977.5     0.688      0.018                            O222600200072 
45.        2987.51    0.641      0.018                            O222600200073 
45.        2997.51    0.702      0.019                            O222600200074 
45.        3007.51    0.915      0.020                            O222600200075 
45.        3017.52    1.039      0.022                            O222600200076 
45.        3028.53    0.646      0.019                            O222600200077 
45.        3038.53    0.714      0.021                            O222600200078 
45.        3048.53    0.790      0.021                            O222600200079 
45.        3058.54    1.176      0.024                            O222600200080 
45.        3063.54    1.694      0.035                            O222600200081 
