ENTRY            O2428   20190516                             O070O2428  0    1 
SUBENT        O2428001   20190516                             O070O2428  1    1 
BIB                 11         34                                 O2428  1    2 
TITLE      Coherent coupled-reaction-channels analysis of         O2428  1    3 
           existing and new p + 9Be data between 1.7 and 15       O2428  1    4 
           MeV/nucleon                                            O2428  1    5 
AUTHOR     (N.Keeley,A.Pakou,V.Soukeras,F.Cappuzzello,L.Acosta,   O2428  1    6 
           C.Agodi,A.Boiano,S.Calabrese,D.Carbone, M.Cavallaro,   O2428  1    7 
           N.Deshmukh,A.Foti,A.Hacisalihoglu,M.La Commara,        O2428  1    8 
           I.Martel,M.Mazzocco,A.Muoio,C.Parascandolo,            O2428  1    9 
           D.Pierroutsakou,K.Rusek,A.M.Sanchez-Benitez,           O2428  1   10 
           G.Santagati,O.Sgouros,G.Souliotis, A.Spatafora,        O2428  1   11 
           E.Strano,D.Torresi,A.Trzcinska)                        O2428  1   12 
INSTITUTE  (3POLIPJ,2GRCIOA,2ITYLNS,2ITYCAT,3MEXIFM,2ITYNAP,      O2428  1   13 
           2UK LVP,2ITYUPV,3POLWWA,2SPNHLV,2GRCTUA)               O2428  1   14 
           (2GRCGRC) National and Kapodistrian University of      O2428  1   15 
           Athens and HINP, 15771 Athens, Greece                  O2428  1   16 
REFERENCE  (J,PR/C,99,014615,2019)                                O2428  1   17 
           #doi:10.1103/PhysRevC.99.014615                        O2428  1   18 
FACILITY   (VDGT,2ITYLNS) TANDEM Van de Graaff accelerator of     O2428  1   19 
           Istituto Nazionale di Fisica Nucleare Laboratori       O2428  1   20 
           Nazionali del Sud (INFN-LNS) in Catania, Italy         O2428  1   21 
           (OLMS) MAGNEX spectrometer. The heavy ejectile was     O2428  1   22 
           accessed over almost the full angular range by         O2428  1   23 
           changing accordingly two to three magnetic fields.     O2428  1   24 
INC-SPECT  A 9Be4+ beam was accelerated to 15, 22 and 51 MeV.     O2428  1   25 
METHOD     (BCINT)                                                O2428  1   26 
SAMPLE     CH2 targets with 232 and 450 ug/cm2 at the lower and   O2428  1   27 
           higher energies, respectively.                         O2428  1   28 
REL-REF    (M,,M.Cavallaro+,J,NIM/A,648,46,2011)                  O2428  1   29 
           Ray-reconstruction analysis technique for cross-sectionO2428  1   30 
           and high-resolution energy spectra measurements at     O2428  1   31 
           MAGNEX large acceptance magnetic spectrometer.         O2428  1   32 
ERR-ANALYS (DATA-ERR) No informaion on source of uncertainties.   O2428  1   33 
HISTORY    (20190321R) Numerical data received from N. Keeley and O2428  1   34 
           A. Pakou                                               O2428  1   35 
           (20190516C) VS                                         O2428  1   36 
ENDBIB              34          0                                 O2428  1   37 
NOCOMMON             0          0                                 O2428  1   38 
ENDSUBENT           37          0                                 O2428  199999 
SUBENT        O2428002   20190516                             O070O2428  2    1 
BIB                  2          4                                 O2428  2    2 
REACTION   ((1-H-1(4-BE-9,EL)1-H-1,,DA)=                          O2428  2    3 
           (4-BE-9(P,EL)4-BE-9,,DA))                              O2428  2    4 
STATUS     (TABLE) Data received from author. Plotted on Fig.8 of O2428  2    5 
           Phys.Rev.C99(2019)014615                               O2428  2    6 
ENDBIB               4          0                                 O2428  2    7 
NOCOMMON             0          0                                 O2428  2    8 
DATA                 4         45                                 O2428  2    9 
EN         ANG-CM     DATA-CM    DATA-ERR                         O2428  2   10 
MEV/A      ADEG       MB/SR      MB/SR                            O2428  2   11 
       1.68      39.54     1645.8      121.4                      O2428  2   12 
       1.68      45.76      392.6       29.3                      O2428  2   13 
       1.68      52.52      166.4       12.6                      O2428  2   14 
       1.68      60.16       96.2        7.4                      O2428  2   15 
       1.68      69.37       62.4        4.9                      O2428  2   16 
       1.68      83.03       31.2        2.5                      O2428  2   17 
       1.68       93.3       21.4        1.8                      O2428  2   18 
       1.68      108.5       13.5         1.                      O2428  2   19 
       1.68      120.5        12.         1.                      O2428  2   20 
       2.46      39.54       342.       26.7                      O2428  2   21 
       2.46      45.76       252.       18.7                      O2428  2   22 
       2.46      52.52       180.       13.8                      O2428  2   23 
       2.46      60.16       122.        9.3                      O2428  2   24 
       2.46      69.37        76.         6.                      O2428  2   25 
       2.46      76.15        46.        4.2                      O2428  2   26 
       2.46        83.       33.3        1.9                      O2428  2   27 
       2.46        95.       21.3        1.5                      O2428  2   28 
       2.46      107.6        22.        1.5                      O2428  2   29 
       2.46       114.        25.        1.5                      O2428  2   30 
       2.46       122.        28.        1.6                      O2428  2   31 
       2.46      130.7        37.         2.                      O2428  2   32 
       2.46       137.        38.        3.2                      O2428  2   33 
       2.46      142.7        49.        4.2                      O2428  2   34 
       5.70        34.       246.       18.2                      O2428  2   35 
       5.70        40.      175.5       13.1                      O2428  2   36 
       5.70        46.       114.        8.5                      O2428  2   37 
       5.70        53.       76.5        5.8                      O2428  2   38 
       5.70        60.       43.5        3.3                      O2428  2   39 
       5.70        65.       27.5        2.5                      O2428  2   40 
       5.70       71.8       19.4        1.8                      O2428  2   41 
       5.70       75.1       14.9        1.3                      O2428  2   42 
       5.70       78.3        8.5        0.7                      O2428  2   43 
       5.70        83.         7.        0.8                      O2428  2   44 
       5.70        91.        7.3        1.4                      O2428  2   45 
       5.70       97.3        8.9        1.8                      O2428  2   46 
       5.70      100.5       11.7        0.5                      O2428  2   47 
       5.70      103.7       12.8        0.7                      O2428  2   48 
       5.70       107.       13.2        0.9                      O2428  2   49 
       5.70      110.3       15.1        1.1                      O2428  2   50 
       5.70      113.7       15.8        1.2                      O2428  2   51 
       5.70      117.2       15.1         1.                      O2428  2   52 
       5.70      120.8       16.3        1.1                      O2428  2   53 
       5.70      124.6       17.3         1.                      O2428  2   54 
       5.70      128.5       16.5         1.                      O2428  2   55 
       5.70      132.6       18.5        1.7                      O2428  2   56 
ENDDATA             47          0                                 O2428  2   57 
ENDSUBENT           56          0                                 O2428  299999 
ENDENTRY             2          0                                 O242899999999 
