ENTRY            O2432   20190602                             O070O2432  0    1 
SUBENT        O2432001   20190602                             O070O2432  1    1 
BIB                 11         32                                 O2432  1    2 
TITLE      Observation of 15N + alpha resonant structures in 19F  O2432  1    3 
           using the thick target in inverse kinematics scatteringO2432  1    4 
           method                                                 O2432  1    5 
AUTHOR     (M.La Cognata,M.Fisichella,A.Di Pietro,P.Figuera,      O2432  1    6 
           V.Z.Goldberg,S.Cherubini,J.P.Fernandez Garcia,M.Gulino,O2432  1    7 
           L.Lamia,D.Lattuada,M.Lattuada,R.G.Pizzone,             O2432  1    8 
           G.G.Rapisarda,S.Romano,R.Sparta,C.Spitaleri,D.Torresi, O2432  1    9 
           A.Tumino,M.Zadro)                                      O2432  1   10 
INSTITUTE  (2ITYLNS,1USATAM,2ITYCAT,2SPNSEU,2ITYENN,3CRORBZ)      O2432  1   11 
           (3RUMRUM) Extreme Light Infrastructure-Nuclear         O2432  1   12 
           Physics (ELI-NP) , Magurele, Romania                   O2432  1   13 
REFERENCE  (J,PR/C,99,034301,2019)                                O2432  1   14 
           #doi:10.1103/PhysRevC.99.034301                        O2432  1   15 
FACILITY   (VDGT,2ITYLNS) Tandem accelerator at the               O2432  1   16 
           Laboratori Nazionali del Sud in Catania                O2432  1   17 
SAMPLE     CT2000 2-m-diameter scattering chamber, filled with    O2432  1   18 
           helium gas of nominal isotopic purity of 99.9999% at   O2432  1   19 
           a pressure of 142 mbar in static conditions.           O2432  1   20 
DETECTOR   (TELES,SIBAR) 10-um-thick deltaE and 500-um-thick      O2432  1   21 
           detector to measure the residual energy.               O2432  1   22 
           Two 200 um thick silicon surface barrier detectors     O2432  1   23 
           to measure elastic scattering from Au.                 O2432  1   24 
METHOD     (TTM) The thick target resonant scattering in inverse  O2432  1   25 
           kinematics                                             O2432  1   26 
           (EDE)                                                  O2432  1   27 
MONITOR    (79-AU-197(7-N-15,EL)79-AU-197,,DA,,RTH)               O2432  1   28 
ADD-RES    (STRUC) The properties of the F-19 states above and    O2432  1   29 
           below the p-emission threshold studied by R-matrix     O2432  1   30 
           analysis and presented in tables III and II            O2432  1   31 
           respectively.                                          O2432  1   32 
HISTORY    (20190417R) Data received from Dr. Marco La Cognata.   O2432  1   33 
           (20190602C) VS                                         O2432  1   34 
ENDBIB              32          0                                 O2432  1   35 
NOCOMMON             0          0                                 O2432  1   36 
ENDSUBENT           35          0                                 O2432  199999 
SUBENT        O2432002   20190602                             O070O2432  2    1 
BIB                  3          5                                 O2432  2    2 
REACTION   ((2-HE-4(7-N-15,EL)2-HE-4,,DA)=                        O2432  2    3 
           (7-N-15(A,EL)7-N-15,,DA))                              O2432  2    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. O2432  2    5 
STATUS     (TABLE) Plotted as a function of the 19F excitation    O2432  2    6 
           energy on Fig. 2 of Phys.Rev.C99(2019)034301.          O2432  2    7 
ENDBIB               5          0                                 O2432  2    8 
NOCOMMON             0          0                                 O2432  2    9 
DATA                 4       5799                                 O2432  2   10 
EN-CM      ANG-CM     DATA-CM    DATA-ERR                         O2432  2   11 
MEV        ADEG       MB/SR      MB/SR                            O2432  2   12 
      1.762      152.5       96.7        3.4                      O2432  2   13 
      1.770      170.4      100.0        3.5                      O2432  2   14 
      1.772      152.6       94.1        3.4                      O2432  2   15 
      1.777      161.4      101.4        3.5                      O2432  2   16 
      1.780      170.4       99.4        3.5                      O2432  2   17 
      1.782      152.6       94.9        3.4                      O2432  2   18 
      1.787      161.4       96.9        3.4                      O2432  2   19 
      1.790      170.4       96.6        3.4                      O2432  2   20 
      1.792      152.7       91.6        3.3                      O2432  2   21 
      1.797      161.4       98.0        3.5                      O2432  2   22 
      1.800      170.5       91.1        3.3                      O2432  2   23 
      1.802      152.8       88.9        3.3                      O2432  2   24 
      1.805      161.9       96.9        3.5                      O2432  2   25 
      1.807      161.5       99.5        3.5                      O2432  2   26 
      1.810      170.5       95.5        3.4                      O2432  2   27 
      1.812      152.8       83.2        3.2                      O2432  2   28 
      1.814      179.8       91.5        3.4                      O2432  2   29 
      1.815      161.9       95.3        3.5                      O2432  2   30 
      1.817      161.5       93.6        3.4                      O2432  2   31 
      1.820      170.5       96.6        3.5                      O2432  2   32 
      1.822      152.9       86.1        3.3                      O2432  2   33 
      1.824      179.8       82.7        3.2                      O2432  2   34 
      1.825      162.0       89.4        3.4                      O2432  2   35 
      1.827      161.6       88.5        3.3                      O2432  2   36 
      1.830      170.5       85.1        3.3                      O2432  2   37 
      1.832      152.9       86.8        3.3                      O2432  2   38 
      1.834      179.8       91.1        3.4                      O2432  2   39 
      1.835      162.0       94.2        3.4                      O2432  2   40 
      1.837      161.6       89.4        3.3                      O2432  2   41 
      1.840      170.5       92.5        3.4                      O2432  2   42 
      1.842      153.0       84.8        3.3                      O2432  2   43 
      1.844      179.8       84.5        3.3                      O2432  2   44 
      1.845      162.0       94.2        3.4                      O2432  2   45 
      1.847      161.6       89.9        3.3                      O2432  2   46 
      1.850      170.5       90.8        3.4                      O2432  2   47 
      1.852      153.0       78.8        3.1                      O2432  2   48 
      1.854      179.8       84.7        3.3                      O2432  2   49 
      1.855      162.1       90.6        3.4                      O2432  2   50 
      1.857      161.7       87.4        3.3                      O2432  2   51 
      1.860      170.6       88.0        3.4                      O2432  2   52 
      1.862      153.1       81.0        3.2                      O2432  2   53 
      1.864      179.8       85.8        3.3                      O2432  2   54 
      1.865      162.1       86.3        3.3                      O2432  2   55 
      1.867      161.7       81.3        3.2                      O2432  2   56 
      1.870      170.6       85.4        3.3                      O2432  2   57 
      1.872      153.1       84.8        3.3                      O2432  2   58 
      1.874      179.8       87.3        3.4                      O2432  2   59 
      1.875      162.2       89.1        3.4                      O2432  2   60 
      1.877      161.7       86.8        3.3                      O2432  2   61 
      1.880      170.6       83.7        3.3                      O2432  2   62 
      1.882      153.2       88.8        3.4                      O2432  2   63 
      1.884      179.8       78.1        3.2                      O2432  2   64 
      1.885      162.2       87.9        3.3                      O2432  2   65 
