ENTRY            O2437   20200124                             O075O2437  0    1 
SUBENT        O2437001   20200124                             O075O2437  1    1 
BIB                 11         34                                 O2437  1    2 
TITLE      Evidence for 15O + alpha resonance structures in 19Ne  O2437  1    3 
           via direct measurement                                 O2437  1    4 
AUTHOR     (D.Torresi, C.Wheldon, Tz.Kokalova, S.Bailey,          O2437  1    5 
            A.Boiano, C.Boiano, M.Fisichella, M.Mazzocco,         O2437  1    6 
            C.Parascandolo, D.Pierroutsakou, E.Strano, M.Zadro,   O2437  1    7 
            M.Cavallaro, S.Cherubini, N.Curtis, A.Di Pietro,      O2437  1    8 
            J.P.Fernandez Garcia, P.Figuera, T.Glodariu,          O2437  1    9 
            J.Grebosz, M.La Cognata, M.La Commara, M.Lattuada,    O2437  1   10 
            D.Mengoni, R.G.Pizzone, C.Signorini, C.Stefanini,     O2437  1   11 
            L.Stroe, C.Spitaleri)                                 O2437  1   12 
INSTITUTE  (2UK BIR,2ITYLNS,2ITYCAT,2ITYNAP,2ITYMIL,2ITYUPV,      O2437  1   13 
           3CRORBZ,3RUMBUC,3POLIFJ,2ITYPAD)                       O2437  1   14 
REFERENCE  (J,PR/C,96,044317,2017)                                O2437  1   15 
           #doi:10.1103/PhysRevC.96.044317                        O2437  1   16 
FACILITY   (VDGT,2ITYPAD) LNL-XTU tandem Van de Graaff acceleratorO2437  1   17 
SAMPLE     H2 gas target at a pressure of 1 bar corresponding to  O2437  1   18 
           an equivalent target thickness of about 1.35 mg/cm2    O2437  1   19 
           of H2.                                                 O2437  1   20 
DETECTOR   (PPAC) For counting, timing and on-line monitoring of  O2437  1   21 
           the 15O beam                                           O2437  1   22 
           (SISD) A 6.4x6.4 cm2, 300 um double-sided silicon      O2437  1   23 
           strip detector (DSSSD) placed at 0 degree with         O2437  1   24 
           angular acceptance of 3.6 degree in the laboratory     O2437  1   25 
           frame (6.5 degree in c.m.) for detection of the        O2437  1   26 
           elastically scattered light charged particles.ted      O2437  1   27 
METHOD     (TOF,TTM)                                              O2437  1   28 
REL-REF    (R,,D.Torresi+,J,NIM/B,389-390,1,2016)                 O2437  1   29 
           Stopping power for 16O in 4He                          O2437  1   30 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  O2437  1   31 
           The energy resolution of (FWHM) in c.m. frame 20-30 keVO2437  1   32 
            (corresponding to FWHM about 50 keV in the laboratory O2437  1   33 
           frame) has been found, from Monte Carlo simulations    O2437  1   34 
HISTORY    (20190612R) Received from Dr. Domenico Torresi         O2437  1   35 
           (20200124C) VS                                         O2437  1   36 
ENDBIB              34          0                                 O2437  1   37 
NOCOMMON             0          0                                 O2437  1   38 
ENDSUBENT           37          0                                 O2437  199999 
SUBENT        O2437002   20200124                             O075O2437  2    1 
BIB                  2          3                                 O2437  2    2 
REACTION   ((2-HE-4(8-O-15,EL)2-HE-4,,DA)=                        O2437  2    3 
           (8-O-15(A,EL)8-O-15,,DA))                              O2437  2    4 
STATUS     (TABLE) Plotted on Fig.3 of Phys.Rev.C96(2017)044317   O2437  2    5 
ENDBIB               3          0                                 O2437  2    6 
COMMON               1          3                                 O2437  2    7 
EN-RSL-FW                                                         O2437  2    8 
KEV                                                               O2437  2    9 
        50.                                                       O2437  2   10 
ENDCOMMON            3          0                                 O2437  2   11 
DATA                 4        164                                 O2437  2   12 
EN-CM      ANG-CM     DATA-CM    DATA-ERR                         O2437  2   13 
MEV        ADEG       MB/SR      MB/SR                            O2437  2   14 
    1.35911    170.659    139.201    11.7093                      O2437  2   15 
    1.38411    170.689    171.703    12.8319                      O2437  2   16 
    1.40911    170.718    175.755    13.0959                      O2437  2   17 
    1.43411    170.748    139.282    11.6227                      O2437  2   18 
    1.45911    170.778    148.405    11.7861                      O2437  2   19 
    1.48411    170.808     130.35    11.0217                      O2437  2   20 
    1.50911    170.838    114.921     10.497                      O2437  2   21 
    1.53411    170.867     132.66    11.2473                      O2437  2   22 
    1.55911    170.897    124.095     10.785                      O2437  2   23 
    1.58411    170.927    129.802    11.3068                      O2437  2   24 
    1.60911    170.957    117.391    10.8351                      O2437  2   25 
    1.63411    170.987    102.099    10.0903                      O2437  2   26 
    1.65911    171.016    104.497    10.2399                      O2437  2   27 
    1.68411    171.046    112.916    10.4762                      O2437  2   28 
    1.70911    171.076    97.0954    9.49048                      O2437  2   29 
    1.73411    171.105      98.35    9.75967                      O2437  2   30 
    1.75911    171.135     84.992    9.02032                      O2437  2   31 
    1.78411    171.165    78.3955    8.63135                      O2437  2   32 
    1.80911    171.195    62.2541    7.72917                      O2437  2   33 
    1.83411    171.224    73.5169    8.39359                      O2437  2   34 
    1.85911    171.254    89.3266    9.34342                      O2437  2   35 
    1.88411    171.283     73.001    8.30071                      O2437  2   36 
    1.90911    171.313     68.626    8.00364                      O2437  2   37 
    1.93411    171.342    47.9714    6.71051                      O2437  2   38 
    1.95911    171.372    80.8011     8.9668                      O2437  2   39 
    1.98411    171.401    98.9405    9.79531                      O2437  2   40 
    2.00911     171.43    93.3457    9.39494                      O2437  2   41 
    2.03411     171.46    95.7165    9.48395                      O2437  2   42 
    2.05911    171.489    88.8862    9.07274                      O2437  2   43 
    2.08411    171.518    74.7732    8.23849                      O2437  2   44 
    2.10911    171.547    77.3759    8.56268                      O2437  2   45 
    2.13411    171.576    69.3997     8.1199                      O2437  2   46 
    2.15911    171.605    80.3655    8.81766                      O2437  2   47 
    2.18411    171.634    53.2668    7.36621                      O2437  2   48 
    2.20911    171.663     58.414    7.71643                      O2437  2   49 
    2.23411    171.692    52.1546    7.05227                      O2437  2   50 
    2.25911    171.721    53.9704    6.98496                      O2437  2   51 
    2.28411     171.75    53.5736    6.94316                      O2437  2   52 
    2.30911    171.778    55.4609    7.26541                      O2437  2   53 
    2.33411    171.807    53.8918    7.35834                      O2437  2   54 
    2.35911    171.836    49.1699    7.00015                      O2437  2   55 
    2.38411    171.864    49.3559    6.87208                      O2437  2   56 
    2.40911    171.892    45.0364    6.64901                      O2437  2   57 
    2.43411    171.921     40.618    6.37694                      O2437  2   58 
    2.45911    171.949    29.8909    5.26447                      O2437  2   59 
    2.48411    171.977    38.9335    6.19514                      O2437  2   60 
    2.50911    172.005    48.2334    7.00175                      O2437  2   61 
    2.53411    172.033    44.0732    6.56679                      O2437  2   62 
    2.55911    172.061    32.6556    5.63822                      O2437  2   63 
    2.58411    172.089    44.8659    6.75914                      O2437  2   64 
    2.60911    172.116    40.9653    6.43184                      O2437  2   65 
    2.63411    172.144    39.3457    6.37719                      O2437  2   66 
    2.65911    172.172     57.891    7.71703                      O2437  2   67 
    2.68411    172.199    60.9712    7.98743                      O2437  2   68 
