ENTRY            O2527   20210707                             O084O2527  0    1 
SUBENT        O2527001   20210707                             O084O2527  1    1 
BIB                 11         26                                 O2527  1    2 
TITLE      Possible neutron and proton halo structure in the      O2527  1    3 
            isobaric analog states of A = 12 nuclei               O2527  1    4 
AUTHOR     (A.S.Demyanova, V.I.Starastsin, A.N.Danilov,           O2527  1    5 
            A.A.Ogloblin, S.V.Dmitriev, S.A.Goncharov,            O2527  1    6 
            T.L.Belyaeva, V.A.Maslov, Yu.G.Sobolev, W.Trzaska,    O2527  1    7 
            P.Heikkinen, G.P.Gurov, N.Burtebaev, D.Janseitov)     O2527  1    8 
INSTITUTE  (4RUSKUR,4RUSMOS,3MEXUMX,4ZZZDUB,2SF JYV,4RUSMIF,      O2527  1    9 
           4KASKAZ)                                               O2527  1   10 
REFERENCE  (J,PR/C,102,054612,2020)                               O2527  1   11 
           #doi:10.1103/PhysRevC.102.054612                       O2527  1   12 
FACILITY   (CYCLO,2SF JYV)                                        O2527  1   13 
DETECTOR   (TELES,SI,SILI) Three sets of deltaE-E detector        O2527  1   14 
           telescopes, each containing two independent deltaE     O2527  1   15 
           detectors and one common E detector. Two silicon pin   O2527  1   16 
           diodes of 380 and 100 um were operating as deltaE      O2527  1   17 
           detectors and 3.6 mm lithium-drifted silicon           O2527  1   18 
           detectors were used as E detectors.                    O2527  1   19 
SAMPLE     (5-B-11,ENR=0.95) A self-supported enriched boron      O2527  1   20 
           foil of 0.275 mg/cm2 thickness. The 10B, 12C, and 14N  O2527  1   21 
           nuclei were impurities in the target.                  O2527  1   22 
METHOD     (EDE,BCINT)                                            O2527  1   23 
ERR-ANALYS (ERR-S) The quoted uncertainties are statistical       O2527  1   24 
STATUS     (TABLE) Data received from A. S. Demyanova.            O2527  1   25 
           (APRVD) Proofread by A. S. Demyanova 19.07.2021.       O2527  1   26 
HISTORY    (20210707C) VS                                         O2527  1   27 
           (20210716R) Data received from A. S. Demyanova.        O2527  1   28 
ENDBIB              26          0                                 O2527  1   29 
COMMON               1          3                                 O2527  1   30 
EN                                                                O2527  1   31 
MEV                                                               O2527  1   32 
        25.                                                       O2527  1   33 
ENDCOMMON            3          0                                 O2527  1   34 
ENDSUBENT           33          0                                 O2527  199999 
SUBENT        O2527002   20210707                             O084O2527  2    1 
BIB                  2          3                                 O2527  2    2 
REACTION   (5-B-11(HE3,D)6-C-12,PAR,DA)                           O2527  2    3 
STATUS     (TABLE) Plotted on Figs.2-5, Phys.Rev.102(2020)054612. O2527  2    4 
           Phys.Rev.102(2020)054612.                              O2527  2    5 
ENDBIB               3          0                                 O2527  2    6 
NOCOMMON             0          0                                 O2527  2    7 
DATA                 4        195                                 O2527  2    8 
E-LVL      ANG-CM     DATA-CM    ERR-S                            O2527  2    9 
MEV        ADEG       MB/SR      MB/SR                            O2527  2   10 
        0.0    3.51642    0.33797    0.05633                      O2527  2   11 
        0.0    4.68835    0.58582    0.06759                      O2527  2   12 
        0.0    5.86004    1.06656    0.03878                      O2527  2   13 
        0.0    7.03149    1.12885    0.04586                      O2527  2   14 
        0.0    8.20263    1.40064    0.08036                      O2527  2   15 
        0.0    9.37344    1.58546    0.06893                      O2527  2   16 
        0.0    9.84164    1.70113    0.24334                      O2527  2   17 
        0.0   11.01184    1.67985    0.04421                      O2527  2   18 
        0.0   12.18157    1.68144     0.1062                      O2527  2   19 
        0.0   13.35078     1.9247    0.08644                      O2527  2   20 
        0.0   14.05202    1.02453    0.01564                      O2527  2   21 
        0.0   17.55475    0.89265    0.01152                      O2527  2   22 
        0.0   18.02131    0.55111    0.01575                      O2527  2   23 
        0.0    18.7209    0.72959    0.01153                      O2527  2   24 
        0.0   19.18712    0.41333    0.01968                      O2527  2   25 
        0.0   19.88622    0.24554    0.00663                      O2527  2   26 
        0.0   21.05069    0.17958    0.00254                      O2527  2   27 
        0.0   22.67941    0.19026     0.0116                      O2527  2   28 
        0.0   23.14441    0.17833    0.00793                      O2527  2   29 
        0.0   23.37686    0.14372    0.00567                      O2527  2   30 
        0.0   23.84162    0.08717    0.01162                      O2527  2   31 
        0.0   25.00282    0.04911    0.00216                      O2527  2   32 
        0.0   26.16294    0.05905    0.00512                      O2527  2   33 
        0.0   26.85847    0.12522    0.00391                      O2527  2   34 
        0.0   28.01679    0.17178    0.00235                      O2527  2   35 
        0.0   28.47978    0.17487    0.00242                      O2527  2   36 
        0.0    28.5955    0.18861    0.00998                      O2527  2   37 
        0.0   31.94582    0.29814    0.00459                      O2527  2   38 
        0.0   33.09851    0.29416    0.00872                      O2527  2   39 
        0.0   33.78946    0.28407    0.00466                      O2527  2   40 
        0.0    34.9399    0.30253    0.00334                      O2527  2   41 
        0.0   36.08886     0.2671    0.00738                      O2527  2   42 
        0.0   37.00693    0.24655    0.00881                      O2527  2   43 
        0.0   38.84007    0.21022   8.76E-04                      O2527  2   44 
        0.0   39.98368    0.16898    0.00406                      O2527  2   45 
        0.0   40.66905    0.17189   6.54E-04                      O2527  2   46 
        0.0   41.80996    0.13281    0.00403                      O2527  2   47 
        0.0   42.94913     0.0979    0.00166                      O2527  2   48 
        0.0   43.85918    0.08544     0.0041                      O2527  2   49 
        0.0   44.08652    0.07826     0.0025                      O2527  2   50 
        0.0   44.14334    0.10012    0.00726                      O2527  2   51 
        0.0   45.67579    0.05908    0.00142                      O2527  2   52 
