ENTRY            O2532   20220218                             O094O2532  0    1 
SUBENT        O2532001   20220218                             O094O2532  1    1 
BIB                 10         30                                 O2532  1    2 
TITLE      Spectroscopy of states in 136Ba using the 138Ba(p,t)   O2532  1    3 
            reaction                                              O2532  1    4 
AUTHOR     (B.M.Rebeiro, S.Triambak, P.E.Garrett, B.A.Brown,      O2532  1    5 
            G.C.Ball, R.Lindsay, P.Adsley, V.Bildstein,           O2532  1    6 
            C.Burbadge, A.Diaz-Varela, T.Faestermann,             O2532  1    7 
            R.Hertenberger, B.Jigmeddorj, M.Kamil, K.G.Leach,     O2532  1    8 
            P.Z.Mabika, J.C.Nzobadila Ondze, J.N.Orce, A.Radich,  O2532  1    9 
            H.-F.Wirth)                                           O2532  1   10 
INSTITUTE  (3SAFUWC,1CANGUE,1USAMSU,1CANTMF,3SAFWIT,3SAFITH,      O2532  1   11 
           2GERMUN,3CPRIMP,3CPRUCA,2GERLMU,1USACSM)               O2532  1   12 
           (1USAUSA) Central Michigan University, Mount Pleasant  O2532  1   13 
           (3SAFSAF) University of Zululand, KwaDlangezwa 3886    O2532  1   14 
REFERENCE  (J,PR/C,104,034309,2021)                               O2532  1   15 
           #doi:10.1103/PhysRevC.104.034309                       O2532  1   16 
           (J,PL/B,809,135702,2020)                               O2532  1   17 
           #doi:10.1016/j.physletb.2020.135702                    O2532  1   18 
FACILITY   (VDGT,2GERLMU) Maier-Leibnitz-Laboratorium tandem      O2532  1   19 
           accelerator                                            O2532  1   20 
SAMPLE     (56-BA-136,ENR=0.998) A 40 ug/cm2 thick, 99.8%         O2532  1   21 
           isotopically enriched 138BaO evaporated on a 30 ug/cm2 O2532  1   22 
           carbon backing.                                        O2532  1   23 
DETECTOR   (MAGSP,PROPC,SCIN) High-resolution Q3D magnetic        O2532  1   24 
           spectrograph. The detector placed at the focal plane   O2532  1   25 
           of the Q3D spectrograph consisted of two gas           O2532  1   26 
           proportional counters and one 7-mm-thick plastic       O2532  1   27 
           scintillator.                                          O2532  1   28 
METHOD     (BCINT)                                                O2532  1   29 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  O2532  1   30 
HISTORY    (20220221R) Data received from B.M.Rebeiro.            O2532  1   31 
           (20220218C) VS.                                        O2532  1   32 
ENDBIB              30          0                                 O2532  1   33 
COMMON               1          3                                 O2532  1   34 
EN                                                                O2532  1   35 
MEV                                                               O2532  1   36 
        23.                                                       O2532  1   37 
ENDCOMMON            3          0                                 O2532  1   38 
ENDSUBENT           37          0                                 O2532  199999 
SUBENT        O2532002   20220218                             O094O2532  2    1 
BIB                  3          3                                 O2532  2    2 
REACTION   (56-BA-138(P,T)56-BA-136,PAR,DA)                       O2532  2    3 
EN-SEC     (E-LVL,56-BA-136)                                      O2532  2    4 
STATUS     (TABLE) Plotted on Fig.3 of Phys.Lett.B809(2020)135702.O2532  2    5 
ENDBIB               3          0                                 O2532  2    6 
COMMON               1          3                                 O2532  2    7 
E-RSL-FW                                                          O2532  2    8 
KEV                                                               O2532  2    9 
        10.                                                       O2532  2   10 
ENDCOMMON            3          0                                 O2532  2   11 
DATA                 4        112                                 O2532  2   12 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         O2532  2   13 
KEV        ADEG       MB/SR      MB/SR                            O2532  2   14 
        0.0       5.08       2.17       0.12                      O2532  2   15 
        0.0      10.15       1.07       0.06                      O2532  2   16 
        0.0      15.23       0.17       0.01                      O2532  2   17 
        0.0      20.30      0.114      0.007                      O2532  2   18 
        0.0      25.37       0.36       0.02                      O2532  2   19 
        0.0      30.44       0.41       0.03                      O2532  2   20 
        0.0      35.50       0.32       0.02                      O2532  2   21 
        0.0      40.56       0.16       0.01                      O2532  2   22 
        0.0      45.62      0.056      0.004                      O2532  2   23 
        0.0      50.67      0.062      0.004                      O2532  2   24 
      1579.       5.08      0.071      0.004                      O2532  2   25 
      1579.      10.16      0.046      0.003                      O2532  2   26 
      1579.      15.24      0.020      0.001                      O2532  2   27 
      1579.      20.32     0.0098     0.0007                      O2532  2   28 
      1579.      25.39     0.0068     0.0005                      O2532  2   29 
      1579.      30.46     0.0011     0.0002                      O2532  2   30 
      1579.      35.53     0.0022     0.0003                      O2532  2   31 
      1579.      40.59     0.0080     0.0006                      O2532  2   32 
      1579.      45.65     0.0132     0.0009                      O2532  2   33 
      1579.      50.71     0.0116     0.0008                      O2532  2   34 
      2315.       5.08       0.17       0.01                      O2532  2   35 
      2315.      10.16      0.082      0.005                      O2532  2   36 
      2315.      15.25     0.0094     0.0007                      O2532  2   37 
      2315.      20.32     0.0141     0.0009                      O2532  2   38 
      2315.      25.40      0.034      0.002                      O2532  2   39 
      2315.      30.47      0.027      0.002                      O2532  2   40 
      2315.      35.54     0.0133     0.0009                      O2532  2   41 
      2315.      40.61     0.0078     0.0006                      O2532  2   42 
      2315.      45.67     0.0073     0.0005                      O2532  2   43 
      2315.      50.73     0.0066     0.0005                      O2532  2   44 
      2784.       5.08      0.148      0.008                      O2532  2   45 
      2784.      10.17      0.064      0.004                      O2532  2   46 
      2784.      15.25     0.0146     0.0010                      O2532  2   47 
      2784.      20.33      0.043      0.003                      O2532  2   48 
      2784.      25.41      0.071      0.004                      O2532  2   49 
      2784.      30.48      0.058      0.004                      O2532  2   50 
      2784.      35.55      0.028      0.002                      O2532  2   51 
      2784.      40.62     0.0084     0.0006                      O2532  2   52 
      2784.      45.68     0.0059     0.0005                      O2532  2   53 
      2784.      50.74     0.0106     0.0007                      O2532  2   54 
      2977.       5.08     0.0046     0.0006                      O2532  2   55 
      2977.      10.17     0.0018     0.0003                      O2532  2   56 
      2977.      15.25     0.0010     0.0002                      O2532  2   57 
      2977.      20.33     0.0040     0.0003                      O2532  2   58 
      2977.      25.41     0.0057     0.0005                      O2532  2   59 
      2977.      30.49     0.0044     0.0004                      O2532  2   60 
      2977.      35.56     0.0017     0.0002                      O2532  2   61 
      2977.      40.63    0.00030    0.00009                      O2532  2   62 
      2977.      50.75     0.0012     0.0002                      O2532  2   63 
      3279.       5.09      0.040      0.002                      O2532  2   64 
      3279.      10.17      0.018      0.001                      O2532  2   65 
      3279.      15.26     0.0024     0.0003                      O2532  2   66 
      3279.      20.34     0.0050     0.0004                      O2532  2   67 
      3279.      25.42     0.0108     0.0009                      O2532  2   68 
      3279.      30.49      0.011      0.001                      O2532  2   69 
      3279.      35.57     0.0043     0.0006                      O2532  2   70 
      3279.      40.63     0.0018     0.0002                      O2532  2   71 
      3279.      45.70     0.0020     0.0003                      O2532  2   72 
      3279.      50.75     0.0024     0.0003                      O2532  2   73 
      3427.       5.09     0.0082     0.0008                      O2532  2   74 
      3427.      10.17     0.0042     0.0004                      O2532  2   75 
      3427.      15.26     0.0011     0.0002                      O2532  2   76 
      3427.      20.34     0.0018     0.0002                      O2532  2   77 
      3427.      25.42     0.0017     0.0003                      O2532  2   78 
      3427.      30.50     0.0004     0.0002                      O2532  2   79 
      3427.      40.64     0.0001     0.0001                      O2532  2   80 
      3427.      45.70     0.0001     0.0001                      O2532  2   81 
      3427.      50.76     0.0004     0.0002                      O2532  2   82 
      3921.       5.09     0.0096     0.0008                      O2532  2   83 
      3921.      10.18     0.0032     0.0004                      O2532  2   84 
      3921.      15.26     0.0015     0.0002                      O2532  2   85 
      3921.      20.35     0.0061     0.0005                      O2532  2   86 
      3921.      25.43     0.0098     0.0007                      O2532  2   87 
      3921.      30.51     0.0079     0.0006                      O2532  2   88 
      3921.      35.58     0.0033     0.0004                      O2532  2   89 
      3921.      40.65     0.0006     0.0002                      O2532  2   90 
      3921.      45.72     0.0010     0.0002                      O2532  2   91 
      3921.      50.78     0.0018     0.0002                      O2532  2   92 
      4147.       5.09      0.018      0.001                      O2532  2   93 
      4147.      10.18     0.0089     0.0007                      O2532  2   94 
      4147.      15.26     0.0044     0.0004                      O2532  2   95 
      4147.      20.35     0.0060     0.0005                      O2532  2   96 
      4147.      25.43     0.0067     0.0005                      O2532  2   97 
      4147.      30.51     0.0065     0.0005                      O2532  2   98 
      4147.      35.59     0.0052     0.0005                      O2532  2   99 
      4147.      40.66     0.0040     0.0004                      O2532  2  100 
      4147.      45.72     0.0025     0.0003                      O2532  2  101 
      4147.      50.78     0.0037     0.0004                      O2532  2  102 
      4344.       5.09     0.0055     0.0005                      O2532  2  103 
      4344.      10.18     0.0028     0.0003                      O2532  2  104 
      4344.      15.27     0.0009     0.0002                      O2532  2  105 
      4344.      20.35     0.0014     0.0003                      O2532  2  106 
      4344.      25.44     0.0036     0.0003                      O2532  2  107 
      4344.      30.52     0.0023     0.0002                      O2532  2  108 
      4344.      35.59     0.0016     0.0002                      O2532  2  109 
      4344.      40.66     0.0006     0.0002                      O2532  2  110 
      4344.      45.73     0.0005     0.0002                      O2532  2  111 
      4344.      50.79     0.0010     0.0002                      O2532  2  112 
      4444.       5.09     0.0075     0.0007                      O2532  2  113 
      4444.      10.18     0.0030     0.0004                      O2532  2  114 
      4444.      15.27     0.0003     0.0002                      O2532  2  115 
      4444.      20.35     0.0041     0.0004                      O2532  2  116 
      4444.      25.44     0.0070     0.0006                      O2532  2  117 
      4444.      30.52     0.0073     0.0006                      O2532  2  118 
      4444.      35.59     0.0031     0.0005                      O2532  2  119 
      4444.      40.67     0.0009     0.0002                      O2532  2  120 
      4444.      50.79     0.0007     0.0002                      O2532  2  121 
      4534.      15.27     0.0006     0.0003                      O2532  2  122 
      4534.      20.36     0.0012     0.0005                      O2532  2  123 
      4534.      25.44     0.0010     0.0004                      O2532  2  124 
      4534.      35.60     0.0004     0.0001                      O2532  2  125 
      4534.      40.67     0.0002     0.0001                      O2532  2  126 
ENDDATA            114          0                                 O2532  2  127 
ENDSUBENT          126          0                                 O2532  299999 
SUBENT        O2532003   20220222                             O094O2532  3    1 
BIB                  2          2                                 O2532  3    2 
REACTION   (56-BA-138(P,EL)56-BA-138,,DA,,RTH)                    O2532  3    3 
STATUS     (TABLE) Plotted on Fig.2 of Phys.Lett.B809(2020)135702.O2532  3    4 
ENDBIB               2          0                                 O2532  3    5 
NOCOMMON             0          0                                 O2532  3    6 
DATA                 3         22                                 O2532  3    7 
ANG-CM     DATA       DATA-ERR                                    O2532  3    8 
ADEG       NO-DIM     NO-DIM                                      O2532  3    9 
    15.1083   0.792083 0.00154572                                 O2532  3   10 
    20.1431   0.806003 0.00150636                                 O2532  3   11 
    25.1769   0.729851 0.00100931                                 O2532  3   12 
    30.2092    0.499950.000838138                                 O2532  3   13 
      35.24   0.3378120.000547893                                 O2532  3   14 
     40.269   0.2625230.000459753                                 O2532  3   15 
    45.2959   0.3635830.000772446                                 O2532  3   16 
    50.3206   0.4513870.000998386                                 O2532  3   17 
    55.3428   0.518312 0.00129914                                 O2532  3   18 
    60.3624   0.432916 0.00132097                                 O2532  3   19 
    60.3624    0.42505 0.00339308                                 O2532  3   20 
    65.3793   0.2614220.000536618                                 O2532  3   21 
    70.3933   0.138486 0.00043749                                 O2532  3   22 
    75.4042   0.1170760.000447479                                 O2532  3   23 
    80.4122   0.2049590.000679534                                 O2532  3   24 
    85.4169   0.2922550.000885818                                 O2532  3   25 
    90.4185   0.3070260.000986727                                 O2532  3   26 
    95.4169   0.2287610.000906821                                 O2532  3   27 
    100.412   0.1229110.000709644                                 O2532  3   28 
    105.404   0.0669170.000573556                                 O2532  3   29 
    110.393  0.08469670.000678644                                 O2532  3   30 
    115.379   0.1375120.000845364                                 O2532  3   31 
ENDDATA             24          0                                 O2532  3   32 
ENDSUBENT           31          0                                 O2532  399999 
ENDENTRY             3          0                                 O253299999999 
